Data file,,RA0.3_PAO_12C_004_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,17/03/2016,,,,,,,,,,
Lubricant,,PAO68,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:35:54 on 17/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:42:40,4,2700,405.3,0.02,0,9,12,0.002,10,0.2,0.02
,11:42:41,4,2700,406.3,0.15,0.9,9,12,0.016,10,0.3,0.15
,11:42:42,4,2700,407.3,0.39,5.8,9,12,0.044,10,0.3,0.38
,11:42:43,4,2700,408.3,0.68,11.6,9,12,0.074,10,0.3,0.63
,11:42:44,4,2700,409.3,0.86,13.3,9,11.9,0.094,10,0.3,0.79
,11:42:45,4,2700,410.3,0.93,13.3,10,11.9,0.096,10,0.3,0.84
,11:42:46,4,2700,411.3,0.95,13.3,10,11.9,0.098,10,0.3,0.86
,11:42:47,4,2700,412.3,0.95,13.3,10,11.9,0.095,10,0.3,0.86
,11:42:48,4,2700,413.3,0.95,13.3,9,11.9,0.1,10,0.3,0.86
,11:42:49,4,2700,414.3,0.95,13.3,9,11.8,0.102,10,0.3,0.85
,11:42:50,4,2700,415.3,0.94,13.3,9,11.8,0.102,10,0.3,0.85
,11:42:51,4,2700,416.3,0.94,13.3,9,11.9,0.102,10,0.3,0.85
,11:42:52,4,2700,417.3,0.94,13.3,9,11.8,0.102,10,0.3,0.85
,11:42:53,4,2700,418.3,0.94,13.3,9,11.8,0.099,10,0.3,0.84
,11:42:54,4,2700,419.3,0.93,13.3,9,11.8,0.101,10,0.3,0.84
,11:42:55,4,2700,420.3,0.93,13.3,9,11.7,0.104,10,0.3,0.84
,11:42:56,4,2700,421.3,0.93,13.3,9,11.7,0.104,10,0.3,0.84
,11:42:57,4,2700,422.3,0.93,13.3,9,11.6,0.101,10,0.3,0.84
,11:42:58,4,2700,423.3,0.93,13.3,9,11.6,0.104,10,0.3,0.84
,11:42:59,4,2700,424.3,0.93,13.3,9,11.6,0.101,10,0.3,0.84
,11:43:00,4,2700,425.3,0.93,13.3,9,11.6,0.098,10,0.3,0.84
,11:43:01,4,2700,426.3,0.93,13.3,9,11.5,0.098,10,0.3,0.84
,11:43:02,4,2700,427.3,0.93,13.3,9,11.5,0.101,10,0.3,0.84
,11:43:03,4,2700,428.3,0.93,13.3,9,11.5,0.104,10,0.3,0.84
,11:43:04,4,2700,429.3,0.93,13.3,9,11.5,0.1,10,0.3,0.84
