Data file,,NYLATRON_HEF_T27_N2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Nylatron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 17:41:42 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,nylatron_hef_t27_n2-h001.tsv,,,,,,,,,,
,17:42:37,4,5,54.9,0.04,0,7,21,0.005,10,49.7,0.05
,17:42:38,4,5,55.9,0.5,0.6,7,21,0.072,10,49.8,0.54
,17:42:39,4,5,56.9,1.12,6.3,7,21,0.156,10,49.9,1.15
,17:42:40,4,5,57.9,1.77,12.1,7,21,0.247,10,50,1.76
,17:42:41,4,5,58.9,1.98,13.3,7,21,0.267,10,50,1.92
,17:42:42,5,3590,59.9,2.02,13.3,7,21,0.281,10,50,1.95
,17:42:43,5,3590,60.9,2.01,13.3,7,21,0.29,10,49.9,1.94
,17:42:44,5,3590,61.9,2,13.3,7,21,0.289,10,50,1.93
,17:42:45,5,3590,62.9,2,13.3,7,21,0.279,10,50,1.93
,17:42:46,5,3590,63.9,2,13.3,7,21,0.269,10,49.9,1.93
,17:42:47,5,3590,64.9,1.99,13.3,7,21,0.277,10,50,1.92
,17:42:48,5,3590,65.9,1.97,13.3,7,22,0.285,10,49.9,1.9
,17:42:49,5,3590,66.9,1.96,13.3,7,21,0.284,10,50,1.9
,17:42:50,5,3590,67.9,1.96,13.3,7,22,0.273,10,49.9,1.89
,17:42:51,5,3590,68.9,1.97,13.3,7,21,0.274,10,50,1.9
,17:42:52,5,3590,69.9,2,13.3,7,22,0.288,10,49.9,1.93
,17:42:53,5,3590,70.9,2.03,13.3,7,21,0.283,10,49.9,1.97
,17:42:54,5,3590,71.9,2.05,13.3,7,21,0.285,10,49.9,1.97
,17:42:55,5,3590,72.9,2.03,13.3,7,21,0.283,10,49.9,1.96
,17:42:56,5,3590,73.9,2.01,13.3,7,22,0.291,10,50,1.94
,17:42:57,5,3590,74.9,2.01,13.3,7,21,0.27,10,50,1.94
,17:42:58,5,3590,75.9,2.01,13.3,7,21,0.28,10,50,1.94
,17:42:59,5,3590,76.9,2.01,13.3,7,21,0.28,10,49.9,1.94
,17:43:00,5,3590,77.9,2,13.3,7,21,0.289,10,49.9,1.93
,17:43:01,5,3590,78.9,1.99,13.3,7,21,0.277,10,49.9,1.92
,17:43:02,5,3590,79.9,1.98,13.3,7,21,0.276,10,49.9,1.91
,17:43:03,5,3590,80.9,1.96,13.3,7,21,0.273,10,50,1.89
,17:43:04,5,3590,81.9,1.93,13.3,7,21,0.278,10,49.9,1.86
,17:43:05,5,3590,82.9,1.9,13.3,7,21,0.264,10,50,1.83
,17:43:06,5,3590,83.9,1.97,13.3,7,21,0.265,10,50,1.91
,17:43:07,5,3590,84.9,2.05,13.3,7,21,0.275,10,50,1.98
,17:43:08,5,3590,85.9,2.1,13.3,7,21,0.292,10,49.9,2.03
,17:43:09,5,3590,86.9,2.05,13.3,7,21,0.286,10,49.9,1.98
,17:43:10,5,3590,87.9,2.01,13.3,7,21,0.279,10,49.9,1.93
,17:43:11,5,3590,88.9,1.97,13.3,7,21,0.274,10,49.9,1.9
,17:43:12,5,3590,89.9,1.93,13.3,7,21,0.269,10,49.9,1.86
,17:43:13,5,3590,90.9,1.9,13.3,7,21,0.264,10,49.9,1.83
,17:43:14,5,3590,91.9,1.86,13.3,7,21,0.251,10,49.9,1.79
,17:43:15,5,3590,92.9,1.79,13.3,7,21,0.241,10,49.9,1.72
,17:43:16,5,3590,93.9,1.72,13.3,7,21,0.239,10,49.9,1.65
,17:43:17,5,3590,94.9,1.65,13.3,7,21,0.238,10,49.9,1.59
,17:43:18,5,3590,95.9,1.63,13.3,7,21,0.235,10,49.9,1.57
,17:43:19,5,3590,96.9,1.62,13.3,7,21,0.234,10,49.9,1.56
,17:43:20,5,3590,97.9,1.62,13.3,7,21,0.234,10,49.9,1.56
,17:43:21,5,3590,98.9,1.62,13.3,7,21,0.233,10,49.9,1.56
,17:43:22,5,3590,99.9,1.61,13.3,7,21,0.233,10,49.9,1.55
,17:43:23,5,3590,100.9,1.61,13.3,7,21,0.224,10,49.9,1.55
,17:43:24,5,3590,101.9,1.6,13.3,7,21,0.215,10,49.9,1.55
,17:43:25,5,3590,102.9,1.6,13.3,7,21,0.222,10,49.9,1.54
,17:43:26,5,3590,103.9,1.59,13.3,7,21,0.229,10,49.9,1.53
,17:43:27,5,3590,104.9,1.58,13.3,7,21,0.229,10,49.9,1.53
,17:43:28,5,3590,105.9,1.58,13.3,7,21,0.22,10,49.9,1.53
,17:43:29,5,3590,106.9,1.57,13.3,7,21,0.219,10,49.9,1.52
,17:43:30,5,3590,107.9,1.56,13.3,7,22,0.225,10,49.9,1.5
,17:43:31,5,3590,108.9,1.55,13.3,7,21,0.224,10,49.8,1.49
,17:43:32,5,3590,109.9,1.55,13.3,7,21,0.224,10,49.9,1.5
,17:43:33,5,3590,110.9,1.55,13.3,7,21,0.216,10,49.9,1.5
,17:43:34,5,3590,111.9,1.55,13.3,7,21,0.216,10,49.9,1.5
,17:43:35,5,3590,112.9,1.54,13.3,7,21,0.215,10,49.9,1.49
,17:43:36,5,3590,113.9,1.53,13.3,7,21,0.221,10,49.9,1.48
,17:43:37,5,3590,114.9,1.53,13.3,7,21,0.221,10,49.9,1.48
,17:43:38,5,3590,115.9,1.53,13.3,7,21,0.213,10,49.9,1.48
,17:43:39,5,3590,116.9,1.53,13.3,7,21,0.206,10,49.9,1.48
,17:43:40,5,3590,117.9,1.52,13.3,7,21,0.212,10,49.9,1.47
,17:43:41,5,3590,118.9,1.5,13.3,7,21,0.216,10,49.9,1.44
,17:43:42,5,3590,119.9,1.48,13.3,7,21,0.213,10,49.9,1.42
,17:43:43,5,3590,120.9,1.47,13.3,7,21,0.204,10,49.9,1.41
,17:43:44,5,3590,121.9,1.47,13.3,7,21,0.198,10,49.9,1.42
,17:43:45,5,3590,122.9,1.47,13.3,7,21,0.205,10,49.9,1.42
,17:43:46,5,3590,123.9,1.45,13.3,7,21,0.21,10,49.9,1.4
,17:43:47,5,3590,124.9,1.45,13.3,7,21,0.209,10,49.9,1.39
,17:43:48,5,3590,125.9,1.45,13.3,7,21,0.202,10,49.9,1.4
,17:43:49,5,3590,126.9,1.46,13.3,7,21,0.196,10,49.9,1.41
,17:43:50,5,3590,127.9,1.45,13.3,7,21,0.202,10,49.8,1.4
,17:43:51,5,3590,128.9,1.44,13.3,7,21,0.207,10,49.9,1.39
,17:43:52,5,3590,129.9,1.44,13.3,7,21,0.207,10,49.9,1.39
,17:43:53,5,3590,130.9,1.44,13.3,7,21,0.208,10,49.9,1.39
,17:43:54,5,3590,131.9,1.44,13.3,7,21,0.208,10,49.8,1.39
,17:43:55,5,3590,132.9,1.44,13.3,7,21,0.208,10,49.9,1.39
,17:43:56,5,3590,133.9,1.45,13.3,7,21,0.201,10,49.9,1.4
,17:43:57,5,3590,134.9,1.45,13.3,7,21,0.21,10,49.9,1.4
,17:43:58,5,3590,135.9,1.46,13.3,7,21,0.204,10,49.8,1.41
,17:43:59,5,3590,136.9,1.5,13.3,7,21,0.216,10,49.9,1.45
,17:44:00,5,3590,137.9,1.54,13.3,7,21,0.231,10,49.9,1.49
,17:44:01,5,3590,138.9,1.58,13.3,7,21,0.228,10,49.9,1.53
,17:44:02,5,3590,139.9,1.6,13.3,7,21,0.231,10,49.9,1.55
,17:44:03,5,3590,140.9,1.6,13.3,7,21,0.231,10,49.9,1.54
,17:44:04,5,3590,141.9,1.6,13.3,7,21,0.23,10,49.9,1.54
,17:44:05,5,3590,142.9,1.59,13.3,7,21,0.229,10,49.9,1.54
,17:44:06,5,3590,143.9,1.59,13.3,7,21,0.222,10,49.9,1.54
,17:44:07,5,3590,144.9,1.59,13.3,7,21,0.222,10,49.9,1.54
,17:44:08,5,3590,145.9,1.59,13.3,7,21,0.222,10,49.9,1.54
,17:44:09,5,3590,146.9,1.59,13.3,7,21,0.221,10,49.8,1.53
,17:44:10,5,3590,147.9,1.58,13.3,7,21,0.228,10,49.8,1.53
,17:44:11,5,3590,148.9,1.58,13.3,7,21,0.228,10,49.8,1.52
,17:44:12,5,3590,149.9,1.57,13.3,7,21,0.227,10,49.9,1.51
,17:44:13,5,3590,150.9,1.56,13.3,7,21,0.218,10,49.9,1.51
,17:44:14,5,3590,151.9,1.56,13.3,7,21,0.217,10,49.9,1.5
,17:44:15,5,3590,152.9,1.56,13.3,7,21,0.217,10,49.9,1.5
,17:44:16,5,3590,153.9,1.55,13.3,7,21,0.224,10,49.9,1.5
,17:44:17,5,3590,154.9,1.55,13.3,7,21,0.223,10,49.9,1.49
,17:44:18,5,3590,155.9,1.54,13.3,7,21,0.222,10,49.9,1.48
,17:44:19,5,3590,156.9,1.54,13.3,7,21,0.222,10,49.9,1.48
,17:44:20,5,3590,157.9,1.53,13.3,7,21,0.214,10,49.8,1.48
,17:44:21,5,3590,158.9,1.54,13.3,7,21,0.214,10,49.9,1.48
,17:44:22,5,3590,159.9,1.53,13.3,7,21,0.213,10,49.9,1.48
,17:44:23,5,3590,160.9,1.53,13.3,7,21,0.221,10,49.9,1.47
,17:44:24,5,3590,161.9,1.51,13.3,7,21,0.219,10,49.9,1.46
,17:44:25,5,3590,162.9,1.5,13.3,7,21,0.225,10,49.8,1.45
,17:44:26,5,3590,163.9,1.49,13.3,7,21,0.215,10,49.8,1.44
,17:44:27,5,3590,164.9,1.49,13.3,7,21,0.208,10,49.9,1.44
,17:44:28,5,3590,165.9,1.49,13.3,7,21,0.2,10,49.9,1.44
,17:44:29,5,3590,166.9,1.49,13.3,7,21,0.207,10,49.9,1.43
,17:44:30,5,3590,167.9,1.48,13.3,7,21,0.213,10,49.8,1.42
,17:44:31,5,3590,168.9,1.47,13.3,7,21,0.212,10,49.8,1.42
,17:44:32,5,3590,169.9,1.46,13.3,7,21,0.211,10,49.8,1.41
,17:44:33,5,3590,170.9,1.47,13.3,7,21,0.204,10,49.8,1.42
,17:44:34,5,3590,171.9,1.48,13.3,7,21,0.198,10,49.9,1.43
,17:44:35,5,3590,172.9,1.49,13.3,7,21,0.208,10,49.9,1.44
,17:44:36,5,3590,173.9,1.5,13.3,7,21,0.216,10,49.9,1.45
,17:44:37,5,3590,174.9,1.5,13.3,7,21,0.216,10,49.9,1.44
,17:44:38,5,3590,175.9,1.49,13.3,7,21,0.215,10,49.9,1.44
,17:44:39,5,3590,176.9,1.49,13.3,7,21,0.208,10,49.9,1.44
,17:44:40,5,3590,177.9,1.49,13.3,7,21,0.2,10,49.9,1.43
,17:44:41,5,3590,178.9,1.47,13.3,7,21,0.198,10,49.9,1.42
,17:44:42,5,3590,179.9,1.45,13.3,7,21,0.202,10,49.9,1.4
,17:44:43,5,3590,180.9,1.44,13.3,7,21,0.201,10,49.9,1.39
,17:44:44,5,3590,181.9,1.44,13.3,7,21,0.2,10,49.8,1.39
,17:44:45,5,3590,182.9,1.44,13.3,7,21,0.207,10,49.9,1.39
,17:44:46,5,3590,183.9,1.43,13.3,7,21,0.199,10,49.9,1.38
,17:44:47,5,3590,184.9,1.43,13.3,7,21,0.199,10,49.9,1.38
,17:44:48,5,3590,185.9,1.42,13.3,7,21,0.205,10,49.9,1.37
,17:44:49,5,3590,186.9,1.42,13.3,7,21,0.205,10,49.9,1.37
,17:44:50,5,3590,187.9,1.42,13.3,7,21,0.197,10,49.8,1.37
,17:44:51,5,3590,188.9,1.42,13.3,7,21,0.198,10,49.9,1.37
,17:44:52,5,3590,189.9,1.42,13.3,7,21,0.198,10,49.8,1.37
,17:44:53,5,3590,190.9,1.42,13.3,7,21,0.198,10,49.8,1.37
,17:44:54,5,3590,191.9,1.42,13.3,7,21,0.205,10,49.9,1.37
,17:44:55,5,3590,192.9,1.42,13.3,7,21,0.204,10,49.9,1.37
,17:44:56,5,3590,193.9,1.41,13.3,7,21,0.204,10,49.8,1.36
,17:44:57,5,3590,194.9,1.4,13.3,7,21,0.203,10,49.9,1.35
,17:44:58,5,3590,195.9,1.4,13.3,7,21,0.195,10,49.9,1.35
,17:44:59,5,3590,196.9,1.4,13.3,7,21,0.188,10,49.9,1.35
,17:45:00,5,3590,197.9,1.4,13.3,7,21,0.195,10,49.8,1.35
,17:45:01,5,3590,198.9,1.4,13.3,7,21,0.202,10,49.9,1.35
,17:45:02,5,3590,199.9,1.4,13.3,7,21,0.202,10,49.9,1.35
,17:45:03,5,3590,200.9,1.41,13.3,7,21,0.203,10,49.9,1.36
,17:45:04,5,3590,201.9,1.41,13.3,7,21,0.196,10,49.9,1.36
,17:45:05,5,3590,202.9,1.41,13.3,7,21,0.189,10,49.9,1.36
,17:45:06,5,3590,203.9,1.4,13.3,7,21,0.195,10,49.9,1.35
,17:45:07,5,3590,204.9,1.41,13.3,7,21,0.204,10,49.9,1.36
,17:45:08,5,3590,205.9,1.41,13.3,7,21,0.204,10,49.9,1.36
,17:45:09,5,3590,206.9,1.41,13.3,7,21,0.204,10,49.8,1.36
,17:45:10,5,3590,207.9,1.41,13.3,7,21,0.19,10,49.9,1.36
,17:45:11,5,3590,208.9,1.41,13.3,7,21,0.197,10,49.9,1.36
,17:45:12,5,3590,209.9,1.41,13.3,7,21,0.197,10,49.9,1.36
,17:45:13,5,3590,210.9,1.41,13.3,7,21,0.203,10,49.9,1.36
,17:45:14,5,3590,211.9,1.4,13.3,7,21,0.194,10,49.9,1.35
,17:45:15,5,3590,212.9,1.39,13.3,7,21,0.193,10,49.9,1.34
,17:45:16,5,3590,213.9,1.39,13.3,7,21,0.193,10,49.9,1.34
,17:45:17,5,3590,214.9,1.4,13.3,7,21,0.188,10,49.9,1.35
,17:45:18,5,3590,215.9,1.4,13.3,7,21,0.188,10,49.9,1.35
,17:45:19,5,3590,216.9,1.4,13.3,7,21,0.195,10,49.9,1.35
,17:45:20,5,3590,217.9,1.4,13.3,7,21,0.203,10,49.9,1.35
,17:45:21,5,3590,218.9,1.4,13.3,7,21,0.202,10,49.8,1.35
,17:45:22,5,3590,219.9,1.4,13.3,7,21,0.209,10,49.9,1.35
,17:45:23,5,3590,220.9,1.4,13.3,7,21,0.202,10,49.9,1.35
,17:45:24,5,3590,221.9,1.4,13.3,7,21,0.195,10,49.9,1.35
,17:45:25,5,3590,222.9,1.39,13.3,7,21,0.187,10,49.8,1.34
,17:45:26,5,3590,223.9,1.38,13.3,7,21,0.186,10,49.9,1.34
,17:45:27,5,3590,224.9,1.39,13.3,7,21,0.193,10,49.9,1.34
,17:45:28,5,3590,225.9,1.39,13.3,7,21,0.193,10,49.9,1.34
,17:45:29,5,3590,226.9,1.39,13.3,7,21,0.201,10,49.9,1.34
,17:45:30,5,3590,227.9,1.39,13.3,7,21,0.208,10,49.9,1.34
,17:45:31,5,3590,228.9,1.39,13.3,7,21,0.201,10,49.9,1.34
,17:45:32,5,3590,229.9,1.39,13.3,7,21,0.194,10,49.9,1.34
,17:45:33,5,3590,230.9,1.4,13.3,7,21,0.195,10,49.8,1.35
,17:45:34,5,3590,231.9,1.39,13.3,7,21,0.193,10,49.8,1.34
,17:45:35,5,3590,232.9,1.38,13.3,7,21,0.192,10,49.9,1.33
,17:45:36,5,3590,233.9,1.37,13.3,7,21,0.198,10,49.8,1.33
,17:45:37,5,3590,234.9,1.38,13.3,7,21,0.199,10,49.9,1.33
,17:45:38,5,3590,235.9,1.38,13.3,7,21,0.199,10,49.9,1.33
,17:45:39,5,3590,236.9,1.38,13.3,7,21,0.192,10,49.9,1.33
,17:45:40,5,3590,237.9,1.38,13.3,7,21,0.192,10,49.9,1.33
,17:45:41,5,3590,238.9,1.38,13.3,7,21,0.2,10,49.9,1.34
,17:45:43,5,3590,239.9,1.38,13.3,7,21,0.199,10,49.9,1.33
,17:45:44,5,3590,240.9,1.37,13.3,7,21,0.198,10,49.9,1.32
,17:45:45,5,3590,241.9,1.37,13.3,7,21,0.197,10,49.9,1.32
,17:45:46,5,3590,242.9,1.37,13.3,7,21,0.191,10,49.9,1.32
,17:45:47,5,3590,243.9,1.37,13.3,7,21,0.191,10,49.9,1.32
,17:45:48,5,3590,244.9,1.37,13.3,7,21,0.198,10,49.9,1.32
,17:45:49,5,3590,245.9,1.36,13.3,7,21,0.196,10,49.9,1.31
,17:45:50,5,3590,246.9,1.35,13.3,7,21,0.188,10,49.8,1.31
,17:45:51,5,3590,247.9,1.34,13.3,7,21,0.187,10,49.9,1.3
,17:45:52,5,3590,248.9,1.33,13.3,7,21,0.185,10,49.8,1.28
,17:45:53,5,3590,249.9,1.32,13.3,7,21,0.191,10,49.9,1.27
,17:45:54,5,3590,250.9,1.32,13.3,7,21,0.19,10,49.9,1.27
,17:45:55,5,3590,251.9,1.32,13.3,7,21,0.184,10,49.9,1.28
,17:45:56,5,3590,252.9,1.32,13.3,7,21,0.184,10,49.9,1.28
,17:45:57,5,3590,253.9,1.32,13.3,7,21,0.184,10,49.8,1.28
,17:45:58,5,3590,254.9,1.32,13.3,7,21,0.183,10,49.9,1.27
,17:45:59,5,3590,255.9,1.32,13.3,7,21,0.184,10,49.9,1.27
,17:46:00,5,3590,256.9,1.32,13.3,7,21,0.184,10,49.9,1.27
,17:46:01,5,3590,257.9,1.32,13.3,7,21,0.19,10,49.8,1.27
,17:46:02,5,3590,258.9,1.31,13.3,7,21,0.189,10,49.8,1.27
,17:46:03,5,3590,259.9,1.32,13.3,7,21,0.183,10,49.9,1.27
,17:46:04,5,3590,260.9,1.32,13.3,7,21,0.183,10,49.9,1.27
,17:46:05,5,3590,261.9,1.32,13.3,7,21,0.184,10,49.9,1.27
,17:46:06,5,3590,262.9,1.31,13.3,7,21,0.189,10,49.9,1.26
,17:46:07,5,3590,263.9,1.31,13.3,7,21,0.189,10,49.9,1.26
,17:46:08,5,3590,264.9,1.3,13.3,7,21,0.175,10,49.9,1.26
,17:46:09,5,3590,265.9,1.31,13.3,7,21,0.182,10,49.8,1.26
,17:46:10,5,3590,266.9,1.3,13.3,7,21,0.182,10,49.9,1.26
,17:46:11,5,3590,267.9,1.3,13.3,7,21,0.188,10,49.8,1.26
,17:46:12,5,3590,268.9,1.3,13.3,7,21,0.188,10,49.9,1.26
,17:46:13,5,3590,269.9,1.3,13.3,7,21,0.182,10,49.9,1.26
,17:46:14,5,3590,270.9,1.3,13.3,7,21,0.18,10,49.9,1.25
,17:46:15,5,3590,271.9,1.3,13.3,7,21,0.18,10,49.9,1.25
,17:46:16,5,3590,272.9,1.3,13.3,7,21,0.187,10,49.8,1.25
,17:46:17,5,3590,273.9,1.3,13.3,7,21,0.188,10,49.9,1.26
,17:46:18,5,3590,274.9,1.3,13.3,7,21,0.181,10,49.9,1.25
,17:46:19,5,3590,275.9,1.29,13.3,7,21,0.18,10,49.9,1.25
,17:46:20,5,3590,276.9,1.29,13.3,7,21,0.186,10,49.9,1.24
,17:46:21,5,3590,277.9,1.29,13.3,7,21,0.186,10,49.8,1.24
,17:46:22,5,3590,278.9,1.3,13.3,7,21,0.174,10,49.8,1.25
,17:46:23,5,3590,279.9,1.3,13.3,7,21,0.181,10,49.9,1.26
,17:46:24,5,3590,280.9,1.3,13.3,7,21,0.181,10,49.8,1.25
,17:46:25,5,3590,281.9,1.29,13.3,7,21,0.179,10,49.8,1.24
,17:46:26,5,3590,282.9,1.28,13.3,7,21,0.173,10,49.9,1.24
,17:46:27,5,3590,283.9,1.28,13.3,7,21,0.178,10,49.9,1.23
,17:46:28,5,3590,284.9,1.28,13.3,7,21,0.185,10,49.8,1.23
,17:46:29,5,3590,285.9,1.28,13.3,7,21,0.185,10,49.9,1.23
,17:46:30,5,3590,286.9,1.28,13.3,7,21,0.178,10,49.9,1.24
,17:46:31,5,3590,287.9,1.27,13.3,7,21,0.177,10,49.9,1.23
,17:46:32,5,3590,288.9,1.27,13.3,7,21,0.184,10,49.8,1.23
,17:46:33,5,3590,289.9,1.27,13.3,7,21,0.183,10,49.9,1.22
,17:46:34,5,3590,290.9,1.27,13.3,7,21,0.176,10,49.9,1.22
,17:46:35,5,3590,291.9,1.26,13.3,7,21,0.176,10,49.8,1.22
,17:46:36,5,3590,292.9,1.26,13.3,7,21,0.182,10,49.9,1.22
,17:46:37,5,3590,293.9,1.26,13.3,7,21,0.182,10,49.8,1.22
,17:46:38,5,3590,294.9,1.26,13.3,7,21,0.189,10,49.8,1.22
,17:46:39,5,3590,295.9,1.27,13.3,7,21,0.191,10,49.9,1.23
,17:46:40,5,3590,296.9,1.28,13.3,7,21,0.184,10,49.9,1.23
,17:46:41,5,3590,297.9,1.27,13.3,7,21,0.177,10,49.8,1.23
,17:46:42,5,3590,298.9,1.27,13.3,7,21,0.171,10,49.9,1.23
,17:46:43,5,3590,299.9,1.27,13.3,7,21,0.177,10,49.9,1.22
,17:46:44,5,3590,300.9,1.27,13.3,7,21,0.183,10,49.9,1.22
,17:46:45,5,3590,301.9,1.28,13.3,7,21,0.178,10,49.9,1.23
,17:46:46,5,3590,302.9,1.28,13.3,7,21,0.178,10,49.9,1.24
,17:46:47,5,3590,303.9,1.29,13.3,7,21,0.186,10,49.9,1.24
,17:46:48,5,3590,304.9,1.28,13.3,7,21,0.178,10,49.8,1.24
,17:46:49,5,3590,305.9,1.28,13.3,7,21,0.179,10,49.9,1.24
,17:46:50,5,3590,306.9,1.28,13.3,7,21,0.179,10,49.9,1.24
,17:46:51,5,3590,307.9,1.29,13.3,7,21,0.186,10,49.9,1.25
,17:46:52,5,3590,308.9,1.29,13.3,7,21,0.187,10,49.9,1.25
,17:46:53,5,3590,309.9,1.3,13.3,7,21,0.188,10,49.8,1.26
,17:46:54,5,3590,310.9,1.31,13.3,7,21,0.189,10,49.9,1.26
,17:46:55,5,3590,311.9,1.31,13.3,7,21,0.183,10,49.9,1.27
,17:46:56,5,3590,312.9,1.31,13.3,7,21,0.177,10,49.9,1.27
,17:46:57,5,3590,313.9,1.31,13.3,7,21,0.176,10,49.9,1.26
,17:46:58,5,3590,314.9,1.3,13.3,7,21,0.188,10,49.9,1.25
,17:46:59,5,3590,315.9,1.29,13.3,7,21,0.187,10,49.8,1.25
,17:47:00,5,3590,316.9,1.3,13.3,7,21,0.188,10,49.8,1.25
,17:47:01,5,3590,317.9,1.31,13.3,7,21,0.182,10,49.8,1.26
,17:47:02,5,3590,318.9,1.31,13.3,7,21,0.183,10,49.9,1.27
,17:47:03,5,3590,319.9,1.32,13.3,7,21,0.183,10,49.8,1.27
,17:47:04,5,3590,320.9,1.32,13.3,7,21,0.177,10,49.9,1.27
,17:47:05,5,3590,321.9,1.33,13.3,7,21,0.178,10,49.8,1.28
,17:47:06,5,3590,322.9,1.34,13.3,7,21,0.186,10,49.9,1.29
,17:47:07,5,3590,323.9,1.34,13.3,7,21,0.187,10,49.9,1.3
,17:47:08,5,3590,324.9,1.35,13.3,7,21,0.188,10,49.8,1.3
,17:47:09,5,3590,325.9,1.34,13.3,7,21,0.194,10,49.9,1.29
,17:47:10,5,3590,326.9,1.34,13.3,7,21,0.193,10,49.8,1.29
,17:47:11,5,3590,327.9,1.32,13.3,7,21,0.191,10,49.9,1.27
,17:47:12,5,3590,328.9,1.31,13.3,7,21,0.189,10,49.9,1.26
,17:47:13,5,3590,329.9,1.3,13.3,7,21,0.18,10,49.9,1.25
,17:47:14,5,3590,330.9,1.3,13.3,7,21,0.181,10,49.9,1.26
,17:47:15,5,3590,331.9,1.32,13.3,7,21,0.183,10,49.9,1.27
,17:47:16,5,3590,332.9,1.33,13.3,7,21,0.192,10,49.9,1.29
,17:47:17,5,3590,333.9,1.34,13.3,7,21,0.194,10,49.9,1.3
,17:47:18,5,3590,334.9,1.35,13.3,7,21,0.195,10,49.9,1.3
,17:47:19,5,3590,335.9,1.34,13.3,7,21,0.201,10,49.8,1.3
,17:47:20,5,3590,336.9,1.34,13.3,7,21,0.187,10,49.9,1.3
,17:47:21,5,3590,337.9,1.35,13.3,7,21,0.181,10,49.9,1.3
,17:47:22,5,3590,338.9,1.35,13.3,7,21,0.188,10,49.8,1.3
,17:47:23,5,3590,339.9,1.35,13.3,7,21,0.202,10,49.9,1.3
,17:47:24,5,3590,340.9,1.34,13.3,7,21,0.201,10,49.9,1.3
,17:47:25,5,3590,341.9,1.35,13.3,7,21,0.194,10,49.9,1.3
,17:47:26,5,3590,342.9,1.35,13.3,7,21,0.188,10,49.9,1.3
,17:47:27,5,3590,343.9,1.35,13.3,7,21,0.188,10,49.9,1.3
,17:47:28,5,3590,344.9,1.35,13.3,7,21,0.181,10,49.8,1.3
,17:47:29,5,3590,345.9,1.34,13.3,7,21,0.187,10,49.9,1.29
,17:47:30,5,3590,346.9,1.33,13.3,7,21,0.186,10,49.9,1.28
,17:47:31,5,3590,347.9,1.33,13.3,7,21,0.191,10,49.9,1.28
,17:47:32,5,3590,348.9,1.32,13.3,7,21,0.19,10,49.8,1.27
,17:47:33,5,3590,349.9,1.32,13.3,7,21,0.19,10,49.9,1.27
,17:47:34,5,3590,350.9,1.33,13.3,7,21,0.192,10,49.8,1.28
,17:47:35,5,3590,351.9,1.34,13.3,7,21,0.193,10,49.9,1.29
,17:47:36,5,3590,352.9,1.35,13.3,7,21,0.194,10,49.9,1.3
,17:47:37,5,3590,353.9,1.35,13.3,7,21,0.181,10,49.8,1.3
,17:47:38,5,3590,354.9,1.35,13.3,7,21,0.181,10,49.9,1.3
,17:47:39,5,3590,355.9,1.34,13.3,7,21,0.187,10,49.9,1.3
,17:47:40,5,3590,356.9,1.34,13.3,7,20,0.186,10,49.9,1.29
,17:47:41,5,3590,357.9,1.34,13.3,7,21,0.187,10,49.8,1.29
,17:47:42,5,3590,358.9,1.35,13.3,7,21,0.195,10,49.9,1.3
,17:47:43,5,3590,359.9,1.35,13.3,7,21,0.195,10,49.9,1.31
,17:47:44,5,3590,360.9,1.36,13.3,7,21,0.196,10,49.8,1.31
,17:47:45,5,3590,361.9,1.36,13.3,7,21,0.196,10,49.9,1.31
,17:47:46,5,3590,362.9,1.37,13.3,7,21,0.184,10,49.9,1.32
,17:47:47,5,3590,363.9,1.37,13.3,8,21,0.178,10,49.8,1.32
,17:47:48,5,3590,364.9,1.38,13.3,7,21,0.185,10,49.9,1.33
,17:47:49,5,3590,365.9,1.37,13.3,7,21,0.19,10,49.9,1.32
,17:47:50,5,3590,366.9,1.37,13.3,7,21,0.198,10,49.8,1.33
,17:47:51,5,3590,367.9,1.36,13.3,7,21,0.197,10,49.9,1.32
,17:47:52,5,3590,368.9,1.36,13.3,7,21,0.197,10,49.9,1.32
,17:47:53,5,3590,369.9,1.37,13.3,7,21,0.198,10,49.9,1.32
,17:47:54,5,3590,370.9,1.38,13.3,7,21,0.192,10,49.9,1.33
,17:47:55,5,3590,371.9,1.38,13.3,7,21,0.185,10,49.9,1.33
,17:47:56,5,3590,372.9,1.36,13.3,7,21,0.183,10,49.9,1.32
,17:47:57,5,3590,373.9,1.36,13.3,7,21,0.19,10,49.8,1.31
,17:47:58,5,3590,374.9,1.36,13.3,7,21,0.196,10,49.9,1.31
,17:47:59,5,3590,375.9,1.37,13.3,7,21,0.198,10,49.8,1.33
,17:48:00,5,3590,376.9,1.38,13.3,7,21,0.207,10,49.8,1.33
