Data file,,DELRINNC010_PDMS_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/12/2016,,,,,,,,,,
Lubricant,,PDMS,,,,,,,,,,
Specimens,,POM NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:19:44 on 01/12/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:21:44,6,1795,120.5,0.25,13.3,7,13.3,0.036,10,0.5,0.24
,14:21:45,6,1795,121.5,0.26,13.3,7,13.3,0.037,10,0.5,0.25
,14:21:46,6,1795,122.5,0.26,13.3,7,13.3,0.037,10,0.5,0.25
,14:21:47,6,1795,123.5,0.26,13.3,7,13.4,0.037,10,0.5,0.24
,14:21:48,6,1795,124.5,0.25,13.3,7,13.4,0.036,10,0.5,0.24
,14:21:49,6,1795,125.5,0.25,13.3,7,13.4,0.036,10,0.5,0.24
,14:21:50,6,1795,126.5,0.25,13.3,7,13.4,0.037,10,0.5,0.24
,14:21:51,6,1795,127.5,0.25,13.3,7,13.5,0.038,10,0.5,0.24
,14:21:52,6,1795,128.5,0.25,13.3,7,13.5,0.038,10,0.5,0.25
,14:21:53,6,1795,129.5,0.26,13.3,7,13.5,0.039,10,0.5,0.25
,14:21:54,6,1795,130.5,0.26,13.3,7,13.6,0.04,10,0.5,0.25
,14:21:55,6,1795,131.5,0.26,13.3,7,13.6,0.04,10,0.5,0.25
,14:21:56,6,1795,132.5,0.26,13.3,7,13.6,0.04,10,0.5,0.25
,14:21:57,6,1795,133.5,0.26,13.3,7,13.6,0.039,10,0.5,0.25
,14:21:58,6,1795,134.5,0.26,13.3,7,13.6,0.04,10,0.5,0.25
,14:21:59,6,1795,135.5,0.26,13.3,7,13.6,0.037,10,0.5,0.25
,14:22:00,6,1795,136.5,0.26,13.3,7,13.7,0.037,10,0.5,0.25
,14:22:01,6,1795,137.5,0.26,13.3,7,13.7,0.037,10,0.5,0.25
,14:22:02,6,1795,138.5,0.26,13.3,7,13.7,0.039,10,0.5,0.25
,14:22:03,6,1795,139.5,0.26,13.3,7,13.7,0.038,10,0.5,0.25
,14:22:04,6,1795,140.5,0.25,13.3,7,13.8,0.038,10,0.5,0.24
,14:22:05,6,1795,141.5,0.25,13.3,7,13.8,0.038,10,0.5,0.24
,14:22:06,6,1795,142.5,0.26,13.3,7,13.8,0.038,10,0.5,0.25
,14:22:07,6,1795,143.5,0.26,13.3,7,13.8,0.038,10,0.5,0.25
,14:22:08,6,1795,144.5,0.26,13.3,7,13.8,0.037,10,0.5,0.25
,14:22:09,6,1795,145.5,0.26,13.3,7,13.9,0.036,10,0.5,0.25
,14:22:10,6,1795,146.5,0.26,13.3,7,13.9,0.036,10,0.5,0.25
,14:22:11,6,1795,147.5,0.26,13.3,7,13.9,0.037,10,0.5,0.25
,14:22:12,6,1795,148.5,0.26,13.3,7,14,0.037,10,0.5,0.25
,14:22:13,6,1795,149.5,0.26,13.3,7,14,0.037,10,0.5,0.25
,14:22:14,6,1795,150.5,0.25,13.3,7,14,0.037,10,0.5,0.24
,14:22:15,6,1795,151.5,0.26,13.3,7,14,0.037,10,0.5,0.25
,14:22:16,6,1795,152.5,0.26,13.3,7,14,0.038,10,0.6,0.25
,14:22:17,6,1795,153.5,0.26,13.3,7,14,0.038,10,0.6,0.25
,14:22:18,6,1795,154.5,0.26,13.3,7,14,0.039,10,0.6,0.25
,14:22:19,6,1795,155.5,0.26,13.3,7,14,0.037,10,0.5,0.25
,14:22:20,6,1795,156.5,0.26,13.3,7,14,0.037,10,0.5,0.25
,14:22:21,6,1795,157.5,0.26,13.3,7,14.1,0.036,10,0.6,0.25
,14:22:22,6,1795,158.5,0.26,13.3,7,14.1,0.036,10,0.5,0.25
,14:22:23,6,1795,159.5,0.26,13.3,7,14.1,0.037,10,0.5,0.25
,14:22:24,6,1795,160.5,0.26,13.3,7,14.1,0.038,10,0.5,0.25
,14:22:25,6,1795,161.5,0.25,13.3,7,14.1,0.038,10,0.5,0.24
,14:22:26,6,1795,162.5,0.25,13.3,7,14.1,0.038,10,0.6,0.24
,14:22:27,6,1795,163.5,0.25,13.3,7,14.2,0.038,10,0.5,0.24
,14:22:28,6,1795,164.5,0.25,13.3,7,14.2,0.038,10,0.5,0.24
,14:22:29,6,1795,165.5,0.25,13.3,7,14.2,0.038,10,0.5,0.24
,14:22:30,6,1795,166.5,0.26,13.3,7,14.2,0.038,10,0.5,0.25
,14:22:31,6,1795,167.5,0.26,13.3,7,14.2,0.038,10,0.5,0.25
,14:22:32,6,1795,168.5,0.26,13.3,7,14.2,0.038,10,0.5,0.25
,14:22:33,6,1795,169.5,0.26,13.3,7,14.3,0.038,10,0.5,0.25
,14:22:34,6,1795,170.5,0.26,13.3,7,14.3,0.037,10,0.5,0.25
,14:22:35,6,1795,171.5,0.26,13.3,7,14.3,0.037,10,0.5,0.25
,14:22:36,6,1795,172.5,0.26,13.3,7,14.3,0.036,10,0.5,0.25
,14:22:37,6,1795,173.5,0.26,13.3,7,14.3,0.036,10,0.5,0.25
,14:22:38,6,1795,174.5,0.25,13.3,7,14.3,0.037,10,0.5,0.24
,14:22:39,6,1795,175.5,0.26,13.3,7,14.3,0.037,10,0.5,0.25
,14:22:40,6,1795,176.5,0.25,13.3,7,14.4,0.038,10,0.5,0.24
,14:22:41,6,1795,177.5,0.25,13.3,7,14.4,0.036,10,0.5,0.24
,14:22:42,6,1795,178.5,0.25,13.3,7,14.4,0.036,10,0.5,0.24
,14:22:43,6,1795,179.5,0.25,13.3,7,14.4,0.036,10,0.5,0.24
,14:22:44,6,1795,180.5,0.25,13.3,7,14.4,0.036,10,0.5,0.24
,14:22:45,6,1795,181.5,0.25,13.3,7,14.4,0.038,10,0.5,0.24
,14:22:46,6,1795,182.5,0.25,13.3,7,14.4,0.036,10,0.5,0.24
,14:22:47,6,1795,183.5,0.26,13.3,7,14.5,0.038,10,0.5,0.25
,14:22:48,6,1795,184.5,0.26,13.3,7,14.5,0.039,10,0.5,0.25
,14:22:49,6,1795,185.5,0.26,13.3,6,14.5,0.041,10,0.5,0.25
,14:22:50,6,1795,186.5,0.26,13.3,7,14.5,0.039,10,0.5,0.25
,14:22:51,6,1795,187.5,0.26,13.3,7,14.5,0.036,10,0.5,0.25
,14:22:52,6,1795,188.5,0.26,13.3,7,14.5,0.036,10,0.5,0.25
,14:22:53,6,1795,189.5,0.26,13.3,7,14.5,0.036,10,0.5,0.25
,14:22:54,6,1795,190.5,0.26,13.3,7,14.6,0.037,10,0.5,0.25
,14:22:55,6,1795,191.5,0.26,13.3,7,14.6,0.039,10,0.5,0.25
,14:22:56,6,1795,192.5,0.26,13.3,7,14.6,0.039,10,0.5,0.25
,14:22:57,6,1795,193.5,0.26,13.3,7,14.6,0.038,10,0.5,0.24
,14:22:58,6,1795,194.5,0.25,13.3,7,14.6,0.038,10,0.5,0.24
,14:22:59,6,1795,195.5,0.25,13.3,6,14.6,0.039,10,0.5,0.24
,14:23:00,6,1795,196.5,0.25,13.3,7,14.6,0.038,10,0.5,0.24
,14:23:01,6,1795,197.5,0.26,13.3,7,14.6,0.038,10,0.5,0.25
,14:23:02,6,1795,198.5,0.26,13.3,7,14.6,0.037,10,0.5,0.25
,14:23:03,6,1795,199.5,0.26,13.3,7,14.6,0.037,10,0.5,0.25
,14:23:04,6,1795,200.5,0.25,13.3,7,14.6,0.035,10,0.5,0.24
,14:23:05,6,1795,201.5,0.25,13.3,7,14.7,0.037,10,0.6,0.24
,14:23:06,6,1795,202.5,0.26,13.3,7,14.7,0.038,10,0.5,0.25
,14:23:07,6,1795,203.5,0.26,13.3,7,14.7,0.038,10,0.5,0.25
,14:23:08,6,1795,204.5,0.25,13.3,7,14.7,0.037,10,0.6,0.24
,14:23:09,6,1795,205.5,0.25,13.3,7,14.7,0.037,10,0.6,0.24
,14:23:10,6,1795,206.5,0.25,13.3,7,14.7,0.037,10,0.6,0.24
,14:23:11,6,1795,207.5,0.26,13.3,7,14.7,0.038,10,0.6,0.25
,14:23:12,6,1795,208.5,0.26,13.3,7,14.7,0.037,10,0.6,0.25
,14:23:13,6,1795,209.5,0.26,13.3,7,14.7,0.039,10,0.6,0.25
,14:23:14,6,1795,210.5,0.26,13.3,7,14.7,0.038,10,0.6,0.25
,14:23:15,6,1795,211.5,0.26,13.3,7,14.7,0.038,10,0.6,0.25
,14:23:16,6,1795,212.5,0.26,13.3,7,14.7,0.036,10,0.6,0.25
,14:23:17,6,1795,213.5,0.25,13.3,7,14.7,0.037,10,0.6,0.24
,14:23:18,6,1795,214.5,0.25,13.3,7,14.7,0.038,10,0.6,0.24
,14:23:19,6,1795,215.5,0.26,13.3,7,14.7,0.038,10,0.6,0.25
,14:23:20,6,1795,216.5,0.26,13.3,7,14.8,0.038,10,0.5,0.25
,14:23:21,6,1795,217.5,0.26,13.3,7,14.8,0.039,10,0.6,0.25
,14:23:22,6,1795,218.5,0.26,13.3,7,14.8,0.039,10,0.6,0.25
,14:23:23,6,1795,219.5,0.26,13.3,6,14.8,0.04,10,0.6,0.25
,14:23:24,6,1795,220.5,0.25,13.3,7,14.8,0.038,10,0.6,0.24
,14:23:25,6,1795,221.5,0.25,13.3,7,14.8,0.038,10,0.6,0.24
,14:23:26,6,1795,222.5,0.26,13.3,7,14.8,0.037,10,0.6,0.25
