Data file,,DELRINNC010_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,31/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:45:01 on 31/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:15:03,4,3600,1801.5,0.94,13.3,7,-7.7,0.136,10,0.5,0.88
,15:15:04,4,3600,1802.5,0.94,13.3,7,-7.7,0.136,10,0.5,0.88
,15:15:05,4,3600,1803.5,0.94,13.3,7,-7.6,0.131,10,0.5,0.88
,15:15:06,4,3600,1804.5,0.94,13.3,7,-7.6,0.131,10,0.5,0.88
,15:15:07,4,3600,1805.5,0.94,13.3,7,-7.6,0.136,10,0.5,0.88
,15:15:08,4,3600,1806.5,0.94,13.3,6,-7.6,0.146,10,0.5,0.88
,15:15:09,4,3600,1807.5,0.93,13.3,7,-7.6,0.14,10,0.5,0.87
,15:15:10,4,3600,1808.5,0.93,13.3,7,-7.6,0.14,10,0.5,0.88
,15:15:11,4,3600,1809.5,0.94,13.3,7,-7.5,0.14,10,0.5,0.88
,15:15:12,4,3600,1810.5,0.94,13.3,7,-7.5,0.14,10,0.5,0.88
,15:15:13,4,3600,1811.5,0.94,13.3,7,-7.5,0.14,10,0.5,0.88
,15:15:14,4,3600,1812.5,0.94,13.3,7,-7.5,0.141,10,0.5,0.88
,15:15:15,4,3600,1813.5,0.94,13.3,7,-7.5,0.136,10,0.5,0.88
,15:15:16,4,3600,1814.5,0.94,13.3,7,-7.5,0.14,10,0.5,0.88
,15:15:17,4,3600,1815.5,0.93,13.3,6,-7.5,0.146,10,0.5,0.87
,15:15:18,4,3600,1816.5,0.93,13.3,6,-7.5,0.146,10,0.5,0.87
,15:15:19,4,3600,1817.5,0.94,13.3,7,-7.5,0.141,10,0.5,0.88
,15:15:20,4,3600,1818.5,0.95,13.3,7,-7.5,0.142,10,0.5,0.89
,15:15:21,4,3600,1819.5,0.95,13.3,7,-7.5,0.143,10,0.5,0.89
,15:15:22,4,3600,1820.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:23,4,3600,1821.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:24,4,3600,1822.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:25,4,3600,1823.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:26,4,3600,1824.5,0.94,13.3,7,-7.4,0.142,10,0.5,0.88
,15:15:27,4,3600,1825.5,0.94,13.3,7,-7.4,0.142,10,0.5,0.88
,15:15:28,4,3600,1826.5,0.94,13.3,7,-7.4,0.142,10,0.5,0.88
,15:15:29,4,3600,1827.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:30,4,3600,1828.5,0.95,13.3,7,-7.4,0.137,10,0.5,0.89
,15:15:31,4,3600,1829.5,0.94,13.3,7,-7.4,0.136,10,0.5,0.88
,15:15:32,4,3600,1830.5,0.94,13.3,7,-7.3,0.142,10,0.5,0.88
,15:15:33,4,3600,1831.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:34,4,3600,1832.5,0.95,13.3,7,-7.3,0.142,10,0.5,0.89
,15:15:35,4,3600,1833.5,0.95,13.3,7,-7.3,0.142,10,0.5,0.89
,15:15:36,4,3600,1834.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:37,4,3600,1835.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:38,4,3600,1836.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:39,4,3600,1837.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:40,4,3600,1838.5,0.95,13.3,7,-7.3,0.137,10,0.5,0.89
,15:15:41,4,3600,1839.5,0.94,13.3,7,-7.3,0.131,10,0.5,0.88
,15:15:42,4,3600,1840.5,0.94,13.3,7,-7.3,0.131,10,0.5,0.88
,15:15:43,4,3600,1841.5,0.94,13.3,7,-7.3,0.131,10,0.5,0.88
,15:15:44,4,3600,1842.5,0.94,13.3,7,-7.3,0.136,10,0.5,0.88
,15:15:45,4,3600,1843.5,0.94,13.3,7,-7.2,0.136,10,0.5,0.88
,15:15:46,4,3600,1844.5,0.94,13.3,7,-7.2,0.136,10,0.5,0.88
,15:15:47,4,3600,1845.5,0.94,13.3,7,-7.2,0.141,10,0.5,0.88
,15:15:48,4,3600,1846.5,0.94,13.3,7,-7.2,0.141,10,0.5,0.88
,15:15:49,4,3600,1847.5,0.94,13.3,7,-7.2,0.141,10,0.5,0.88
,15:15:50,4,3600,1848.5,0.94,13.3,7,-7.2,0.142,10,0.5,0.88
,15:15:51,4,3600,1849.5,0.95,13.3,7,-7.2,0.142,10,0.5,0.89
,15:15:52,4,3600,1850.5,0.95,13.3,7,-7.2,0.143,10,0.5,0.89
,15:15:53,4,3600,1851.5,0.95,13.3,7,-7.2,0.143,10,0.5,0.89
,15:15:54,4,3600,1852.5,0.95,13.3,7,-7.2,0.143,10,0.5,0.89
,15:15:55,4,3600,1853.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:15:56,4,3600,1854.5,0.95,13.3,7,-7.2,0.138,10,0.5,0.89
,15:15:57,4,3600,1855.5,0.96,13.3,7,-7.2,0.143,10,0.5,0.9
,15:15:58,4,3600,1856.5,0.96,13.3,7,-7.2,0.138,10,0.5,0.9
,15:15:59,4,3600,1857.5,0.96,13.3,7,-7.2,0.138,10,0.5,0.89
,15:16:00,4,3600,1858.5,0.95,13.3,7,-7.2,0.138,10,0.5,0.89
,15:16:01,4,3600,1859.5,0.96,13.3,7,-7.2,0.143,10,0.5,0.9
,15:16:02,4,3600,1860.5,0.96,13.3,7,-7.2,0.139,10,0.5,0.9
,15:16:03,4,3600,1861.5,0.96,13.3,7,-7.2,0.139,10,0.5,0.9
,15:16:04,4,3600,1862.5,0.96,13.3,7,-7.2,0.139,10,0.5,0.9
,15:16:05,4,3600,1863.5,0.96,13.3,7,-7.2,0.138,10,0.5,0.9
,15:16:06,4,3600,1864.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:07,4,3600,1865.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:08,4,3600,1866.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:09,4,3600,1867.5,0.95,13.3,7,-7.2,0.142,10,0.5,0.89
,15:16:10,4,3600,1868.5,0.95,13.3,7,-7.2,0.143,10,0.5,0.89
,15:16:11,4,3600,1869.5,0.95,13.3,7,-7.2,0.138,10,0.5,0.89
,15:16:12,4,3600,1870.5,0.96,13.3,7,-7.2,0.133,10,0.5,0.9
,15:16:13,4,3600,1871.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:14,4,3600,1872.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:15,4,3600,1873.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:16,4,3600,1874.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:17,4,3600,1875.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:18,4,3600,1876.5,0.95,13.3,7,-7.2,0.137,10,0.5,0.89
,15:16:19,4,3600,1877.5,0.94,13.3,7,-7.2,0.142,10,0.5,0.88
,15:16:20,4,3600,1878.5,0.95,13.3,6,-7.2,0.148,10,0.5,0.89
,15:16:21,4,3600,1879.5,0.95,13.3,7,-7.2,0.142,10,0.5,0.89
,15:16:22,4,3600,1880.5,0.95,13.3,7,-7.1,0.138,10,0.5,0.89
,15:16:23,4,3600,1881.5,0.95,13.3,7,-7.1,0.138,10,0.5,0.89
