Data file,,DELRIN500AF_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:44:08 on 04/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:46:14,4,3600,125.5,1.16,13.3,7,-8.2,0.168,10,0.1,1.09
,15:46:15,4,3600,126.5,1.16,13.3,7,-8.2,0.174,10,0.1,1.09
,15:46:16,4,3600,127.5,1.16,13.3,7,-8.1,0.174,10,0.1,1.09
,15:46:17,4,3600,128.5,1.16,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:18,4,3600,129.5,1.17,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:19,4,3600,130.5,1.17,13.3,7,-8.1,0.175,10,0.1,1.09
,15:46:20,4,3600,131.5,1.17,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:21,4,3600,132.5,1.16,13.3,7,-8.1,0.174,10,0.1,1.09
,15:46:22,4,3600,133.5,1.16,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:23,4,3600,134.5,1.16,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:24,4,3600,135.5,1.16,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:25,4,3600,136.5,1.16,13.3,7,-8.1,0.168,10,0.1,1.09
,15:46:26,4,3600,137.5,1.16,13.3,7,-8.1,0.162,10,0.1,1.09
,15:46:27,4,3600,138.5,1.16,13.3,7,-8.1,0.156,10,0.1,1.09
,15:46:28,4,3600,139.5,1.16,13.3,7,-8.1,0.161,10,0.1,1.08
,15:46:29,4,3600,140.5,1.15,13.3,7,-8.1,0.172,10,0.1,1.08
,15:46:30,4,3600,141.5,1.14,13.3,7,-8.1,0.172,10,0.1,1.07
,15:46:31,4,3600,142.5,1.15,13.3,7,-8.1,0.172,10,0.1,1.07
,15:46:32,4,3600,143.5,1.16,13.3,7,-8.1,0.173,10,0.1,1.08
,15:46:33,4,3600,144.5,1.16,13.3,7,-8,0.174,10,0.1,1.09
,15:46:34,4,3600,145.5,1.17,13.3,7,-8,0.169,10,0.1,1.09
,15:46:35,4,3600,146.5,1.16,13.3,7,-8,0.174,10,0.1,1.09
,15:46:36,4,3600,147.5,1.16,13.3,7,-8,0.174,10,0.1,1.09
,15:46:37,4,3600,148.5,1.16,13.3,7,-8,0.174,10,0.1,1.09
,15:46:38,4,3600,149.5,1.16,13.3,7,-8,0.174,10,0.1,1.09
,15:46:39,4,3600,150.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:40,4,3600,151.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:41,4,3600,152.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:42,4,3600,153.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:43,4,3600,154.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:44,4,3600,155.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:45,4,3600,156.5,1.17,13.3,7,-8,0.175,10,0.1,1.09
,15:46:46,4,3600,157.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.09
,15:46:47,4,3600,158.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.09
,15:46:48,4,3600,159.5,1.17,13.3,7,-7.9,0.176,10,0.1,1.1
,15:46:49,4,3600,160.5,1.17,13.3,7,-7.9,0.176,10,0.1,1.1
,15:46:50,4,3600,161.5,1.17,13.3,7,-7.9,0.169,10,0.1,1.1
,15:46:51,4,3600,162.5,1.18,13.3,7,-7.9,0.17,10,0.1,1.1
,15:46:52,4,3600,163.5,1.18,13.3,7,-7.9,0.17,10,0.1,1.11
,15:46:53,4,3600,164.5,1.18,13.3,7,-7.9,0.17,10,0.1,1.1
,15:46:54,4,3600,165.5,1.18,13.3,7,-7.9,0.164,10,0.1,1.1
,15:46:55,4,3600,166.5,1.18,13.3,7,-7.9,0.164,10,0.1,1.1
,15:46:56,4,3600,167.5,1.17,13.3,7,-7.9,0.158,10,0.1,1.1
,15:46:57,4,3600,168.5,1.18,13.3,7,-7.9,0.158,10,0.1,1.1
,15:46:58,4,3600,169.5,1.17,13.3,7,-7.9,0.163,10,0.1,1.1
,15:46:59,4,3600,170.5,1.17,13.3,7,-7.9,0.168,10,0.1,1.09
