Data file,,PPS_ISO10_12DEG_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PPS on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <High temp> = 12,,,,,,,,,,,,
Test file variable V2 <Low temp> =-8,,,,,,,,,,,,
Test file variable V3 <15mm> = 6.3,,,,,,,,,,,,
Test file variable V4 <20mm> = 9.1,,,,,,,,,,,,
Test started at 09:51:59 on 04/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,pps_iso10_12deg_002-h001.tsv,,,,,,,,,,
,09:59:24,4,5,444.2,0.02,0,6,11.1,0.004,10,49.7,0.02
,09:59:25,4,5,445.2,0.24,0,7,11.1,0.035,10,49.9,0.27
,09:59:26,4,5,446.2,0.62,4,7,11,0.089,10,50,0.63
,09:59:27,4,5,447.2,0.95,11.7,7,11,0.133,10,50,0.95
,09:59:28,4,5,448.2,1.06,13.3,7,11,0.147,10,50,1.01
,09:59:29,5,3590,449.2,0.98,13.3,7,11,0.137,10,50,0.94
,09:59:30,5,3590,450.2,0.94,13.3,7,11,0.127,10,50,0.9
,09:59:31,5,3590,451.2,0.91,13.3,7,11,0.127,10,50,0.87
,09:59:32,5,3590,452.2,0.89,13.3,7,10.9,0.128,10,50,0.85
,09:59:33,5,3590,453.2,0.87,13.3,7,10.9,0.13,10,50,0.83
,09:59:34,5,3590,454.2,0.85,13.3,6,10.9,0.132,10,50,0.82
,09:59:35,5,3590,455.2,0.84,13.3,6,10.9,0.136,10,50,0.8
,09:59:36,5,3590,456.2,0.83,13.3,6,10.9,0.141,10,50,0.8
,09:59:37,5,3590,457.2,0.83,13.3,6,10.9,0.135,10,50,0.8
,09:59:38,5,3590,458.2,0.83,13.3,6,10.8,0.135,10,50,0.8
,09:59:39,5,3590,459.2,0.83,13.3,6,10.8,0.135,10,50,0.8
,09:59:40,5,3590,460.2,0.83,13.3,6,10.8,0.135,10,50,0.8
,09:59:41,5,3590,461.2,0.83,13.3,6,10.8,0.129,10,50,0.8
