Data file,,RA0.3_HEF_12C_001_45MINS_NOLIDONBOX.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,"Grit 320, No lid on box",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:26:05 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:52:01,4,2700,1555.8,1.97,13.3,9,13.2,0.22,10,0.2,1.84
,10:52:02,4,2700,1556.8,1.97,13.3,9,13.2,0.219,10,0.2,1.84
,10:52:03,4,2700,1557.8,1.96,13.3,9,13.2,0.225,10,0.2,1.84
,10:52:04,4,2700,1558.8,1.96,13.3,9,13.2,0.219,10,0.2,1.84
,10:52:05,4,2700,1559.8,1.97,13.3,9,13.2,0.22,10,0.2,1.84
,10:52:06,4,2700,1560.8,1.98,13.3,9,13.2,0.214,10,0.2,1.85
,10:52:07,4,2700,1561.8,1.97,13.3,9,13.2,0.214,10,0.2,1.85
,10:52:08,4,2700,1562.8,1.97,13.3,9,13.2,0.213,10,0.2,1.84
,10:52:09,4,2700,1563.8,1.97,13.3,9,13.2,0.213,10,0.2,1.84
,10:52:10,4,2700,1564.8,1.96,13.3,9,13.2,0.219,10,0.2,1.84
,10:52:11,4,2700,1565.8,1.96,13.3,9,13.2,0.219,10,0.2,1.83
,10:52:12,4,2700,1566.8,1.96,13.3,9,13.2,0.218,10,0.2,1.83
,10:52:13,4,2700,1567.8,1.96,13.3,9,13.2,0.213,10,0.2,1.84
,10:52:14,4,2700,1568.8,1.97,13.3,9,13.2,0.213,10,0.2,1.85
,10:52:15,4,2700,1569.8,1.98,13.3,9,13.2,0.208,10,0.2,1.85
,10:52:16,4,2700,1570.8,1.97,13.3,9,13.2,0.214,10,0.2,1.84
,10:52:17,4,2700,1571.8,1.96,13.3,9,13.2,0.213,10,0.2,1.84
,10:52:18,4,2700,1572.8,1.95,13.3,9,13.2,0.218,10,0.2,1.83
,10:52:19,4,2700,1573.8,1.95,13.3,9,13.2,0.218,10,0.2,1.83
,10:52:20,4,2700,1574.8,1.95,13.3,9,13.2,0.217,10,0.2,1.83
,10:52:21,4,2700,1575.8,1.94,13.3,9,13.2,0.217,10,0.2,1.82
,10:52:22,4,2700,1576.8,1.94,13.3,9,13.2,0.21,10,0.2,1.81
,10:52:23,4,2700,1577.8,1.94,13.3,9,13.2,0.204,10,0.2,1.81
,10:52:24,4,2700,1578.8,1.93,13.3,9,13.2,0.209,10,0.2,1.81
,10:52:25,4,2700,1579.8,1.93,13.3,9,13.2,0.215,10,0.2,1.81
,10:52:26,4,2700,1580.8,1.93,13.3,9,13.2,0.221,10,0.2,1.8
,10:52:27,4,2700,1581.8,1.93,13.3,9,13.2,0.215,10,0.2,1.8
,10:52:28,4,2700,1582.8,1.93,13.3,9,13.1,0.215,10,0.2,1.81
,10:52:29,4,2700,1583.8,1.94,13.3,9,13.2,0.21,10,0.2,1.82
,10:52:30,4,2700,1584.8,1.94,13.3,9,13.2,0.21,10,0.2,1.81
,10:52:31,4,2700,1585.8,1.94,13.3,9,13.1,0.216,10,0.2,1.81
,10:52:32,4,2700,1586.8,1.94,13.3,9,13.1,0.222,10,0.2,1.81
,10:52:33,4,2700,1587.8,1.94,13.3,9,13.1,0.216,10,0.2,1.82
,10:52:34,4,2700,1588.8,1.94,13.3,9,13.1,0.217,10,0.2,1.82
,10:52:35,4,2700,1589.8,1.94,13.3,9,13.1,0.223,10,0.2,1.82
,10:52:36,4,2700,1590.8,1.94,13.3,9,13.1,0.217,10,0.2,1.82
,10:52:37,4,2700,1591.8,1.95,13.3,9,13.1,0.211,10,0.2,1.82
,10:52:38,4,2700,1592.8,1.95,13.3,9,13.1,0.211,10,0.2,1.82
,10:52:39,4,2700,1593.8,1.95,13.3,9,13.1,0.217,10,0.2,1.82
,10:52:40,4,2700,1594.8,1.94,13.3,9,13.1,0.223,10,0.2,1.82
,10:52:41,4,2700,1595.8,1.95,13.3,9,13.1,0.223,10,0.2,1.82
,10:52:42,4,2700,1596.8,1.95,13.3,9,13.1,0.217,10,0.2,1.83
,10:52:43,4,2700,1597.8,1.95,13.3,9,13.1,0.218,10,0.2,1.83
,10:52:44,4,2700,1598.8,1.95,13.3,9,13.1,0.211,10,0.2,1.83
,10:52:45,4,2700,1599.8,1.95,13.3,9,13,0.211,10,0.2,1.83
,10:52:46,4,2700,1600.8,1.94,13.3,9,13,0.205,10,0.2,1.82
,10:52:47,4,2700,1601.8,1.95,13.3,9,13,0.211,10,0.2,1.83
,10:52:48,4,2700,1602.8,1.95,13.3,9,13,0.217,10,0.2,1.82
,10:52:49,4,2700,1603.8,1.95,13.3,9,13,0.223,10,0.2,1.82
,10:52:50,4,2700,1604.8,1.95,13.3,9,13,0.223,10,0.2,1.82
,10:52:51,4,2700,1605.8,1.95,13.3,9,13,0.224,10,0.2,1.83
,10:52:52,4,2700,1606.8,1.96,13.3,9,13,0.218,10,0.2,1.83
,10:52:53,4,2700,1607.8,1.95,13.3,9,13,0.211,10,0.2,1.83
,10:52:54,4,2700,1608.8,1.94,13.3,9,13,0.216,10,0.2,1.82
,10:52:55,4,2700,1609.8,1.93,13.3,9,13,0.222,10,0.2,1.81
,10:52:56,4,2700,1610.8,1.94,13.3,9,13,0.216,10,0.2,1.81
,10:52:57,4,2700,1611.8,1.94,13.3,9,13,0.217,10,0.2,1.82
,10:52:58,4,2700,1612.8,1.95,13.3,9,12.9,0.217,10,0.2,1.82
,10:52:59,4,2700,1613.8,1.95,13.3,9,12.9,0.217,10,0.2,1.83
,10:53:00,4,2700,1614.8,1.95,13.3,9,12.9,0.217,10,0.2,1.83
,10:53:01,4,2700,1615.8,1.96,13.3,9,12.9,0.212,10,0.2,1.83
,10:53:02,4,2700,1616.8,1.95,13.3,9,12.9,0.211,10,0.2,1.83
,10:53:03,4,2700,1617.8,1.95,13.3,9,12.9,0.217,10,0.2,1.82
,10:53:04,4,2700,1618.8,1.94,13.3,9,12.9,0.216,10,0.2,1.82
,10:53:05,4,2700,1619.8,1.94,13.3,9,12.9,0.217,10,0.2,1.82
,10:53:06,4,2700,1620.8,1.95,13.3,9,12.9,0.217,10,0.2,1.83
,10:53:07,4,2700,1621.8,1.95,13.3,9,12.9,0.211,10,0.2,1.83
,10:53:08,4,2700,1622.8,1.95,13.3,9,12.9,0.211,10,0.2,1.83
,10:53:09,4,2700,1623.8,1.95,13.3,9,12.9,0.211,10,0.2,1.83
,10:53:10,4,2700,1624.8,1.96,13.3,9,12.9,0.218,10,0.2,1.83
,10:53:11,4,2700,1625.8,1.96,13.3,9,12.8,0.218,10,0.2,1.83
,10:53:12,4,2700,1626.8,1.96,13.3,9,12.8,0.212,10,0.2,1.83
,10:53:13,4,2700,1627.8,1.96,13.3,9,12.8,0.212,10,0.2,1.83
,10:53:14,4,2700,1628.8,1.96,13.3,9,12.8,0.212,10,0.2,1.83
,10:53:15,4,2700,1629.8,1.95,13.3,9,12.8,0.211,10,0.2,1.82
,10:53:16,4,2700,1630.8,1.94,13.3,9,12.8,0.204,10,0.2,1.81
,10:53:17,4,2700,1631.8,1.92,13.3,9,12.8,0.214,10,0.2,1.8
,10:53:18,4,2700,1632.8,1.91,13.3,9,12.8,0.213,10,0.2,1.79
,10:53:19,4,2700,1633.8,1.91,13.3,9,12.8,0.213,10,0.2,1.79
,10:53:20,4,2700,1634.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:53:21,4,2700,1635.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:53:22,4,2700,1636.8,1.91,13.3,9,12.7,0.207,10,0.2,1.79
,10:53:23,4,2700,1637.8,1.92,13.3,9,12.7,0.208,10,0.2,1.79
,10:53:24,4,2700,1638.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:53:25,4,2700,1639.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:53:26,4,2700,1640.8,1.91,13.3,9,12.7,0.213,10,0.2,1.79
,10:53:27,4,2700,1641.8,1.91,13.3,9,12.7,0.212,10,0.2,1.78
,10:53:28,4,2700,1642.8,1.91,13.3,9,12.7,0.212,10,0.2,1.78
,10:53:29,4,2700,1643.8,1.91,13.3,9,12.7,0.207,10,0.2,1.79
,10:53:30,4,2700,1644.8,1.91,13.3,9,12.7,0.212,10,0.2,1.78
,10:53:31,4,2700,1645.8,1.9,13.3,9,12.6,0.212,10,0.2,1.78
,10:53:32,4,2700,1646.8,1.9,13.3,9,12.6,0.211,10,0.2,1.77
,10:53:33,4,2700,1647.8,1.89,13.3,9,12.6,0.211,10,0.2,1.77
,10:53:34,4,2700,1648.8,1.9,13.3,9,12.6,0.205,10,0.2,1.77
,10:53:35,4,2700,1649.8,1.9,13.3,9,12.6,0.205,10,0.2,1.77
,10:53:36,4,2700,1650.8,1.89,13.3,9,12.6,0.21,10,0.2,1.77
,10:53:37,4,2700,1651.8,1.89,13.3,9,12.6,0.21,10,0.2,1.77
,10:53:38,4,2700,1652.8,1.89,13.3,9,12.5,0.211,10,0.2,1.77
,10:53:39,4,2700,1653.8,1.89,13.3,9,12.5,0.211,10,0.2,1.77
,10:53:40,4,2700,1654.8,1.89,13.3,9,12.5,0.211,10,0.2,1.77
,10:53:41,4,2700,1655.8,1.89,13.3,9,12.5,0.21,10,0.2,1.77
,10:53:42,4,2700,1656.8,1.89,13.3,9,12.5,0.211,10,0.2,1.77
,10:53:43,4,2700,1657.8,1.9,13.3,9,12.5,0.218,10,0.2,1.78
,10:53:44,4,2700,1658.8,1.91,13.3,9,12.5,0.213,10,0.2,1.79
,10:53:45,4,2700,1659.8,1.92,13.3,9,12.4,0.213,10,0.2,1.79
,10:53:46,4,2700,1660.8,1.93,13.3,9,12.5,0.209,10,0.2,1.81
,10:53:47,4,2700,1661.8,1.94,13.3,9,12.4,0.216,10,0.2,1.82
,10:53:48,4,2700,1662.8,1.94,13.3,9,12.4,0.223,10,0.2,1.82
,10:53:49,4,2700,1663.8,1.94,13.3,9,12.4,0.222,10,0.2,1.81
,10:53:50,4,2700,1664.8,1.93,13.3,9,12.4,0.221,10,0.2,1.81
,10:53:51,4,2700,1665.8,1.92,13.3,9,12.4,0.214,10,0.2,1.8
,10:53:52,4,2700,1666.8,1.91,13.3,9,12.4,0.213,10,0.2,1.79
,10:53:53,4,2700,1667.8,1.91,13.3,9,12.4,0.212,10,0.2,1.78
,10:53:54,4,2700,1668.8,1.91,13.3,9,12.4,0.213,10,0.2,1.79
,10:53:55,4,2700,1669.8,1.92,13.3,9,12.3,0.213,10,0.2,1.8
,10:53:56,4,2700,1670.8,1.93,13.3,9,12.3,0.209,10,0.2,1.81
,10:53:57,4,2700,1671.8,1.93,13.3,9,12.3,0.209,10,0.2,1.81
,10:53:58,4,2700,1672.8,1.94,13.3,9,12.3,0.21,10,0.2,1.81
,10:53:59,4,2700,1673.8,1.93,13.3,9,12.3,0.215,10,0.2,1.81
,10:54:00,4,2700,1674.8,1.93,13.3,9,12.3,0.215,10,0.2,1.81
,10:54:01,4,2700,1675.8,1.93,13.3,9,12.3,0.215,10,0.2,1.81
,10:54:02,4,2700,1676.8,1.93,13.3,9,12.2,0.215,10,0.2,1.81
,10:54:03,4,2700,1677.8,1.93,13.3,9,12.2,0.209,10,0.2,1.81
,10:54:04,4,2700,1678.8,1.93,13.3,9,12.2,0.209,10,0.2,1.81
,10:54:05,4,2700,1679.8,1.93,13.3,9,12.2,0.215,10,0.2,1.81
,10:54:06,4,2700,1680.8,1.93,13.3,9,12.2,0.215,10,0.2,1.81
,10:54:07,4,2700,1681.8,1.93,13.3,9,12.2,0.209,10,0.2,1.8
,10:54:08,4,2700,1682.8,1.92,13.3,9,12.2,0.202,10,0.2,1.8
,10:54:09,4,2700,1683.8,1.92,13.3,9,12.2,0.208,10,0.2,1.8
,10:54:10,4,2700,1684.8,1.91,13.3,9,12.1,0.213,10,0.2,1.79
,10:54:11,4,2700,1685.8,1.9,13.3,9,12.1,0.212,10,0.2,1.78
,10:54:12,4,2700,1686.8,1.89,13.3,9,12.1,0.217,10,0.2,1.77
,10:54:13,4,2700,1687.8,1.9,13.3,9,12.1,0.211,10,0.2,1.78
,10:54:14,4,2700,1688.8,1.9,13.3,9,12.1,0.212,10,0.2,1.78
,10:54:15,4,2700,1689.8,1.91,13.3,9,12.1,0.213,10,0.2,1.79
,10:54:16,4,2700,1690.8,1.91,13.3,9,12.1,0.219,10,0.2,1.79
,10:54:17,4,2700,1691.8,1.91,13.3,9,12,0.219,10,0.2,1.79
,10:54:18,4,2700,1692.8,1.91,13.3,9,12,0.213,10,0.2,1.79
,10:54:19,4,2700,1693.8,1.91,13.3,9,12,0.212,10,0.2,1.78
,10:54:20,4,2700,1694.8,1.91,13.3,9,12,0.206,10,0.2,1.78
,10:54:21,4,2700,1695.8,1.91,13.3,9,12,0.206,10,0.2,1.79
,10:54:22,4,2700,1696.8,1.91,13.3,9,12,0.207,10,0.2,1.79
,10:54:23,4,2700,1697.8,1.92,13.3,9,12,0.208,10,0.2,1.79
,10:54:24,4,2700,1698.8,1.91,13.3,9,12,0.207,10,0.2,1.79
,10:54:25,4,2700,1699.8,1.91,13.3,9,12,0.206,10,0.2,1.78
,10:54:26,4,2700,1700.8,1.9,13.3,9,11.9,0.211,10,0.2,1.77
,10:54:27,4,2700,1701.8,1.9,13.3,9,11.9,0.211,10,0.2,1.77
,10:54:28,4,2700,1702.8,1.9,13.3,9,11.9,0.218,10,0.2,1.78
,10:54:29,4,2700,1703.8,1.9,13.3,9,11.9,0.212,10,0.2,1.78
,10:54:30,4,2700,1704.8,1.9,13.3,9,11.9,0.212,10,0.2,1.78
,10:54:31,4,2700,1705.8,1.9,13.3,9,11.9,0.212,10,0.2,1.78
,10:54:32,4,2700,1706.8,1.91,13.3,9,11.9,0.212,10,0.2,1.79
,10:54:33,4,2700,1707.8,1.91,13.3,9,11.8,0.213,10,0.2,1.79
,10:54:34,4,2700,1708.8,1.92,13.3,9,11.8,0.213,10,0.2,1.79
,10:54:35,4,2700,1709.8,1.92,13.3,9,11.8,0.213,10,0.2,1.8
,10:54:36,4,2700,1710.8,1.92,13.3,9,11.8,0.208,10,0.2,1.8
,10:54:37,4,2700,1711.8,1.92,13.3,9,11.8,0.208,10,0.2,1.8
,10:54:38,4,2700,1712.8,1.92,13.3,9,11.8,0.208,10,0.2,1.8
,10:54:39,4,2700,1713.8,1.91,13.3,9,11.7,0.213,10,0.2,1.79
,10:54:40,4,2700,1714.8,1.9,13.3,9,11.7,0.211,10,0.2,1.78
,10:54:41,4,2700,1715.8,1.9,13.3,9,11.7,0.211,10,0.2,1.77
,10:54:42,4,2700,1716.8,1.9,13.3,9,11.7,0.211,10,0.2,1.77
,10:54:43,4,2700,1717.8,1.9,13.3,9,11.7,0.211,10,0.2,1.77
,10:54:44,4,2700,1718.8,1.9,13.3,9,11.7,0.206,10,0.2,1.78
,10:54:45,4,2700,1719.8,1.9,13.3,9,11.7,0.206,10,0.2,1.78
,10:54:46,4,2700,1720.8,1.9,13.3,9,11.7,0.206,10,0.2,1.78
,10:54:47,4,2700,1721.8,1.89,13.3,9,11.7,0.205,10,0.2,1.77
,10:54:48,4,2700,1722.8,1.88,13.3,9,11.7,0.21,10,0.2,1.76
,10:54:49,4,2700,1723.8,1.87,13.3,9,11.6,0.215,10,0.2,1.76
,10:54:50,4,2700,1724.8,1.88,13.3,9,11.6,0.216,10,0.2,1.76
,10:54:51,4,2700,1725.8,1.88,13.3,9,11.6,0.216,10,0.2,1.76
,10:54:52,4,2700,1726.8,1.89,13.3,9,11.6,0.21,10,0.2,1.77
,10:54:53,4,2700,1727.8,1.89,13.3,9,11.6,0.205,10,0.2,1.77
,10:54:54,4,2700,1728.8,1.9,13.3,9,11.6,0.205,10,0.2,1.77
,10:54:55,4,2700,1729.8,1.9,13.3,9,11.5,0.206,10,0.2,1.78
,10:54:56,4,2700,1730.8,1.9,13.3,9,11.5,0.211,10,0.2,1.77
,10:54:57,4,2700,1731.8,1.89,13.3,9,11.5,0.21,10,0.2,1.76
,10:54:58,4,2700,1732.8,1.88,13.3,9,11.5,0.209,10,0.2,1.76
,10:54:59,4,2700,1733.8,1.88,13.3,9,11.5,0.21,10,0.2,1.76
,10:55:00,4,2700,1734.8,1.89,13.3,9,11.5,0.21,10,0.2,1.77
,10:55:01,4,2700,1735.8,1.9,13.3,9,11.4,0.212,10,0.2,1.78
,10:55:02,4,2700,1736.8,1.91,13.3,9,11.4,0.213,10,0.2,1.79
,10:55:03,4,2700,1737.8,1.91,13.3,9,11.4,0.213,10,0.2,1.79
,10:55:04,4,2700,1738.8,1.92,13.3,9,11.4,0.208,10,0.2,1.79
,10:55:05,4,2700,1739.8,1.92,13.3,9,11.4,0.208,10,0.2,1.79
,10:55:06,4,2700,1740.8,1.91,13.3,9,11.4,0.207,10,0.2,1.79
,10:55:07,4,2700,1741.8,1.91,13.3,9,11.4,0.201,10,0.2,1.78
,10:55:08,4,2700,1742.8,1.91,13.3,9,11.4,0.201,10,0.2,1.79
,10:55:09,4,2700,1743.8,1.92,13.3,9,11.3,0.214,10,0.2,1.8
,10:55:10,4,2700,1744.8,1.93,13.3,9,11.3,0.215,10,0.2,1.8
,10:55:11,4,2700,1745.8,1.93,13.3,9,11.3,0.215,10,0.2,1.8
,10:55:12,4,2700,1746.8,1.92,13.3,9,11.3,0.208,10,0.2,1.8
,10:55:13,4,2700,1747.8,1.92,13.3,9,11.3,0.208,10,0.2,1.79
,10:55:14,4,2700,1748.8,1.91,13.3,9,11.3,0.213,10,0.2,1.79
,10:55:15,4,2700,1749.8,1.9,13.3,9,11.2,0.212,10,0.2,1.78
,10:55:16,4,2700,1750.8,1.89,13.3,9,11.2,0.211,10,0.2,1.77
,10:55:17,4,2700,1751.8,1.89,13.3,9,11.2,0.211,10,0.2,1.77
,10:55:18,4,2700,1752.8,1.9,13.3,9,11.2,0.206,10,0.2,1.78
,10:55:19,4,2700,1753.8,1.91,13.3,9,11.2,0.201,10,0.2,1.79
,10:55:20,4,2700,1754.8,1.91,13.3,9,11.2,0.202,10,0.2,1.79
,10:55:21,4,2700,1755.8,1.91,13.3,9,11.2,0.201,10,0.2,1.78
,10:55:22,4,2700,1756.8,1.89,13.3,9,11.2,0.205,10,0.2,1.77
,10:55:23,4,2700,1757.8,1.87,13.3,9,11.1,0.208,10,0.2,1.75
,10:55:24,4,2700,1758.8,1.84,13.3,9,11.1,0.205,10,0.2,1.72
,10:55:25,4,2700,1759.8,1.82,13.3,9,11.1,0.209,10,0.2,1.71
,10:55:26,4,2700,1760.8,1.82,13.3,8,11.1,0.215,10,0.2,1.7
,10:55:27,4,2700,1761.8,1.83,13.3,9,11.1,0.209,10,0.2,1.71
,10:55:28,4,2700,1762.8,1.84,13.3,9,11.1,0.211,10,0.2,1.72
,10:55:29,4,2700,1763.8,1.84,13.3,9,11.1,0.211,10,0.2,1.73
,10:55:30,4,2700,1764.8,1.85,13.3,9,11.1,0.212,10,0.2,1.73
,10:55:31,4,2700,1765.8,1.86,13.3,9,11,0.208,10,0.2,1.75
,10:55:32,4,2700,1766.8,1.88,13.3,9,11,0.204,10,0.2,1.76
,10:55:33,4,2700,1767.8,1.89,13.3,9,11,0.205,10,0.2,1.77
,10:55:34,4,2700,1768.8,1.89,13.3,9,11,0.199,10,0.2,1.77
,10:55:35,4,2700,1769.8,1.89,13.3,9,11,0.199,10,0.2,1.77
,10:55:36,4,2700,1770.8,1.89,13.3,9,11,0.204,10,0.2,1.77
,10:55:37,4,2700,1771.8,1.88,13.3,9,11,0.21,10,0.2,1.76
,10:55:38,4,2700,1772.8,1.88,13.3,9,10.9,0.21,10,0.2,1.76
,10:55:39,4,2700,1773.8,1.88,13.3,9,10.9,0.21,10,0.2,1.76
,10:55:40,4,2700,1774.8,1.88,13.3,9,10.9,0.21,10,0.2,1.76
,10:55:41,4,2700,1775.8,1.88,13.3,9,10.9,0.209,10,0.2,1.76
,10:55:42,4,2700,1776.8,1.87,13.3,9,10.9,0.209,10,0.2,1.76
,10:55:43,4,2700,1777.8,1.87,13.3,9,10.9,0.208,10,0.2,1.75
,10:55:44,4,2700,1778.8,1.87,13.3,9,10.9,0.208,10,0.2,1.75
,10:55:45,4,2700,1779.8,1.86,13.3,9,10.9,0.208,10,0.2,1.75
,10:55:46,4,2700,1780.8,1.86,13.3,9,10.9,0.207,10,0.2,1.74
,10:55:47,4,2700,1781.8,1.86,13.3,9,10.8,0.207,10,0.2,1.74
,10:55:48,4,2700,1782.8,1.86,13.3,9,10.8,0.207,10,0.2,1.74
,10:55:49,4,2700,1783.8,1.86,13.3,9,10.8,0.196,10,0.2,1.74
,10:55:50,4,2700,1784.8,1.87,13.3,10,10.8,0.192,10,0.2,1.75
,10:55:51,4,2700,1785.8,1.87,13.3,9,10.8,0.197,10,0.2,1.75
,10:55:52,4,2700,1786.8,1.86,13.3,9,10.8,0.202,10,0.2,1.74
,10:55:53,4,2700,1787.8,1.84,13.3,9,10.8,0.205,10,0.2,1.72
,10:55:54,4,2700,1788.8,1.82,13.3,9,10.8,0.209,10,0.2,1.7
,10:55:55,4,2700,1789.8,1.81,13.3,9,10.8,0.208,10,0.2,1.7
,10:55:56,4,2700,1790.8,1.81,13.3,9,10.8,0.202,10,0.2,1.69
,10:55:57,4,2700,1791.8,1.81,13.3,9,10.7,0.208,10,0.2,1.7
,10:55:58,4,2700,1792.8,1.81,13.3,9,10.7,0.208,10,0.2,1.7
,10:55:59,4,2700,1793.8,1.82,13.3,8,10.7,0.215,10,0.2,1.7
,10:56:00,4,2700,1794.8,1.82,13.3,9,10.7,0.209,10,0.2,1.71
,10:56:01,4,2700,1795.8,1.83,13.3,9,10.7,0.21,10,0.2,1.72
,10:56:02,4,2700,1796.8,1.85,13.3,9,10.7,0.206,10,0.2,1.73
,10:56:03,4,2700,1797.8,1.87,13.3,9,10.7,0.208,10,0.2,1.75
,10:56:04,4,2700,1798.8,1.88,13.3,9,10.7,0.21,10,0.2,1.76
,10:56:05,4,2700,1799.8,1.89,13.3,9,10.7,0.217,10,0.2,1.77
,10:56:06,4,2700,1800.8,1.89,13.3,9,10.7,0.21,10,0.2,1.77
,10:56:07,4,2700,1801.8,1.88,13.3,9,10.7,0.204,10,0.2,1.76
,10:56:08,4,2700,1802.8,1.88,13.3,9,10.7,0.198,10,0.2,1.76
,10:56:09,4,2700,1803.8,1.88,13.3,9,10.7,0.198,10,0.2,1.76
,10:56:10,4,2700,1804.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:11,4,2700,1805.8,1.88,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:12,4,2700,1806.8,1.88,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:13,4,2700,1807.8,1.87,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:14,4,2700,1808.8,1.88,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:15,4,2700,1809.8,1.87,13.3,9,10.6,0.215,10,0.2,1.75
,10:56:16,4,2700,1810.8,1.86,13.3,9,10.6,0.208,10,0.2,1.74
,10:56:17,4,2700,1811.8,1.86,13.3,9,10.6,0.207,10,0.2,1.74
,10:56:18,4,2700,1812.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:19,4,2700,1813.8,1.88,13.3,9,10.6,0.216,10,0.2,1.76
,10:56:20,4,2700,1814.8,1.89,13.3,9,10.6,0.21,10,0.2,1.77
,10:56:21,4,2700,1815.8,1.89,13.3,9,10.6,0.205,10,0.2,1.77
,10:56:22,4,2700,1816.8,1.89,13.3,9,10.6,0.205,10,0.2,1.77
,10:56:23,4,2700,1817.8,1.89,13.3,9,10.6,0.217,10,0.2,1.77
,10:56:24,4,2700,1818.8,1.89,13.3,9,10.6,0.217,10,0.2,1.77
,10:56:25,4,2700,1819.8,1.88,13.3,9,10.6,0.21,10,0.2,1.76
,10:56:26,4,2700,1820.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:27,4,2700,1821.8,1.88,13.3,9,10.6,0.198,10,0.2,1.76
,10:56:28,4,2700,1822.8,1.89,13.3,9,10.6,0.199,10,0.2,1.77
,10:56:29,4,2700,1823.8,1.89,13.3,9,10.6,0.205,10,0.2,1.77
,10:56:30,4,2700,1824.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:31,4,2700,1825.8,1.87,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:32,4,2700,1826.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:33,4,2700,1827.8,1.87,13.3,9,10.6,0.203,10,0.2,1.75
,10:56:34,4,2700,1828.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:35,4,2700,1829.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:36,4,2700,1830.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:37,4,2700,1831.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:38,4,2700,1832.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:39,4,2700,1833.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:40,4,2700,1834.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:41,4,2700,1835.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:42,4,2700,1836.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:43,4,2700,1837.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:44,4,2700,1838.8,1.87,13.3,9,10.6,0.208,10,0.2,1.75
,10:56:45,4,2700,1839.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:46,4,2700,1840.8,1.87,13.3,9,10.6,0.203,10,0.2,1.76
,10:56:47,4,2700,1841.8,1.88,13.3,9,10.6,0.203,10,0.2,1.76
,10:56:48,4,2700,1842.8,1.87,13.3,9,10.6,0.203,10,0.2,1.76
,10:56:49,4,2700,1843.8,1.87,13.3,9,10.6,0.198,10,0.2,1.76
,10:56:50,4,2700,1844.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:51,4,2700,1845.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:52,4,2700,1846.8,1.88,13.3,9,10.6,0.204,10,0.2,1.76
,10:56:53,4,2700,1847.8,1.87,13.3,9,10.6,0.209,10,0.2,1.76
,10:56:54,4,2700,1848.8,1.87,13.3,9,10.6,0.209,10,0.2,1.75
,10:56:55,4,2700,1849.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:56,4,2700,1850.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:57,4,2700,1851.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:58,4,2700,1852.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:56:59,4,2700,1853.8,1.87,13.3,9,10.6,0.214,10,0.2,1.75
,10:57:00,4,2700,1854.8,1.87,13.3,9,10.6,0.209,10,0.2,1.76
,10:57:01,4,2700,1855.8,1.88,13.3,9,10.6,0.21,10,0.2,1.76
