Data file,,RA0.3_HEF65_12C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:47:18 on 06/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:51:08,4,2700,229.8,0.02,0,9,12.3,0.002,10,49.8,0.02
,12:51:09,4,2700,230.8,0.21,0.5,9,12.2,0.024,10,50,0.23
,12:51:10,4,2700,231.8,0.64,4.6,9,12.2,0.072,10,50,0.65
,12:51:11,4,2700,232.8,1.16,10.8,9,12.2,0.129,10,50,1.13
,12:51:12,4,2700,233.8,1.5,13.3,9,12.2,0.162,10,50.1,1.42
,12:51:13,4,2700,234.8,1.6,13.3,9,12.2,0.179,10,50.1,1.51
,12:51:14,4,2700,235.8,1.64,13.3,9,12.2,0.183,10,50.1,1.54
,12:51:15,4,2700,236.8,1.67,13.3,9,12.1,0.186,10,50.1,1.56
,12:51:16,4,2700,237.8,1.69,13.3,9,12.1,0.188,10,50.1,1.58
,12:51:17,4,2700,238.8,1.7,13.3,9,12,0.19,10,50.1,1.6
,12:51:18,4,2700,239.8,1.72,13.3,9,12,0.186,10,50.1,1.61
,12:51:19,4,2700,240.8,1.73,13.3,9,12,0.188,10,50.1,1.62
,12:51:20,4,2700,241.8,1.74,13.3,9,12,0.189,10,50.1,1.63
,12:51:21,4,2700,242.8,1.75,13.3,9,12,0.185,10,50.1,1.64
,12:51:22,4,2700,243.8,1.75,13.3,10,12.1,0.18,10,50.1,1.64
,12:51:23,4,2700,244.8,1.74,13.3,9,12.1,0.183,10,50.1,1.63
,12:51:24,4,2700,245.8,1.73,13.3,9,12.1,0.187,10,50.1,1.62
,12:51:25,4,2700,246.8,1.72,13.3,9,12.2,0.192,10,50.1,1.61
,12:51:26,4,2700,247.8,1.72,13.3,9,12.2,0.192,10,50.1,1.61
,12:51:27,4,2700,248.8,1.72,13.3,9,12.2,0.197,10,50.1,1.61
,12:51:28,4,2700,249.8,1.72,13.3,9,12.3,0.198,10,50.1,1.61
,12:51:29,4,2700,250.8,1.73,13.3,9,12.3,0.198,10,50.1,1.62
,12:51:30,4,2700,251.8,1.74,13.3,9,12.3,0.194,10,50.1,1.63
,12:51:31,4,2700,252.8,1.75,13.3,9,12.3,0.195,10,50.1,1.63
,12:51:32,4,2700,253.8,1.74,13.3,9,12.3,0.193,10,50.1,1.62
