Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:44:13,4,3600,282.6,1.29,13.3,7,10.8,0.193,10,0,1.21
,12:44:14,4,3600,283.6,1.29,13.3,7,10.8,0.186,10,0,1.21
,12:44:15,4,3600,284.6,1.29,13.3,7,10.8,0.193,10,0.1,1.2
,12:44:16,4,3600,285.6,1.29,13.3,7,10.8,0.193,10,0,1.21
,12:44:17,4,3600,286.6,1.29,13.3,7,10.8,0.194,10,0,1.21
,12:44:18,4,3600,287.6,1.3,13.3,7,10.8,0.195,10,0,1.21
,12:44:19,4,3600,288.6,1.3,13.3,7,10.8,0.188,10,0,1.22
,12:44:20,4,3600,289.6,1.3,13.3,7,10.8,0.195,10,0,1.22
,12:44:21,4,3600,290.6,1.3,13.3,7,10.8,0.188,10,0,1.22
,12:44:22,4,3600,291.6,1.3,13.3,7,10.8,0.188,10,0,1.22
,12:44:23,4,3600,292.6,1.3,13.3,7,10.7,0.181,10,0,1.22
,12:44:24,4,3600,293.6,1.3,13.3,7,10.7,0.175,10,0,1.22
,12:44:25,4,3600,294.6,1.3,13.3,7,10.7,0.174,10,0,1.21
,12:44:26,4,3600,295.6,1.29,13.3,7,10.7,0.18,10,0,1.2
