Data file,,DELRIN_HEF_T34_PO10.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,03/04/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:13:27 on 03/04/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t34_po10-h001.tsv,,,,,,,,,,
,15:14:25,5,5,57.8,0.16,0.1,7,22,0.022,10,49.8,0.2
,15:14:26,5,5,58.8,0.66,2.1,7,21,0.092,10,49.9,0.69
,15:14:27,5,5,59.8,1.07,8.9,7,22,0.143,10,49.9,1.06
,15:14:28,5,5,60.8,1.27,13.2,7,22,0.171,10,49.9,1.21
,15:14:29,5,5,61.8,1.08,13.3,7,22,0.145,10,49.9,1.03
,15:14:30,6,10790,62.8,0.98,13.3,7,22,0.131,10,49.9,0.93
,15:14:31,6,10790,63.8,0.93,13.3,7,22,0.125,10,49.9,0.9
,15:14:32,6,10790,64.8,0.9,13.3,7,22,0.121,10,49.9,0.87
,15:14:33,6,10790,65.8,0.87,13.3,7,22,0.121,10,49.9,0.84
,15:14:34,6,10790,66.8,0.83,13.3,7,22,0.12,10,49.9,0.8
,15:14:35,6,10790,67.8,0.8,13.3,7,22,0.115,10,49.9,0.77
,15:14:36,6,10790,68.8,0.79,13.3,7,21,0.109,10,49.9,0.76
,15:14:37,6,10790,69.8,0.78,13.3,7,21,0.108,10,49.9,0.75
