Data file,,RA0.3_HEF_-8C_001_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:21:45 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:25:51,4,2700,246,0.02,0,9,-8,0.003,10,0.2,0.03
,16:25:52,4,2700,247,0.29,1,9,-8,0.032,10,0.3,0.31
,16:25:53,4,2700,248,0.8,6.1,9,-8.1,0.09,10,0.3,0.81
,16:25:54,4,2700,249,1.4,11.7,9,-8.1,0.156,10,0.3,1.36
,16:25:55,4,2700,250,1.75,13.3,9,-8.1,0.195,10,0.3,1.65
,16:25:56,4,2700,251,1.84,13.3,9,-8.1,0.199,10,0.3,1.72
,16:25:57,4,2700,252,1.83,13.3,9,-8.1,0.199,10,0.3,1.72
,16:25:58,4,2700,253,1.81,13.3,9,-8.1,0.191,10,0.3,1.69
,16:25:59,4,2700,254,1.79,13.3,10,-8.2,0.184,10,0.3,1.68
,16:26:00,4,2700,255,1.78,13.3,10,-8.3,0.182,10,0.3,1.66
,16:26:01,4,2700,256,1.76,13.3,9,-8.3,0.191,10,0.3,1.65
,16:26:02,4,2700,257,1.75,13.3,9,-8.4,0.184,10,0.3,1.63
,16:26:03,4,2700,258,1.73,13.3,9,-8.4,0.188,10,0.3,1.62
,16:26:04,4,2700,259,1.72,13.3,9,-8.4,0.186,10,0.3,1.61
,16:26:05,4,2700,260,1.7,13.3,9,-8.4,0.184,10,0.3,1.59
,16:26:06,4,2700,261,1.68,13.3,9,-8.4,0.182,10,0.3,1.57
,16:26:07,4,2700,262,1.66,13.3,9,-8.3,0.175,10,0.3,1.55
,16:26:08,4,2700,263,1.65,13.3,9,-8.3,0.173,10,0.3,1.54
,16:26:09,4,2700,264,1.63,13.3,9,-8.3,0.177,10,0.3,1.53
,16:26:10,4,2700,265,1.63,13.3,9,-8.2,0.176,10,0.3,1.52
,16:26:11,4,2700,266,1.62,13.3,9,-8.1,0.181,10,0.3,1.52
,16:26:12,4,2700,267,1.61,13.3,9,-8,0.18,10,0.3,1.51
,16:26:13,4,2700,268,1.6,13.3,9,-8,0.178,10,0.3,1.5
,16:26:14,4,2700,269,1.59,13.3,9,-8,0.172,10,0.3,1.49
,16:26:15,4,2700,270,1.58,13.3,9,-8,0.171,10,0.3,1.48
,16:26:16,4,2700,271,1.57,13.3,9,-8,0.166,10,0.3,1.47
