Data file,,HONEDPEEK_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 09:30:27 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:06:54,4,3600,2186.8,0.03,0,7,-7.8,0.004,10,0.2,0.03
,10:06:55,4,3600,2187.8,0.27,0.5,7,-7.8,0.038,10,0.3,0.29
,10:06:56,4,3600,2188.8,0.75,4.3,7,-7.8,0.108,10,0.3,0.75
,10:06:57,4,3600,2189.8,1.24,10.6,6,-7.8,0.193,10,0.2,1.2
,10:06:58,4,3600,2190.8,1.48,13.3,7,-7.8,0.214,10,0.2,1.39
,10:06:59,4,3600,2191.8,1.48,13.3,7,-7.8,0.214,10,0.2,1.38
,10:07:00,4,3600,2192.8,1.47,13.3,7,-7.8,0.212,10,0.2,1.37
,10:07:01,4,3600,2193.8,1.44,13.3,7,-7.8,0.209,10,0.1,1.35
,10:07:02,4,3600,2194.8,1.42,13.3,7,-7.9,0.205,10,0.1,1.33
,10:07:03,4,3600,2195.8,1.4,13.3,7,-7.8,0.21,10,0.1,1.31
,10:07:04,4,3600,2196.8,1.38,13.3,7,-7.9,0.2,10,0.1,1.29
,10:07:05,4,3600,2197.8,1.37,13.3,7,-7.9,0.191,10,0.1,1.29
,10:07:06,4,3600,2198.8,1.37,13.3,7,-7.9,0.191,10,0.1,1.28
,10:07:07,4,3600,2199.8,1.37,13.3,7,-7.9,0.19,10,0.1,1.28
,10:07:08,4,3600,2200.8,1.37,13.3,7,-7.9,0.191,10,0.1,1.28
,10:07:09,4,3600,2201.8,1.38,13.3,7,-7.9,0.199,10,0.1,1.29
,10:07:10,4,3600,2202.8,1.38,13.3,7,-7.9,0.207,10,0.1,1.29
,10:07:11,4,3600,2203.8,1.38,13.3,7,-7.9,0.2,10,0.1,1.29
,10:07:12,4,3600,2204.8,1.38,13.3,7,-7.9,0.207,10,0.1,1.29
,10:07:13,4,3600,2205.8,1.38,13.3,7,-7.9,0.207,10,0.1,1.29
,10:07:14,4,3600,2206.8,1.38,13.3,7,-7.9,0.199,10,0.1,1.29
,10:07:15,4,3600,2207.8,1.38,13.3,7,-7.9,0.199,10,0.1,1.29
,10:07:16,4,3600,2208.8,1.37,13.3,7,-7.9,0.198,10,0.1,1.28
