Data file,,RA0.3_PDMS_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,07/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silocone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:19:31 on 07/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:31:46,4,2700,734.2,0.02,0,9,-7.5,0.003,10,0,0.02
,12:31:47,4,2700,735.2,0.21,0.3,9,-7.5,0.023,10,0,0.22
,12:31:48,4,2700,736.2,0.58,4.7,9,-7.5,0.063,10,0,0.58
,12:31:49,4,2700,737.2,1,10.8,10,-7.5,0.103,10,0,0.98
,12:31:50,4,2700,738.2,1.24,13.2,10,-7.5,0.124,10,0,1.17
,12:31:51,4,2700,739.2,1.29,13.3,10,-7.5,0.125,10,0,1.2
,12:31:52,4,2700,740.2,1.27,13.3,10,-7.5,0.127,10,0,1.19
,12:31:53,4,2700,741.2,1.25,13.3,10,-7.5,0.125,10,0,1.17
,12:31:54,4,2700,742.2,1.25,13.3,10,-7.5,0.125,10,0,1.17
,12:31:55,4,2700,743.2,1.24,13.3,10,-7.5,0.127,10,0,1.16
,12:31:56,4,2700,744.2,1.23,13.3,10,-7.6,0.126,10,0,1.15
,12:31:57,4,2700,745.2,1.22,13.3,10,-7.6,0.126,10,0,1.15
,12:31:58,4,2700,746.2,1.22,13.3,9,-7.6,0.129,10,0,1.14
,12:31:59,4,2700,747.2,1.21,13.3,9,-7.6,0.128,10,0,1.14
,12:32:00,4,2700,748.2,1.21,13.3,9,-7.6,0.127,10,0,1.13
,12:32:01,4,2700,749.2,1.2,13.3,9,-7.6,0.13,10,0,1.13
,12:32:02,4,2700,750.2,1.2,13.3,9,-7.6,0.13,10,0,1.13
,12:32:03,4,2700,751.2,1.2,13.3,9,-7.6,0.134,10,0,1.12
,12:32:04,4,2700,752.2,1.2,13.3,9,-7.6,0.134,10,0,1.12
,12:32:05,4,2700,753.2,1.2,13.3,9,-7.6,0.134,10,0,1.12
,12:32:06,4,2700,754.2,1.2,13.3,9,-7.6,0.13,10,0,1.12
,12:32:07,4,2700,755.2,1.19,13.3,9,-7.6,0.129,10,0,1.12
,12:32:08,4,2700,756.2,1.19,13.3,9,-7.6,0.132,10,0,1.11
,12:32:09,4,2700,757.2,1.19,13.3,9,-7.6,0.132,10,0,1.11
,12:32:10,4,2700,758.2,1.19,13.3,9,-7.6,0.136,10,0,1.11
