Data file,,RA0.3_PAO_12C_001_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/03/2016,,,,,,,,,,
Lubricant,,PAO68,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:45:13 on 16/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:08:08,4,3600,1374.9,0.98,13.3,9,12.2,0.106,10,0.3,0.88
,11:08:09,4,3600,1375.9,0.97,13.3,9,12.2,0.109,10,0.3,0.88
,11:08:10,4,3600,1376.9,0.98,13.3,9,12.2,0.109,10,0.3,0.88
,11:08:11,4,3600,1377.9,0.99,13.3,9,12.3,0.11,10,0.3,0.89
,11:08:12,4,3600,1378.9,1,13.3,9,12.3,0.111,10,0.3,0.9
,11:08:13,4,3600,1379.9,1,13.3,9,12.3,0.115,10,0.3,0.9
,11:08:14,4,3600,1380.9,1,13.3,9,12.3,0.115,10,0.3,0.9
,11:08:15,4,3600,1381.9,1,13.3,9,12.3,0.115,10,0.3,0.91
,11:08:16,4,3600,1382.9,1.01,13.3,9,12.4,0.113,10,0.3,0.91
,11:08:17,4,3600,1383.9,1.01,13.3,9,12.3,0.116,10,0.3,0.91
,11:08:18,4,3600,1384.9,1.01,13.3,9,12.4,0.112,10,0.3,0.91
,11:08:19,4,3600,1385.9,1,13.3,9,12.4,0.109,10,0.3,0.91
,11:08:20,4,3600,1386.9,1,13.3,9,12.4,0.105,10,0.3,0.9
,11:08:21,4,3600,1387.9,0.99,13.3,10,12.4,0.102,10,0.3,0.9
,11:08:22,4,3600,1388.9,1,13.3,10,12.4,0.102,10,0.3,0.9
,11:08:23,4,3600,1389.9,1,13.3,9,12.4,0.105,10,0.3,0.9
,11:08:24,4,3600,1390.9,0.99,13.3,9,12.5,0.108,10,0.3,0.9
,11:08:25,4,3600,1391.9,0.99,13.3,9,12.5,0.11,10,0.3,0.89
,11:08:26,4,3600,1392.9,0.98,13.3,9,12.5,0.109,10,0.3,0.88
,11:08:27,4,3600,1393.9,0.98,13.3,9,12.5,0.112,10,0.3,0.88
,11:08:28,4,3600,1394.9,0.99,13.3,8,12.5,0.116,10,0.3,0.89
,11:08:29,4,3600,1395.9,0.99,13.3,9,12.6,0.114,10,0.3,0.89
,11:08:30,4,3600,1396.9,0.99,13.3,9,12.6,0.111,10,0.3,0.9
,11:08:31,4,3600,1397.9,0.99,13.3,9,12.6,0.11,10,0.3,0.89
,11:08:32,4,3600,1398.9,0.99,13.3,9,12.6,0.11,10,0.3,0.89
,11:08:33,4,3600,1399.9,0.99,13.3,9,12.6,0.11,10,0.3,0.89
,11:08:34,4,3600,1400.9,1,13.3,9,12.6,0.108,10,0.3,0.9
,11:08:35,4,3600,1401.9,1,13.3,9,12.7,0.106,10,0.3,0.9
,11:08:36,4,3600,1402.9,0.99,13.3,10,12.6,0.102,10,0.3,0.9
,11:08:37,4,3600,1403.9,0.99,13.3,10,12.6,0.101,10,0.3,0.89
,11:08:38,4,3600,1404.9,0.99,13.3,9,12.7,0.107,10,0.3,0.89
,11:08:39,4,3600,1405.9,0.98,13.3,9,12.7,0.109,10,0.3,0.89
,11:08:40,4,3600,1406.9,0.98,13.3,9,12.7,0.112,10,0.3,0.88
,11:08:41,4,3600,1407.9,0.97,13.3,9,12.7,0.112,10,0.3,0.88
,11:08:42,4,3600,1408.9,0.97,13.3,9,12.7,0.112,10,0.3,0.88
,11:08:43,4,3600,1409.9,0.97,13.3,9,12.7,0.111,10,0.3,0.88
,11:08:44,4,3600,1410.9,0.97,13.3,9,12.8,0.108,10,0.3,0.88
,11:08:45,4,3600,1411.9,0.98,13.3,9,12.8,0.109,10,0.3,0.88
,11:08:46,4,3600,1412.9,0.99,13.3,9,12.8,0.11,10,0.3,0.89
,11:08:47,4,3600,1413.9,0.99,13.3,9,12.8,0.113,10,0.3,0.89
,11:08:48,4,3600,1414.9,0.99,13.3,9,12.8,0.113,10,0.3,0.89
,11:08:49,4,3600,1415.9,0.99,13.3,9,12.8,0.11,10,0.3,0.89
,11:08:50,4,3600,1416.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:08:51,4,3600,1417.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:08:52,4,3600,1418.9,0.99,13.3,9,12.9,0.107,10,0.3,0.89
,11:08:53,4,3600,1419.9,0.99,13.3,9,12.9,0.105,10,0.3,0.9
,11:08:54,4,3600,1420.9,0.99,13.3,10,12.9,0.102,10,0.3,0.89
,11:08:55,4,3600,1421.9,1,13.3,10,12.9,0.102,10,0.3,0.9
,11:08:56,4,3600,1422.9,1,13.3,9,12.9,0.106,10,0.3,0.91
,11:08:57,4,3600,1423.9,1.01,13.3,9,12.9,0.109,10,0.3,0.91
,11:08:58,4,3600,1424.9,1,13.3,9,12.9,0.108,10,0.3,0.9
,11:08:59,4,3600,1425.9,0.99,13.3,9,13,0.111,10,0.3,0.89
,11:09:00,4,3600,1426.9,0.99,13.3,9,13,0.113,10,0.3,0.89
,11:09:01,4,3600,1427.9,0.98,13.3,9,13,0.113,10,0.3,0.89
,11:09:02,4,3600,1428.9,0.99,13.3,8,13,0.116,10,0.3,0.89
,11:09:03,4,3600,1429.9,0.99,13.3,9,13,0.11,10,0.3,0.89
,11:09:04,4,3600,1430.9,1,13.3,9,13,0.111,10,0.3,0.9
,11:09:05,4,3600,1431.9,1,13.3,9,13,0.112,10,0.3,0.91
,11:09:06,4,3600,1432.9,1,13.3,9,13.1,0.115,10,0.3,0.9
,11:09:07,4,3600,1433.9,1,13.3,9,13.1,0.111,10,0.3,0.9
,11:09:08,4,3600,1434.9,1,13.3,9,13.1,0.108,10,0.3,0.9
,11:09:09,4,3600,1435.9,1,13.3,9,13.1,0.111,10,0.3,0.9
,11:09:10,4,3600,1436.9,1,13.3,9,13.1,0.114,10,0.3,0.9
,11:09:11,4,3600,1437.9,1,13.3,9,13.1,0.114,10,0.3,0.9
,11:09:12,4,3600,1438.9,1,13.3,9,13.1,0.111,10,0.3,0.9
,11:09:13,4,3600,1439.9,1,13.3,9,13.1,0.111,10,0.3,0.9
,11:09:14,4,3600,1440.9,1,13.3,9,13.1,0.111,10,0.3,0.9
,11:09:15,4,3600,1441.9,1,13.3,9,13.1,0.115,10,0.3,0.9
,11:09:16,4,3600,1442.9,1,13.3,9,13.1,0.112,10,0.3,0.91
,11:09:17,4,3600,1443.9,1.01,13.3,9,13.2,0.109,10,0.3,0.91
,11:09:18,4,3600,1444.9,1.01,13.3,9,13.2,0.109,10,0.3,0.91
,11:09:19,4,3600,1445.9,1.01,13.3,9,13.2,0.109,10,0.3,0.91
,11:09:20,4,3600,1446.9,1.01,13.3,9,13.2,0.112,10,0.3,0.91
,11:09:21,4,3600,1447.9,1.01,13.3,9,13.2,0.112,10,0.3,0.91
,11:09:22,4,3600,1448.9,1.01,13.3,9,13.2,0.109,10,0.3,0.91
,11:09:23,4,3600,1449.9,1.01,13.3,9,13.2,0.112,10,0.3,0.91
,11:09:24,4,3600,1450.9,1,13.3,9,13.2,0.112,10,0.3,0.91
,11:09:25,4,3600,1451.9,1,13.3,9,13.2,0.114,10,0.3,0.9
,11:09:26,4,3600,1452.9,1,13.3,9,13.2,0.111,10,0.3,0.9
,11:09:27,4,3600,1453.9,1,13.3,9,13.2,0.106,10,0.3,0.91
,11:09:28,4,3600,1454.9,1,13.3,9,13.2,0.109,10,0.3,0.91
,11:09:29,4,3600,1455.9,1,13.3,9,13.3,0.115,10,0.3,0.9
,11:09:30,4,3600,1456.9,1,13.3,9,13.3,0.114,10,0.3,0.9
,11:09:31,4,3600,1457.9,1,13.3,9,13.3,0.111,10,0.3,0.9
,11:09:32,4,3600,1458.9,1,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:33,4,3600,1459.9,1,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:34,4,3600,1460.9,1,13.3,9,13.3,0.111,10,0.3,0.9
,11:09:35,4,3600,1461.9,1,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:36,4,3600,1462.9,1,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:37,4,3600,1463.9,0.99,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:38,4,3600,1464.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:09:39,4,3600,1465.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:09:40,4,3600,1466.9,0.99,13.3,9,13.3,0.105,10,0.3,0.9
,11:09:41,4,3600,1467.9,1,13.3,9,13.3,0.105,10,0.3,0.9
,11:09:42,4,3600,1468.9,1,13.3,9,13.3,0.108,10,0.3,0.9
,11:09:43,4,3600,1469.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:09:44,4,3600,1470.9,0.98,13.3,9,13.3,0.103,10,0.3,0.88
,11:09:45,4,3600,1471.9,0.97,13.3,9,13.3,0.106,10,0.3,0.88
,11:09:46,4,3600,1472.9,0.98,13.3,9,13.3,0.109,10,0.3,0.89
,11:09:47,4,3600,1473.9,0.99,13.3,9,13.3,0.114,10,0.3,0.89
,11:09:48,4,3600,1474.9,1,13.3,9,13.3,0.114,10,0.3,0.9
,11:09:49,4,3600,1475.9,1,13.3,9,13.3,0.114,10,0.3,0.9
,11:09:50,4,3600,1476.9,1,13.3,9,13.3,0.111,10,0.3,0.9
,11:09:51,4,3600,1477.9,1,13.3,9,13.4,0.115,10,0.3,0.9
,11:09:52,4,3600,1478.9,1,13.3,9,13.4,0.115,10,0.3,0.9
,11:09:53,4,3600,1479.9,0.99,13.3,9,13.4,0.114,10,0.3,0.89
,11:09:54,4,3600,1480.9,0.99,13.3,9,13.4,0.11,10,0.3,0.89
,11:09:55,4,3600,1481.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:09:56,4,3600,1482.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:09:57,4,3600,1483.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:09:58,4,3600,1484.9,1,13.3,9,13.4,0.112,10,0.3,0.9
,11:09:59,4,3600,1485.9,1,13.3,9,13.4,0.112,10,0.3,0.91
,11:10:00,4,3600,1486.9,1.01,13.3,9,13.4,0.112,10,0.3,0.91
,11:10:01,4,3600,1487.9,1.01,13.3,9,13.4,0.112,10,0.3,0.91
,11:10:02,4,3600,1488.9,1,13.3,9,13.4,0.112,10,0.3,0.91
,11:10:03,4,3600,1489.9,1,13.3,9,13.4,0.112,10,0.3,0.9
,11:10:04,4,3600,1490.9,1,13.3,9,13.4,0.112,10,0.3,0.9
,11:10:05,4,3600,1491.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:06,4,3600,1492.9,0.99,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:07,4,3600,1493.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:08,4,3600,1494.9,0.99,13.3,9,13.4,0.11,10,0.3,0.89
,11:10:09,4,3600,1495.9,1,13.3,9,13.4,0.108,10,0.3,0.9
,11:10:10,4,3600,1496.9,1,13.3,9,13.4,0.112,10,0.3,0.9
,11:10:11,4,3600,1497.9,1,13.3,9,13.4,0.115,10,0.3,0.9
,11:10:12,4,3600,1498.9,0.99,13.3,9,13.4,0.111,10,0.3,0.89
,11:10:13,4,3600,1499.9,0.99,13.3,9,13.4,0.11,10,0.3,0.89
,11:10:14,4,3600,1500.9,0.99,13.3,9,13.4,0.11,10,0.3,0.89
,11:10:15,4,3600,1501.9,0.99,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:16,4,3600,1502.9,1,13.3,9,13.4,0.108,10,0.3,0.9
,11:10:17,4,3600,1503.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:18,4,3600,1504.9,1,13.3,9,13.4,0.111,10,0.3,0.9
,11:10:19,4,3600,1505.9,0.99,13.3,9,13.4,0.11,10,0.3,0.89
,11:10:20,4,3600,1506.9,0.98,13.3,9,13.4,0.109,10,0.3,0.88
,11:10:21,4,3600,1507.9,0.97,13.3,9,13.4,0.106,10,0.3,0.88
,11:10:22,4,3600,1508.9,0.98,13.3,9,13.4,0.106,10,0.3,0.88
,11:10:23,4,3600,1509.9,0.99,13.3,9,13.4,0.107,10,0.3,0.89
,11:10:24,4,3600,1510.9,0.99,13.3,9,13.4,0.107,10,0.3,0.89
,11:10:25,4,3600,1511.9,0.99,13.3,9,13.4,0.104,10,0.3,0.89
,11:10:26,4,3600,1512.9,0.99,13.3,9,13.4,0.104,10,0.3,0.89
,11:10:27,4,3600,1513.9,1,13.3,10,13.4,0.102,10,0.3,0.9
,11:10:28,4,3600,1514.9,0.99,13.3,10,13.4,0.102,10,0.3,0.9
,11:10:29,4,3600,1515.9,0.99,13.3,9,13.3,0.104,10,0.3,0.89
,11:10:30,4,3600,1516.9,0.98,13.3,9,13.3,0.106,10,0.3,0.88
,11:10:31,4,3600,1517.9,0.97,13.3,9,13.3,0.105,10,0.3,0.87
,11:10:32,4,3600,1518.9,0.97,13.3,9,13.3,0.108,10,0.3,0.87
,11:10:33,4,3600,1519.9,0.97,13.3,9,13.3,0.108,10,0.3,0.88
,11:10:34,4,3600,1520.9,0.97,13.3,9,13.3,0.112,10,0.3,0.88
,11:10:35,4,3600,1521.9,0.97,13.3,8,13.3,0.115,10,0.3,0.88
,11:10:36,4,3600,1522.9,0.97,13.3,8,13.3,0.114,10,0.3,0.87
,11:10:37,4,3600,1523.9,0.96,13.3,9,13.3,0.11,10,0.3,0.86
,11:10:38,4,3600,1524.9,0.95,13.3,9,13.3,0.109,10,0.3,0.86
,11:10:39,4,3600,1525.9,0.95,13.3,9,13.3,0.109,10,0.3,0.86
,11:10:40,4,3600,1526.9,0.96,13.3,9,13.3,0.11,10,0.3,0.87
,11:10:41,4,3600,1527.9,0.97,13.3,9,13.3,0.108,10,0.3,0.87
,11:10:42,4,3600,1528.9,0.97,13.3,9,13.3,0.111,10,0.3,0.88
,11:10:43,4,3600,1529.9,0.98,13.3,9,13.3,0.112,10,0.3,0.88
,11:10:44,4,3600,1530.9,0.98,13.3,9,13.3,0.112,10,0.3,0.88
,11:10:45,4,3600,1531.9,0.98,13.3,9,13.3,0.109,10,0.3,0.88
,11:10:46,4,3600,1532.9,0.97,13.3,9,13.3,0.109,10,0.3,0.88
,11:10:47,4,3600,1533.9,0.98,13.3,9,13.3,0.109,10,0.3,0.89
,11:10:48,4,3600,1534.9,0.99,13.3,9,13.3,0.113,10,0.3,0.89
,11:10:49,4,3600,1535.9,0.99,13.3,9,13.3,0.114,10,0.3,0.89
,11:10:50,4,3600,1536.9,0.99,13.3,9,13.3,0.111,10,0.3,0.89
,11:10:51,4,3600,1537.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:10:52,4,3600,1538.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:10:53,4,3600,1539.9,0.98,13.3,9,13.3,0.109,10,0.3,0.89
,11:10:54,4,3600,1540.9,0.99,13.3,9,13.3,0.11,10,0.3,0.89
,11:10:55,4,3600,1541.9,0.99,13.3,9,13.3,0.107,10,0.3,0.89
,11:10:56,4,3600,1542.9,0.99,13.3,9,13.2,0.108,10,0.3,0.9
,11:10:57,4,3600,1543.9,0.99,13.3,9,13.2,0.108,10,0.3,0.9
,11:10:58,4,3600,1544.9,0.99,13.3,9,13.2,0.11,10,0.3,0.89
,11:10:59,4,3600,1545.9,0.99,13.3,9,13.2,0.11,10,0.3,0.89
,11:11:00,4,3600,1546.9,0.99,13.3,9,13.2,0.11,10,0.3,0.89
,11:11:01,4,3600,1547.9,1,13.3,9,13.2,0.111,10,0.3,0.9
,11:11:02,4,3600,1548.9,1,13.3,9,13.2,0.112,10,0.3,0.91
,11:11:03,4,3600,1549.9,1.01,13.3,9,13.2,0.115,10,0.3,0.91
,11:11:04,4,3600,1550.9,1,13.3,9,13.2,0.112,10,0.3,0.9
,11:11:05,4,3600,1551.9,1,13.3,9,13.2,0.108,10,0.3,0.9
,11:11:06,4,3600,1552.9,0.99,13.3,9,13.2,0.107,10,0.3,0.89
,11:11:07,4,3600,1553.9,0.98,13.3,9,13.2,0.106,10,0.3,0.88
,11:11:08,4,3600,1554.9,0.97,13.3,9,13.2,0.105,10,0.3,0.88
,11:11:09,4,3600,1555.9,0.97,13.3,9,13.2,0.106,10,0.3,0.88
,11:11:10,4,3600,1556.9,0.98,13.3,9,13.2,0.106,10,0.3,0.88
,11:11:11,4,3600,1557.9,0.98,13.3,9,13.2,0.106,10,0.3,0.89
,11:11:12,4,3600,1558.9,0.98,13.3,9,13.1,0.109,10,0.3,0.89
,11:11:13,4,3600,1559.9,0.98,13.3,9,13.1,0.113,10,0.3,0.89
,11:11:14,4,3600,1560.9,0.99,13.3,9,13.1,0.11,10,0.3,0.89
,11:11:15,4,3600,1561.9,0.98,13.3,9,13.1,0.109,10,0.3,0.88
,11:11:16,4,3600,1562.9,0.98,13.3,9,13.1,0.109,10,0.3,0.88
,11:11:17,4,3600,1563.9,0.98,13.3,9,13.1,0.109,10,0.3,0.89
,11:11:18,4,3600,1564.9,0.99,13.3,9,13.1,0.11,10,0.3,0.89
,11:11:19,4,3600,1565.9,0.99,13.3,9,13.1,0.108,10,0.3,0.9
,11:11:20,4,3600,1566.9,0.99,13.3,9,13.1,0.107,10,0.3,0.89
,11:11:21,4,3600,1567.9,0.99,13.3,9,13.1,0.11,10,0.3,0.89
,11:11:22,4,3600,1568.9,0.98,13.3,9,13.1,0.113,10,0.3,0.89
,11:11:23,4,3600,1569.9,0.98,13.3,9,13.1,0.113,10,0.3,0.89
,11:11:24,4,3600,1570.9,0.99,13.3,9,13,0.11,10,0.3,0.89
,11:11:25,4,3600,1571.9,0.99,13.3,9,13,0.111,10,0.3,0.9
,11:11:26,4,3600,1572.9,1,13.3,9,13,0.111,10,0.3,0.9
,11:11:27,4,3600,1573.9,1,13.3,9,13,0.114,10,0.3,0.9
,11:11:28,4,3600,1574.9,0.99,13.3,9,13,0.111,10,0.3,0.9
,11:11:29,4,3600,1575.9,0.99,13.3,9,13,0.11,10,0.3,0.89
,11:11:30,4,3600,1576.9,0.99,13.3,9,13,0.11,10,0.3,0.9
,11:11:31,4,3600,1577.9,1,13.3,9,13,0.111,10,0.3,0.9
,11:11:32,4,3600,1578.9,1,13.3,9,13,0.108,10,0.3,0.9
,11:11:33,4,3600,1579.9,1,13.3,9,13,0.108,10,0.3,0.9
,11:11:34,4,3600,1580.9,0.99,13.3,9,13,0.107,10,0.3,0.89
,11:11:35,4,3600,1581.9,0.99,13.3,9,13,0.107,10,0.3,0.89
,11:11:36,4,3600,1582.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:11:37,4,3600,1583.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:11:38,4,3600,1584.9,0.99,13.3,9,12.9,0.11,10,0.3,0.9
,11:11:39,4,3600,1585.9,1,13.3,9,12.9,0.108,10,0.3,0.9
,11:11:40,4,3600,1586.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:11:41,4,3600,1587.9,0.99,13.3,9,12.9,0.11,10,0.3,0.89
,11:11:42,4,3600,1588.9,0.98,13.3,9,12.9,0.109,10,0.3,0.88
,11:11:43,4,3600,1589.9,0.98,13.3,9,12.9,0.106,10,0.3,0.89
,11:11:44,4,3600,1590.9,0.99,13.3,9,12.9,0.107,10,0.3,0.89
,11:11:45,4,3600,1591.9,0.99,13.3,9,12.9,0.108,10,0.3,0.9
,11:11:46,4,3600,1592.9,0.99,13.3,9,12.8,0.107,10,0.3,0.89
,11:11:47,4,3600,1593.9,0.99,13.3,9,12.8,0.107,10,0.3,0.89
,11:11:48,4,3600,1594.9,0.99,13.3,9,12.8,0.107,10,0.3,0.89
,11:11:49,4,3600,1595.9,0.99,13.3,9,12.8,0.107,10,0.3,0.89
,11:11:50,4,3600,1596.9,0.99,13.3,9,12.8,0.111,10,0.3,0.9
,11:11:51,4,3600,1597.9,1,13.3,9,12.8,0.112,10,0.3,0.9
,11:11:52,4,3600,1598.9,1,13.3,9,12.8,0.111,10,0.3,0.9
,11:11:53,4,3600,1599.9,0.99,13.3,9,12.8,0.11,10,0.3,0.89
,11:11:54,4,3600,1600.9,0.99,13.3,9,12.8,0.11,10,0.3,0.89
,11:11:55,4,3600,1601.9,1,13.3,9,12.8,0.108,10,0.3,0.9
,11:11:56,4,3600,1602.9,1.01,13.3,9,12.8,0.109,10,0.3,0.91
,11:11:57,4,3600,1603.9,1.01,13.3,9,12.8,0.109,10,0.3,0.91
,11:11:58,4,3600,1604.9,1.01,13.3,9,12.7,0.106,10,0.3,0.91
,11:11:59,4,3600,1605.9,1.01,13.3,9,12.7,0.106,10,0.3,0.91
,11:12:00,4,3600,1606.9,1.01,13.3,9,12.7,0.106,10,0.3,0.91
,11:12:01,4,3600,1607.9,1,13.3,9,12.7,0.109,10,0.3,0.91
,11:12:02,4,3600,1608.9,1,13.3,9,12.7,0.111,10,0.3,0.9
,11:12:03,4,3600,1609.9,1,13.3,9,12.7,0.114,10,0.3,0.9
,11:12:04,4,3600,1610.9,1,13.3,9,12.7,0.115,10,0.3,0.9
,11:12:05,4,3600,1611.9,1,13.3,9,12.7,0.115,10,0.3,0.9
,11:12:06,4,3600,1612.9,1,13.3,9,12.6,0.115,10,0.3,0.91
,11:12:07,4,3600,1613.9,1.01,13.3,9,12.6,0.115,10,0.3,0.91
,11:12:08,4,3600,1614.9,1,13.3,8,12.6,0.119,10,0.3,0.91
,11:12:09,4,3600,1615.9,1.01,13.3,8,12.6,0.119,10,0.3,0.91
,11:12:10,4,3600,1616.9,1.01,13.3,9,12.6,0.112,10,0.3,0.91
,11:12:11,4,3600,1617.9,1.02,13.3,9,12.6,0.11,10,0.3,0.92
,11:12:12,4,3600,1618.9,1.02,13.3,9,12.6,0.113,10,0.3,0.92
,11:12:13,4,3600,1619.9,1.01,13.3,9,12.6,0.113,10,0.3,0.91
,11:12:14,4,3600,1620.9,1.01,13.3,9,12.6,0.112,10,0.3,0.91
,11:12:15,4,3600,1621.9,1.01,13.3,9,12.6,0.109,10,0.3,0.91
,11:12:16,4,3600,1622.9,1.01,13.3,9,12.5,0.11,10,0.3,0.91
,11:12:17,4,3600,1623.9,1.02,13.3,9,12.5,0.114,10,0.3,0.92
,11:12:18,4,3600,1624.9,1.03,13.3,9,12.5,0.114,10,0.3,0.92
,11:12:19,4,3600,1625.9,1.03,13.3,9,12.5,0.115,10,0.3,0.93
,11:12:20,4,3600,1626.9,1.03,13.3,9,12.5,0.111,10,0.3,0.92
,11:12:21,4,3600,1627.9,1.02,13.3,9,12.5,0.111,10,0.3,0.92
,11:12:22,4,3600,1628.9,1.01,13.3,9,12.5,0.106,10,0.3,0.91
,11:12:23,4,3600,1629.9,1,13.3,9,12.5,0.105,10,0.3,0.9
,11:12:24,4,3600,1630.9,1,13.3,10,12.4,0.102,10,0.3,0.9
,11:12:25,4,3600,1631.9,1,13.3,10,12.4,0.102,10,0.3,0.9
,11:12:26,4,3600,1632.9,1,13.3,9,12.4,0.105,10,0.3,0.9
,11:12:27,4,3600,1633.9,0.99,13.3,9,12.4,0.108,10,0.3,0.9
,11:12:28,4,3600,1634.9,0.99,13.3,9,12.4,0.108,10,0.3,0.9
,11:12:29,4,3600,1635.9,1,13.3,9,12.4,0.108,10,0.3,0.9
,11:12:30,4,3600,1636.9,0.99,13.3,9,12.4,0.104,10,0.3,0.89
,11:12:31,4,3600,1637.9,0.98,13.3,9,12.4,0.106,10,0.3,0.89
,11:12:32,4,3600,1638.9,0.97,13.3,9,12.4,0.109,10,0.3,0.88
,11:12:33,4,3600,1639.9,0.98,13.3,9,12.4,0.109,10,0.3,0.88
,11:12:34,4,3600,1640.9,0.97,13.3,9,12.3,0.108,10,0.3,0.88
,11:12:35,4,3600,1641.9,0.97,13.3,9,12.3,0.108,10,0.3,0.88
,11:12:36,4,3600,1642.9,0.97,13.3,9,12.3,0.106,10,0.3,0.88
,11:12:37,4,3600,1643.9,0.99,13.3,9,12.3,0.107,10,0.3,0.89
,11:12:38,4,3600,1644.9,1,13.3,9,12.3,0.108,10,0.3,0.9
,11:12:39,4,3600,1645.9,1,13.3,9,12.3,0.108,10,0.3,0.9
,11:12:40,4,3600,1646.9,0.99,13.3,9,12.3,0.11,10,0.3,0.89
,11:12:41,4,3600,1647.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:42,4,3600,1648.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:43,4,3600,1649.9,0.99,13.3,9,12.2,0.107,10,0.3,0.89
,11:12:44,4,3600,1650.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:45,4,3600,1651.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:46,4,3600,1652.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:47,4,3600,1653.9,0.99,13.3,9,12.2,0.11,10,0.3,0.89
,11:12:48,4,3600,1654.9,0.99,13.3,9,12.2,0.113,10,0.3,0.89
,11:12:49,4,3600,1655.9,0.99,13.3,9,12.2,0.113,10,0.3,0.89
,11:12:50,4,3600,1656.9,0.99,13.3,9,12.1,0.113,10,0.3,0.89
,11:12:51,4,3600,1657.9,1,13.3,9,12.1,0.114,10,0.3,0.9
,11:12:52,4,3600,1658.9,1,13.3,9,12.1,0.115,10,0.3,0.9
,11:12:53,4,3600,1659.9,1,13.3,9,12.1,0.112,10,0.3,0.9
,11:12:54,4,3600,1660.9,1,13.3,9,12.1,0.115,10,0.3,0.9
,11:12:55,4,3600,1661.9,1,13.3,9,12.1,0.115,10,0.3,0.9
,11:12:56,4,3600,1662.9,1.01,13.3,9,12.1,0.115,10,0.3,0.91
,11:12:57,4,3600,1663.9,1.01,13.3,9,12,0.116,10,0.3,0.91
,11:12:58,4,3600,1664.9,1.02,13.3,9,12,0.117,10,0.3,0.92
,11:12:59,4,3600,1665.9,1.03,13.3,9,12,0.118,10,0.3,0.92
,11:13:00,4,3600,1666.9,1.03,13.3,9,12,0.118,10,0.3,0.92
,11:13:01,4,3600,1667.9,1.03,13.3,9,12,0.114,10,0.3,0.92
,11:13:02,4,3600,1668.9,1.02,13.3,9,12,0.114,10,0.3,0.92
,11:13:03,4,3600,1669.9,1.02,13.3,9,12,0.113,10,0.3,0.92
,11:13:04,4,3600,1670.9,1.01,13.3,9,11.9,0.112,10,0.3,0.91
,11:13:05,4,3600,1671.9,1.01,13.3,9,12,0.116,10,0.3,0.91
,11:13:06,4,3600,1672.9,1,13.3,9,11.9,0.112,10,0.3,0.91
,11:13:07,4,3600,1673.9,1.01,13.3,9,11.9,0.109,10,0.3,0.91
,11:13:08,4,3600,1674.9,1.01,13.3,9,11.9,0.11,10,0.3,0.91
,11:13:09,4,3600,1675.9,1.01,13.3,9,11.9,0.116,10,0.3,0.91
,11:13:10,4,3600,1676.9,1.01,13.3,9,11.9,0.113,10,0.3,0.91
,11:13:11,4,3600,1677.9,1.02,13.3,9,11.9,0.114,10,0.3,0.92
,11:13:12,4,3600,1678.9,1.02,13.3,9,11.8,0.114,10,0.3,0.92
,11:13:13,4,3600,1679.9,1.02,13.3,9,11.8,0.114,10,0.3,0.92
