Data file,,DURATRON_DRY_T15_D6.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,20/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 10:18:49 on 20/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_dry_t15_d6-h001.tsv,,,,,,,,,,
,10:19:50,4,5,61.1,0.02,0,7,21,0.003,10,49.6,0.04
,10:19:51,4,5,62.1,0.78,0.9,7,21,0.109,10,49.8,0.87
,10:19:52,4,5,63.1,2.22,5.6,7,21,0.309,10,49.8,2.3
,10:19:53,4,5,64.1,3.87,11.8,7,21,0.52,10,49.8,3.88
,10:19:54,4,5,65.1,4.82,13.3,7,21,0.648,10,49.8,4.7
,10:19:55,5,3590,66.1,5.11,13.3,7,21,0.687,10,49.8,4.94
,10:19:56,5,3590,67.1,5.19,13.3,7,21,0.723,10,49.8,5.02
,10:19:57,5,3590,68.1,5.23,13.3,7,21,0.729,10,49.8,5.06
,10:19:58,5,3590,69.1,5.27,13.3,7,21,0.761,10,49.8,5.09
,10:19:59,5,3590,70.1,5.3,13.3,7,21,0.766,10,49.8,5.13
,10:20:00,5,3590,71.1,5.34,13.3,7,21,0.744,10,49.7,5.16
,10:20:01,5,3590,72.1,5.38,13.3,7,21,0.75,10,49.7,5.2
,10:20:02,5,3590,73.1,5.41,13.3,7,21,0.754,10,49.7,5.23
