Data file,,PEEK_HEF_T35_PE6.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,03/04/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 11:40:51 on 03/04/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t35_pe6-h001.tsv,,,,,,,,,,
,11:41:47,5,5,55.7,0.11,0,7,20,0.016,10,49.8,0.14
,11:41:48,5,5,56.7,0.52,2.2,7,20,0.074,10,49.9,0.54
,11:41:49,5,5,57.7,0.92,8.3,7,20,0.128,10,49.9,0.92
,11:41:50,5,5,58.7,1.19,12.8,7,20,0.166,10,49.9,1.15
,11:41:51,5,5,59.7,1.14,13.3,7,20,0.159,10,49.9,1.09
,11:41:52,6,10790,60.7,1.06,13.3,7,20,0.148,10,49.9,1.02
,11:41:53,6,10790,61.7,1.01,13.3,7,20,0.135,10,49.9,0.97
,11:41:54,6,10790,62.7,0.96,13.3,8,20,0.125,10,49.9,0.92
,11:41:55,6,10790,63.7,0.93,13.3,8,20,0.121,10,49.9,0.9
,11:41:56,6,10790,64.7,0.91,13.3,7,20,0.122,10,49.9,0.87
,11:41:57,6,10790,65.7,0.88,13.3,7,20,0.127,10,49.9,0.84
,11:41:58,6,10790,66.7,0.85,13.3,7,20,0.123,10,49.9,0.82
,11:41:59,6,10790,67.7,0.84,13.3,7,20,0.121,10,49.9,0.8
