Data file,,PEEK_DRY_T18_PE2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,27/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:02:49 on 27/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_dry_t18_pe2-h001.tsv,,,,,,,,,,
,13:04:42,5,3590,112.9,3.56,13.3,7,21,0.495,10,49.8,3.44
,13:04:43,5,3590,113.9,3.6,13.3,7,21,0.501,10,49.9,3.47
,13:04:44,5,3590,114.9,3.61,13.3,7,21,0.503,10,49.9,3.49
,13:04:45,5,3590,115.9,3.62,13.3,7,21,0.522,10,49.9,3.49
,13:04:46,5,3590,116.9,3.62,13.3,7,21,0.487,10,49.9,3.5
,13:04:47,5,3590,117.9,3.62,13.3,8,21,0.471,10,49.9,3.5
,13:04:48,5,3590,118.9,3.62,13.3,8,21,0.47,10,49.9,3.49
,13:04:49,5,3590,119.9,3.6,13.3,7,21,0.502,10,49.9,3.48
,13:04:50,5,3590,120.9,3.6,13.3,7,21,0.521,10,49.9,3.48
,13:04:51,5,3590,121.9,3.6,13.3,7,21,0.54,10,49.9,3.48
,13:04:52,5,3590,122.9,3.61,13.3,7,21,0.541,10,49.9,3.49
,13:04:53,5,3590,123.9,3.62,13.3,7,21,0.543,10,49.8,3.5
,13:04:54,5,3590,124.9,3.65,13.3,7,21,0.527,10,49.8,3.52
,13:04:55,5,3590,125.9,3.65,13.3,7,21,0.527,10,49.9,3.52
,13:04:56,5,3590,126.9,3.66,13.3,7,21,0.529,10,49.9,3.54
,13:04:57,5,3590,127.9,3.69,13.3,7,21,0.533,10,49.9,3.56
,13:04:58,5,3590,128.9,3.73,13.3,7,21,0.539,10,49.9,3.61
,13:04:59,5,3590,129.9,3.78,13.3,7,21,0.546,10,49.9,3.65
,13:05:00,5,3590,130.9,3.81,13.3,7,21,0.551,10,49.9,3.68
,13:05:01,5,3590,131.9,3.8,13.3,7,21,0.548,10,49.9,3.66
,13:05:02,5,3590,132.9,3.77,13.3,7,21,0.526,10,49.9,3.64
,13:05:03,5,3590,133.9,3.75,13.3,7,21,0.523,10,49.8,3.62
,13:05:04,5,3590,134.9,3.77,13.3,7,21,0.507,10,49.9,3.64
,13:05:05,5,3590,135.9,3.79,13.3,7,21,0.528,10,49.9,3.66
,13:05:06,5,3590,136.9,3.81,13.3,7,21,0.55,10,49.8,3.68
,13:05:07,5,3590,137.9,3.81,13.3,7,21,0.55,10,49.8,3.68
,13:05:08,5,3590,138.9,3.81,13.3,7,21,0.55,10,49.8,3.67
,13:05:09,5,3590,139.9,3.81,13.3,7,21,0.551,10,49.9,3.68
,13:05:10,5,3590,140.9,3.83,13.3,7,21,0.554,10,49.9,3.7
,13:05:11,5,3590,141.9,3.86,13.3,7,21,0.557,10,49.9,3.73
,13:05:12,5,3590,142.9,3.89,13.3,7,21,0.562,10,49.9,3.76
,13:05:13,5,3590,143.9,3.91,13.3,7,21,0.545,10,49.9,3.78
,13:05:14,5,3590,144.9,3.92,13.3,7,21,0.546,10,49.9,3.79
,13:05:15,5,3590,145.9,3.9,13.3,8,21,0.508,10,49.9,3.77
,13:05:16,5,3590,146.9,3.89,13.3,8,21,0.505,10,49.9,3.75
,13:05:17,5,3590,147.9,3.88,13.3,7,21,0.522,10,49.9,3.75
,13:05:18,5,3590,148.9,3.9,13.3,7,21,0.543,10,49.9,3.76
,13:05:19,5,3590,149.9,3.89,13.3,7,21,0.563,10,49.9,3.76
