Data file,,SORONA-UNHONED_ISO10_12DEG_003_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PTT on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:29:49 on 24/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:30:44,4,-1,55.1,0.08,0,7,14,0.012,10,0.4,0.11
,09:30:45,4,-1,56.1,0.52,2.5,7,13.9,0.074,10,0.4,0.55
,09:30:46,4,-1,57.1,1.04,8.7,7,13.9,0.15,10,0.4,1.06
,09:30:47,4,-1,58.1,1.47,12.8,7,13.9,0.213,10,0.5,1.45
,09:30:48,4,-1,59.1,1.53,13.3,7,13.9,0.221,10,0.4,1.49
,09:30:49,4,-1,60.1,1.49,13.3,7,13.9,0.223,10,0.4,1.44
,09:30:50,4,-1,61.1,1.45,13.3,7,13.9,0.218,10,0.4,1.41
,09:30:51,4,-1,62.1,1.43,13.3,7,13.9,0.214,10,0.4,1.39
,09:30:53,4,-1,63.1,1.41,13.3,7,13.9,0.211,10,0.5,1.37
,09:30:54,4,-1,64.1,1.4,13.3,7,13.8,0.203,10,0.5,1.37
,09:30:55,4,-1,65.1,1.4,13.3,7,13.8,0.195,10,0.4,1.36
,09:30:56,4,-1,66.1,1.39,13.3,7,13.8,0.193,10,0.4,1.35
,09:30:57,4,-1,67.1,1.36,13.3,7,13.8,0.197,10,0.4,1.33
Fast data in,,sorona-unhoned_iso10_12deg_003_12hrs-h001.tsv,,,,,,,,,,
,09:30:58,5,5,68.5,1.33,13.3,7,13.8,0.192,10,0.5,1.3
,09:30:59,5,5,69.5,1.32,13.3,7,13.7,0.198,10,0.5,1.29
,09:31:00,5,5,70.5,1.31,13.3,7,13.7,0.19,10,0.4,1.28
,09:31:01,5,5,71.5,1.31,13.3,7,13.7,0.182,10,0.5,1.27
,09:31:02,5,5,72.5,1.3,13.3,7,13.7,0.181,10,0.4,1.27
,09:31:03,6,21600,73.5,1.3,13.3,7,13.7,0.174,10,0.4,1.26
,09:31:04,6,21600,74.5,1.29,13.3,7,13.6,0.173,10,0.4,1.25
,09:31:05,6,21600,75.5,1.26,13.3,7,13.6,0.176,10,0.4,1.23
,09:31:06,6,21600,76.5,1.24,13.3,7,13.6,0.173,10,0.4,1.2
,09:31:07,6,21600,77.5,1.22,13.3,7,13.6,0.176,10,0.5,1.19
,09:31:08,6,21600,78.5,1.21,13.3,7,13.6,0.175,10,0.5,1.18
,09:31:09,6,21600,79.5,1.21,13.3,7,13.6,0.169,10,0.4,1.18
,09:31:10,6,21600,80.5,1.21,13.3,7,13.6,0.168,10,0.5,1.18
,09:31:11,6,21600,81.5,1.2,13.3,7,13.5,0.167,10,0.5,1.17
,09:31:12,6,21600,82.5,1.18,13.3,7,13.5,0.165,10,0.5,1.15
,09:31:13,6,21600,83.5,1.16,13.3,7,13.5,0.168,10,0.5,1.13
,09:31:14,6,21600,84.5,1.15,13.3,7,13.5,0.166,10,0.5,1.12
,09:31:15,6,21600,85.5,1.14,13.3,7,13.5,0.171,10,0.4,1.11
,09:31:16,6,21600,86.5,1.14,13.3,7,13.4,0.165,10,0.5,1.11
,09:31:17,6,21600,87.5,1.14,13.3,7,13.4,0.165,10,0.5,1.12
,09:31:18,6,21600,88.5,1.14,13.3,7,13.4,0.165,10,0.4,1.11
,09:31:19,6,21600,89.5,1.13,13.3,7,13.4,0.17,10,0.4,1.1
,09:31:20,6,21600,90.5,1.12,13.3,7,13.4,0.162,10,0.5,1.1
,09:31:21,6,21600,91.5,1.12,13.3,7,13.4,0.162,10,0.5,1.09
,09:31:22,6,21600,92.5,1.12,13.3,7,13.4,0.156,10,0.5,1.09
,09:31:23,6,21600,93.5,1.11,13.3,7,13.3,0.161,10,0.5,1.08
,09:31:24,6,21600,94.5,1.11,13.3,7,13.3,0.16,10,0.5,1.08
,09:31:25,6,21600,95.5,1.11,13.3,7,13.3,0.16,10,0.5,1.08
,09:31:26,6,21600,96.5,1.11,13.3,7,13.3,0.166,10,0.5,1.08
,09:31:27,6,21600,97.5,1.11,13.3,7,13.3,0.166,10,0.4,1.08
,09:31:28,6,21600,98.5,1.1,13.3,7,13.3,0.165,10,0.5,1.07
,09:31:29,6,21600,99.5,1.1,13.3,7,13.3,0.165,10,0.5,1.07
,09:31:30,6,21600,100.5,1.1,13.3,6,13.3,0.172,10,0.5,1.08
,09:31:31,6,21600,101.5,1.11,13.3,7,13.3,0.167,10,0.4,1.09
,09:31:32,6,21600,102.5,1.12,13.3,7,13.2,0.169,10,0.5,1.1
,09:31:33,6,21600,103.5,1.13,13.3,7,13.2,0.163,10,0.4,1.1
,09:31:34,6,21600,104.5,1.13,13.3,7,13.2,0.163,10,0.4,1.1
,09:31:35,6,21600,105.5,1.12,13.3,7,13.2,0.156,10,0.4,1.09
,09:31:36,6,21600,106.5,1.11,13.3,7,13.2,0.155,10,0.5,1.08
,09:31:37,6,21600,107.5,1.1,13.3,7,13.2,0.153,10,0.5,1.07
,09:31:38,6,21600,108.5,1.08,13.3,7,13.2,0.151,10,0.5,1.06
,09:31:39,6,21600,109.5,1.08,13.3,7,13.2,0.156,10,0.5,1.05
,09:31:40,6,21600,110.5,1.08,13.3,7,13.2,0.156,10,0.5,1.05
,09:31:41,6,21600,111.5,1.08,13.3,7,13.2,0.161,10,0.5,1.05
,09:31:42,6,21600,112.5,1.07,13.3,6,13.1,0.167,10,0.5,1.05
,09:31:43,6,21600,113.5,1.08,13.3,7,13.1,0.162,10,0.5,1.05
,09:31:44,6,21600,114.5,1.09,13.3,7,13.1,0.163,10,0.5,1.06
,09:31:45,6,21600,115.5,1.1,13.3,7,13.1,0.165,10,0.5,1.07
,09:31:46,6,21600,116.5,1.1,13.3,6,13.1,0.172,10,0.5,1.07
,09:31:47,6,21600,117.5,1.1,13.3,6,13.1,0.172,10,0.5,1.07
,09:31:48,6,21600,118.5,1.11,13.3,6,13.1,0.173,10,0.5,1.08
,09:31:49,6,21600,119.5,1.12,13.3,7,13.1,0.168,10,0.5,1.1
,09:31:50,6,21600,120.5,1.13,13.3,7,13.1,0.169,10,0.5,1.1
,09:31:51,6,21600,121.5,1.12,13.3,7,13.1,0.168,10,0.4,1.09
,09:31:52,6,21600,122.5,1.1,13.3,7,13.1,0.166,10,0.5,1.08
,09:31:53,6,21600,123.5,1.1,13.3,7,13,0.165,10,0.5,1.07
,09:31:54,6,21600,124.5,1.1,13.3,7,13,0.166,10,0.5,1.08
,09:31:55,6,21600,125.5,1.11,13.3,7,13,0.167,10,0.5,1.09
,09:31:56,6,21600,126.5,1.12,13.3,7,13,0.169,10,0.5,1.1
,09:31:57,6,21600,127.5,1.13,13.3,7,13,0.17,10,0.5,1.1
,09:31:58,6,21600,128.5,1.13,13.3,7,13,0.164,10,0.5,1.1
,09:31:59,6,21600,129.5,1.12,13.3,7,13,0.162,10,0.5,1.09
,09:32:00,6,21600,130.5,1.11,13.3,7,12.9,0.166,10,0.5,1.08
,09:32:01,6,21600,131.5,1.11,13.3,7,12.9,0.166,10,0.5,1.08
,09:32:02,6,21600,132.5,1.11,13.3,7,12.9,0.161,10,0.5,1.09
,09:32:03,6,21600,133.5,1.12,13.3,7,12.9,0.162,10,0.5,1.1
,09:32:04,6,21600,134.5,1.11,13.3,7,12.9,0.161,10,0.5,1.08
,09:32:05,6,21600,135.5,1.09,13.3,7,12.9,0.158,10,0.5,1.07
,09:32:06,6,21600,136.5,1.08,13.3,7,12.9,0.156,10,0.5,1.05
,09:32:07,6,21600,137.5,1.08,13.3,7,12.9,0.156,10,0.5,1.05
,09:32:08,6,21600,138.5,1.08,13.3,7,12.9,0.15,10,0.4,1.05
,09:32:09,6,21600,139.5,1.08,13.3,7,12.9,0.15,10,0.5,1.05
,09:32:10,6,21600,140.5,1.08,13.3,7,12.8,0.15,10,0.5,1.05
,09:32:11,6,21600,141.5,1.07,13.3,7,12.8,0.149,10,0.5,1.05
,09:32:12,6,21600,142.5,1.07,13.3,7,12.8,0.155,10,0.5,1.04
,09:32:13,6,21600,143.5,1.07,13.3,7,12.8,0.155,10,0.5,1.04
,09:32:14,6,21600,144.5,1.07,13.3,7,12.8,0.155,10,0.5,1.04
,09:32:15,6,21600,145.5,1.07,13.3,7,12.8,0.16,10,0.5,1.04
,09:32:16,6,21600,146.5,1.07,13.3,7,12.8,0.16,10,0.5,1.04
,09:32:17,6,21600,147.5,1.06,13.3,7,12.7,0.159,10,0.5,1.03
,09:32:18,6,21600,148.5,1.06,13.3,7,12.7,0.158,10,0.5,1.03
,09:32:19,6,21600,149.5,1.06,13.3,7,12.7,0.159,10,0.5,1.03
,09:32:20,6,21600,150.5,1.06,13.3,7,12.7,0.159,10,0.5,1.03
,09:32:21,6,21600,151.5,1.07,13.3,7,12.7,0.16,10,0.5,1.04
,09:32:22,6,21600,152.5,1.08,13.3,7,12.7,0.161,10,0.5,1.05
,09:32:23,6,21600,153.5,1.08,13.3,7,12.7,0.163,10,0.5,1.06
,09:32:24,6,21600,154.5,1.09,13.3,7,12.6,0.157,10,0.5,1.06
,09:32:25,6,21600,155.5,1.08,13.3,7,12.7,0.156,10,0.5,1.05
,09:32:26,6,21600,156.5,1.06,13.3,7,12.6,0.153,10,0.5,1.03
,09:32:27,6,21600,157.5,1.05,13.3,7,12.6,0.157,10,0.5,1.02
,09:32:28,6,21600,158.5,1.05,13.3,7,12.6,0.151,10,0.5,1.02
,09:32:29,6,21600,159.5,1.05,13.3,7,12.6,0.152,10,0.5,1.03
,09:32:30,6,21600,160.5,1.05,13.3,7,12.6,0.147,10,0.5,1.03
,09:32:31,6,21600,161.5,1.05,13.3,7,12.6,0.146,10,0.5,1.02
,09:32:32,6,21600,162.5,1.04,13.3,7,12.6,0.144,10,0.5,1.01
,09:32:33,6,21600,163.5,1.03,13.3,7,12.6,0.144,10,0.5,1
,09:32:34,6,21600,164.5,1.03,13.3,7,12.5,0.148,10,0.5,1
,09:32:35,6,21600,165.5,1.02,13.3,7,12.5,0.153,10,0.5,1
,09:32:36,6,21600,166.5,1.02,13.3,7,12.5,0.153,10,0.5,1
,09:32:37,6,21600,167.5,1.03,13.3,7,12.5,0.154,10,0.5,1
,09:32:38,6,21600,168.5,1.03,13.3,7,12.5,0.148,10,0.5,1
,09:32:39,6,21600,169.5,1.03,13.3,7,12.5,0.155,10,0.5,1
,09:32:40,6,21600,170.5,1.03,13.3,6,12.4,0.16,10,0.5,1
,09:32:41,6,21600,171.5,1.03,13.3,7,12.4,0.155,10,0.5,1.01
,09:32:42,6,21600,172.5,1.04,13.3,7,12.4,0.15,10,0.5,1.02
,09:32:43,6,21600,173.5,1.05,13.3,7,12.4,0.157,10,0.5,1.02
,09:32:44,6,21600,174.5,1.05,13.3,7,12.4,0.158,10,0.5,1.03
,09:32:45,6,21600,175.5,1.06,13.3,7,12.4,0.158,10,0.5,1.03
,09:32:46,6,21600,176.5,1.06,13.3,7,12.4,0.159,10,0.5,1.03
,09:32:47,6,21600,177.5,1.06,13.3,7,12.4,0.153,10,0.5,1.04
,09:32:48,6,21600,178.5,1.07,13.3,7,12.4,0.154,10,0.5,1.04
,09:32:49,6,21600,179.5,1.06,13.3,7,12.3,0.153,10,0.5,1.03
,09:32:50,6,21600,180.5,1.04,13.3,7,12.3,0.15,10,0.5,1.01
,09:32:51,6,21600,181.5,1.02,13.3,7,12.3,0.153,10,0.5,0.99
,09:32:52,6,21600,182.5,1.02,13.3,7,12.3,0.153,10,0.5,0.99
,09:32:53,6,21600,183.5,1.03,13.3,7,12.3,0.154,10,0.5,1
,09:32:54,6,21600,184.5,1.04,13.3,7,12.3,0.151,10,0.5,1.02
,09:32:55,6,21600,185.5,1.05,13.3,7,12.3,0.152,10,0.5,1.03
,09:32:56,6,21600,186.5,1.06,13.3,7,12.2,0.152,10,0.5,1.03
,09:32:57,6,21600,187.5,1.06,13.3,7,12.2,0.153,10,0.5,1.03
,09:32:58,6,21600,188.5,1.06,13.3,7,12.2,0.153,10,0.5,1.03
,09:32:59,6,21600,189.5,1.05,13.3,7,12.2,0.151,10,0.5,1.02
,09:33:00,6,21600,190.5,1.04,13.3,7,12.2,0.155,10,0.5,1.01
,09:33:01,6,21600,191.5,1.03,13.3,7,12.2,0.154,10,0.5,1
,09:33:02,6,21600,192.5,1.03,13.3,7,12.1,0.155,10,0.5,1.01
,09:33:03,6,21600,193.5,1.04,13.3,7,12.1,0.156,10,0.5,1.01
,09:33:04,6,21600,194.5,1.04,13.3,7,12.2,0.151,10,0.5,1.02
,09:33:05,6,21600,195.5,1.04,13.3,7,12.1,0.151,10,0.5,1.02
,09:33:06,6,21600,196.5,1.04,13.3,7,12.1,0.145,10,0.5,1.02
,09:33:07,6,21600,197.5,1.05,13.3,7,12.1,0.151,10,0.5,1.02
,09:33:08,6,21600,198.5,1.05,13.3,7,12.1,0.151,10,0.5,1.02
,09:33:09,6,21600,199.5,1.04,13.3,7,12.1,0.15,10,0.5,1.01
,09:33:10,6,21600,200.5,1.02,13.3,7,12.1,0.148,10,0.5,0.99
,09:33:11,6,21600,201.5,1.01,13.3,7,12,0.151,10,0.5,0.98
,09:33:12,6,21600,202.5,1.01,13.3,7,12,0.151,10,0.5,0.99
,09:33:13,6,21600,203.5,1.02,13.3,7,12,0.147,10,0.5,1
,09:33:14,6,21600,204.5,1.03,13.3,7,12,0.144,10,0.5,1.01
,09:33:15,6,21600,205.5,1.03,13.3,7,12,0.143,10,0.5,1
,09:33:16,6,21600,206.5,1.02,13.3,7,12,0.141,10,0.5,0.99
,09:33:17,6,21600,207.5,1.01,13.3,7,12,0.14,10,0.5,0.98
,09:33:18,6,21600,208.5,1,13.3,7,11.9,0.139,10,0.5,0.98
,09:33:19,6,21600,209.5,1,13.3,7,11.9,0.139,10,0.5,0.97
,09:33:20,6,21600,210.5,0.99,13.3,7,11.9,0.138,10,0.5,0.97
,09:33:21,6,21600,211.5,0.99,13.3,7,11.9,0.137,10,0.5,0.96
,09:33:22,6,21600,212.5,0.98,13.3,7,11.9,0.136,10,0.5,0.95
,09:33:23,6,21600,213.5,0.96,13.3,7,11.9,0.138,10,0.5,0.93
,09:33:24,6,21600,214.5,0.94,13.3,7,11.9,0.141,10,0.5,0.91
,09:33:25,6,21600,215.5,0.93,13.3,6,11.9,0.146,10,0.5,0.91
,09:33:26,6,21600,216.5,0.95,13.3,6,11.8,0.148,10,0.5,0.93
,09:33:27,6,21600,217.5,0.97,13.3,6,11.8,0.152,10,0.5,0.95
,09:33:28,6,21600,218.5,0.99,13.3,6,11.8,0.154,10,0.5,0.96
,09:33:29,6,21600,219.5,0.99,13.3,7,11.8,0.149,10,0.5,0.97
,09:33:30,6,21600,220.5,0.99,13.3,7,11.8,0.148,10,0.5,0.96
,09:33:31,6,21600,221.5,0.98,13.3,7,11.8,0.147,10,0.5,0.95
,09:33:32,6,21600,222.5,0.97,13.3,7,11.7,0.146,10,0.5,0.95
,09:33:33,6,21600,223.5,0.98,13.3,7,11.7,0.146,10,0.5,0.95
,09:33:34,6,21600,224.5,0.99,13.3,7,11.7,0.148,10,0.5,0.97
,09:33:35,6,21600,225.5,1,13.3,7,11.7,0.15,10,0.5,0.98
,09:33:36,6,21600,226.5,1.01,13.3,7,11.7,0.146,10,0.5,0.99
,09:33:37,6,21600,227.5,1,13.3,7,11.7,0.145,10,0.5,0.98
,09:33:38,6,21600,228.5,0.99,13.3,7,11.6,0.143,10,0.5,0.97
,09:33:39,6,21600,229.5,0.98,13.3,7,11.6,0.147,10,0.5,0.95
,09:33:40,6,21600,230.5,0.98,13.3,7,11.6,0.142,10,0.5,0.96
,09:33:41,6,21600,231.5,0.99,13.3,7,11.6,0.148,10,0.5,0.96
,09:33:42,6,21600,232.5,1,13.3,7,11.6,0.149,10,0.5,0.97
,09:33:43,6,21600,233.5,1,13.3,7,11.6,0.15,10,0.5,0.98
,09:33:44,6,21600,234.5,1.01,13.3,7,11.6,0.152,10,0.5,0.99
,09:33:45,6,21600,235.5,1.01,13.3,7,11.6,0.152,10,0.5,0.99
,09:33:46,6,21600,236.5,1.01,13.3,7,11.6,0.152,10,0.5,0.99
,09:33:47,6,21600,237.5,1.01,13.3,7,11.5,0.152,10,0.5,0.99
,09:33:48,6,21600,238.5,1.01,13.3,7,11.5,0.151,10,0.5,0.98
,09:33:49,6,21600,239.5,1.01,13.3,7,11.5,0.145,10,0.5,0.98
,09:33:50,6,21600,240.5,1,13.3,7,11.5,0.145,10,0.5,0.98
,09:33:51,6,21600,241.5,1,13.3,7,11.5,0.145,10,0.5,0.98
,09:33:52,6,21600,242.5,1,13.3,7,11.5,0.145,10,0.5,0.98
,09:33:53,6,21600,243.5,1,13.3,7,11.5,0.145,10,0.5,0.98
,09:33:54,6,21600,244.5,1,13.3,7,11.4,0.145,10,0.5,0.98
,09:33:55,6,21600,245.5,1.01,13.3,7,11.4,0.145,10,0.5,0.98
,09:33:56,6,21600,246.5,1.01,13.3,7,11.4,0.145,10,0.5,0.98
,09:33:57,6,21600,247.5,1,13.3,7,11.4,0.139,10,0.5,0.98
,09:33:58,6,21600,248.5,1,13.3,7,11.4,0.145,10,0.5,0.97
,09:33:59,6,21600,249.5,1,13.3,7,11.4,0.144,10,0.5,0.97
,09:34:00,6,21600,250.5,0.99,13.3,7,11.3,0.143,10,0.5,0.96
,09:34:01,6,21600,251.5,0.98,13.3,7,11.3,0.141,10,0.5,0.95
,09:34:02,6,21600,252.5,0.97,13.3,7,11.3,0.14,10,0.5,0.94
,09:34:03,6,21600,253.5,0.96,13.3,7,11.3,0.139,10,0.5,0.94
,09:34:04,6,21600,254.5,0.96,13.3,7,11.3,0.138,10,0.5,0.93
,09:34:05,6,21600,255.5,0.96,13.3,7,11.3,0.138,10,0.5,0.93
,09:34:06,6,21600,256.5,0.95,13.3,7,11.3,0.138,10,0.4,0.93
,09:34:07,6,21600,257.5,0.95,13.3,7,11.2,0.137,10,0.5,0.93
,09:34:08,6,21600,258.5,0.95,13.3,7,11.2,0.137,10,0.5,0.92
,09:34:09,6,21600,259.5,0.95,13.3,7,11.2,0.132,10,0.5,0.92
,09:34:10,6,21600,260.5,0.94,13.3,7,11.2,0.131,10,0.5,0.92
,09:34:11,6,21600,261.5,0.94,13.3,7,11.2,0.131,10,0.5,0.92
,09:34:12,6,21600,262.5,0.94,13.3,7,11.2,0.136,10,0.5,0.92
,09:34:13,6,21600,263.5,0.94,13.3,7,11.2,0.131,10,0.5,0.92
,09:34:14,6,21600,264.5,0.94,13.3,7,11.1,0.136,10,0.5,0.92
,09:34:15,6,21600,265.5,0.93,13.3,7,11.1,0.14,10,0.5,0.91
,09:34:16,6,21600,266.5,0.93,13.3,6,11.1,0.145,10,0.5,0.91
,09:34:17,6,21600,267.5,0.93,13.3,6,11.1,0.146,10,0.5,0.91
,09:34:18,6,21600,268.5,0.94,13.3,6,11.1,0.147,10,0.5,0.92
,09:34:19,6,21600,269.5,0.95,13.3,7,11.1,0.143,10,0.5,0.93
,09:34:20,6,21600,270.5,0.95,13.3,7,11.1,0.137,10,0.5,0.93
,09:34:21,6,21600,271.5,0.95,13.3,7,11.1,0.137,10,0.5,0.92
,09:34:22,6,21600,272.5,0.94,13.3,7,11,0.142,10,0.5,0.92
,09:34:23,6,21600,273.5,0.94,13.3,7,11,0.142,10,0.5,0.92
,09:34:24,6,21600,274.5,0.95,13.3,7,11,0.143,10,0.5,0.93
,09:34:25,6,21600,275.5,0.96,13.3,7,11,0.138,10,0.5,0.93
,09:34:26,6,21600,276.5,0.96,13.3,7,11,0.144,10,0.5,0.93
,09:34:27,6,21600,277.5,0.96,13.3,7,11,0.143,10,0.5,0.93
,09:34:28,6,21600,278.5,0.96,13.3,7,11,0.143,10,0.5,0.93
,09:34:29,6,21600,279.5,0.96,13.3,7,10.9,0.144,10,0.5,0.94
,09:34:30,6,21600,280.5,0.96,13.3,7,10.9,0.139,10,0.5,0.94
,09:34:31,6,21600,281.5,0.97,13.3,7,10.9,0.14,10,0.5,0.94
,09:34:32,6,21600,282.5,0.97,13.3,7,10.9,0.14,10,0.5,0.94
,09:34:33,6,21600,283.5,0.97,13.3,7,10.9,0.14,10,0.5,0.94
,09:34:34,6,21600,284.5,0.96,13.3,7,10.9,0.138,10,0.5,0.93
,09:34:35,6,21600,285.5,0.95,13.3,7,10.8,0.137,10,0.5,0.92
,09:34:36,6,21600,286.5,0.94,13.3,7,10.8,0.136,10,0.5,0.91
,09:34:37,6,21600,287.5,0.94,13.3,7,10.8,0.141,10,0.5,0.91
,09:34:38,6,21600,288.5,0.94,13.3,7,10.8,0.142,10,0.5,0.92
,09:34:39,6,21600,289.5,0.95,13.3,7,10.8,0.138,10,0.5,0.93
,09:34:40,6,21600,290.5,0.96,13.3,7,10.8,0.134,10,0.5,0.94
,09:34:41,6,21600,291.5,0.96,13.3,7,10.8,0.138,10,0.5,0.93
,09:34:42,6,21600,292.5,0.95,13.3,7,10.7,0.137,10,0.5,0.92
,09:34:43,6,21600,293.5,0.94,13.3,7,10.7,0.141,10,0.5,0.91
,09:34:44,6,21600,294.5,0.94,13.3,7,10.7,0.136,10,0.4,0.92
,09:34:45,6,21600,295.5,0.94,13.3,7,10.7,0.136,10,0.5,0.91
,09:34:46,6,21600,296.5,0.94,13.3,7,10.7,0.135,10,0.5,0.91
,09:34:47,6,21600,297.5,0.93,13.3,7,10.7,0.129,10,0.5,0.91
,09:34:48,6,21600,298.5,0.93,13.3,7,10.7,0.129,10,0.5,0.9
,09:34:49,6,21600,299.5,0.93,13.3,7,10.6,0.134,10,0.5,0.91
,09:34:50,6,21600,300.5,0.93,13.3,7,10.6,0.129,10,0.5,0.91
,09:34:51,6,21600,301.5,0.93,13.3,7,10.6,0.129,10,0.5,0.91
,09:34:52,6,21600,302.5,0.93,13.3,7,10.6,0.129,10,0.5,0.9
,09:34:53,6,21600,303.5,0.92,13.3,7,10.6,0.133,10,0.5,0.9
,09:34:54,6,21600,304.5,0.91,13.3,7,10.6,0.137,10,0.5,0.89
,09:34:55,6,21600,305.5,0.91,13.3,6,10.5,0.142,10,0.5,0.89
,09:34:56,6,21600,306.5,0.91,13.3,7,10.5,0.137,10,0.5,0.89
,09:34:57,6,21600,307.5,0.92,13.3,7,10.5,0.138,10,0.5,0.9
,09:34:58,6,21600,308.5,0.92,13.3,7,10.5,0.139,10,0.5,0.9
,09:34:59,6,21600,309.5,0.92,13.3,7,10.5,0.137,10,0.5,0.89
,09:35:00,6,21600,310.5,0.91,13.3,7,10.5,0.137,10,0.5,0.89
,09:35:01,6,21600,311.5,0.91,13.3,7,10.5,0.137,10,0.5,0.89
,09:35:02,6,21600,312.5,0.91,13.3,7,10.5,0.137,10,0.5,0.89
,09:35:03,6,21600,313.5,0.91,13.3,7,10.5,0.137,10,0.5,0.89
,09:35:04,6,21600,314.5,0.92,13.3,7,10.5,0.138,10,0.5,0.9
,09:35:05,6,21600,315.5,0.93,13.3,7,10.4,0.139,10,0.5,0.91
,09:35:06,6,21600,316.5,0.94,13.3,7,10.4,0.136,10,0.5,0.92
,09:35:07,6,21600,317.5,0.95,13.3,7,10.4,0.142,10,0.5,0.92
,09:35:08,6,21600,318.5,0.95,13.3,7,10.4,0.137,10,0.5,0.92
,09:35:09,6,21600,319.5,0.94,13.3,7,10.4,0.131,10,0.5,0.92
,09:35:10,6,21600,320.5,0.93,13.3,7,10.4,0.125,10,0.5,0.91
,09:35:11,6,21600,321.5,0.92,13.3,7,10.3,0.124,10,0.5,0.9
,09:35:12,6,21600,322.5,0.91,13.3,7,10.3,0.132,10,0.5,0.89
,09:35:13,6,21600,323.5,0.91,13.3,7,10.3,0.131,10,0.5,0.88
,09:35:14,6,21600,324.5,0.91,13.3,7,10.3,0.136,10,0.5,0.88
,09:35:15,6,21600,325.5,0.91,13.3,7,10.3,0.136,10,0.5,0.89
,09:35:16,6,21600,326.5,0.91,13.3,7,10.3,0.137,10,0.5,0.89
,09:35:17,6,21600,327.5,0.91,13.3,7,10.3,0.137,10,0.5,0.89
,09:35:18,6,21600,328.5,0.92,13.3,7,10.3,0.137,10,0.5,0.89
,09:35:19,6,21600,329.5,0.92,13.3,7,10.3,0.138,10,0.5,0.9
,09:35:20,6,21600,330.5,0.92,13.3,7,10.2,0.139,10,0.5,0.9
,09:35:21,6,21600,331.5,0.93,13.3,7,10.2,0.134,10,0.5,0.9
,09:35:22,6,21600,332.5,0.92,13.3,7,10.2,0.133,10,0.5,0.9
,09:35:23,6,21600,333.5,0.91,13.3,7,10.2,0.132,10,0.5,0.89
,09:35:24,6,21600,334.5,0.91,13.3,7,10.2,0.131,10,0.5,0.88
,09:35:25,6,21600,335.5,0.91,13.3,7,10.2,0.136,10,0.5,0.88
,09:35:26,6,21600,336.5,0.92,13.3,7,10.2,0.137,10,0.5,0.89
,09:35:27,6,21600,337.5,0.93,13.3,7,10.2,0.139,10,0.5,0.91
,09:35:28,6,21600,338.5,0.94,13.3,7,10.1,0.136,10,0.5,0.92
,09:35:29,6,21600,339.5,0.94,13.3,7,10.1,0.136,10,0.5,0.92
,09:35:30,6,21600,340.5,0.94,13.3,7,10.1,0.135,10,0.5,0.91
,09:35:31,6,21600,341.5,0.93,13.3,7,10.1,0.139,10,0.5,0.9
,09:35:32,6,21600,342.5,0.92,13.3,7,10.1,0.138,10,0.5,0.9
,09:35:33,6,21600,343.5,0.93,13.3,7,10.1,0.139,10,0.5,0.91
,09:35:34,6,21600,344.5,0.94,13.3,7,10.1,0.136,10,0.5,0.92
,09:35:35,6,21600,345.5,0.94,13.3,7,10.1,0.127,10,0.5,0.92
,09:35:36,6,21600,346.5,0.94,13.3,7,10,0.126,10,0.5,0.91
,09:35:37,6,21600,347.5,0.93,13.3,7,10.1,0.125,10,0.5,0.9
,09:35:38,6,21600,348.5,0.92,13.3,7,10,0.128,10,0.5,0.9
,09:35:39,6,21600,349.5,0.92,13.3,7,10,0.133,10,0.5,0.89
,09:35:40,6,21600,350.5,0.91,13.3,7,10,0.137,10,0.5,0.89
,09:35:41,6,21600,351.5,0.91,13.3,7,10,0.137,10,0.5,0.89
,09:35:42,6,21600,352.5,0.92,13.3,7,10,0.137,10,0.5,0.89
,09:35:43,6,21600,353.5,0.92,13.3,7,10,0.138,10,0.5,0.9
,09:35:44,6,21600,354.5,0.92,13.3,7,10,0.138,10,0.5,0.9
,09:35:45,6,21600,355.5,0.93,13.3,7,10,0.139,10,0.5,0.9
,09:35:46,6,21600,356.5,0.93,13.3,7,10,0.139,10,0.5,0.91
,09:35:47,6,21600,357.5,0.93,13.3,6,10,0.146,10,0.5,0.91
,09:35:48,6,21600,358.5,0.94,13.3,6,9.9,0.147,10,0.5,0.92
,09:35:49,6,21600,359.5,0.96,13.3,7,9.9,0.144,10,0.5,0.94
,09:35:50,6,21600,360.5,0.97,13.3,7,9.9,0.14,10,0.5,0.95
,09:35:51,6,21600,361.5,0.96,13.3,7,9.9,0.139,10,0.5,0.94
