Data file,,RA0.3_PAO_12C_003_45MINS.TSV,,,,,,,,,,
,10:05:40,4,2700,609.6,1.02,13.3,9,11.5,0.113,10,0.3,0.92
,10:05:41,4,2700,610.6,1.01,13.3,9,11.5,0.11,10,0.3,0.91
,10:05:42,4,2700,611.6,1.01,13.3,9,11.4,0.112,10,0.3,0.91
,10:05:43,4,2700,612.6,1,13.3,9,11.4,0.112,10,0.3,0.9
,10:05:44,4,2700,613.6,1,13.3,9,11.4,0.112,10,0.3,0.91
,10:05:45,4,2700,614.6,1.01,13.3,9,11.4,0.109,10,0.3,0.91
,10:05:46,4,2700,615.6,1.01,13.3,9,11.4,0.112,10,0.3,0.91
,10:05:47,4,2700,616.6,1.01,13.3,9,11.4,0.112,10,0.3,0.91
,10:05:48,4,2700,617.6,1,13.3,9,11.4,0.111,10,0.3,0.9
,10:05:49,4,2700,618.6,1,13.3,9,11.4,0.111,10,0.3,0.9
,10:05:50,4,2700,619.6,1,13.3,9,11.4,0.112,10,0.3,0.9
,10:05:51,4,2700,620.6,1.01,13.3,9,11.4,0.115,10,0.3,0.91
,10:05:52,4,2700,621.6,1.01,13.3,9,11.4,0.116,10,0.3,0.91
,10:05:53,4,2700,622.6,1.01,13.3,9,11.4,0.112,10,0.3,0.91
,10:05:54,4,2700,623.6,1.01,13.3,9,11.4,0.109,10,0.3,0.91
,10:05:55,4,2700,624.6,1.01,13.3,9,11.4,0.109,10,0.3,0.91
,10:05:56,4,2700,625.6,1.01,13.3,9,11.4,0.106,10,0.3,0.91
,10:05:57,4,2700,626.6,1,13.3,10,11.4,0.103,10,0.3,0.9
,10:05:58,4,2700,627.6,1,13.3,9,11.4,0.106,10,0.3,0.9
,10:05:59,4,2700,628.6,1,13.3,9,11.4,0.108,10,0.3,0.9
,10:06:00,4,2700,629.6,1,13.3,9,11.3,0.111,10,0.3,0.9
,10:06:01,4,2700,630.6,1,13.3,9,11.3,0.114,10,0.3,0.9
,10:06:02,4,2700,631.6,0.99,13.3,9,11.3,0.111,10,0.3,0.9
,10:06:03,4,2700,632.6,0.99,13.3,9,11.3,0.114,10,0.3,0.9
,10:06:04,4,2700,633.6,0.99,13.3,9,11.3,0.114,10,0.3,0.89
,10:06:05,4,2700,634.6,0.99,13.3,9,11.3,0.114,10,0.3,0.9
,10:06:06,4,2700,635.6,1,13.3,9,11.3,0.111,10,0.3,0.9
,10:06:07,4,2700,636.6,1,13.3,9,11.3,0.105,10,0.3,0.9
,10:06:08,4,2700,637.6,0.99,13.3,9,11.3,0.104,10,0.3,0.89
,10:06:09,4,2700,638.6,0.98,13.3,9,11.3,0.109,10,0.3,0.88
,10:06:10,4,2700,639.6,0.98,13.3,9,11.2,0.112,10,0.3,0.88
,10:06:11,4,2700,640.6,0.98,13.3,8,11.2,0.115,10,0.3,0.88
,10:06:12,4,2700,641.6,0.98,13.3,9,11.2,0.112,10,0.3,0.88
,10:06:13,4,2700,642.6,0.97,13.3,9,11.2,0.106,10,0.3,0.88
,10:06:14,4,2700,643.6,0.97,13.3,9,11.2,0.108,10,0.3,0.87
,10:06:15,4,2700,644.6,0.96,13.3,9,11.2,0.107,10,0.3,0.87
,10:06:16,4,2700,645.6,0.96,13.3,9,11.2,0.107,10,0.3,0.86
,10:06:17,4,2700,646.6,0.96,13.3,9,11.2,0.104,10,0.3,0.86
,10:06:18,4,2700,647.6,0.95,13.3,9,11.1,0.103,10,0.3,0.86
,10:06:19,4,2700,648.6,0.95,13.3,9,11.1,0.106,10,0.3,0.86
,10:06:20,4,2700,649.6,0.96,13.3,9,11.1,0.104,10,0.3,0.86
,10:06:21,4,2700,650.6,0.96,13.3,9,11.1,0.104,10,0.3,0.86
,10:06:22,4,2700,651.6,0.96,13.3,9,11.1,0.104,10,0.3,0.86
,10:06:23,4,2700,652.6,0.96,13.3,9,11.1,0.107,10,0.3,0.86
,10:06:24,4,2700,653.6,0.95,13.3,9,11.1,0.109,10,0.3,0.86
,10:06:25,4,2700,654.6,0.96,13.3,9,11,0.11,10,0.3,0.86
,10:06:26,4,2700,655.6,0.96,13.3,9,11,0.107,10,0.3,0.87
,10:06:27,4,2700,656.6,0.96,13.3,9,11,0.104,10,0.3,0.86
,10:06:28,4,2700,657.6,0.95,13.3,9,11,0.106,10,0.3,0.86
,10:06:29,4,2700,658.6,0.95,13.3,9,11,0.106,10,0.3,0.85
,10:06:30,4,2700,659.6,0.95,13.3,9,11,0.106,10,0.3,0.86
,10:06:31,4,2700,660.6,0.95,13.3,9,11,0.106,10,0.3,0.86
,10:06:32,4,2700,661.6,0.96,13.3,9,11,0.107,10,0.3,0.86
,10:06:33,4,2700,662.6,0.96,13.3,9,11,0.107,10,0.3,0.86
,10:06:34,4,2700,663.6,0.96,13.3,9,11,0.104,10,0.3,0.86
,10:06:35,4,2700,664.6,0.95,13.3,9,10.9,0.106,10,0.3,0.86
,10:06:36,4,2700,665.6,0.95,13.3,9,10.9,0.106,10,0.3,0.85
,10:06:37,4,2700,666.6,0.95,13.3,9,10.9,0.102,10,0.3,0.85
,10:06:38,4,2700,667.6,0.94,13.3,9,10.9,0.105,10,0.3,0.85
,10:06:39,4,2700,668.6,0.94,13.3,9,10.9,0.105,10,0.3,0.85
,10:06:40,4,2700,669.6,0.94,13.3,9,10.9,0.105,10,0.3,0.85
,10:06:41,4,2700,670.6,0.94,13.3,9,10.9,0.105,10,0.3,0.85
,10:06:42,4,2700,671.6,0.94,13.3,9,10.8,0.105,10,0.3,0.85
,10:06:43,4,2700,672.6,0.94,13.3,9,10.8,0.107,10,0.3,0.84
,10:06:44,4,2700,673.6,0.94,13.3,9,10.8,0.107,10,0.3,0.84
,10:06:45,4,2700,674.6,0.94,13.3,9,10.8,0.102,10,0.3,0.84
,10:06:46,4,2700,675.6,0.94,13.3,10,10.8,0.096,10,0.3,0.84
,10:06:47,4,2700,676.6,0.93,13.3,10,10.8,0.096,10,0.3,0.84
,10:06:48,4,2700,677.6,0.93,13.3,9,10.8,0.098,10,0.3,0.84
,10:06:49,4,2700,678.6,0.92,13.3,9,10.8,0.1,10,0.3,0.83
,10:06:50,4,2700,679.6,0.92,13.3,9,10.8,0.102,10,0.3,0.83
,10:06:51,4,2700,680.6,0.91,13.3,9,10.8,0.099,10,0.3,0.82
,10:06:52,4,2700,681.6,0.91,13.3,9,10.7,0.101,10,0.3,0.82
,10:06:53,4,2700,682.6,0.91,13.3,9,10.7,0.104,10,0.3,0.82
,10:06:54,4,2700,683.6,0.91,13.3,9,10.7,0.104,10,0.3,0.82
,10:06:55,4,2700,684.6,0.91,13.3,9,10.7,0.102,10,0.3,0.82
,10:06:56,4,2700,685.6,0.92,13.3,9,10.7,0.102,10,0.3,0.83
,10:06:57,4,2700,686.6,0.92,13.3,9,10.7,0.102,10,0.3,0.83
,10:06:58,4,2700,687.6,0.92,13.3,9,10.7,0.102,10,0.3,0.83
,10:06:59,4,2700,688.6,0.92,13.3,9,10.7,0.103,10,0.3,0.84
,10:07:00,4,2700,689.6,0.93,13.3,9,10.6,0.104,10,0.3,0.84
,10:07:01,4,2700,690.6,0.93,13.3,9,10.6,0.104,10,0.3,0.84
,10:07:02,4,2700,691.6,0.93,13.3,9,10.6,0.107,10,0.3,0.84
,10:07:03,4,2700,692.6,0.94,13.3,9,10.6,0.107,10,0.3,0.84
,10:07:04,4,2700,693.6,0.94,13.3,9,10.6,0.108,10,0.3,0.85
,10:07:05,4,2700,694.6,0.94,13.3,9,10.6,0.105,10,0.3,0.85
,10:07:06,4,2700,695.6,0.95,13.3,9,10.6,0.105,10,0.3,0.85
,10:07:07,4,2700,696.6,0.95,13.3,9,10.6,0.106,10,0.3,0.85
,10:07:08,4,2700,697.6,0.96,13.3,9,10.6,0.104,10,0.3,0.86
,10:07:09,4,2700,698.6,0.96,13.3,9,10.6,0.104,10,0.3,0.86
,10:07:10,4,2700,699.6,0.96,13.3,9,10.6,0.107,10,0.3,0.86
,10:07:11,4,2700,700.6,0.96,13.3,9,10.6,0.104,10,0.3,0.86
,10:07:12,4,2700,701.6,0.95,13.3,9,10.5,0.103,10,0.3,0.86
,10:07:13,4,2700,702.6,0.95,13.3,9,10.5,0.1,10,0.3,0.86
,10:07:14,4,2700,703.6,0.95,13.3,9,10.5,0.1,10,0.3,0.85
,10:07:15,4,2700,704.6,0.94,13.3,9,10.5,0.099,10,0.3,0.85
,10:07:16,4,2700,705.6,0.93,13.3,9,10.5,0.098,10,0.3,0.84
,10:07:17,4,2700,706.6,0.92,13.3,9,10.5,0.099,10,0.3,0.82
,10:07:18,4,2700,707.6,0.91,13.3,9,10.5,0.098,10,0.3,0.82
,10:07:19,4,2700,708.6,0.9,13.3,9,10.5,0.101,10,0.3,0.81
,10:07:20,4,2700,709.6,0.9,13.3,9,10.5,0.103,10,0.3,0.81
,10:07:21,4,2700,710.6,0.9,13.3,9,10.5,0.103,10,0.3,0.81
,10:07:22,4,2700,711.6,0.9,13.3,9,10.4,0.103,10,0.3,0.81
,10:07:23,4,2700,712.6,0.9,13.3,9,10.4,0.101,10,0.3,0.82
,10:07:24,4,2700,713.6,0.9,13.3,9,10.4,0.101,10,0.3,0.82
,10:07:25,4,2700,714.6,0.91,13.3,9,10.4,0.101,10,0.3,0.82
,10:07:26,4,2700,715.6,0.91,13.3,9,10.4,0.104,10,0.3,0.82
,10:07:27,4,2700,716.6,0.91,13.3,9,10.4,0.104,10,0.3,0.82
,10:07:28,4,2700,717.6,0.91,13.3,9,10.4,0.101,10,0.3,0.82
,10:07:29,4,2700,718.6,0.91,13.3,9,10.4,0.102,10,0.3,0.82
,10:07:30,4,2700,719.6,0.92,13.3,9,10.4,0.106,10,0.3,0.83
,10:07:31,4,2700,720.6,0.93,13.3,9,10.4,0.104,10,0.3,0.84
,10:07:32,4,2700,721.6,0.94,13.3,9,10.4,0.104,10,0.3,0.84
,10:07:33,4,2700,722.6,0.94,13.3,9,10.4,0.102,10,0.3,0.84
,10:07:34,4,2700,723.6,0.93,13.3,9,10.4,0.101,10,0.3,0.84
,10:07:35,4,2700,724.6,0.93,13.3,9,10.4,0.101,10,0.3,0.84
,10:07:36,4,2700,725.6,0.93,13.3,9,10.4,0.103,10,0.3,0.84
,10:07:37,4,2700,726.6,0.93,13.3,9,10.4,0.1,10,0.3,0.84
,10:07:38,4,2700,727.6,0.93,13.3,9,10.4,0.098,10,0.3,0.84
,10:07:39,4,2700,728.6,0.93,13.3,9,10.3,0.098,10,0.3,0.84
,10:07:40,4,2700,729.6,0.93,13.3,9,10.3,0.098,10,0.3,0.84
,10:07:41,4,2700,730.6,0.93,13.3,9,10.3,0.1,10,0.3,0.84
,10:07:42,4,2700,731.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:07:43,4,2700,732.6,0.93,13.3,9,10.3,0.104,10,0.3,0.84
,10:07:44,4,2700,733.6,0.93,13.3,9,10.3,0.106,10,0.3,0.84
,10:07:45,4,2700,734.6,0.93,13.3,8,10.3,0.109,10,0.3,0.84
,10:07:46,4,2700,735.6,0.93,13.3,9,10.3,0.107,10,0.3,0.84
,10:07:47,4,2700,736.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:07:48,4,2700,737.6,0.93,13.3,9,10.3,0.104,10,0.3,0.84
,10:07:49,4,2700,738.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:07:50,4,2700,739.6,0.92,13.3,9,10.3,0.105,10,0.3,0.83
,10:07:51,4,2700,740.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:07:52,4,2700,741.6,0.93,13.3,9,10.3,0.103,10,0.3,0.84
,10:07:53,4,2700,742.6,0.92,13.3,9,10.3,0.1,10,0.3,0.83
,10:07:54,4,2700,743.6,0.92,13.3,9,10.3,0.102,10,0.3,0.83
,10:07:55,4,2700,744.6,0.92,13.3,9,10.3,0.102,10,0.3,0.83
,10:07:56,4,2700,745.6,0.91,13.3,9,10.3,0.102,10,0.3,0.82
,10:07:57,4,2700,746.6,0.91,13.3,9,10.3,0.102,10,0.3,0.82
,10:07:58,4,2700,747.6,0.91,13.3,9,10.3,0.105,10,0.3,0.82
,10:07:59,4,2700,748.6,0.92,13.3,9,10.3,0.105,10,0.3,0.83
,10:08:00,4,2700,749.6,0.92,13.3,9,10.3,0.106,10,0.3,0.83
,10:08:01,4,2700,750.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:08:02,4,2700,751.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:08:03,4,2700,752.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:08:04,4,2700,753.6,0.93,13.3,9,10.3,0.103,10,0.3,0.84
,10:08:05,4,2700,754.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:06,4,2700,755.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:07,4,2700,756.6,0.93,13.3,9,10.3,0.104,10,0.3,0.84
,10:08:08,4,2700,757.6,0.93,13.3,9,10.3,0.103,10,0.3,0.84
,10:08:09,4,2700,758.6,0.93,13.3,9,10.3,0.103,10,0.3,0.84
,10:08:10,4,2700,759.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:11,4,2700,760.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:12,4,2700,761.6,0.94,13.3,9,10.2,0.102,10,0.3,0.84
,10:08:13,4,2700,762.6,0.94,13.3,9,10.2,0.102,10,0.3,0.85
,10:08:14,4,2700,763.6,0.94,13.3,9,10.2,0.102,10,0.3,0.84
,10:08:15,4,2700,764.6,0.93,13.3,9,10.2,0.098,10,0.3,0.84
,10:08:16,4,2700,765.6,0.93,13.3,9,10.2,0.098,10,0.3,0.84
,10:08:17,4,2700,766.6,0.93,13.3,9,10.2,0.098,10,0.3,0.84
,10:08:18,4,2700,767.6,0.93,13.3,9,10.2,0.1,10,0.3,0.84
,10:08:19,4,2700,768.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:20,4,2700,769.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:21,4,2700,770.6,0.93,13.3,9,10.3,0.101,10,0.3,0.84
,10:08:22,4,2700,771.6,0.93,13.3,9,10.3,0.1,10,0.3,0.84
,10:08:23,4,2700,772.6,0.92,13.3,9,10.2,0.1,10,0.3,0.83
,10:08:24,4,2700,773.6,0.92,13.3,9,10.3,0.099,10,0.3,0.83
,10:08:25,4,2700,774.6,0.91,13.3,9,10.3,0.102,10,0.3,0.82
,10:08:26,4,2700,775.6,0.9,13.3,9,10.3,0.101,10,0.3,0.82
,10:08:27,4,2700,776.6,0.9,13.3,9,10.3,0.101,10,0.3,0.81
,10:08:28,4,2700,777.6,0.9,13.3,9,10.3,0.101,10,0.3,0.82
,10:08:29,4,2700,778.6,0.91,13.3,9,10.3,0.102,10,0.3,0.83
,10:08:30,4,2700,779.6,0.92,13.3,9,10.3,0.102,10,0.3,0.82
,10:08:31,4,2700,780.6,0.91,13.3,9,10.3,0.104,10,0.3,0.82
,10:08:32,4,2700,781.6,0.91,13.3,9,10.3,0.104,10,0.3,0.82
,10:08:33,4,2700,782.6,0.91,13.3,8,10.3,0.108,10,0.3,0.82
,10:08:34,4,2700,783.6,0.92,13.3,9,10.3,0.105,10,0.3,0.83
,10:08:35,4,2700,784.6,0.92,13.3,9,10.3,0.106,10,0.3,0.83
,10:08:36,4,2700,785.6,0.93,13.3,9,10.3,0.106,10,0.3,0.84
,10:08:37,4,2700,786.6,0.93,13.3,9,10.3,0.107,10,0.3,0.84
,10:08:38,4,2700,787.6,0.94,13.3,9,10.3,0.107,10,0.3,0.84
,10:08:39,4,2700,788.6,0.93,13.3,9,10.3,0.104,10,0.3,0.84
,10:08:40,4,2700,789.6,0.93,13.3,9,10.3,0.107,10,0.3,0.84
,10:08:41,4,2700,790.6,0.93,13.3,9,10.3,0.106,10,0.3,0.84
,10:08:42,4,2700,791.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:08:43,4,2700,792.6,0.92,13.3,9,10.3,0.1,10,0.3,0.83
,10:08:44,4,2700,793.6,0.92,13.3,9,10.3,0.099,10,0.3,0.83
,10:08:45,4,2700,794.6,0.92,13.3,9,10.3,0.102,10,0.3,0.83
,10:08:46,4,2700,795.6,0.91,13.3,9,10.3,0.102,10,0.3,0.82
,10:08:47,4,2700,796.6,0.91,13.3,9,10.3,0.102,10,0.3,0.82
,10:08:48,4,2700,797.6,0.91,13.3,9,10.3,0.099,10,0.3,0.82
,10:08:49,4,2700,798.6,0.92,13.3,9,10.3,0.099,10,0.3,0.83
,10:08:50,4,2700,799.6,0.92,13.3,9,10.3,0.102,10,0.3,0.83
,10:08:51,4,2700,800.6,0.92,13.3,9,10.3,0.103,10,0.3,0.83
,10:08:52,4,2700,801.6,0.92,13.3,9,10.3,0.1,10,0.3,0.83
,10:08:53,4,2700,802.6,0.92,13.3,9,10.3,0.097,10,0.3,0.83
,10:08:54,4,2700,803.6,0.92,13.3,9,10.3,0.097,10,0.3,0.83
,10:08:55,4,2700,804.6,0.92,13.3,9,10.3,0.099,10,0.3,0.83
,10:08:56,4,2700,805.6,0.92,13.3,9,10.3,0.099,10,0.3,0.83
,10:08:57,4,2700,806.6,0.92,13.3,9,10.4,0.102,10,0.3,0.83
,10:08:58,4,2700,807.6,0.92,13.3,9,10.4,0.102,10,0.3,0.83
,10:08:59,4,2700,808.6,0.92,13.3,9,10.4,0.105,10,0.3,0.83
,10:09:00,4,2700,809.6,0.92,13.3,9,10.4,0.106,10,0.3,0.83
,10:09:01,4,2700,810.6,0.93,13.3,9,10.4,0.103,10,0.3,0.84
,10:09:02,4,2700,811.6,0.93,13.3,9,10.4,0.101,10,0.3,0.84
,10:09:03,4,2700,812.6,0.93,13.3,9,10.4,0.104,10,0.3,0.84
,10:09:04,4,2700,813.6,0.93,13.3,9,10.4,0.104,10,0.3,0.84
,10:09:05,4,2700,814.6,0.92,13.3,9,10.4,0.106,10,0.3,0.83
,10:09:06,4,2700,815.6,0.92,13.3,9,10.4,0.102,10,0.3,0.83
,10:09:07,4,2700,816.6,0.92,13.3,9,10.4,0.103,10,0.3,0.83
,10:09:08,4,2700,817.6,0.93,13.3,9,10.4,0.103,10,0.3,0.84
,10:09:09,4,2700,818.6,0.93,13.3,9,10.4,0.104,10,0.3,0.84
,10:09:10,4,2700,819.6,0.92,13.3,9,10.4,0.106,10,0.3,0.83
,10:09:11,4,2700,820.6,0.92,13.3,9,10.4,0.103,10,0.3,0.83
,10:09:12,4,2700,821.6,0.93,13.3,9,10.4,0.103,10,0.3,0.84
,10:09:13,4,2700,822.6,0.93,13.3,9,10.5,0.103,10,0.3,0.84
,10:09:14,4,2700,823.6,0.93,13.3,9,10.5,0.104,10,0.3,0.84
,10:09:15,4,2700,824.6,0.93,13.3,9,10.5,0.104,10,0.3,0.84
,10:09:16,4,2700,825.6,0.93,13.3,9,10.5,0.104,10,0.3,0.84
,10:09:17,4,2700,826.6,0.93,13.3,9,10.5,0.104,10,0.3,0.84
,10:09:18,4,2700,827.6,0.92,13.3,9,10.5,0.103,10,0.3,0.83
,10:09:19,4,2700,828.6,0.92,13.3,9,10.5,0.099,10,0.3,0.83
,10:09:20,4,2700,829.6,0.91,13.3,9,10.5,0.096,10,0.3,0.82
,10:09:21,4,2700,830.6,0.91,13.3,9,10.5,0.096,10,0.3,0.82
,10:09:22,4,2700,831.6,0.91,13.3,9,10.5,0.096,10,0.3,0.82
,10:09:23,4,2700,832.6,0.91,13.3,9,10.5,0.099,10,0.3,0.82
,10:09:24,4,2700,833.6,0.91,13.3,9,10.5,0.101,10,0.3,0.82
,10:09:25,4,2700,834.6,0.91,13.3,9,10.5,0.101,10,0.3,0.82
,10:09:26,4,2700,835.6,0.91,13.3,9,10.5,0.101,10,0.3,0.82
,10:09:27,4,2700,836.6,0.91,13.3,9,10.5,0.101,10,0.3,0.82
,10:09:28,4,2700,837.6,0.9,13.3,9,10.6,0.104,10,0.3,0.82
,10:09:29,4,2700,838.6,0.91,13.3,9,10.6,0.104,10,0.3,0.82
,10:09:30,4,2700,839.6,0.92,13.3,9,10.6,0.102,10,0.3,0.83
,10:09:31,4,2700,840.6,0.92,13.3,9,10.6,0.103,10,0.3,0.83
,10:09:32,4,2700,841.6,0.92,13.3,9,10.6,0.102,10,0.3,0.83
,10:09:33,4,2700,842.6,0.92,13.3,9,10.6,0.102,10,0.3,0.83
,10:09:34,4,2700,843.6,0.92,13.3,9,10.6,0.102,10,0.3,0.83
,10:09:35,4,2700,844.6,0.91,13.3,9,10.6,0.102,10,0.3,0.82
,10:09:36,4,2700,845.6,0.91,13.3,9,10.6,0.099,10,0.3,0.82
,10:09:37,4,2700,846.6,0.91,13.3,9,10.7,0.099,10,0.3,0.82
,10:09:38,4,2700,847.6,0.92,13.3,9,10.7,0.097,10,0.3,0.83
,10:09:39,4,2700,848.6,0.92,13.3,9,10.7,0.097,10,0.3,0.83
,10:09:40,4,2700,849.6,0.92,13.3,9,10.7,0.097,10,0.3,0.83
,10:09:41,4,2700,850.6,0.91,13.3,9,10.7,0.099,10,0.3,0.82
,10:09:42,4,2700,851.6,0.91,13.3,9,10.7,0.098,10,0.3,0.82
,10:09:43,4,2700,852.6,0.91,13.3,9,10.7,0.101,10,0.3,0.82
,10:09:44,4,2700,853.6,0.9,13.3,9,10.7,0.101,10,0.3,0.82
,10:09:45,4,2700,854.6,0.91,13.3,9,10.7,0.101,10,0.3,0.82
,10:09:46,4,2700,855.6,0.91,13.3,9,10.7,0.101,10,0.3,0.82
,10:09:47,4,2700,856.6,0.91,13.3,9,10.7,0.105,10,0.3,0.83
,10:09:48,4,2700,857.6,0.92,13.3,9,10.7,0.105,10,0.3,0.83
,10:09:49,4,2700,858.6,0.92,13.3,9,10.8,0.102,10,0.3,0.83
,10:09:50,4,2700,859.6,0.91,13.3,9,10.8,0.105,10,0.3,0.82
,10:09:51,4,2700,860.6,0.91,13.3,9,10.8,0.105,10,0.3,0.82
,10:09:52,4,2700,861.6,0.91,13.3,9,10.8,0.101,10,0.3,0.82
,10:09:53,4,2700,862.6,0.91,13.3,9,10.8,0.101,10,0.3,0.82
,10:09:54,4,2700,863.6,0.9,13.3,9,10.8,0.101,10,0.3,0.82
,10:09:55,4,2700,864.6,0.91,13.3,9,10.8,0.101,10,0.3,0.82
,10:09:56,4,2700,865.6,0.91,13.3,9,10.8,0.102,10,0.3,0.82
,10:09:57,4,2700,866.6,0.91,13.3,9,10.8,0.101,10,0.3,0.82
,10:09:58,4,2700,867.6,0.91,13.3,9,10.9,0.096,10,0.3,0.82
,10:09:59,4,2700,868.6,0.9,13.3,10,10.9,0.093,10,0.3,0.82
,10:10:00,4,2700,869.6,0.9,13.3,9,10.9,0.095,10,0.3,0.81
,10:10:01,4,2700,870.6,0.9,13.3,9,10.9,0.098,10,0.3,0.81
,10:10:02,4,2700,871.6,0.9,13.3,9,10.9,0.101,10,0.3,0.81
,10:10:03,4,2700,872.6,0.9,13.3,9,10.9,0.101,10,0.3,0.82
,10:10:04,4,2700,873.6,0.91,13.3,9,10.9,0.101,10,0.3,0.82
,10:10:05,4,2700,874.6,0.91,13.3,9,10.9,0.101,10,0.3,0.82
,10:10:06,4,2700,875.6,0.91,13.3,9,10.9,0.101,10,0.3,0.82
,10:10:07,4,2700,876.6,0.91,13.3,9,11,0.101,10,0.3,0.82
,10:10:08,4,2700,877.6,0.91,13.3,9,11,0.101,10,0.3,0.82
,10:10:09,4,2700,878.6,0.91,13.3,9,11,0.101,10,0.3,0.82
,10:10:10,4,2700,879.6,0.9,13.3,9,11,0.101,10,0.3,0.82
,10:10:11,4,2700,880.6,0.9,13.3,9,11,0.098,10,0.3,0.81
,10:10:12,4,2700,881.6,0.9,13.3,9,11,0.098,10,0.3,0.81
,10:10:13,4,2700,882.6,0.9,13.3,9,11,0.098,10,0.3,0.81
,10:10:14,4,2700,883.6,0.9,13.3,9,11,0.101,10,0.3,0.81
,10:10:15,4,2700,884.6,0.9,13.3,9,11.1,0.104,10,0.3,0.82
,10:10:16,4,2700,885.6,0.91,13.3,9,11.1,0.101,10,0.3,0.82
,10:10:17,4,2700,886.6,0.91,13.3,9,11.1,0.101,10,0.3,0.82
,10:10:18,4,2700,887.6,0.91,13.3,9,11.1,0.101,10,0.3,0.82
,10:10:19,4,2700,888.6,0.91,13.3,9,11.1,0.101,10,0.3,0.82
,10:10:20,4,2700,889.6,0.91,13.3,9,11.1,0.098,10,0.3,0.82
,10:10:21,4,2700,890.6,0.91,13.3,9,11.1,0.098,10,0.3,0.82
,10:10:22,4,2700,891.6,0.91,13.3,9,11.1,0.099,10,0.3,0.82
