Data file,,RA0.3_PAO_12C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,17/03/2016,,,,,,,,,,
Lubricant,,PAO68,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 09:55:30 on 17/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:05:15,4,2700,584.6,0.03,0,9,12,0.003,10,0.3,0.02
,10:05:16,4,2700,585.6,0.16,0,9,12,0.018,10,0.4,0.17
,10:05:17,4,2700,586.6,0.47,4.4,9,12,0.049,10,0.3,0.45
,10:05:18,4,2700,587.6,0.83,12,9,12,0.087,10,0.3,0.78
,10:05:19,4,2700,588.6,1.06,13.3,10,11.9,0.109,10,0.3,0.96
,10:05:20,4,2700,589.6,1.12,13.3,10,11.9,0.115,10,0.3,1.01
,10:05:21,4,2700,590.6,1.12,13.3,10,11.9,0.115,10,0.3,1.01
,10:05:22,4,2700,591.6,1.11,13.3,9,11.9,0.12,10,0.3,1
,10:05:23,4,2700,592.6,1.09,13.3,9,11.9,0.121,10,0.3,0.98
,10:05:24,4,2700,593.6,1.07,13.3,9,11.8,0.116,10,0.3,0.97
,10:05:25,4,2700,594.6,1.06,13.3,9,11.8,0.115,10,0.4,0.96
,10:05:26,4,2700,595.6,1.06,13.3,9,11.8,0.115,10,0.3,0.95
,10:05:27,4,2700,596.6,1.05,13.3,9,11.8,0.114,10,0.3,0.95
,10:05:28,4,2700,597.6,1.05,13.3,9,11.8,0.114,10,0.3,0.95
,10:05:29,4,2700,598.6,1.05,13.3,9,11.7,0.113,10,0.3,0.94
,10:05:30,4,2700,599.6,1.04,13.3,9,11.7,0.113,10,0.3,0.94
,10:05:31,4,2700,600.6,1.03,13.3,9,11.7,0.112,10,0.3,0.93
,10:05:32,4,2700,601.6,1.03,13.3,9,11.7,0.111,10,0.3,0.93
,10:05:33,4,2700,602.6,1.02,13.3,9,11.6,0.114,10,0.3,0.92
,10:05:34,4,2700,603.6,1.02,13.3,9,11.6,0.117,10,0.3,0.92
,10:05:35,4,2700,604.6,1.01,13.3,9,11.6,0.113,10,0.3,0.91
,10:05:36,4,2700,605.6,1.02,13.3,9,11.5,0.113,10,0.3,0.91
,10:05:37,4,2700,606.6,1.02,13.3,9,11.5,0.113,10,0.3,0.92
,10:05:38,4,2700,607.6,1.02,13.3,9,11.5,0.114,10,0.3,0.92
,10:05:39,4,2700,608.6,1.02,13.3,9,11.5,0.111,10,0.3,0.92
