Data file,,SORONA_ISO10_-8C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:10:35 on 04/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:11:23,4,3600,48.3,0.03,0,7,-8.6,0.004,10,4.3,0.04
,13:11:24,4,3600,49.3,0.2,0.4,7,-8.6,0.03,10,3.7,0.2
,13:11:25,4,3600,50.3,0.4,5.1,7,-8.6,0.058,10,3.3,0.4
,13:11:26,4,3600,51.3,0.61,12.1,7,-8.6,0.085,10,3,0.58
,13:11:27,4,3600,52.3,0.66,13.3,7,-8.6,0.092,10,2.6,0.62
,13:11:28,4,3600,53.3,0.68,13.3,7,-8.6,0.094,10,2.6,0.63
,13:11:29,4,3600,54.3,0.67,13.3,7,-8.6,0.091,10,3.6,0.63
,13:11:30,4,3600,55.3,0.67,13.3,7,-8.6,0.091,10,3.7,0.63
,13:11:31,4,3600,56.3,0.68,13.3,7,-8.6,0.094,10,3.6,0.63
,13:11:32,4,3600,57.3,0.68,13.3,7,-8.6,0.098,10,3.6,0.63
,13:11:33,4,3600,58.3,0.68,13.3,7,-8.6,0.098,10,3,0.63
,13:11:34,4,3600,59.3,0.68,13.3,7,-8.7,0.098,10,2.4,0.63
,13:11:35,4,3600,60.3,0.68,13.3,7,-8.7,0.094,10,2.1,0.63
,13:11:36,4,3600,61.3,0.68,13.3,7,-8.7,0.098,10,2.6,0.63
,13:11:37,4,3600,62.3,0.68,13.3,7,-8.7,0.098,10,2.3,0.63
,13:11:38,4,3600,63.3,0.68,13.3,7,-8.7,0.098,10,2.1,0.63
,13:11:39,4,3600,64.3,0.68,13.3,7,-8.8,0.094,10,2.1,0.63
,13:11:40,4,3600,65.3,0.68,13.3,7,-8.8,0.094,10,1.7,0.63
,13:11:41,4,3600,66.3,0.68,13.3,7,-8.8,0.095,10,1.3,0.64
,13:11:42,4,3600,67.3,0.68,13.3,7,-8.8,0.099,10,1.4,0.64
,13:11:43,4,3600,68.3,0.69,13.3,7,-8.8,0.099,10,3.2,0.64
,13:11:44,4,3600,69.3,0.69,13.3,7,-8.8,0.103,10,3.8,0.64
,13:11:45,4,3600,70.3,0.69,13.3,7,-8.8,0.099,10,4,0.64
,13:11:46,4,3600,71.3,0.69,13.3,7,-8.8,0.099,10,5.1,0.64
