Data file,,RA0.3_PDMS_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silicone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:08:43 on 07/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:13:46,4,2700,303.1,0.02,0,9,11.9,0.002,10,0,0.02
,15:13:47,4,2700,304.1,0.28,0.6,9,11.9,0.032,10,0.1,0.3
,15:13:48,4,2700,305.1,0.64,5,9,11.9,0.07,10,0.1,0.64
,15:13:49,4,2700,306.1,1.02,11.1,9,11.9,0.108,10,0.3,0.99
,15:13:50,4,2700,307.1,1.14,13.3,9,11.9,0.12,10,0.6,1.07
,15:13:51,4,2700,308.1,1.17,13.3,10,11.9,0.12,10,0.7,1.09
,15:13:52,4,2700,309.1,1.17,13.3,10,11.9,0.117,10,0.7,1.09
,15:13:53,4,2700,310.1,1.16,13.3,10,11.8,0.116,10,0.7,1.08
,15:13:54,4,2700,311.1,1.15,13.3,9,11.8,0.121,10,0.7,1.08
,15:13:55,4,2700,312.1,1.14,13.3,9,11.8,0.124,10,0.7,1.07
,15:13:56,4,2700,313.1,1.14,13.3,9,11.8,0.123,10,0.7,1.06
,15:13:57,4,2700,314.1,1.13,13.3,9,11.8,0.122,10,0.7,1.06
,15:13:58,4,2700,315.1,1.12,13.3,9,11.8,0.122,10,0.7,1.05
,15:13:59,4,2700,316.1,1.12,13.3,9,11.7,0.125,10,0.7,1.05
,15:14:00,4,2700,317.1,1.12,13.3,9,11.7,0.121,10,0.7,1.05
,15:14:01,4,2700,318.1,1.11,13.3,9,11.7,0.117,10,0.6,1.04
,15:14:02,4,2700,319.1,1.11,13.3,9,11.7,0.12,10,0.6,1.04
,15:14:03,4,2700,320.1,1.11,13.3,9,11.7,0.123,10,0.5,1.04
,15:14:04,4,2700,321.1,1.1,13.3,9,11.6,0.123,10,0.5,1.03
,15:14:05,4,2700,322.1,1.1,13.3,9,11.6,0.123,10,0.4,1.03
,15:14:06,4,2700,323.1,1.1,13.3,9,11.5,0.122,10,0.3,1.03
,15:14:07,4,2700,324.1,1.1,13.3,9,11.5,0.119,10,0.3,1.03
,15:14:08,4,2700,325.1,1.1,13.3,9,11.5,0.119,10,0.3,1.03
,15:14:09,4,2700,326.1,1.1,13.3,9,11.5,0.119,10,0.3,1.03
,15:14:10,4,2700,327.1,1.09,13.3,9,11.5,0.118,10,0.3,1.02
