Data file,,PEEK_HEF_T42_PE9.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,03/04/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 18:45:15 on 03/04/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t42_pe9-h001.tsv,,,,,,,,,,
,18:47:18,6,10790,122.1,0.69,13.3,7,22,0.093,10,50,0.67
,18:47:19,6,10790,123.1,0.69,13.3,7,22,0.095,10,49.9,0.66
,18:47:20,6,10790,124.1,0.69,13.3,7,22,0.096,10,50,0.67
,18:47:21,6,10790,125.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:47:22,6,10790,126.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:47:23,6,10790,127.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:47:24,6,10790,128.1,0.7,13.3,7,22,0.097,10,50,0.67
,18:47:25,6,10790,129.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:47:26,6,10790,130.1,0.69,13.3,7,22,0.1,10,50,0.67
,18:47:27,6,10790,131.1,0.68,13.3,7,22,0.102,10,49.9,0.66
,18:47:30,6,10790,132.1,0.68,13.3,7,22,0.098,10,50,0.65
,18:47:31,6,10790,133.1,0.67,13.3,7,22,0.097,10,49.9,0.65
,18:47:33,6,10790,134.1,0.67,13.3,7,22,0.093,10,50,0.65
,18:47:35,6,10790,135.1,0.7,13.3,7,22,0.097,10,50,0.67
,18:47:36,6,10790,136.1,0.7,13.3,7,22,0.097,10,49.9,0.67
,18:47:37,6,10790,137.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:47:38,6,10790,138.1,0.66,13.3,7,22,0.091,10,49.9,0.63
,18:47:39,6,10790,139.1,0.65,13.3,7,22,0.094,10,49.9,0.63
,18:47:40,6,10790,140.1,0.66,13.3,7,22,0.095,10,49.9,0.64
,18:47:41,6,10790,141.1,0.67,13.3,7,22,0.094,10,49.9,0.65
,18:47:42,6,10790,142.1,0.67,13.3,7,22,0.094,10,49.9,0.65
,18:47:43,6,10790,143.1,0.67,13.3,7,22,0.094,10,49.9,0.65
,18:47:44,6,10790,144.1,0.68,13.3,7,22,0.094,10,49.9,0.65
,18:47:45,6,10790,145.1,0.68,13.3,7,22,0.095,10,50,0.66
,18:47:46,6,10790,146.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:47:47,6,10790,147.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:47:48,6,10790,148.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:47:49,6,10790,149.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:47:50,6,10790,150.1,0.67,13.3,7,22,0.094,10,50,0.65
,18:47:51,6,10790,151.1,0.67,13.3,7,22,0.093,10,49.9,0.64
,18:47:52,6,10790,152.1,0.66,13.3,7,22,0.092,10,49.9,0.64
,18:47:53,6,10790,153.1,0.67,13.3,7,22,0.096,10,50,0.64
,18:47:54,6,10790,154.1,0.67,13.3,7,22,0.097,10,49.9,0.65
,18:47:55,6,10790,155.1,0.68,13.3,7,22,0.094,10,50,0.65
,18:47:56,6,10790,156.1,0.67,13.3,7,22,0.093,10,49.9,0.64
,18:47:57,6,10790,157.1,0.66,13.3,7,22,0.095,10,49.9,0.64
,18:47:58,6,10790,158.1,0.66,13.3,7,22,0.096,10,50,0.64
,18:47:59,6,10790,159.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:48:00,6,10790,160.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:48:01,6,10790,161.1,0.68,13.3,7,22,0.094,10,49.9,0.65
,18:48:02,6,10790,162.1,0.67,13.3,7,22,0.094,10,50,0.65
,18:48:03,6,10790,163.1,0.68,13.3,7,22,0.095,10,50,0.66
,18:48:04,6,10790,164.1,0.7,13.3,7,22,0.094,10,49.9,0.67
,18:48:05,6,10790,165.1,0.71,13.3,7,22,0.095,10,49.9,0.68
,18:48:06,6,10790,166.1,0.71,13.3,7,22,0.096,10,49.9,0.69
,18:48:07,6,10790,167.1,0.71,13.3,7,22,0.099,10,50,0.69
,18:48:08,6,10790,168.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:48:09,6,10790,169.1,0.7,13.3,7,22,0.101,10,49.9,0.68
,18:48:10,6,10790,170.1,0.7,13.3,7,22,0.101,10,50,0.67
,18:48:11,6,10790,171.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:48:12,6,10790,172.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:48:13,6,10790,173.1,0.72,13.3,7,22,0.1,10,49.9,0.7
,18:48:14,6,10790,174.1,0.74,13.3,7,22,0.103,10,49.9,0.71
,18:48:15,6,10790,175.1,0.75,13.3,7,22,0.109,10,49.9,0.73
,18:48:16,6,10790,176.1,0.75,13.3,7,22,0.108,10,50,0.72
,18:48:17,6,10790,177.1,0.73,13.3,7,22,0.106,10,49.9,0.7
,18:48:18,6,10790,178.1,0.71,13.3,7,22,0.103,10,49.9,0.68
,18:48:19,6,10790,179.1,0.69,13.3,7,22,0.1,10,49.9,0.67
,18:48:20,6,10790,180.1,0.69,13.3,7,22,0.099,10,49.9,0.66
,18:48:21,6,10790,181.1,0.7,13.3,7,22,0.1,10,49.9,0.67
,18:48:22,6,10790,182.1,0.71,13.3,7,22,0.102,10,49.9,0.68
,18:48:23,6,10790,183.1,0.71,13.3,7,22,0.098,10,50,0.68
,18:48:24,6,10790,184.1,0.71,13.3,7,22,0.098,10,49.9,0.68
,18:48:25,6,10790,185.1,0.69,13.3,7,22,0.097,10,49.9,0.67
,18:48:26,6,10790,186.1,0.69,13.3,7,21,0.096,10,49.9,0.67
,18:48:27,6,10790,187.1,0.68,13.3,7,21,0.098,10,49.9,0.66
,18:48:28,6,10790,188.1,0.69,13.3,7,21,0.103,10,49.9,0.66
,18:48:29,6,10790,189.1,0.68,13.3,7,21,0.098,10,49.9,0.66
,18:48:30,6,10790,190.1,0.69,13.3,7,22,0.095,10,49.9,0.66
,18:48:31,6,10790,191.1,0.69,13.3,7,22,0.095,10,49.9,0.66
,18:48:32,6,10790,192.1,0.69,13.3,7,22,0.095,10,50,0.66
,18:48:33,6,10790,193.1,0.69,13.3,7,22,0.095,10,49.9,0.66
,18:48:34,6,10790,194.1,0.69,13.3,7,22,0.099,10,49.9,0.67
,18:48:35,6,10790,195.1,0.7,13.3,7,22,0.094,10,49.9,0.68
,18:48:36,6,10790,196.1,0.71,13.3,7,22,0.095,10,49.9,0.68
,18:48:37,6,10790,197.1,0.72,13.3,7,22,0.097,10,50,0.7
,18:48:38,6,10790,198.1,0.74,13.3,7,22,0.1,10,49.9,0.72
,18:48:39,6,10790,199.1,0.77,13.3,7,22,0.107,10,49.9,0.75
,18:48:40,6,10790,200.1,0.79,13.3,7,22,0.109,10,49.9,0.76
,18:48:41,6,10790,201.1,0.79,13.3,7,22,0.114,10,50,0.76
,18:48:42,6,10790,202.1,0.78,13.3,7,22,0.112,10,49.9,0.74
,18:48:43,6,10790,203.1,0.76,13.3,7,22,0.109,10,49.9,0.73
,18:48:44,6,10790,204.1,0.74,13.3,7,22,0.107,10,50,0.71
,18:48:45,6,10790,205.1,0.74,13.3,7,22,0.107,10,49.9,0.71
,18:48:46,6,10790,206.1,0.74,13.3,7,22,0.107,10,49.9,0.72
,18:48:47,6,10790,207.1,0.74,13.3,7,22,0.107,10,49.9,0.72
,18:48:48,6,10790,208.1,0.74,13.3,7,22,0.107,10,49.9,0.71
,18:48:49,6,10790,209.1,0.74,13.3,7,22,0.102,10,49.9,0.71
,18:48:50,6,10790,210.1,0.73,13.3,7,22,0.101,10,50,0.7
,18:48:51,6,10790,211.1,0.71,13.3,7,22,0.099,10,50,0.69
,18:48:52,6,10790,212.1,0.7,13.3,7,22,0.095,10,50,0.68
,18:48:53,6,10790,213.1,0.7,13.3,8,22,0.091,10,49.9,0.68
,18:48:54,6,10790,214.1,0.7,13.3,7,22,0.095,10,49.9,0.68
,18:48:55,6,10790,215.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:48:56,6,10790,216.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:48:57,6,10790,217.1,0.7,13.3,7,22,0.101,10,49.9,0.68
,18:48:58,6,10790,218.1,0.7,13.3,7,22,0.102,10,49.9,0.68
,18:48:59,6,10790,219.1,0.69,13.3,7,22,0.1,10,49.9,0.67
,18:49:00,6,10790,220.1,0.69,13.3,7,22,0.099,10,49.9,0.66
,18:49:01,6,10790,221.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:49:02,6,10790,222.1,0.68,13.3,7,22,0.101,10,49.9,0.65
,18:49:03,6,10790,223.1,0.67,13.3,7,22,0.097,10,49.9,0.65
,18:49:04,6,10790,224.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:49:05,6,10790,225.1,0.7,13.3,7,22,0.098,10,50,0.68
,18:49:06,6,10790,226.1,0.7,13.3,7,22,0.097,10,49.9,0.67
,18:49:07,6,10790,227.1,0.69,13.3,7,22,0.1,10,50,0.67
,18:49:08,6,10790,228.1,0.68,13.3,7,21,0.095,10,50,0.65
,18:49:09,6,10790,229.1,0.68,13.3,7,21,0.094,10,49.9,0.65
,18:49:10,6,10790,230.1,0.67,13.3,7,21,0.093,10,50,0.64
,18:49:11,6,10790,231.1,0.66,13.3,7,21,0.092,10,49.9,0.63
,18:49:12,6,10790,232.1,0.67,13.3,7,22,0.096,10,49.9,0.64
,18:49:13,6,10790,233.1,0.67,13.3,7,22,0.101,10,49.9,0.65
,18:49:14,6,10790,234.1,0.69,13.3,7,22,0.099,10,49.9,0.67
,18:49:15,6,10790,235.1,0.7,13.3,7,22,0.101,10,50,0.68
,18:49:16,6,10790,236.1,0.72,13.3,7,22,0.104,10,49.9,0.7
,18:49:17,6,10790,237.1,0.72,13.3,7,22,0.104,10,49.9,0.7
,18:49:18,6,10790,238.1,0.71,13.3,7,22,0.099,10,49.9,0.68
,18:49:19,6,10790,239.1,0.68,13.3,7,22,0.092,10,50,0.66
,18:49:20,6,10790,240.1,0.67,13.3,7,22,0.09,10,49.9,0.64
,18:49:21,6,10790,241.1,0.66,13.3,7,22,0.089,10,49.9,0.64
,18:49:22,6,10790,242.1,0.68,13.3,7,22,0.091,10,49.9,0.66
,18:49:23,6,10790,243.1,0.7,13.3,7,22,0.094,10,50,0.67
,18:49:24,6,10790,244.1,0.72,13.3,7,22,0.101,10,49.9,0.7
,18:49:25,6,10790,245.1,0.73,13.3,7,22,0.102,10,49.9,0.71
,18:49:26,6,10790,246.1,0.73,13.3,7,22,0.105,10,49.9,0.7
,18:49:27,6,10790,247.1,0.71,13.3,7,22,0.103,10,49.9,0.69
,18:49:28,6,10790,248.1,0.7,13.3,7,22,0.101,10,49.9,0.67
,18:49:29,6,10790,249.1,0.69,13.3,7,21,0.1,10,49.9,0.67
,18:49:30,6,10790,250.1,0.69,13.3,7,21,0.1,10,49.9,0.67
,18:49:31,6,10790,251.1,0.7,13.3,7,21,0.101,10,49.9,0.68
,18:49:32,6,10790,252.1,0.71,13.3,7,21,0.102,10,49.9,0.68
,18:49:33,6,10790,253.1,0.71,13.3,7,21,0.102,10,49.9,0.68
,18:49:34,6,10790,254.1,0.71,13.3,7,21,0.102,10,50,0.68
,18:49:35,6,10790,255.1,0.71,13.3,7,22,0.098,10,50,0.68
,18:49:36,6,10790,256.1,0.7,13.3,7,22,0.097,10,49.9,0.67
,18:49:37,6,10790,257.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:49:38,6,10790,258.1,0.67,13.3,7,22,0.094,10,49.9,0.65
,18:49:39,6,10790,259.1,0.68,13.3,7,22,0.094,10,50,0.66
,18:49:40,6,10790,260.1,0.69,13.3,7,22,0.096,10,49.9,0.66
,18:49:41,6,10790,261.1,0.69,13.3,7,22,0.096,10,49.9,0.67
,18:49:42,6,10790,262.1,0.7,13.3,7,22,0.098,10,49.9,0.68
,18:49:43,6,10790,263.1,0.7,13.3,7,22,0.101,10,49.9,0.67
,18:49:44,6,10790,264.1,0.7,13.3,7,22,0.101,10,49.9,0.67
,18:49:45,6,10790,265.1,0.68,13.3,7,22,0.098,10,50,0.65
,18:49:46,6,10790,266.1,0.67,13.3,7,22,0.097,10,49.9,0.65
,18:49:47,6,10790,267.1,0.67,13.3,7,22,0.096,10,49.9,0.64
,18:49:48,6,10790,268.1,0.67,13.3,7,22,0.093,10,49.9,0.64
,18:49:49,6,10790,269.1,0.68,13.3,7,22,0.094,10,49.9,0.65
,18:49:50,6,10790,270.1,0.68,13.3,7,22,0.095,10,49.9,0.66
,18:49:51,6,10790,271.1,0.7,13.3,7,22,0.1,10,50,0.67
,18:49:52,6,10790,272.1,0.7,13.3,7,22,0.101,10,50,0.68
,18:49:53,6,10790,273.1,0.71,13.3,7,22,0.102,10,49.9,0.68
,18:49:54,6,10790,274.1,0.71,13.3,7,22,0.098,10,49.9,0.68
,18:49:55,6,10790,275.1,0.7,13.3,7,21,0.098,10,49.9,0.68
,18:49:56,6,10790,276.1,0.7,13.3,7,21,0.095,10,50,0.68
,18:49:57,6,10790,277.1,0.71,13.3,7,21,0.099,10,50,0.68
,18:49:58,6,10790,278.1,0.71,13.3,7,22,0.099,10,49.9,0.69
,18:49:59,6,10790,279.1,0.71,13.3,7,22,0.099,10,49.9,0.68
,18:50:00,6,10790,280.1,0.71,13.3,7,22,0.096,10,49.9,0.69
,18:50:01,6,10790,281.1,0.72,13.3,7,22,0.097,10,50,0.69
,18:50:02,6,10790,282.1,0.72,13.3,7,22,0.101,10,49.9,0.7
,18:50:03,6,10790,283.1,0.71,13.3,7,22,0.099,10,49.9,0.69
,18:50:04,6,10790,284.1,0.7,13.3,7,22,0.1,10,49.9,0.67
,18:50:05,6,10790,285.1,0.68,13.3,7,22,0.099,10,49.9,0.66
,18:50:06,6,10790,286.1,0.67,13.3,7,22,0.097,10,49.9,0.65
,18:50:07,6,10790,287.1,0.68,13.3,7,22,0.098,10,49.9,0.65
,18:50:08,6,10790,288.1,0.69,13.3,7,22,0.099,10,49.9,0.67
,18:50:09,6,10790,289.1,0.7,13.3,7,22,0.102,10,49.9,0.68
,18:50:10,6,10790,290.1,0.71,13.3,7,22,0.102,10,49.9,0.69
,18:50:11,6,10790,291.1,0.72,13.3,7,22,0.107,10,49.9,0.69
,18:50:12,6,10790,292.1,0.73,13.3,7,22,0.105,10,49.9,0.7
,18:50:13,6,10790,293.1,0.74,13.3,7,21,0.103,10,50,0.71
,18:50:14,6,10790,294.1,0.73,13.3,7,22,0.098,10,49.9,0.7
,18:50:15,6,10790,295.1,0.7,13.3,7,22,0.095,10,49.9,0.68
,18:50:16,6,10790,296.1,0.69,13.3,7,22,0.093,10,50,0.67
,18:50:17,6,10790,297.1,0.7,13.3,7,22,0.097,10,49.9,0.67
,18:50:18,6,10790,298.1,0.71,13.3,7,22,0.099,10,50,0.69
,18:50:19,6,10790,299.1,0.73,13.3,7,22,0.105,10,49.9,0.7
,18:50:20,6,10790,300.1,0.73,13.3,7,22,0.105,10,49.9,0.7
,18:50:21,6,10790,301.1,0.72,13.3,7,22,0.104,10,49.9,0.7
,18:50:22,6,10790,302.1,0.71,13.3,7,22,0.099,10,49.9,0.69
,18:50:23,6,10790,303.1,0.72,13.3,7,22,0.096,10,49.9,0.69
,18:50:24,6,10790,304.1,0.72,13.3,7,22,0.1,10,50,0.69
,18:50:25,6,10790,305.1,0.71,13.3,7,22,0.098,10,50,0.68
,18:50:26,6,10790,306.1,0.7,13.3,7,22,0.101,10,49.9,0.68
,18:50:27,6,10790,307.1,0.71,13.3,7,22,0.103,10,49.9,0.69
,18:50:28,6,10790,308.1,0.72,13.3,7,22,0.103,10,49.9,0.69
,18:50:29,6,10790,309.1,0.72,13.3,7,22,0.103,10,49.9,0.69
