Data file,,SORONA_ISO10_12C_001.TSV,,,,,,,,,,
,10:24:57,4,3600,446.1,0.52,13.3,7,10.8,0.078,10,0.6,0.49
,10:24:58,4,3600,447.1,0.52,13.3,7,10.8,0.076,10,0.6,0.49
,10:24:59,4,3600,448.1,0.52,13.3,7,10.8,0.075,10,0.6,0.49
,10:25:00,4,3600,449.1,0.52,13.3,7,10.7,0.078,10,0.6,0.49
,10:25:01,4,3600,450.1,0.52,13.3,7,10.7,0.078,10,0.6,0.49
,10:25:02,4,3600,451.1,0.52,13.3,7,10.7,0.078,10,0.6,0.49
,10:25:03,4,3600,452.1,0.52,13.3,7,10.7,0.075,10,0.6,0.49
,10:25:04,4,3600,453.1,0.52,13.3,7,10.7,0.073,10,0.6,0.49
,10:25:05,4,3600,454.1,0.52,13.3,7,10.6,0.073,10,0.7,0.49
,10:25:06,4,3600,455.1,0.52,13.3,7,10.6,0.075,10,0.7,0.49
,10:25:07,4,3600,456.1,0.52,13.3,7,10.6,0.078,10,0.7,0.49
,10:25:08,4,3600,457.1,0.52,13.3,7,10.6,0.075,10,0.7,0.49
,10:25:09,4,3600,458.1,0.52,13.3,7,10.6,0.075,10,0.7,0.49
,10:25:10,4,3600,459.1,0.52,13.3,7,10.6,0.075,10,0.7,0.49
,10:25:11,4,3600,460.1,0.52,13.3,7,10.6,0.078,10,0.7,0.49
,10:25:12,4,3600,461.1,0.52,13.3,7,10.6,0.079,10,0.7,0.49
,10:25:13,4,3600,462.1,0.52,13.3,7,10.5,0.076,10,0.7,0.49
,10:25:14,4,3600,463.1,0.52,13.3,7,10.5,0.076,10,0.7,0.49
,10:25:15,4,3600,464.1,0.52,13.3,7,10.5,0.075,10,0.7,0.49
,10:25:16,4,3600,465.1,0.52,13.3,7,10.5,0.075,10,0.7,0.49
,10:25:17,4,3600,466.1,0.52,13.3,7,10.5,0.078,10,0.7,0.49
,10:25:18,4,3600,467.1,0.52,13.3,7,10.4,0.075,10,0.7,0.49
,10:25:19,4,3600,468.1,0.52,13.3,7,10.4,0.075,10,0.7,0.49
,10:25:20,4,3600,469.1,0.52,13.3,7,10.4,0.075,10,0.7,0.49
,10:25:21,4,3600,470.1,0.52,13.3,7,10.4,0.078,10,0.7,0.49
,10:25:22,4,3600,471.1,0.52,13.3,7,10.4,0.078,10,0.8,0.49
,10:25:23,4,3600,472.1,0.52,13.3,7,10.4,0.075,10,0.8,0.49
,10:25:24,4,3600,473.1,0.52,13.3,7,10.4,0.075,10,0.7,0.49
,10:25:25,4,3600,474.1,0.52,13.3,7,10.3,0.075,10,0.8,0.49
,10:25:26,4,3600,475.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:27,4,3600,476.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:28,4,3600,477.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:29,4,3600,478.1,0.52,13.3,7,10.3,0.075,10,0.8,0.49
,10:25:30,4,3600,479.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:31,4,3600,480.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:32,4,3600,481.1,0.52,13.3,7,10.3,0.075,10,1,0.49
,10:25:33,4,3600,482.1,0.52,13.3,7,10.3,0.073,10,1.1,0.49
,10:25:34,4,3600,483.1,0.52,13.3,7,10.3,0.076,10,1,0.49
,10:25:35,4,3600,484.1,0.52,13.3,7,10.3,0.078,10,1,0.49
,10:25:36,4,3600,485.1,0.52,13.3,7,10.3,0.078,10,1,0.49
,10:25:37,4,3600,486.1,0.52,13.3,7,10.3,0.075,10,1,0.49
,10:25:38,4,3600,487.1,0.52,13.3,7,10.3,0.075,10,0.9,0.49
,10:25:39,4,3600,488.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:40,4,3600,489.1,0.52,13.3,7,10.3,0.078,10,0.8,0.49
,10:25:41,4,3600,490.1,0.52,13.3,7,10.3,0.075,10,0.8,0.49
,10:25:42,4,3600,491.1,0.52,13.3,7,10.2,0.075,10,0.8,0.49
,10:25:43,4,3600,492.1,0.52,13.3,7,10.2,0.076,10,0.8,0.49
,10:25:44,4,3600,493.1,0.52,13.3,7,10.2,0.079,10,0.8,0.49
,10:25:45,4,3600,494.1,0.52,13.3,7,10.2,0.075,10,0.8,0.49
,10:25:46,4,3600,495.1,0.52,13.3,7,10.2,0.073,10,0.8,0.49
,10:25:47,4,3600,496.1,0.52,13.3,7,10.2,0.075,10,0.8,0.49
,10:25:48,4,3600,497.1,0.52,13.3,7,10.2,0.078,10,0.9,0.49
,10:25:49,4,3600,498.1,0.52,13.3,7,10.2,0.076,10,0.9,0.49
,10:25:51,4,3600,499.1,0.53,13.3,7,10.2,0.079,10,0.9,0.49
,10:25:51,4,3600,500.1,0.53,13.3,7,10.2,0.079,10,0.9,0.49
,10:25:52,4,3600,501.1,0.53,13.3,7,10.2,0.079,10,1,0.49
,10:25:53,4,3600,502.1,0.53,13.3,7,10.2,0.076,10,1,0.49
,10:25:54,4,3600,503.1,0.53,13.3,7,10.2,0.074,10,1,0.49
,10:25:55,4,3600,504.1,0.53,13.3,7,10.2,0.076,10,0.9,0.49
,10:25:56,4,3600,505.1,0.53,13.3,7,10.2,0.079,10,0.9,0.49
,10:25:57,4,3600,506.1,0.52,13.3,7,10.2,0.076,10,0.8,0.49
,10:25:58,4,3600,507.1,0.52,13.3,7,10.2,0.076,10,0.9,0.49
,10:25:59,4,3600,508.1,0.52,13.3,7,10.2,0.079,10,0.9,0.49
,10:26:00,4,3600,509.1,0.52,13.3,7,10.2,0.079,10,0.8,0.49
,10:26:01,4,3600,510.1,0.53,13.3,7,10.2,0.079,10,0.8,0.49
,10:26:02,4,3600,511.1,0.53,13.3,7,10.1,0.077,10,0.9,0.5
,10:26:03,4,3600,512.1,0.54,13.3,7,10.1,0.077,10,0.9,0.5
,10:26:04,4,3600,513.1,0.53,13.3,7,10.1,0.077,10,0.9,0.5
,10:26:05,4,3600,514.1,0.53,13.3,7,10.1,0.077,10,0.9,0.5
,10:26:06,4,3600,515.1,0.53,13.3,7,10.1,0.08,10,1,0.5
,10:26:07,4,3600,516.1,0.53,13.3,7,10.1,0.08,10,1,0.5
,10:26:08,4,3600,517.1,0.54,13.3,7,10.1,0.077,10,1,0.5
,10:26:09,4,3600,518.1,0.53,13.3,7,10.1,0.074,10,1.1,0.5
,10:26:10,4,3600,519.1,0.53,13.3,7,10.1,0.077,10,1.2,0.5
,10:26:11,4,3600,520.1,0.53,13.3,7,10.1,0.076,10,1.2,0.49
,10:26:12,4,3600,521.1,0.53,13.3,7,10.1,0.079,10,1.2,0.49
,10:26:13,4,3600,522.1,0.53,13.3,7,10.1,0.079,10,1.2,0.49
,10:26:14,4,3600,523.1,0.53,13.3,7,10.1,0.08,10,1.1,0.5
,10:26:15,4,3600,524.1,0.54,13.3,7,10.1,0.077,10,1,0.5
,10:26:16,4,3600,525.1,0.54,13.3,7,10.1,0.078,10,0.9,0.5
,10:26:17,4,3600,526.1,0.54,13.3,7,10.1,0.077,10,1,0.5
,10:26:18,4,3600,527.1,0.54,13.3,7,10.1,0.077,10,1.2,0.5
,10:26:19,4,3600,528.1,0.54,13.3,7,10.1,0.077,10,1.2,0.5
,10:26:20,4,3600,529.1,0.54,13.3,7,10.1,0.078,10,1.2,0.5
,10:26:21,4,3600,530.1,0.54,13.3,7,10.1,0.08,10,1.1,0.5
,10:26:22,4,3600,531.1,0.54,13.3,7,10.1,0.08,10,1.1,0.5
,10:26:23,4,3600,532.1,0.54,13.3,7,10.1,0.078,10,1,0.51
,10:26:24,4,3600,533.1,0.54,13.3,7,10.1,0.078,10,1,0.51
,10:26:25,4,3600,534.1,0.54,13.3,7,10.1,0.081,10,0.9,0.51
,10:26:26,4,3600,535.1,0.54,13.3,7,10.1,0.079,10,0.9,0.51
,10:26:27,4,3600,536.1,0.55,13.3,7,10.1,0.079,10,0.8,0.51
,10:26:28,4,3600,537.1,0.55,13.3,7,10.1,0.082,10,0.7,0.51
,10:26:29,4,3600,538.1,0.55,13.3,7,10.1,0.079,10,0.7,0.51
,10:26:30,4,3600,539.1,0.55,13.3,7,10.1,0.079,10,0.7,0.51
,10:26:31,4,3600,540.1,0.55,13.3,7,10.1,0.08,10,0.6,0.52
,10:26:32,4,3600,541.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:33,4,3600,542.1,0.55,13.3,7,10.2,0.079,10,0.6,0.51
,10:26:34,4,3600,543.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:35,4,3600,544.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:36,4,3600,545.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:37,4,3600,546.1,0.56,13.3,7,10.2,0.078,10,0.6,0.52
,10:26:38,4,3600,547.1,0.55,13.3,7,10.2,0.077,10,0.6,0.52
,10:26:39,4,3600,548.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:40,4,3600,549.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:41,4,3600,550.1,0.56,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:42,4,3600,551.1,0.56,13.3,7,10.2,0.078,10,0.6,0.52
,10:26:43,4,3600,552.1,0.56,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:44,4,3600,553.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:45,4,3600,554.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:46,4,3600,555.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:47,4,3600,556.1,0.56,13.3,7,10.2,0.084,10,0.6,0.52
,10:26:48,4,3600,557.1,0.56,13.3,7,10.2,0.078,10,0.6,0.52
,10:26:49,4,3600,558.1,0.55,13.3,7,10.2,0.077,10,0.6,0.52
,10:26:50,4,3600,559.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:51,4,3600,560.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:52,4,3600,561.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:53,4,3600,562.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:54,4,3600,563.1,0.55,13.3,7,10.2,0.083,10,0.6,0.52
,10:26:55,4,3600,564.1,0.55,13.3,7,10.2,0.08,10,0.6,0.52
,10:26:56,4,3600,565.1,0.56,13.3,7,10.3,0.078,10,0.6,0.52
,10:26:57,4,3600,566.1,0.56,13.3,7,10.3,0.08,10,0.6,0.52
,10:26:58,4,3600,567.1,0.56,13.3,7,10.3,0.084,10,0.6,0.52
,10:26:59,4,3600,568.1,0.56,13.3,7,10.3,0.084,10,0.6,0.52
,10:27:00,4,3600,569.1,0.56,13.3,7,10.3,0.084,10,0.6,0.52
,10:27:01,4,3600,570.1,0.56,13.3,7,10.3,0.084,10,0.6,0.53
,10:27:02,4,3600,571.1,0.56,13.3,7,10.3,0.081,10,0.6,0.53
,10:27:03,4,3600,572.1,0.56,13.3,7,10.3,0.081,10,0.6,0.52
,10:27:04,4,3600,573.1,0.56,13.3,7,10.3,0.084,10,0.6,0.52
,10:27:05,4,3600,574.1,0.55,13.3,7,10.3,0.083,10,0.6,0.52
,10:27:06,4,3600,575.1,0.56,13.3,7,10.3,0.084,10,0.6,0.52
,10:27:07,4,3600,576.1,0.56,13.3,7,10.3,0.084,10,0.6,0.53
,10:27:08,4,3600,577.1,0.56,13.3,7,10.3,0.085,10,0.6,0.53
,10:27:09,4,3600,578.1,0.57,13.3,7,10.3,0.082,10,0.6,0.53
,10:27:10,4,3600,579.1,0.57,13.3,7,10.3,0.082,10,0.6,0.53
,10:27:11,4,3600,580.1,0.56,13.3,7,10.3,0.085,10,0.6,0.53
,10:27:12,4,3600,581.1,0.56,13.3,7,10.4,0.084,10,0.6,0.53
,10:27:13,4,3600,582.1,0.56,13.3,7,10.4,0.081,10,0.6,0.53
,10:27:14,4,3600,583.1,0.56,13.3,7,10.4,0.085,10,0.6,0.53
,10:27:15,4,3600,584.1,0.57,13.3,7,10.4,0.082,10,0.6,0.53
,10:27:16,4,3600,585.1,0.57,13.3,7,10.4,0.082,10,0.6,0.53
,10:27:17,4,3600,586.1,0.57,13.3,7,10.4,0.079,10,0.6,0.53
,10:27:18,4,3600,587.1,0.57,13.3,7,10.4,0.082,10,0.6,0.53
,10:27:19,4,3600,588.1,0.56,13.3,7,10.4,0.079,10,0.6,0.53
,10:27:20,4,3600,589.1,0.56,13.3,7,10.4,0.081,10,0.6,0.53
,10:27:21,4,3600,590.1,0.56,13.3,7,10.4,0.085,10,0.6,0.53
,10:27:22,4,3600,591.1,0.56,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:23,4,3600,592.1,0.57,13.3,7,10.5,0.082,10,0.6,0.53
,10:27:24,4,3600,593.1,0.57,13.3,7,10.5,0.082,10,0.6,0.53
,10:27:25,4,3600,594.1,0.57,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:26,4,3600,595.1,0.56,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:27,4,3600,596.1,0.56,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:28,4,3600,597.1,0.57,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:29,4,3600,598.1,0.57,13.3,7,10.5,0.085,10,0.6,0.53
,10:27:30,4,3600,599.1,0.57,13.3,7,10.5,0.083,10,0.6,0.54
,10:27:31,4,3600,600.1,0.57,13.3,7,10.5,0.083,10,0.6,0.54
,10:27:32,4,3600,601.1,0.57,13.3,7,10.6,0.083,10,0.6,0.54
,10:27:33,4,3600,602.1,0.57,13.3,7,10.6,0.082,10,0.6,0.54
,10:27:34,4,3600,603.1,0.57,13.3,7,10.6,0.082,10,0.6,0.53
,10:27:35,4,3600,604.1,0.57,13.3,7,10.6,0.085,10,0.6,0.53
,10:27:36,4,3600,605.1,0.57,13.3,6,10.6,0.088,10,0.6,0.53
,10:27:37,4,3600,606.1,0.57,13.3,7,10.6,0.085,10,0.6,0.53
,10:27:38,4,3600,607.1,0.57,13.3,7,10.6,0.083,10,0.6,0.54
,10:27:39,4,3600,608.1,0.57,13.3,7,10.6,0.086,10,0.6,0.54
,10:27:40,4,3600,609.1,0.57,13.3,7,10.6,0.083,10,0.6,0.54
,10:27:41,4,3600,610.1,0.58,13.3,7,10.6,0.083,10,0.6,0.54
,10:27:42,4,3600,611.1,0.58,13.3,7,10.6,0.083,10,0.6,0.54
,10:27:43,4,3600,612.1,0.58,13.3,7,10.6,0.084,10,0.6,0.54
,10:27:44,4,3600,613.1,0.58,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:45,4,3600,614.1,0.57,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:46,4,3600,615.1,0.57,13.3,7,10.7,0.086,10,0.6,0.54
,10:27:47,4,3600,616.1,0.57,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:48,4,3600,617.1,0.57,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:49,4,3600,618.1,0.57,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:50,4,3600,619.1,0.57,13.3,7,10.7,0.083,10,0.6,0.54
,10:27:51,4,3600,620.1,0.57,13.3,7,10.7,0.086,10,0.6,0.54
,10:27:52,4,3600,621.1,0.57,13.3,7,10.7,0.086,10,0.6,0.54
,10:27:53,4,3600,622.1,0.57,13.3,7,10.8,0.08,10,0.6,0.54
,10:27:54,4,3600,623.1,0.58,13.3,7,10.8,0.083,10,0.6,0.54
,10:27:55,4,3600,624.1,0.58,13.3,7,10.8,0.083,10,0.6,0.54
,10:27:56,4,3600,625.1,0.58,13.3,7,10.8,0.083,10,0.6,0.54
,10:27:57,4,3600,626.1,0.57,13.3,7,10.8,0.083,10,0.6,0.54
,10:27:58,4,3600,627.1,0.58,13.3,7,10.8,0.083,10,0.6,0.54
,10:27:59,4,3600,628.1,0.57,13.3,7,10.9,0.083,10,0.6,0.54
,10:28:00,4,3600,629.1,0.57,13.3,7,10.9,0.083,10,0.6,0.54
,10:28:01,4,3600,630.1,0.57,13.3,7,10.9,0.083,10,0.6,0.54
,10:28:02,4,3600,631.1,0.58,13.3,7,10.9,0.087,10,0.6,0.54
,10:28:03,4,3600,632.1,0.58,13.3,7,10.9,0.087,10,0.6,0.54
,10:28:04,4,3600,633.1,0.58,13.3,7,10.9,0.084,10,0.6,0.54
,10:28:05,4,3600,634.1,0.58,13.3,7,10.9,0.084,10,0.6,0.55
,10:28:06,4,3600,635.1,0.58,13.3,7,10.9,0.084,10,0.6,0.55
,10:28:07,4,3600,636.1,0.58,13.3,7,10.9,0.084,10,0.6,0.54
,10:28:08,4,3600,637.1,0.58,13.3,7,11,0.084,10,0.6,0.54
,10:28:09,4,3600,638.1,0.58,13.3,7,11,0.083,10,0.6,0.54
,10:28:10,4,3600,639.1,0.58,13.3,7,11,0.087,10,0.6,0.54
,10:28:11,4,3600,640.1,0.58,13.3,7,11,0.087,10,0.6,0.54
,10:28:12,4,3600,641.1,0.58,13.3,7,11,0.084,10,0.6,0.55
,10:28:13,4,3600,642.1,0.59,13.3,7,11,0.085,10,0.6,0.55
,10:28:14,4,3600,643.1,0.59,13.3,7,11.1,0.088,10,0.6,0.55
,10:28:15,4,3600,644.1,0.59,13.3,7,11.1,0.088,10,0.6,0.55
,10:28:16,4,3600,645.1,0.59,13.3,7,11.1,0.088,10,0.6,0.55
,10:28:17,4,3600,646.1,0.59,13.3,7,11.1,0.085,10,0.6,0.55
,10:28:18,4,3600,647.1,0.59,13.3,7,11.1,0.089,10,0.6,0.56
,10:28:19,4,3600,648.1,0.59,13.3,7,11.1,0.089,10,0.6,0.56
,10:28:20,4,3600,649.1,0.59,13.3,7,11.1,0.086,10,0.6,0.56
,10:28:21,4,3600,650.1,0.59,13.3,7,11.1,0.086,10,0.6,0.56
,10:28:22,4,3600,651.1,0.59,13.3,7,11.1,0.086,10,0.6,0.56
,10:28:23,4,3600,652.1,0.59,13.3,7,11.2,0.085,10,0.6,0.55
,10:28:24,4,3600,653.1,0.59,13.3,7,11.2,0.088,10,0.6,0.55
,10:28:25,4,3600,654.1,0.58,13.3,7,11.2,0.087,10,0.6,0.55
,10:28:26,4,3600,655.1,0.59,13.3,7,11.2,0.085,10,0.6,0.55
,10:28:27,4,3600,656.1,0.59,13.3,7,11.2,0.085,10,0.6,0.55
,10:28:28,4,3600,657.1,0.59,13.3,7,11.2,0.085,10,0.6,0.55
,10:28:29,4,3600,658.1,0.59,13.3,7,11.2,0.085,10,0.6,0.55
,10:28:30,4,3600,659.1,0.59,13.3,7,11.3,0.088,10,0.6,0.55
,10:28:31,4,3600,660.1,0.59,13.3,7,11.3,0.085,10,0.6,0.55
,10:28:32,4,3600,661.1,0.59,13.3,7,11.3,0.085,10,0.6,0.55
,10:28:33,4,3600,662.1,0.59,13.3,7,11.3,0.085,10,0.6,0.55
,10:28:34,4,3600,663.1,0.59,13.3,7,11.3,0.085,10,0.6,0.55
,10:28:35,4,3600,664.1,0.59,13.3,7,11.3,0.085,10,0.6,0.55
,10:28:36,4,3600,665.1,0.59,13.3,7,11.4,0.085,10,0.6,0.55
,10:28:37,4,3600,666.1,0.59,13.3,7,11.4,0.085,10,0.6,0.55
,10:28:38,4,3600,667.1,0.59,13.3,7,11.4,0.089,10,0.6,0.55
,10:28:39,4,3600,668.1,0.59,13.3,7,11.4,0.088,10,0.6,0.55
,10:28:40,4,3600,669.1,0.59,13.3,7,11.4,0.085,10,0.6,0.55
,10:28:41,4,3600,670.1,0.59,13.3,7,11.4,0.083,10,0.6,0.56
,10:28:42,4,3600,671.1,0.59,13.3,7,11.4,0.083,10,0.6,0.56
,10:28:43,4,3600,672.1,0.59,13.3,7,11.4,0.085,10,0.6,0.55
,10:28:44,4,3600,673.1,0.59,13.3,7,11.5,0.085,10,0.6,0.55
,10:28:45,4,3600,674.1,0.59,13.3,7,11.5,0.085,10,0.6,0.55
,10:28:46,4,3600,675.1,0.59,13.3,7,11.5,0.085,10,0.6,0.55
,10:28:47,4,3600,676.1,0.59,13.3,7,11.5,0.088,10,0.6,0.55
,10:28:48,4,3600,677.1,0.59,13.3,6,11.5,0.092,10,0.6,0.55
,10:28:49,4,3600,678.1,0.59,13.3,6,11.6,0.092,10,0.6,0.55
,10:28:50,4,3600,679.1,0.6,13.3,7,11.6,0.089,10,0.6,0.56
,10:28:51,4,3600,680.1,0.6,13.3,7,11.6,0.086,10,0.6,0.56
,10:28:52,4,3600,681.1,0.6,13.3,7,11.6,0.086,10,0.6,0.56
,10:28:53,4,3600,682.1,0.59,13.3,7,11.6,0.089,10,0.6,0.56
,10:28:54,4,3600,683.1,0.59,13.3,7,11.6,0.085,10,0.6,0.55
,10:28:55,4,3600,684.1,0.59,13.3,7,11.7,0.085,10,0.6,0.55
,10:28:56,4,3600,685.1,0.59,13.3,7,11.7,0.086,10,0.6,0.56
,10:28:57,4,3600,686.1,0.59,13.3,7,11.7,0.086,10,0.6,0.56
,10:28:58,4,3600,687.1,0.59,13.3,7,11.7,0.086,10,0.6,0.56
,10:28:59,4,3600,688.1,0.59,13.3,7,11.7,0.089,10,0.6,0.56
,10:29:00,4,3600,689.1,0.6,13.3,7,11.7,0.089,10,0.6,0.56
,10:29:01,4,3600,690.1,0.6,13.3,7,11.7,0.09,10,0.6,0.56
,10:29:02,4,3600,691.1,0.6,13.3,7,11.8,0.087,10,0.6,0.56
,10:29:03,4,3600,692.1,0.6,13.3,7,11.8,0.084,10,0.6,0.56
,10:29:04,4,3600,693.1,0.6,13.3,7,11.8,0.086,10,0.6,0.56
,10:29:05,4,3600,694.1,0.6,13.3,7,11.8,0.089,10,0.6,0.56
,10:29:06,4,3600,695.1,0.6,13.3,7,11.8,0.089,10,0.6,0.56
,10:29:07,4,3600,696.1,0.6,13.3,7,11.8,0.086,10,0.6,0.56
,10:29:08,4,3600,697.1,0.6,13.3,7,11.9,0.084,10,0.6,0.56
,10:29:09,4,3600,698.1,0.6,13.3,7,11.9,0.084,10,0.6,0.56
,10:29:10,4,3600,699.1,0.6,13.3,7,11.9,0.087,10,0.6,0.56
,10:29:11,4,3600,700.1,0.6,13.3,7,11.9,0.089,10,0.6,0.56
,10:29:12,4,3600,701.1,0.59,13.3,7,11.9,0.086,10,0.6,0.56
,10:29:13,4,3600,702.1,0.59,13.3,7,12,0.086,10,0.6,0.56
,10:29:14,4,3600,703.1,0.59,13.3,7,12,0.085,10,0.6,0.56
,10:29:15,4,3600,704.1,0.6,13.3,7,12,0.089,10,0.6,0.56
,10:29:16,4,3600,705.1,0.6,13.3,7,12,0.09,10,0.6,0.56
,10:29:17,4,3600,706.1,0.6,13.3,7,12,0.09,10,0.6,0.56
,10:29:18,4,3600,707.1,0.6,13.3,7,12,0.09,10,0.6,0.56
,10:29:19,4,3600,708.1,0.6,13.3,7,12,0.09,10,0.6,0.56
,10:29:20,4,3600,709.1,0.6,13.3,7,12,0.09,10,0.6,0.56
,10:29:21,4,3600,710.1,0.6,13.3,7,12,0.091,10,0.6,0.56
,10:29:22,4,3600,711.1,0.6,13.3,7,12.1,0.084,10,0.6,0.56
,10:29:23,4,3600,712.1,0.6,13.3,7,12.1,0.087,10,0.6,0.56
,10:29:24,4,3600,713.1,0.6,13.3,7,12.1,0.087,10,0.6,0.56
,10:29:25,4,3600,714.1,0.6,13.3,7,12.1,0.09,10,0.6,0.56
,10:29:26,4,3600,715.1,0.6,13.3,7,12.2,0.09,10,0.6,0.56
,10:29:27,4,3600,716.1,0.6,13.3,7,12.2,0.087,10,0.6,0.56
,10:29:28,4,3600,717.1,0.6,13.3,7,12.2,0.084,10,0.6,0.56
,10:29:29,4,3600,718.1,0.6,13.3,7,12.2,0.087,10,0.6,0.56
,10:29:30,4,3600,719.1,0.6,13.3,7,12.2,0.091,10,0.6,0.56
,10:29:31,4,3600,720.1,0.6,13.3,7,12.3,0.087,10,0.6,0.56
,10:29:32,4,3600,721.1,0.6,13.3,7,12.3,0.087,10,0.6,0.56
,10:29:33,4,3600,722.1,0.6,13.3,7,12.3,0.09,10,0.6,0.56
,10:29:34,4,3600,723.1,0.6,13.3,7,12.3,0.089,10,0.6,0.56
,10:29:35,4,3600,724.1,0.6,13.3,7,12.3,0.086,10,0.6,0.56
,10:29:36,4,3600,725.1,0.6,13.3,7,12.3,0.084,10,0.6,0.56
,10:29:37,4,3600,726.1,0.6,13.3,7,12.3,0.087,10,0.6,0.56
,10:29:38,4,3600,727.1,0.6,13.3,7,12.4,0.086,10,0.6,0.56
,10:29:39,4,3600,728.1,0.6,13.3,7,12.4,0.089,10,0.6,0.56
