Data file,,HONEDPEEK_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:52:18 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:57:33,4,3600,314.5,0.01,0,7,11.3,0.002,10,2.5,0.01
,13:57:34,4,3600,315.5,0.18,0.3,7,11.2,0.027,10,2.7,0.2
,13:57:35,4,3600,316.5,0.55,5.2,7,11.2,0.083,10,2.8,0.56
,13:57:36,4,3600,317.5,0.97,11.3,7,11.2,0.135,10,2.7,0.94
,13:57:37,4,3600,318.5,1.2,13.2,7,11.2,0.162,10,2.6,1.13
,13:57:38,4,3600,319.5,1.24,13.3,7,11.2,0.166,10,2.6,1.15
,13:57:39,4,3600,320.5,1.21,13.3,7,11.2,0.163,10,2.5,1.13
,13:57:40,4,3600,321.5,1.19,13.3,7,11.2,0.166,10,2.6,1.12
,13:57:41,4,3600,322.5,1.18,13.3,7,11.2,0.164,10,2.7,1.1
,13:57:42,4,3600,323.5,1.17,13.3,7,11.1,0.157,10,2.7,1.1
,13:57:43,4,3600,324.5,1.17,13.3,7,11.1,0.162,10,2.5,1.09
,13:57:44,4,3600,325.5,1.16,13.3,7,11.1,0.161,10,2.5,1.08
,13:57:45,4,3600,326.5,1.14,13.3,7,11.1,0.165,10,2.4,1.07
,13:57:46,4,3600,327.5,1.14,13.3,7,11.1,0.158,10,2.4,1.06
,13:57:47,4,3600,328.5,1.13,13.3,7,11.1,0.158,10,2.5,1.06
,13:57:48,4,3600,329.5,1.13,13.3,7,11,0.157,10,2.5,1.06
,13:57:49,4,3600,330.5,1.12,13.3,7,11,0.156,10,2.6,1.05
,13:57:50,4,3600,331.5,1.12,13.3,7,11,0.162,10,2.5,1.05
,13:57:51,4,3600,332.5,1.12,13.3,7,11,0.156,10,2.5,1.05
,13:57:52,4,3600,333.5,1.12,13.3,7,11,0.156,10,2.5,1.05
,13:57:53,4,3600,334.5,1.11,13.3,7,10.9,0.161,10,2.5,1.04
,13:57:54,4,3600,335.5,1.11,13.3,7,10.9,0.167,10,2.5,1.04
,13:57:55,4,3600,336.5,1.11,13.3,7,10.9,0.166,10,2.5,1.04
,13:57:56,4,3600,337.5,1.11,13.3,7,10.9,0.16,10,2.4,1.04
,13:57:57,4,3600,338.5,1.11,13.3,7,10.9,0.16,10,2.5,1.04
