Data file,,DELRINNC010-UNHONED_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,12/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DelrinNC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 13:26:42 on 12/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:40:56,6,3590,852.1,0.28,13.3,7,10.3,0.04,10,49.9,0.27
,13:40:57,6,3590,853.1,0.28,13.3,7,10.3,0.039,10,49.9,0.27
,13:40:58,6,3590,854.1,0.28,13.3,7,10.3,0.037,10,49.8,0.27
,13:40:59,6,3590,855.1,0.28,13.3,7,10.3,0.038,10,49.9,0.27
,13:41:00,6,3590,856.1,0.27,13.3,7,10.3,0.038,10,49.9,0.26
,13:41:01,6,3590,857.1,0.27,13.3,7,10.2,0.039,10,49.9,0.26
,13:41:02,6,3590,858.1,0.27,13.3,7,10.2,0.041,10,49.9,0.26
,13:41:03,6,3590,859.1,0.27,13.3,7,10.2,0.041,10,49.9,0.26
,13:41:04,6,3590,860.1,0.27,13.3,7,10.2,0.041,10,49.9,0.26
,13:41:05,6,3590,861.1,0.27,13.3,7,10.2,0.041,10,49.9,0.26
,13:41:06,6,3590,862.1,0.27,13.3,7,10.2,0.041,10,49.9,0.26
,13:41:07,6,3590,863.1,0.27,13.3,7,10.2,0.04,10,49.9,0.26
,13:41:08,6,3590,864.1,0.27,13.3,7,10.2,0.039,10,49.9,0.26
,13:41:09,6,3590,865.1,0.27,13.3,7,10.2,0.039,10,49.9,0.26
,13:41:10,6,3590,866.1,0.27,13.3,7,10.2,0.039,10,49.9,0.26
,13:41:11,6,3590,867.1,0.27,13.3,7,10.1,0.038,10,49.9,0.26
,13:41:12,6,3590,868.1,0.27,13.3,7,10.1,0.037,10,49.9,0.26
,13:41:13,6,3590,869.1,0.27,13.3,7,10.1,0.039,10,49.9,0.26
,13:41:14,6,3590,870.1,0.27,13.3,7,10.1,0.041,10,49.9,0.26
,13:41:15,6,3590,871.1,0.27,13.3,7,10.1,0.04,10,49.9,0.26
,13:41:16,6,3590,872.1,0.27,13.3,7,10.1,0.04,10,49.9,0.26
,13:41:17,6,3590,873.1,0.27,13.3,7,10.1,0.038,10,49.9,0.26
,13:41:18,6,3590,874.1,0.27,13.3,7,10.1,0.037,10,49.9,0.26
,13:41:19,6,3590,875.1,0.27,13.3,7,10.1,0.04,10,49.9,0.26
,13:41:20,6,3590,876.1,0.27,13.3,7,10.1,0.041,10,49.9,0.26
,13:41:21,6,3590,877.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:41:22,6,3590,878.1,0.27,13.3,7,10,0.04,10,49.9,0.26
,13:41:23,6,3590,879.1,0.27,13.3,7,10,0.04,10,49.9,0.26
,13:41:24,6,3590,880.1,0.28,13.3,7,10,0.04,10,49.9,0.27
,13:41:25,6,3590,881.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:41:26,6,3590,882.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:41:27,6,3590,883.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:41:28,6,3590,884.1,0.27,13.3,7,10,0.041,10,49.9,0.26
,13:41:29,6,3590,885.1,0.27,13.3,7,10,0.039,10,49.9,0.26
,13:41:30,6,3590,886.1,0.27,13.3,7,10,0.039,10,49.9,0.26
,13:41:31,6,3590,887.1,0.27,13.3,7,10,0.039,10,49.9,0.26
,13:41:32,6,3590,888.1,0.27,13.3,6,10,0.043,10,49.9,0.26
,13:41:33,6,3590,889.1,0.27,13.3,7,10,0.041,10,49.8,0.26
,13:41:34,6,3590,890.1,0.27,13.3,7,10,0.04,10,49.8,0.26
,13:41:35,6,3590,891.1,0.27,13.3,7,9.9,0.04,10,49.9,0.26
,13:41:36,6,3590,892.1,0.28,13.3,7,9.9,0.041,10,49.9,0.27
,13:41:37,6,3590,893.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:41:38,6,3590,894.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:41:39,6,3590,895.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:41:40,6,3590,896.1,0.28,13.3,7,9.9,0.038,10,49.9,0.27
,13:41:41,6,3590,897.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:41:42,6,3590,898.1,0.27,13.3,7,9.9,0.04,10,49.9,0.26
,13:41:43,6,3590,899.1,0.27,13.3,7,9.9,0.041,10,49.8,0.26
,13:41:44,6,3590,900.1,0.27,13.3,7,9.9,0.04,10,49.8,0.26
,13:41:45,6,3590,901.1,0.27,13.3,7,9.9,0.04,10,49.9,0.26
,13:41:46,6,3590,902.1,0.27,13.3,7,9.9,0.041,10,49.9,0.26
,13:41:47,6,3590,903.1,0.27,13.3,6,9.9,0.043,10,49.9,0.26
,13:41:48,6,3590,904.1,0.27,13.3,6,9.9,0.043,10,49.9,0.26
,13:41:49,6,3590,905.1,0.27,13.3,7,9.9,0.04,10,49.9,0.26
,13:41:50,6,3590,906.1,0.28,13.3,7,9.9,0.038,10,49.9,0.27
,13:41:51,6,3590,907.1,0.28,13.3,7,9.9,0.037,10,49.9,0.27
,13:41:52,6,3590,908.1,0.28,13.3,7,9.9,0.038,10,49.8,0.27
,13:41:53,6,3590,909.1,0.28,13.3,7,9.9,0.038,10,49.9,0.27
,13:41:54,6,3590,910.1,0.28,13.3,7,9.9,0.04,10,49.9,0.27
,13:41:55,6,3590,911.1,0.28,13.3,7,9.9,0.042,10,49.9,0.27
,13:41:56,6,3590,912.1,0.28,13.3,7,9.9,0.042,10,49.9,0.27
,13:41:57,6,3590,913.1,0.28,13.3,7,9.9,0.041,10,49.9,0.27
,13:41:58,6,3590,914.1,0.28,13.3,7,9.8,0.041,10,49.9,0.27
,13:41:59,6,3590,915.1,0.28,13.3,7,9.8,0.042,10,49.9,0.27
,13:42:00,6,3590,916.1,0.28,13.3,7,9.8,0.041,10,49.8,0.27
,13:42:01,6,3590,917.1,0.28,13.3,7,9.8,0.041,10,49.9,0.27
,13:42:02,6,3590,918.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:03,6,3590,919.1,0.28,13.3,7,9.8,0.04,10,49.9,0.27
,13:42:04,6,3590,920.1,0.28,13.3,7,9.8,0.041,10,49.8,0.27
