Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:46:04,4,3600,211.2,1.09,13.3,6,11.5,0.17,10,0.1,1.02
,12:46:05,4,3600,212.2,1.1,13.3,6,11.5,0.171,10,0,1.03
,12:46:06,4,3600,213.2,1.11,13.3,7,11.5,0.167,10,0.1,1.04
,12:46:07,4,3600,214.2,1.12,13.3,7,11.5,0.168,10,0.1,1.05
,12:46:08,4,3600,215.2,1.12,13.3,7,11.5,0.168,10,0,1.05
,12:46:09,4,3600,216.2,1.12,13.3,7,11.5,0.168,10,0,1.05
,12:46:10,4,3600,217.2,1.12,13.3,7,11.5,0.167,10,0,1.05
,12:46:11,4,3600,218.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:12,4,3600,219.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:13,4,3600,220.2,1.11,13.3,7,11.5,0.161,10,0,1.04
,12:46:14,4,3600,221.2,1.11,13.3,7,11.6,0.167,10,0,1.04
,12:46:15,4,3600,222.2,1.11,13.3,7,11.6,0.167,10,0.1,1.04
,12:46:16,4,3600,223.2,1.11,13.3,7,11.6,0.167,10,0.1,1.04
,12:46:17,4,3600,224.2,1.11,13.3,7,11.6,0.16,10,0.1,1.04
,12:46:18,4,3600,225.2,1.11,13.3,7,11.6,0.161,10,0,1.04
,12:46:19,4,3600,226.2,1.11,13.3,7,11.6,0.161,10,0.1,1.04
,12:46:20,4,3600,227.2,1.11,13.3,7,11.6,0.16,10,0.1,1.04
,12:46:21,4,3600,228.2,1.11,13.3,7,11.5,0.166,10,0,1.04
,12:46:22,4,3600,229.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:23,4,3600,230.2,1.11,13.3,7,11.5,0.167,10,0,1.04
,12:46:24,4,3600,231.2,1.11,13.3,7,11.5,0.166,10,0.1,1.04
