Data file,,RA0.3_OILHEF10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/05/2016,,,,,,,,,,
Lubricant,,10% HEF-contaminated ISO10,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:17:25 on 13/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:46:05,4,2700,1719.5,0.88,13.3,9,12.5,0.096,10,50,0.84
,14:46:06,4,2700,1720.5,0.88,13.3,9,12.5,0.096,10,50,0.84
,14:46:07,4,2700,1721.5,0.88,13.3,9,12.5,0.098,10,50,0.84
,14:46:08,4,2700,1722.5,0.87,13.3,9,12.5,0.1,10,50,0.84
,14:46:09,4,2700,1723.5,0.88,13.3,8,12.5,0.104,10,50,0.84
,14:46:10,4,2700,1724.5,0.88,13.3,9,12.5,0.101,10,50,0.84
,14:46:11,4,2700,1725.5,0.88,13.3,9,12.5,0.101,10,50,0.84
,14:46:12,4,2700,1726.5,0.88,13.3,9,12.5,0.099,10,50,0.84
,14:46:13,4,2700,1727.5,0.88,13.3,9,12.5,0.101,10,50,0.84
,14:46:14,4,2700,1728.5,0.88,13.3,9,12.4,0.101,10,50,0.84
,14:46:15,4,2700,1729.5,0.88,13.3,9,12.4,0.096,10,50,0.84
,14:46:16,4,2700,1730.5,0.88,13.3,9,12.4,0.095,10,50,0.84
,14:46:17,4,2700,1731.5,0.88,13.3,9,12.4,0.098,10,50,0.84
,14:46:18,4,2700,1732.5,0.87,13.3,9,12.4,0.1,10,50,0.84
,14:46:19,4,2700,1733.5,0.87,13.3,9,12.4,0.1,10,50,0.84
,14:46:20,4,2700,1734.5,0.88,13.3,9,12.4,0.099,10,50,0.85
,14:46:21,4,2700,1735.5,0.89,13.3,9,12.4,0.096,10,50,0.85
,14:46:22,4,2700,1736.5,0.89,13.3,9,12.4,0.096,10,50,0.85
,14:46:23,4,2700,1737.5,0.88,13.3,9,12.4,0.098,10,50,0.84
,14:46:24,4,2700,1738.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:25,4,2700,1739.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:26,4,2700,1740.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:27,4,2700,1741.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:28,4,2700,1742.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:29,4,2700,1743.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:30,4,2700,1744.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:31,4,2700,1745.5,0.88,13.3,9,12.3,0.098,10,50,0.84
,14:46:32,4,2700,1746.5,0.88,13.3,9,12.2,0.098,10,50,0.84
,14:46:33,4,2700,1747.5,0.88,13.3,9,12.2,0.098,10,50,0.84
,14:46:34,4,2700,1748.5,0.88,13.3,9,12.2,0.098,10,50,0.84
,14:46:35,4,2700,1749.5,0.88,13.3,9,12.2,0.101,10,50,0.84
,14:46:36,4,2700,1750.5,0.88,13.3,9,12.2,0.098,10,50,0.84
,14:46:37,4,2700,1751.5,0.88,13.3,9,12.2,0.098,10,50,0.84
,14:46:38,4,2700,1752.5,0.88,13.3,9,12.2,0.099,10,50,0.85
,14:46:39,4,2700,1753.5,0.88,13.3,9,12.2,0.096,10,50,0.84
,14:46:40,4,2700,1754.5,0.88,13.3,9,12.2,0.096,10,50,0.84
,14:46:41,4,2700,1755.5,0.88,13.3,9,12.2,0.095,10,50,0.84
,14:46:42,4,2700,1756.5,0.88,13.3,9,12.2,0.095,10,50,0.84
,14:46:43,4,2700,1757.5,0.88,13.3,9,12.1,0.098,10,50,0.84
,14:46:44,4,2700,1758.5,0.87,13.3,9,12.1,0.097,10,50,0.84
,14:46:45,4,2700,1759.5,0.87,13.3,9,12.1,0.1,10,50,0.83
,14:46:46,4,2700,1760.5,0.88,13.3,9,12.1,0.098,10,50,0.84
,14:46:47,4,2700,1761.5,0.88,13.3,9,12.1,0.098,10,50,0.84
,14:46:48,4,2700,1762.5,0.88,13.3,9,12.1,0.098,10,50,0.84
,14:46:49,4,2700,1763.5,0.88,13.3,9,12.1,0.098,10,50,0.84
,14:46:50,4,2700,1764.5,0.89,13.3,9,12.1,0.096,10,50,0.85
,14:46:51,4,2700,1765.5,0.89,13.3,9,12.1,0.096,10,50,0.85
,14:46:52,4,2700,1766.5,0.88,13.3,9,12,0.093,10,50,0.84
,14:46:53,4,2700,1767.5,0.87,13.3,9,12,0.092,10,50,0.84
,14:46:54,4,2700,1768.5,0.88,13.3,9,12,0.095,10,50,0.84
,14:46:55,4,2700,1769.5,0.88,13.3,9,12,0.098,10,50,0.84
,14:46:56,4,2700,1770.5,0.88,13.3,9,12,0.098,10,50,0.84
,14:46:57,4,2700,1771.5,0.87,13.3,9,12,0.097,10,50,0.84
,14:46:58,4,2700,1772.5,0.88,13.3,9,12,0.101,10,50,0.84
,14:46:59,4,2700,1773.5,0.88,13.3,9,12,0.101,10,50,0.84
,14:47:00,4,2700,1774.5,0.88,13.3,9,12,0.101,10,50,0.84
,14:47:01,4,2700,1775.5,0.87,13.3,9,11.9,0.097,10,50,0.84
,14:47:02,4,2700,1776.5,0.88,13.3,9,11.9,0.099,10,50,0.84
,14:47:03,4,2700,1777.5,0.89,13.3,9,11.9,0.096,10,50,0.85
,14:47:04,4,2700,1778.5,0.88,13.3,9,11.9,0.093,10,50,0.84
,14:47:05,4,2700,1779.5,0.87,13.3,9,11.9,0.092,10,50,0.83
,14:47:06,4,2700,1780.5,0.87,13.3,9,11.9,0.094,10,50,0.83
,14:47:07,4,2700,1781.5,0.87,13.3,9,11.9,0.097,10,50,0.83
,14:47:08,4,2700,1782.5,0.87,13.3,9,11.9,0.097,10,50,0.83
,14:47:09,4,2700,1783.5,0.87,13.3,9,11.9,0.097,10,50,0.83
,14:47:10,4,2700,1784.5,0.87,13.3,9,11.8,0.097,10,50,0.83
,14:47:11,4,2700,1785.5,0.87,13.3,9,11.8,0.097,10,50,0.83
,14:47:12,4,2700,1786.5,0.87,13.3,9,11.8,0.099,10,50,0.83
,14:47:13,4,2700,1787.5,0.87,13.3,9,11.8,0.097,10,50,0.84
,14:47:14,4,2700,1788.5,0.87,13.3,9,11.8,0.097,10,50,0.84
,14:47:15,4,2700,1789.5,0.87,13.3,9,11.8,0.097,10,50,0.83
,14:47:16,4,2700,1790.5,0.87,13.3,9,11.8,0.097,10,50,0.83
,14:47:17,4,2700,1791.5,0.88,13.3,9,11.8,0.098,10,50,0.84
,14:47:18,4,2700,1792.5,0.88,13.3,9,11.8,0.098,10,50,0.84
,14:47:19,4,2700,1793.5,0.87,13.3,9,11.7,0.097,10,50,0.84
,14:47:20,4,2700,1794.5,0.87,13.3,9,11.7,0.097,10,50,0.84
,14:47:21,4,2700,1795.5,0.88,13.3,9,11.7,0.095,10,50,0.84
,14:47:22,4,2700,1796.5,0.87,13.3,9,11.7,0.097,10,50,0.84
,14:47:23,4,2700,1797.5,0.87,13.3,9,11.7,0.094,10,50,0.83
,14:47:24,4,2700,1798.5,0.87,13.3,9,11.7,0.094,10,50,0.83
,14:47:25,4,2700,1799.5,0.87,13.3,9,11.7,0.092,10,50,0.83
,14:47:26,4,2700,1800.5,0.87,13.3,9,11.6,0.092,10,50,0.83
,14:47:27,4,2700,1801.5,0.86,13.3,9,11.6,0.093,10,50,0.82
,14:47:28,4,2700,1802.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:29,4,2700,1803.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:30,4,2700,1804.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:31,4,2700,1805.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:32,4,2700,1806.5,0.87,13.3,9,11.6,0.099,10,50,0.83
,14:47:33,4,2700,1807.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:34,4,2700,1808.5,0.86,13.3,9,11.6,0.099,10,50,0.83
,14:47:35,4,2700,1809.5,0.87,13.3,9,11.6,0.097,10,50,0.83
,14:47:36,4,2700,1810.5,0.86,13.3,9,11.5,0.096,10,50,0.83
,14:47:37,4,2700,1811.5,0.86,13.3,9,11.5,0.096,10,50,0.82
,14:47:38,4,2700,1812.5,0.86,13.3,9,11.5,0.099,10,50,0.82
,14:47:39,4,2700,1813.5,0.86,13.3,9,11.5,0.096,10,50,0.82
,14:47:40,4,2700,1814.5,0.86,13.3,9,11.5,0.096,10,50,0.82
,14:47:41,4,2700,1815.5,0.86,13.3,9,11.5,0.093,10,50,0.83
,14:47:42,4,2700,1816.5,0.87,13.3,9,11.5,0.094,10,50,0.83
,14:47:43,4,2700,1817.5,0.87,13.3,9,11.4,0.097,10,50,0.83
,14:47:44,4,2700,1818.5,0.87,13.3,9,11.4,0.097,10,50,0.83
,14:47:45,4,2700,1819.5,0.86,13.3,9,11.4,0.099,10,50,0.83
,14:47:46,4,2700,1820.5,0.86,13.3,9,11.4,0.096,10,50,0.83
,14:47:47,4,2700,1821.5,0.86,13.3,9,11.4,0.096,10,50,0.82
,14:47:48,4,2700,1822.5,0.86,13.3,9,11.4,0.096,10,50,0.83
,14:47:49,4,2700,1823.5,0.87,13.3,9,11.4,0.097,10,50,0.83
,14:47:50,4,2700,1824.5,0.87,13.3,9,11.4,0.097,10,50,0.83
,14:47:51,4,2700,1825.5,0.87,13.3,9,11.4,0.097,10,50,0.83
,14:47:52,4,2700,1826.5,0.87,13.3,9,11.3,0.097,10,50,0.83
,14:47:53,4,2700,1827.5,0.87,13.3,9,11.3,0.097,10,50,0.83
,14:47:54,4,2700,1828.5,0.87,13.3,9,11.3,0.094,10,50,0.83
,14:47:55,4,2700,1829.5,0.87,13.3,9,11.3,0.094,10,50,0.83
,14:47:56,4,2700,1830.5,0.87,13.3,9,11.3,0.097,10,50,0.84
,14:47:57,4,2700,1831.5,0.88,13.3,9,11.3,0.098,10,50,0.84
,14:47:58,4,2700,1832.5,0.87,13.3,9,11.3,0.097,10,50,0.83
,14:47:59,4,2700,1833.5,0.87,13.3,9,11.3,0.094,10,50,0.83
,14:48:00,4,2700,1834.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:48:01,4,2700,1835.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:48:02,4,2700,1836.5,0.86,13.3,9,11.2,0.094,10,50,0.83
,14:48:03,4,2700,1837.5,0.87,13.3,9,11.2,0.094,10,50,0.83
,14:48:04,4,2700,1838.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:48:05,4,2700,1839.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:48:06,4,2700,1840.5,0.86,13.3,9,11.2,0.096,10,50,0.83
,14:48:07,4,2700,1841.5,0.87,13.3,9,11.2,0.094,10,50,0.83
,14:48:08,4,2700,1842.5,0.87,13.3,9,11.1,0.094,10,50,0.83
,14:48:09,4,2700,1843.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:48:10,4,2700,1844.5,0.86,13.3,9,11.1,0.099,10,50,0.82
,14:48:11,4,2700,1845.5,0.86,13.3,9,11.1,0.099,10,50,0.83
,14:48:12,4,2700,1846.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:48:13,4,2700,1847.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:48:14,4,2700,1848.5,0.86,13.3,9,11.1,0.093,10,50,0.82
,14:48:15,4,2700,1849.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:48:16,4,2700,1850.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:48:17,4,2700,1851.5,0.86,13.3,9,11.1,0.096,10,50,0.83
,14:48:18,4,2700,1852.5,0.86,13.3,9,11,0.093,10,50,0.82
,14:48:19,4,2700,1853.5,0.87,13.3,9,11,0.097,10,50,0.83
,14:48:20,4,2700,1854.5,0.87,13.3,9,11,0.097,10,50,0.83
,14:48:21,4,2700,1855.5,0.86,13.3,9,11,0.096,10,50,0.82
,14:48:22,4,2700,1856.5,0.86,13.3,9,11,0.099,10,50,0.82
,14:48:23,4,2700,1857.5,0.87,13.3,9,11,0.097,10,50,0.83
,14:48:24,4,2700,1858.5,0.87,13.3,9,11,0.1,10,50,0.83
,14:48:25,4,2700,1859.5,0.87,13.3,9,11,0.097,10,50,0.83
,14:48:26,4,2700,1860.5,0.86,13.3,9,11,0.094,10,50,0.83
,14:48:27,4,2700,1861.5,0.87,13.3,9,11,0.094,10,50,0.83
,14:48:28,4,2700,1862.5,0.87,13.3,9,10.9,0.094,10,50,0.83
,14:48:29,4,2700,1863.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:48:30,4,2700,1864.5,0.86,13.3,9,10.9,0.096,10,50,0.83
,14:48:31,4,2700,1865.5,0.87,13.3,9,10.9,0.094,10,50,0.83
,14:48:32,4,2700,1866.5,0.87,13.3,9,10.9,0.094,10,50,0.83
,14:48:33,4,2700,1867.5,0.86,13.3,9,10.9,0.096,10,50,0.83
,14:48:34,4,2700,1868.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:48:35,4,2700,1869.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:48:36,4,2700,1870.5,0.86,13.3,9,10.9,0.096,10,50,0.83
,14:48:37,4,2700,1871.5,0.86,13.3,9,10.9,0.096,10,50,0.82
,14:48:38,4,2700,1872.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:48:39,4,2700,1873.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:48:40,4,2700,1874.5,0.86,13.3,9,10.8,0.099,10,50,0.83
,14:48:41,4,2700,1875.5,0.86,13.3,9,10.8,0.096,10,50,0.83
,14:48:42,4,2700,1876.5,0.87,13.3,9,10.8,0.097,10,50,0.83
,14:48:43,4,2700,1877.5,0.87,13.3,9,10.8,0.097,10,50,0.83
,14:48:44,4,2700,1878.5,0.86,13.3,9,10.8,0.096,10,50,0.83
,14:48:45,4,2700,1879.5,0.86,13.3,9,10.8,0.094,10,50,0.83
,14:48:46,4,2700,1880.5,0.86,13.3,9,10.8,0.096,10,50,0.83
,14:48:47,4,2700,1881.5,0.86,13.3,9,10.8,0.096,10,50,0.82
,14:48:48,4,2700,1882.5,0.86,13.3,9,10.8,0.093,10,50,0.82
,14:48:49,4,2700,1883.5,0.86,13.3,9,10.8,0.096,10,50,0.82
,14:48:50,4,2700,1884.5,0.86,13.3,9,10.8,0.093,10,50,0.82
,14:48:51,4,2700,1885.5,0.86,13.3,9,10.8,0.093,10,50,0.82
,14:48:52,4,2700,1886.5,0.86,13.3,9,10.8,0.093,10,50,0.82
,14:48:53,4,2700,1887.5,0.86,13.3,9,10.8,0.094,10,50,0.83
,14:48:54,4,2700,1888.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:48:55,4,2700,1889.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:48:56,4,2700,1890.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:48:57,4,2700,1891.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:48:58,4,2700,1892.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:48:59,4,2700,1893.5,0.86,13.3,9,10.7,0.096,10,50,0.82
,14:49:00,4,2700,1894.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:01,4,2700,1895.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:02,4,2700,1896.5,0.87,13.3,9,10.7,0.094,10,50,0.83
,14:49:03,4,2700,1897.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:49:04,4,2700,1898.5,0.87,13.3,9,10.7,0.094,10,50,0.83
,14:49:05,4,2700,1899.5,0.87,13.3,9,10.7,0.094,10,50,0.83
,14:49:06,4,2700,1900.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:07,4,2700,1901.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:08,4,2700,1902.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:09,4,2700,1903.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:10,4,2700,1904.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:49:11,4,2700,1905.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:12,4,2700,1906.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:13,4,2700,1907.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:14,4,2700,1908.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:15,4,2700,1909.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:16,4,2700,1910.5,0.87,13.3,9,10.6,0.092,10,50,0.83
,14:49:17,4,2700,1911.5,0.87,13.3,9,10.6,0.092,10,50,0.83
,14:49:18,4,2700,1912.5,0.87,13.3,9,10.6,0.092,10,50,0.83
,14:49:19,4,2700,1913.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:20,4,2700,1914.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:21,4,2700,1915.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:22,4,2700,1916.5,0.86,13.3,9,10.6,0.096,10,50,0.83
,14:49:23,4,2700,1917.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:24,4,2700,1918.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:25,4,2700,1919.5,0.86,13.3,9,10.6,0.099,10,50,0.83
,14:49:26,4,2700,1920.5,0.87,13.3,9,10.6,0.099,10,50,0.83
,14:49:27,4,2700,1921.5,0.87,13.3,9,10.6,0.099,10,50,0.83
,14:49:28,4,2700,1922.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:29,4,2700,1923.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:30,4,2700,1924.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:31,4,2700,1925.5,0.86,13.3,9,10.6,0.096,10,50,0.83
,14:49:32,4,2700,1926.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:33,4,2700,1927.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:34,4,2700,1928.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:35,4,2700,1929.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:36,4,2700,1930.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:37,4,2700,1931.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:38,4,2700,1932.5,0.86,13.3,9,10.6,0.096,10,50,0.83
,14:49:39,4,2700,1933.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:40,4,2700,1934.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:41,4,2700,1935.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:42,4,2700,1936.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:43,4,2700,1937.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:44,4,2700,1938.5,0.87,13.3,9,10.6,0.097,10,50,0.83
,14:49:45,4,2700,1939.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:46,4,2700,1940.5,0.87,13.3,9,10.6,0.095,10,50,0.84
,14:49:47,4,2700,1941.5,0.87,13.3,9,10.6,0.092,10,50,0.83
,14:49:48,4,2700,1942.5,0.87,13.3,10,10.6,0.089,10,50,0.83
,14:49:49,4,2700,1943.5,0.87,13.3,9,10.6,0.094,10,50,0.83
,14:49:50,4,2700,1944.5,0.86,13.3,9,10.6,0.093,10,50,0.82
,14:49:51,4,2700,1945.5,0.86,13.3,9,10.6,0.096,10,50,0.82
,14:49:52,4,2700,1946.5,0.86,13.3,9,10.6,0.099,10,50,0.82
,14:49:53,4,2700,1947.5,0.86,13.3,9,10.7,0.099,10,50,0.82
,14:49:54,4,2700,1948.5,0.86,13.3,9,10.7,0.099,10,50,0.82
,14:49:55,4,2700,1949.5,0.86,13.3,9,10.7,0.099,10,50,0.82
,14:49:56,4,2700,1950.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:49:57,4,2700,1951.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:49:58,4,2700,1952.5,0.87,13.3,9,10.7,0.1,10,50,0.83
,14:49:59,4,2700,1953.5,0.87,13.3,9,10.7,0.099,10,50,0.83
,14:50:00,4,2700,1954.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:01,4,2700,1955.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:02,4,2700,1956.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:03,4,2700,1957.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:04,4,2700,1958.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:05,4,2700,1959.5,0.87,13.3,9,10.7,0.094,10,50,0.83
,14:50:06,4,2700,1960.5,0.87,13.3,9,10.7,0.094,10,50,0.83
,14:50:07,4,2700,1961.5,0.86,13.3,9,10.7,0.096,10,50,0.83
,14:50:08,4,2700,1962.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:09,4,2700,1963.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:10,4,2700,1964.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:11,4,2700,1965.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:12,4,2700,1966.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:13,4,2700,1967.5,0.87,13.3,9,10.7,0.097,10,50,0.83
,14:50:14,4,2700,1968.5,0.87,13.3,9,10.8,0.094,10,50,0.83
,14:50:15,4,2700,1969.5,0.87,13.3,9,10.8,0.095,10,50,0.84
,14:50:16,4,2700,1970.5,0.87,13.3,9,10.8,0.097,10,50,0.84
,14:50:17,4,2700,1971.5,0.87,13.3,9,10.8,0.097,10,50,0.84
,14:50:18,4,2700,1972.5,0.87,13.3,9,10.8,0.097,10,50,0.84
,14:50:19,4,2700,1973.5,0.87,13.3,9,10.8,0.094,10,50,0.83
,14:50:20,4,2700,1974.5,0.87,13.3,9,10.8,0.094,10,50,0.83
,14:50:21,4,2700,1975.5,0.87,13.3,9,10.8,0.094,10,50,0.83
,14:50:22,4,2700,1976.5,0.87,13.3,9,10.8,0.092,10,50,0.83
,14:50:23,4,2700,1977.5,0.87,13.3,9,10.8,0.092,10,50,0.83
,14:50:24,4,2700,1978.5,0.87,13.3,9,10.8,0.091,10,50,0.83
,14:50:25,4,2700,1979.5,0.86,13.3,9,10.8,0.091,10,50,0.83
,14:50:26,4,2700,1980.5,0.87,13.3,9,10.8,0.094,10,50,0.83
,14:50:27,4,2700,1981.5,0.86,13.3,9,10.8,0.096,10,50,0.83
,14:50:28,4,2700,1982.5,0.86,13.3,9,10.8,0.096,10,50,0.82
,14:50:29,4,2700,1983.5,0.86,13.3,9,10.8,0.099,10,50,0.82
,14:50:30,4,2700,1984.5,0.86,13.3,8,10.9,0.102,10,50,0.82
,14:50:31,4,2700,1985.5,0.86,13.3,9,10.9,0.099,10,50,0.82
,14:50:32,4,2700,1986.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:50:33,4,2700,1987.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:50:34,4,2700,1988.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:50:35,4,2700,1989.5,0.87,13.3,9,10.9,0.099,10,50,0.83
,14:50:36,4,2700,1990.5,0.87,13.3,9,10.9,0.099,10,50,0.83
,14:50:37,4,2700,1991.5,0.87,13.3,9,10.9,0.1,10,50,0.83
,14:50:38,4,2700,1992.5,0.87,13.3,9,10.9,0.097,10,50,0.83
,14:50:39,4,2700,1993.5,0.87,13.3,9,10.9,0.094,10,50,0.83
,14:50:40,4,2700,1994.5,0.87,13.3,9,11,0.097,10,50,0.84
,14:50:41,4,2700,1995.5,0.87,13.3,9,11,0.097,10,50,0.83
,14:50:42,4,2700,1996.5,0.87,13.3,9,11,0.1,10,50,0.83
,14:50:43,4,2700,1997.5,0.87,13.3,9,11,0.097,10,50,0.84
,14:50:44,4,2700,1998.5,0.87,13.3,9,11,0.097,10,50,0.84
,14:50:45,4,2700,1999.5,0.87,13.3,9,11,0.097,10,50,0.84
,14:50:46,4,2700,2000.5,0.87,13.3,9,11,0.095,10,50,0.84
,14:50:47,4,2700,2001.5,0.87,13.3,9,11,0.092,10,50,0.84
,14:50:48,4,2700,2002.5,0.87,13.3,9,11,0.092,10,50,0.83
,14:50:49,4,2700,2003.5,0.87,13.3,9,11,0.092,10,50,0.84
,14:50:50,4,2700,2004.5,0.87,13.3,9,11,0.092,10,50,0.83
,14:50:51,4,2700,2005.5,0.87,13.3,9,11,0.094,10,50,0.83
,14:50:52,4,2700,2006.5,0.87,13.3,9,11.1,0.094,10,50,0.83
,14:50:53,4,2700,2007.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:50:54,4,2700,2008.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:50:55,4,2700,2009.5,0.87,13.3,9,11.1,0.1,10,50,0.83
,14:50:56,4,2700,2010.5,0.87,13.3,9,11.1,0.097,10,50,0.83
,14:50:57,4,2700,2011.5,0.87,13.3,9,11.1,0.1,10,50,0.83
,14:50:58,4,2700,2012.5,0.87,13.3,9,11.1,0.1,10,50,0.83
,14:50:59,4,2700,2013.5,0.87,13.3,9,11.1,0.1,10,50,0.83
,14:51:00,4,2700,2014.5,0.87,13.3,9,11.2,0.1,10,50,0.83
,14:51:01,4,2700,2015.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:51:02,4,2700,2016.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:51:03,4,2700,2017.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:51:04,4,2700,2018.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:51:05,4,2700,2019.5,0.87,13.3,9,11.2,0.097,10,50,0.84
,14:51:06,4,2700,2020.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:51:07,4,2700,2021.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:51:08,4,2700,2022.5,0.87,13.3,9,11.2,0.097,10,50,0.83
,14:51:09,4,2700,2023.5,0.87,13.3,9,11.2,0.1,10,50,0.83
,14:51:10,4,2700,2024.5,0.87,13.3,9,11.3,0.097,10,50,0.83
,14:51:11,4,2700,2025.5,0.87,13.3,9,11.3,0.097,10,50,0.84
,14:51:12,4,2700,2026.5,0.87,13.3,9,11.3,0.097,10,50,0.84
,14:51:13,4,2700,2027.5,0.87,13.3,9,11.3,0.095,10,50,0.84
,14:51:14,4,2700,2028.5,0.87,13.3,9,11.3,0.095,10,50,0.84
,14:51:15,4,2700,2029.5,0.87,13.3,9,11.3,0.092,10,50,0.84
,14:51:16,4,2700,2030.5,0.87,13.3,9,11.3,0.092,10,50,0.84
,14:51:17,4,2700,2031.5,0.88,13.3,10,11.4,0.09,10,50,0.84
,14:51:18,4,2700,2032.5,0.87,13.3,9,11.4,0.092,10,50,0.84
,14:51:19,4,2700,2033.5,0.88,13.3,9,11.4,0.095,10,50,0.84
,14:51:20,4,2700,2034.5,0.87,13.3,9,11.4,0.097,10,50,0.84
