Data file,,RA0.3_HEF65_-8C_001_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,23/03/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:27:03 on 23/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:38:23,4,2700,679.7,0.02,0,9,-7.7,0.002,10,0.2,0.02
,13:38:24,4,2700,680.7,0.24,0.6,9,-7.7,0.026,10,0.2,0.25
,13:38:25,4,2700,681.7,0.6,4.8,9,-7.7,0.066,10,0.2,0.59
,13:38:26,4,2700,682.7,1.01,11.6,9,-7.7,0.113,10,0.3,0.98
,13:38:27,4,2700,683.7,1.23,13.3,9,-7.8,0.137,10,0.3,1.16
,13:38:28,4,2700,684.7,1.31,13.3,9,-7.8,0.146,10,0.3,1.24
,13:38:29,4,2700,685.7,1.35,13.3,9,-7.8,0.146,10,0.3,1.27
,13:38:30,4,2700,686.7,1.36,13.3,9,-7.8,0.143,10,0.3,1.27
,13:38:31,4,2700,687.7,1.37,13.3,9,-7.8,0.148,10,0.3,1.28
,13:38:32,4,2700,688.7,1.38,13.3,9,-7.8,0.149,10,0.3,1.29
,13:38:33,4,2700,689.7,1.38,13.3,9,-7.8,0.15,10,0.3,1.3
,13:38:34,4,2700,690.7,1.39,13.3,9,-7.9,0.151,10,0.3,1.31
,13:38:35,4,2700,691.7,1.39,13.3,9,-7.9,0.151,10,0.3,1.31
,13:38:36,4,2700,692.7,1.4,13.3,9,-8,0.147,10,0.3,1.31
,13:38:37,4,2700,693.7,1.4,13.3,9,-8,0.147,10,0.3,1.31
,13:38:38,4,2700,694.7,1.4,13.3,9,-8,0.152,10,0.3,1.31
,13:38:39,4,2700,695.7,1.4,13.3,9,-8,0.152,10,0.3,1.31
,13:38:40,4,2700,696.7,1.4,13.3,9,-8.1,0.152,10,0.3,1.31
,13:38:41,4,2700,697.7,1.4,13.3,9,-8,0.152,10,0.3,1.31
,13:38:42,4,2700,698.7,1.39,13.3,9,-8,0.151,10,0.3,1.31
,13:38:43,4,2700,699.7,1.39,13.3,9,-8,0.155,10,0.3,1.3
,13:38:44,4,2700,700.7,1.39,13.3,9,-7.9,0.151,10,0.3,1.3
,13:38:45,4,2700,701.7,1.39,13.3,9,-7.9,0.147,10,0.3,1.31
,13:38:46,4,2700,702.7,1.39,13.3,9,-7.8,0.151,10,0.3,1.31
