Data file,,DELRIN500AF_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:23:30 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:30:05,4,3600,394.2,0.02,0,7,11.2,0.002,10,44.5,0.01
,11:30:06,4,3600,395.2,0.23,0.4,7,11.2,0.034,10,44.6,0.25
,11:30:07,4,3600,396.2,0.57,4.2,7,11.2,0.086,10,44.7,0.57
,11:30:08,4,3600,397.2,0.9,10.5,7,11.2,0.13,10,44.7,0.87
,11:30:09,4,3600,398.2,1.01,13.2,7,11.2,0.14,10,44.7,0.94
,11:30:10,4,3600,399.2,0.98,13.3,7,11.1,0.132,10,44.7,0.91
,11:30:11,4,3600,400.2,0.96,13.3,7,11.1,0.129,10,44.7,0.9
,11:30:12,4,3600,401.2,0.94,13.3,7,11.1,0.131,10,44.7,0.88
,11:30:13,4,3600,402.2,0.93,13.3,7,11.1,0.13,10,44.7,0.87
,11:30:14,4,3600,403.2,0.93,13.3,7,11.1,0.124,10,44.7,0.87
,11:30:15,4,3600,404.2,0.92,13.3,7,11.1,0.124,10,44.7,0.86
,11:30:16,4,3600,405.2,0.91,13.3,7,11,0.127,10,44.7,0.85
,11:30:17,4,3600,406.2,0.91,13.3,7,11,0.131,10,44.7,0.85
,11:30:18,4,3600,407.2,0.9,13.3,7,11,0.13,10,44.7,0.84
,11:30:19,4,3600,408.2,0.91,13.3,7,11,0.126,10,44.7,0.85
,11:30:20,4,3600,409.2,0.91,13.3,7,10.9,0.126,10,44.7,0.85
,11:30:21,4,3600,410.2,0.91,13.3,7,10.9,0.126,10,44.7,0.85
,11:30:22,4,3600,411.2,0.91,13.3,7,10.9,0.131,10,44.7,0.85
,11:30:23,4,3600,412.2,0.91,13.3,7,10.9,0.131,10,44.7,0.85
,11:30:24,4,3600,413.2,0.91,13.3,7,11,0.132,10,44.7,0.85
,11:30:25,4,3600,414.2,0.92,13.3,7,11,0.132,10,44.7,0.86
,11:30:26,4,3600,415.2,0.92,13.3,7,11,0.133,10,44.7,0.86
,11:30:27,4,3600,416.2,0.92,13.3,7,11,0.129,10,44.7,0.86
,11:30:28,4,3600,417.2,0.92,13.3,7,11,0.128,10,44.7,0.86
,11:30:29,4,3600,418.2,0.91,13.3,7,11.1,0.131,10,44.7,0.85
