Data file,,RA0.3_HEF_-8C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,23/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:53:02 on 23/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:04:07,4,2700,665.2,0.02,0,9,-8,0.002,10,0.2,0.01
,12:04:08,4,2700,666.2,0.33,0.6,9,-8,0.036,10,0.3,0.36
,12:04:09,4,2700,667.2,0.97,4.9,9,-8,0.106,10,0.3,0.98
,12:04:10,4,2700,668.2,1.74,11,9,-8,0.188,10,0.2,1.7
,12:04:11,4,2700,669.2,2.2,13.3,9,-8,0.232,10,0.2,2.08
,12:04:12,4,2700,670.2,2.35,13.3,10,-8,0.241,10,0.3,2.21
,12:04:13,4,2700,671.2,2.38,13.3,9,-8,0.251,10,0.3,2.23
,12:04:14,4,2700,672.2,2.39,13.3,9,-8,0.252,10,0.3,2.24
,12:04:15,4,2700,673.2,2.4,13.3,9,-8.1,0.26,10,0.3,2.25
,12:04:16,4,2700,674.2,2.4,13.3,9,-8.2,0.26,10,0.3,2.25
,12:04:17,4,2700,675.2,2.4,13.3,9,-8.2,0.26,10,0.3,2.25
,12:04:18,4,2700,676.2,2.4,13.3,9,-8.3,0.26,10,0.3,2.25
,12:04:19,4,2700,677.2,2.41,13.3,9,-8.2,0.261,10,0.2,2.25
,12:04:20,4,2700,678.2,2.41,13.3,9,-8.2,0.269,10,0.2,2.26
,12:04:21,4,2700,679.2,2.42,13.3,9,-8.2,0.269,10,0.3,2.26
,12:04:22,4,2700,680.2,2.42,13.3,9,-8.1,0.269,10,0.3,2.26
,12:04:23,4,2700,681.2,2.42,13.3,9,-8,0.269,10,0.3,2.26
,12:04:24,4,2700,682.2,2.42,13.3,9,-8,0.27,10,0.3,2.27
,12:04:25,4,2700,683.2,2.43,13.3,9,-7.9,0.271,10,0.3,2.27
,12:04:26,4,2700,684.2,2.44,13.3,9,-7.9,0.272,10,0.3,2.28
,12:04:27,4,2700,685.2,2.44,13.3,9,-7.8,0.272,10,0.2,2.28
,12:04:28,4,2700,686.2,2.43,13.3,9,-7.6,0.271,10,0.2,2.27
,12:04:29,4,2700,687.2,2.43,13.3,9,-7.5,0.271,10,0.3,2.27
,12:04:30,4,2700,688.2,2.43,13.3,9,-7.5,0.271,10,0.3,2.28
