Data file,,DURATRON_HEF_T39_D2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 12:25:19 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_hef_t39_d2-h001.tsv,,,,,,,,,,
,12:26:17,4,5,58.5,0.02,0,7,21,0.003,10,49.7,0.02
,12:26:18,4,5,59.5,0.22,0.3,8,21,0.028,10,49.9,0.25
,12:26:19,4,5,60.5,0.71,4.3,8,21,0.092,10,49.9,0.73
,12:26:20,4,5,61.5,1.25,11.6,8,21,0.157,10,49.9,1.25
,12:26:21,4,5,62.5,1.59,13.3,8,22,0.206,10,49.9,1.54
,12:26:22,5,3590,63.5,1.62,13.3,8,22,0.21,10,49.9,1.56
,12:26:23,5,3590,64.5,1.59,13.3,8,21,0.207,10,49.9,1.54
,12:26:24,5,3590,65.5,1.57,13.3,7,21,0.211,10,49.9,1.51
,12:26:25,5,3590,66.5,1.55,13.3,7,21,0.215,10,49.9,1.49
,12:26:26,5,3590,67.5,1.54,13.3,7,21,0.223,10,49.9,1.49
,12:26:27,5,3590,68.5,1.54,13.3,7,22,0.222,10,49.9,1.48
,12:26:28,5,3590,69.5,1.55,13.3,7,22,0.224,10,49.9,1.5
,12:26:29,5,3590,70.5,1.57,13.3,7,22,0.227,10,49.9,1.52
