Data file,,DRYSLIDE_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/05/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DrySlide on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:54:24 on 16/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:10:06,4,3600,942.1,0.17,0,7,-7.5,0.024,10,49.9,0.16
,15:10:07,4,3600,943.1,0.34,0,7,-7.5,0.049,10,50,0.35
,15:10:08,4,3600,944.1,0.73,3.7,7,-7.5,0.101,10,50.1,0.74
,15:10:09,4,3600,945.1,1.16,11.5,7,-7.5,0.156,10,50.1,1.14
,15:10:10,4,3600,946.1,1.37,13.3,7,-7.5,0.184,10,50.1,1.31
,15:10:11,4,3600,947.1,1.38,13.3,7,-7.5,0.186,10,50.1,1.32
,15:10:12,4,3600,948.1,1.36,13.3,7,-7.5,0.183,10,50.1,1.3
,15:10:13,4,3600,949.1,1.34,13.3,7,-7.5,0.181,10,50.1,1.28
,15:10:14,4,3600,950.1,1.33,13.3,7,-7.5,0.179,10,50.1,1.27
,15:10:15,4,3600,951.1,1.32,13.3,7,-7.5,0.177,10,50.1,1.26
,15:10:16,4,3600,952.1,1.31,13.3,7,-7.5,0.176,10,50.1,1.25
,15:10:17,4,3600,953.1,1.29,13.3,7,-7.5,0.18,10,50.1,1.23
,15:10:18,4,3600,954.1,1.29,13.3,7,-7.5,0.179,10,50.1,1.23
,15:10:19,4,3600,955.1,1.28,13.3,7,-7.5,0.185,10,50.1,1.23
,15:10:20,4,3600,956.1,1.28,13.3,7,-7.5,0.178,10,50.1,1.22
,15:10:21,4,3600,957.1,1.27,13.3,7,-7.5,0.177,10,50.1,1.21
,15:10:22,4,3600,958.1,1.27,13.3,7,-7.5,0.17,10,50.1,1.21
,15:10:23,4,3600,959.1,1.26,13.3,7,-7.5,0.175,10,50.1,1.2
,15:10:24,4,3600,960.1,1.25,13.3,7,-7.6,0.181,10,50.1,1.2
,15:10:25,4,3600,961.1,1.25,13.3,7,-7.6,0.188,10,50.1,1.2
,15:10:26,4,3600,962.1,1.25,13.3,7,-7.6,0.187,10,50.1,1.19
,15:10:27,4,3600,963.1,1.25,13.3,7,-7.6,0.18,10,50.1,1.19
,15:10:28,4,3600,964.1,1.25,13.3,7,-7.6,0.187,10,50.1,1.19
,15:10:29,4,3600,965.1,1.25,13.3,7,-7.6,0.187,10,50.1,1.19
