Data file,,RA0.3_PAO_-8C_001_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:04:49 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:29:50,4,3600,1500.6,0.02,0,9,-7.4,0.003,10,0.2,0.04
,13:29:51,4,3600,1501.6,0.31,0.7,10,-7.4,0.032,10,0.2,0.31
,13:29:52,4,3600,1502.6,0.78,5.3,9,-7.4,0.082,10,0.2,0.75
,13:29:53,4,3600,1503.6,1.3,11.3,9,-7.4,0.14,10,0.2,1.2
,13:29:54,4,3600,1504.6,1.54,13.3,9,-7.4,0.172,10,0.2,1.4
,13:29:55,4,3600,1505.6,1.59,13.3,9,-7.4,0.183,10,0.2,1.44
,13:29:56,4,3600,1506.6,1.59,13.3,9,-7.5,0.177,10,0.2,1.43
,13:29:57,4,3600,1507.6,1.59,13.3,9,-7.5,0.178,10,4.1,1.44
,13:29:58,4,3600,1508.6,1.6,13.3,9,-7.5,0.178,10,4.3,1.44
,13:29:59,4,3600,1509.6,1.6,13.3,9,-7.5,0.174,10,2.2,1.45
,13:30:00,4,3600,1510.6,1.6,13.3,9,-7.5,0.169,10,4.2,1.45
,13:30:01,4,3600,1511.6,1.6,13.3,9,-7.5,0.168,10,8.7,1.44
,13:30:02,4,3600,1512.6,1.59,13.3,9,-7.5,0.168,10,4.3,1.43
,13:30:03,4,3600,1513.6,1.58,13.3,9,-7.5,0.167,10,7.5,1.42
,13:30:04,4,3600,1514.6,1.57,13.3,10,-7.5,0.161,10,6.7,1.41
,13:30:05,4,3600,1515.6,1.56,13.3,10,-7.5,0.16,10,3.3,1.41
,13:30:06,4,3600,1516.6,1.56,13.3,10,-7.5,0.156,10,1.7,1.41
,13:30:07,4,3600,1517.6,1.55,13.3,10,-7.5,0.159,10,1,1.4
,13:30:08,4,3600,1518.6,1.54,13.3,10,-7.5,0.159,10,0.6,1.39
,13:30:09,4,3600,1519.6,1.54,13.3,9,-7.5,0.162,10,0.4,1.39
,13:30:10,4,3600,1520.6,1.53,13.3,9,-7.5,0.166,10,0.3,1.38
,13:30:11,4,3600,1521.6,1.52,13.3,9,-7.5,0.169,10,0.3,1.37
,13:30:12,4,3600,1522.6,1.51,13.3,9,-7.5,0.168,10,0.2,1.36
,13:30:13,4,3600,1523.6,1.5,13.3,9,-7.5,0.167,10,0.2,1.35
