Data file,,RA0.3_DISTILLEDWATER_12C_003_15MLWATER.TSV,,,,,,,,,,
,14:05:52,4,-1,73.1,0.55,13.3,9,10.6,0.06,10,49.9,0.53
,14:05:53,4,-1,74.1,0.55,13.3,9,10.6,0.06,10,49.9,0.53
,14:05:54,4,-1,75.1,0.54,13.3,9,10.6,0.057,10,49.9,0.52
,14:05:55,4,-1,76.1,0.53,13.3,10,10.6,0.055,10,49.9,0.51
,14:05:56,4,-1,77.1,0.52,13.3,10,10.6,0.054,10,49.9,0.5
,14:05:57,4,-1,78.1,0.52,13.3,9,10.6,0.056,10,49.9,0.5
,14:05:58,4,-1,79.1,0.52,13.3,9,10.6,0.056,10,49.9,0.5
,14:05:59,4,-1,80.1,0.51,13.3,9,10.6,0.057,10,49.9,0.49
,14:06:00,4,-1,81.1,0.5,13.3,9,10.6,0.054,10,49.9,0.48
,14:06:01,4,-1,82.1,0.49,13.3,9,10.6,0.054,10,49.9,0.47
,14:06:02,4,-1,83.1,0.49,13.3,9,10.6,0.053,10,49.8,0.47
,14:06:03,4,-1,84.1,0.48,13.3,9,10.6,0.052,10,49.9,0.46
,14:06:04,4,-1,85.1,0.48,13.3,9,10.6,0.052,10,42,0.46
,14:06:05,4,-1,86.1,0.47,13.3,9,10.6,0.051,10,35.6,0.46
,14:06:06,4,-1,87.1,0.47,13.3,9,10.6,0.051,10,24.3,0.46
,14:06:07,4,-1,88.1,0.47,13.3,9,10.6,0.05,10,14.2,0.46
,14:06:08,4,-1,89.1,0.47,13.3,10,10.6,0.048,10,7.1,0.45
,14:06:09,4,-1,90.1,0.46,13.3,10,10.6,0.047,10,3.8,0.44
,14:06:10,4,-1,91.1,0.45,13.3,9,10.5,0.048,10,3,0.43
,14:06:11,4,-1,92.1,0.45,13.3,9,10.5,0.049,10,4.1,0.43
,14:06:12,4,-1,93.1,0.45,13.3,9,10.5,0.048,10,2.4,0.43
,14:06:13,4,-1,94.1,0.44,13.3,9,10.5,0.048,10,1.3,0.43
,14:06:14,4,-1,95.1,0.44,13.3,9,10.5,0.048,10,0.8,0.42
,14:06:15,4,-1,96.1,0.44,13.3,9,10.5,0.049,10,0.6,0.42
,14:06:16,4,-1,97.1,0.44,13.3,9,10.5,0.048,10,0.4,0.42
,14:06:17,4,-1,98.1,0.44,13.3,9,10.5,0.048,10,0.4,0.42
,14:06:18,4,-1,99.1,0.44,13.3,9,10.4,0.048,10,0.4,0.42
,14:06:19,4,-1,100.1,0.44,13.3,9,10.4,0.046,10,0.4,0.42
,14:06:20,4,-1,101.1,0.43,13.3,9,10.4,0.047,10,0.4,0.42
,14:06:21,4,-1,102.1,0.42,13.3,9,10.4,0.046,10,0.5,0.41
,14:06:22,4,-1,103.1,0.42,13.3,9,10.4,0.045,10,0.5,0.4
,14:06:23,4,-1,104.1,0.41,13.3,9,10.4,0.044,10,0.5,0.4
,14:06:24,4,-1,105.1,0.42,13.3,10,10.4,0.043,10,0.5,0.4
,14:06:25,4,-1,106.1,0.42,13.3,10,10.4,0.043,10,0.5,0.4
,14:06:26,4,-1,107.1,0.41,13.3,9,10.4,0.045,10,0.5,0.39
,14:06:27,4,-1,108.1,0.4,13.3,9,10.4,0.045,10,0.5,0.39
,14:06:28,4,-1,109.1,0.4,13.3,9,10.4,0.045,10,0.5,0.39
,14:06:29,4,-1,110.1,0.4,13.3,9,10.4,0.045,10,0.5,0.39
,14:06:30,4,-1,111.1,0.41,13.3,9,10.3,0.045,10,0.5,0.4
,14:06:31,4,-1,112.1,0.41,13.3,9,10.3,0.045,10,0.5,0.39
,14:06:32,4,-1,113.1,0.41,13.3,9,10.3,0.044,10,0.5,0.39
,14:06:33,4,-1,114.1,0.4,13.3,9,10.3,0.043,10,0.5,0.38
,14:06:34,4,-1,115.1,0.4,13.3,9,10.3,0.043,10,0.5,0.38
,14:06:35,4,-1,116.1,0.4,13.3,9,10.3,0.044,10,0.5,0.38
,14:06:36,4,-1,117.1,0.4,13.3,9,10.3,0.044,10,0.5,0.38
,14:06:37,4,-1,118.1,0.4,13.3,9,10.3,0.044,10,0.5,0.38
,14:06:38,4,-1,119.1,0.4,13.3,9,10.3,0.044,10,0.5,0.38
,14:06:39,4,-1,120.1,0.4,13.3,9,10.3,0.044,10,0.5,0.39
,14:06:40,4,-1,121.1,0.4,13.3,9,10.3,0.044,10,0.5,0.39
,14:06:41,4,-1,122.1,0.4,13.3,9,10.3,0.042,10,0.5,0.39
,14:06:42,4,-1,123.1,0.4,13.3,9,10.2,0.042,10,0.5,0.38
,14:06:43,4,-1,124.1,0.39,13.3,10,10.2,0.04,10,0.5,0.38
,14:06:44,4,-1,125.1,0.39,13.3,10,10.2,0.04,10,0.5,0.38
,14:06:45,4,-1,126.1,0.39,13.3,10,10.2,0.04,10,0.5,0.37
,14:06:46,4,-1,127.1,0.38,13.3,10,10.2,0.039,10,0.5,0.37
,14:06:47,4,-1,128.1,0.38,13.3,9,10.2,0.04,10,0.5,0.36
,14:06:48,4,-1,129.1,0.38,13.3,9,10.2,0.041,10,0.5,0.37
,14:06:49,4,-1,130.1,0.38,13.3,9,10.1,0.042,10,0.5,0.37
,14:06:50,4,-1,131.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:51,4,-1,132.1,0.39,13.3,9,10.1,0.044,10,0.5,0.37
,14:06:52,4,-1,133.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:53,4,-1,134.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:54,4,-1,135.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:55,4,-1,136.1,0.39,13.3,9,10.1,0.042,10,0.5,0.37
,14:06:56,4,-1,137.1,0.39,13.3,9,10.1,0.042,10,0.5,0.37
,14:06:57,4,-1,138.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:58,4,-1,139.1,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:06:59,4,-1,140.1,0.39,13.3,9,10.1,0.042,10,0.5,0.37
,14:07:00,4,-1,141.1,0.39,13.3,9,10,0.042,10,0.5,0.37
,14:07:01,4,-1,142.1,0.38,13.3,9,10,0.042,10,0.5,0.37
,14:07:02,4,-1,143.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:03,4,-1,144.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:04,4,-1,145.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:05,4,-1,146.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:06,4,-1,147.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:07,4,-1,148.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:08,4,-1,149.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:09,4,-1,150.1,0.38,13.3,10,10,0.039,10,0.5,0.37
,14:07:10,4,-1,151.1,0.38,13.3,10,10,0.039,10,0.5,0.37
,14:07:11,4,-1,152.1,0.38,13.3,9,10,0.04,10,0.5,0.36
,14:07:12,4,-1,153.1,0.38,13.3,9,10,0.04,10,0.5,0.36
,14:07:13,4,-1,154.1,0.37,13.3,9,10,0.039,10,0.5,0.36
,14:07:14,4,-1,155.1,0.37,13.3,9,10,0.041,10,0.5,0.36
,14:07:15,4,-1,156.1,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:16,4,-1,157.1,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:17,4,-1,158.1,0.37,13.3,9,10,0.04,10,0.5,0.35
,14:07:18,4,-1,159.1,0.37,13.3,9,10,0.041,10,0.5,0.35
,14:07:19,4,-1,160.1,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:20,4,-1,161.1,0.37,13.3,9,10,0.041,10,0.5,0.36
,14:07:21,4,-1,162.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:22,4,-1,163.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:23,4,-1,164.1,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:24,4,-1,165.1,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:25,4,-1,166.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:26,4,-1,167.1,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:27,4,-1,168.1,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:28,4,-1,169.1,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:29,4,-1,170.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:30,4,-1,171.1,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:31,4,-1,172.1,0.38,13.3,9,10,0.04,10,0.5,0.36
,14:07:32,4,-1,173.1,0.37,13.3,9,10,0.039,10,0.5,0.36
,14:07:33,4,-1,174.1,0.37,13.3,9,10,0.039,10,0.5,0.36
,14:07:34,4,-1,175.1,0.37,13.3,9,10,0.039,10,0.5,0.35
,14:07:35,4,-1,176.1,0.37,13.3,9,10,0.04,10,0.5,0.36
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,ra0.3_distilledwater_12c_003_15mlwater-h001.tsv,,,,,,,,,,
,14:07:36,5,5,177.8,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:37,5,5,178.8,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:38,5,5,179.8,0.37,13.3,9,10,0.04,10,0.5,0.36
,14:07:39,5,5,180.8,0.37,13.3,9,10,0.041,10,0.5,0.36
,14:07:40,5,5,181.8,0.37,13.3,9,10,0.041,10,0.5,0.36
,14:07:41,6,3590,182.8,0.37,13.3,9,10,0.041,10,0.5,0.36
,14:07:42,6,3590,183.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:43,6,3590,184.8,0.38,13.3,9,10,0.042,10,0.5,0.36
,14:07:44,6,3590,185.8,0.38,13.3,9,10,0.042,10,0.5,0.36
,14:07:45,6,3590,186.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:46,6,3590,187.8,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:47,6,3590,188.8,0.38,13.3,9,10,0.043,10,0.5,0.37
,14:07:48,6,3590,189.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:49,6,3590,190.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:50,6,3590,191.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:51,6,3590,192.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:52,6,3590,193.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:53,6,3590,194.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:54,6,3590,195.8,0.38,13.3,9,10,0.041,10,0.5,0.36
,14:07:55,6,3590,196.8,0.38,13.3,9,10,0.04,10,0.5,0.37
,14:07:56,6,3590,197.8,0.38,13.3,9,10,0.041,10,0.5,0.37
,14:07:57,6,3590,198.8,0.38,13.3,9,10.1,0.043,10,0.5,0.37
,14:07:58,6,3590,199.8,0.38,13.3,9,10.1,0.042,10,0.5,0.36
,14:07:59,6,3590,200.8,0.38,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:00,6,3590,201.8,0.38,13.3,9,10.1,0.04,10,0.5,0.37
,14:08:01,6,3590,202.8,0.38,13.3,9,10.1,0.042,10,0.5,0.37
,14:08:02,6,3590,203.8,0.38,13.3,9,10.1,0.043,10,0.5,0.37
,14:08:03,6,3590,204.8,0.39,13.3,9,10.1,0.043,10,0.5,0.37
,14:08:04,6,3590,205.8,0.39,13.3,9,10.1,0.042,10,0.5,0.37
,14:08:05,6,3590,206.8,0.38,13.3,9,10.1,0.042,10,0.5,0.37
,14:08:06,6,3590,207.8,0.38,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:07,6,3590,208.8,0.37,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:08,6,3590,209.8,0.37,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:09,6,3590,210.8,0.37,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:10,6,3590,211.8,0.38,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:11,6,3590,212.8,0.38,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:12,6,3590,213.8,0.38,13.3,9,10.1,0.041,10,0.5,0.36
,14:08:13,6,3590,214.8,0.38,13.3,9,10.1,0.041,10,0.5,0.37
,14:08:14,6,3590,215.8,0.38,13.3,9,10.1,0.04,10,0.5,0.37
,14:08:15,6,3590,216.8,0.38,13.3,9,10.2,0.04,10,0.5,0.37
,14:08:16,6,3590,217.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:17,6,3590,218.8,0.38,13.3,9,10.2,0.041,10,0.5,0.37
,14:08:18,6,3590,219.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:19,6,3590,220.8,0.38,13.3,9,10.2,0.04,10,0.5,0.36
,14:08:20,6,3590,221.8,0.38,13.3,10,10.2,0.039,10,0.5,0.36
,14:08:21,6,3590,222.8,0.38,13.3,9,10.2,0.04,10,0.5,0.36
,14:08:22,6,3590,223.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:23,6,3590,224.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:24,6,3590,225.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:25,6,3590,226.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:26,6,3590,227.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:27,6,3590,228.8,0.38,13.3,9,10.2,0.041,10,0.5,0.36
,14:08:28,6,3590,229.8,0.38,13.3,9,10.3,0.041,10,0.5,0.36
,14:08:29,6,3590,230.8,0.38,13.3,9,10.3,0.041,10,0.5,0.37
,14:08:30,6,3590,231.8,0.38,13.3,9,10.3,0.04,10,0.5,0.36
,14:08:31,6,3590,232.8,0.38,13.3,9,10.3,0.041,10,0.5,0.37
,14:08:32,6,3590,233.8,0.38,13.3,9,10.3,0.04,10,0.5,0.37
,14:08:33,6,3590,234.8,0.38,13.3,9,10.3,0.04,10,0.5,0.37
,14:08:34,6,3590,235.8,0.38,13.3,9,10.3,0.041,10,0.5,0.37
,14:08:35,6,3590,236.8,0.38,13.3,9,10.3,0.04,10,0.5,0.37
,14:08:36,6,3590,237.8,0.38,13.3,9,10.3,0.04,10,0.5,0.37
,14:08:37,6,3590,238.8,0.38,13.3,10,10.3,0.039,10,0.5,0.36
,14:08:38,6,3590,239.8,0.38,13.3,10,10.3,0.039,10,0.5,0.36
,14:08:39,6,3590,240.8,0.37,13.3,9,10.4,0.041,10,0.5,0.36
,14:08:40,6,3590,241.8,0.37,13.3,9,10.3,0.041,10,0.5,0.36
,14:08:41,6,3590,242.8,0.37,13.3,9,10.4,0.042,10,0.5,0.36
,14:08:42,6,3590,243.8,0.38,13.3,9,10.4,0.042,10,0.5,0.36
,14:08:43,6,3590,244.8,0.38,13.3,9,10.4,0.041,10,0.5,0.36
,14:08:44,6,3590,245.8,0.38,13.3,9,10.4,0.042,10,0.5,0.36
,14:08:45,6,3590,246.8,0.38,13.3,9,10.4,0.041,10,0.5,0.36
,14:08:46,6,3590,247.8,0.38,13.3,9,10.4,0.041,10,0.5,0.36
,14:08:47,6,3590,248.8,0.38,13.3,9,10.4,0.041,10,0.5,0.37
,14:08:48,6,3590,249.8,0.38,13.3,9,10.4,0.042,10,0.5,0.37
,14:08:49,6,3590,250.8,0.38,13.3,9,10.4,0.04,10,0.5,0.37
,14:08:50,6,3590,251.8,0.39,13.3,9,10.5,0.042,10,0.5,0.37
,14:08:51,6,3590,252.8,0.38,13.3,9,10.5,0.04,10,0.5,0.37
,14:08:52,6,3590,253.8,0.38,13.3,9,10.5,0.04,10,0.5,0.37
,14:08:53,6,3590,254.8,0.38,13.3,9,10.5,0.04,10,0.5,0.37
,14:08:54,6,3590,255.8,0.38,13.3,10,10.5,0.039,10,0.5,0.36
,14:08:55,6,3590,256.8,0.37,13.3,10,10.5,0.038,10,0.5,0.36
,14:08:56,6,3590,257.8,0.37,13.3,9,10.5,0.039,10,0.5,0.36
,14:08:57,6,3590,258.8,0.37,13.3,9,10.5,0.04,10,0.5,0.36
,14:08:58,6,3590,259.8,0.37,13.3,9,10.6,0.04,10,0.5,0.35
,14:08:59,6,3590,260.8,0.36,13.3,9,10.6,0.039,10,0.5,0.35
,14:09:00,6,3590,261.8,0.36,13.3,9,10.6,0.039,10,0.5,0.35
,14:09:01,6,3590,262.8,0.37,13.3,9,10.6,0.04,10,0.5,0.35
,14:09:02,6,3590,263.8,0.36,13.3,9,10.6,0.039,10,0.5,0.35
,14:09:03,6,3590,264.8,0.37,13.3,9,10.6,0.04,10,0.5,0.35
,14:09:04,6,3590,265.8,0.37,13.3,9,10.6,0.04,10,0.5,0.35
,14:09:05,6,3590,266.8,0.37,13.3,9,10.6,0.04,10,0.5,0.35
,14:09:06,6,3590,267.8,0.37,13.3,9,10.7,0.04,10,0.5,0.35
,14:09:07,6,3590,268.8,0.37,13.3,9,10.7,0.041,10,0.5,0.35
,14:09:08,6,3590,269.8,0.37,13.3,9,10.7,0.041,10,0.5,0.36
,14:09:09,6,3590,270.8,0.37,13.3,9,10.7,0.04,10,0.5,0.36
,14:09:10,6,3590,271.8,0.37,13.3,9,10.7,0.041,10,0.5,0.36
,14:09:11,6,3590,272.8,0.37,13.3,9,10.7,0.039,10,0.5,0.36
,14:09:12,6,3590,273.8,0.37,13.3,9,10.7,0.04,10,0.5,0.35
,14:09:13,6,3590,274.8,0.36,13.3,9,10.7,0.042,10,0.5,0.35
,14:09:14,6,3590,275.8,0.37,13.3,9,10.8,0.041,10,0.5,0.35
,14:09:15,6,3590,276.8,0.37,13.3,9,10.8,0.04,10,0.5,0.36
,14:09:16,6,3590,277.8,0.38,13.3,9,10.8,0.041,10,0.5,0.36
,14:09:17,6,3590,278.8,0.38,13.3,9,10.8,0.041,10,0.5,0.36
,14:09:18,6,3590,279.8,0.38,13.3,9,10.8,0.041,10,0.5,0.36
,14:09:19,6,3590,280.8,0.38,13.3,9,10.8,0.043,10,0.5,0.37
,14:09:20,6,3590,281.8,0.38,13.3,9,10.8,0.043,10,0.5,0.37
,14:09:21,6,3590,282.8,0.39,13.3,9,10.8,0.042,10,0.5,0.37
,14:09:22,6,3590,283.8,0.39,13.3,9,10.9,0.042,10,0.5,0.37
,14:09:23,6,3590,284.8,0.38,13.3,9,10.9,0.042,10,0.5,0.37
,14:09:24,6,3590,285.8,0.38,13.3,9,10.9,0.041,10,0.5,0.36
,14:09:25,6,3590,286.8,0.38,13.3,9,10.9,0.04,10,0.5,0.36
,14:09:26,6,3590,287.8,0.38,13.3,10,10.9,0.039,10,0.5,0.37
,14:09:27,6,3590,288.8,0.38,13.3,10,10.9,0.038,10,0.5,0.37
,14:09:28,6,3590,289.8,0.38,13.3,10,11,0.038,10,0.5,0.37
,14:09:29,6,3590,290.8,0.38,13.3,10,11,0.038,10,0.5,0.37
,14:09:30,6,3590,291.8,0.38,13.3,10,11,0.039,10,0.5,0.36
,14:09:31,6,3590,292.8,0.37,13.3,9,11,0.039,10,0.5,0.36
,14:09:32,6,3590,293.8,0.37,13.3,9,11,0.04,10,0.5,0.36
,14:09:33,6,3590,294.8,0.37,13.3,9,11,0.04,10,0.5,0.36
,14:09:34,6,3590,295.8,0.37,13.3,9,11.1,0.041,10,0.5,0.35
,14:09:35,6,3590,296.8,0.37,13.3,9,11.1,0.041,10,0.5,0.35
,14:09:36,6,3590,297.8,0.37,13.3,9,11.1,0.04,10,0.5,0.35
,14:09:37,6,3590,298.8,0.37,13.3,9,11.1,0.04,10,0.5,0.35
,14:09:38,6,3590,299.8,0.37,13.3,9,11.1,0.041,10,0.5,0.35
,14:09:39,6,3590,300.8,0.37,13.3,9,11.1,0.041,10,0.5,0.35
,14:09:40,6,3590,301.8,0.37,13.3,9,11.1,0.041,10,0.5,0.35
,14:09:41,6,3590,302.8,0.37,13.3,9,11.1,0.04,10,0.5,0.36
,14:09:42,6,3590,303.8,0.37,13.3,9,11.2,0.04,10,0.5,0.36
,14:09:43,6,3590,304.8,0.37,13.3,9,11.2,0.04,10,0.5,0.35
,14:09:44,6,3590,305.8,0.37,13.3,9,11.2,0.04,10,0.5,0.35
,14:09:45,6,3590,306.8,0.37,13.3,9,11.2,0.04,10,0.5,0.35
,14:09:46,6,3590,307.8,0.37,13.3,9,11.2,0.039,10,0.5,0.36
,14:09:47,6,3590,308.8,0.37,13.3,10,11.3,0.038,10,0.5,0.36
,14:09:48,6,3590,309.8,0.38,13.3,10,11.3,0.039,10,0.5,0.36
,14:09:49,6,3590,310.8,0.37,13.3,10,11.3,0.038,10,0.5,0.36
,14:09:50,6,3590,311.8,0.37,13.3,9,11.3,0.039,10,0.5,0.35
,14:09:51,6,3590,312.8,0.37,13.3,9,11.3,0.04,10,0.5,0.35
,14:09:52,6,3590,313.8,0.37,13.3,9,11.3,0.04,10,0.5,0.35
,14:09:53,6,3590,314.8,0.37,13.3,9,11.4,0.041,10,0.5,0.35
,14:09:54,6,3590,315.8,0.37,13.3,9,11.4,0.042,10,0.5,0.36
,14:09:55,6,3590,316.8,0.38,13.3,9,11.4,0.042,10,0.5,0.36
,14:09:56,6,3590,317.8,0.38,13.3,9,11.4,0.041,10,0.5,0.36
,14:09:57,6,3590,318.8,0.38,13.3,9,11.4,0.041,10,0.5,0.36
,14:09:58,6,3590,319.8,0.37,13.3,9,11.4,0.04,10,0.5,0.36
,14:09:59,6,3590,320.8,0.37,13.3,9,11.4,0.04,10,0.5,0.35
,14:10:00,6,3590,321.8,0.37,13.3,9,11.5,0.041,10,0.5,0.35
,14:10:01,6,3590,322.8,0.37,13.3,9,11.5,0.041,10,0.5,0.36
,14:10:02,6,3590,323.8,0.38,13.3,9,11.5,0.042,10,0.5,0.36
,14:10:03,6,3590,324.8,0.38,13.3,9,11.5,0.041,10,0.5,0.36
,14:10:04,6,3590,325.8,0.38,13.3,9,11.5,0.041,10,0.5,0.36
,14:10:05,6,3590,326.8,0.38,13.3,9,11.5,0.041,10,0.5,0.36
,14:10:06,6,3590,327.8,0.38,13.3,9,11.6,0.041,10,0.5,0.36
,14:10:07,6,3590,328.8,0.38,13.3,9,11.6,0.041,10,0.5,0.36
,14:10:08,6,3590,329.8,0.38,13.3,9,11.6,0.041,10,0.5,0.37
,14:10:09,6,3590,330.8,0.38,13.3,9,11.6,0.041,10,0.5,0.36
,14:10:10,6,3590,331.8,0.38,13.3,9,11.6,0.041,10,0.5,0.36
,14:10:11,6,3590,332.8,0.37,13.3,9,11.7,0.041,10,0.5,0.36
,14:10:12,6,3590,333.8,0.37,13.3,9,11.7,0.04,10,0.5,0.36
,14:10:13,6,3590,334.8,0.37,13.3,9,11.7,0.042,10,0.5,0.36
,14:10:14,6,3590,335.8,0.37,13.3,9,11.7,0.041,10,0.4,0.36
,14:10:15,6,3590,336.8,0.38,13.3,9,11.7,0.041,10,0.4,0.36
,14:10:16,6,3590,337.8,0.38,13.3,9,11.7,0.041,10,2.6,0.36
,14:10:17,6,3590,338.8,0.37,13.3,9,11.7,0.042,10,7.6,0.36
,14:10:18,6,3590,339.8,0.37,13.3,9,11.8,0.041,10,13.9,0.36
,14:10:19,6,3590,340.8,0.37,13.3,9,11.8,0.04,10,17.6,0.36
,14:10:20,6,3590,341.8,0.37,13.3,9,11.8,0.04,10,18.2,0.35
,14:10:21,6,3590,342.8,0.37,13.3,9,11.8,0.039,10,20.5,0.36
,14:10:22,6,3590,343.8,0.37,13.3,9,11.8,0.039,10,15.9,0.36
,14:10:23,6,3590,344.8,0.37,13.3,9,11.9,0.039,10,9,0.36
,14:10:24,6,3590,345.8,0.38,13.3,9,11.9,0.04,10,4.4,0.36
,14:10:25,6,3590,346.8,0.37,13.3,9,11.9,0.039,10,3.8,0.36
,14:10:26,6,3590,347.8,0.37,13.3,9,11.9,0.039,10,3.2,0.36
,14:10:27,6,3590,348.8,0.37,13.3,9,11.9,0.04,10,7,0.35
,14:10:28,6,3590,349.8,0.37,13.3,9,12,0.04,10,6.1,0.36
,14:10:29,6,3590,350.8,0.37,13.3,9,12,0.04,10,3.4,0.35
,14:10:30,6,3590,351.8,0.37,13.3,9,12,0.04,10,2.8,0.35
,14:10:31,6,3590,352.8,0.37,13.3,9,12,0.04,10,7.1,0.35
,14:10:32,6,3590,353.8,0.37,13.3,9,12,0.04,10,21.4,0.35
,14:10:33,6,3590,354.8,0.37,13.3,9,12.1,0.04,10,13.8,0.36
,14:10:34,6,3590,355.8,0.37,13.3,9,12.1,0.041,10,6.7,0.36
,14:10:35,6,3590,356.8,0.37,13.3,9,12.1,0.04,10,6.2,0.36
,14:10:36,6,3590,357.8,0.37,13.3,9,12.1,0.04,10,5.4,0.35
,14:10:37,6,3590,358.8,0.37,13.3,9,12.1,0.04,10,6.5,0.35
,14:10:38,6,3590,359.8,0.37,13.3,9,12.1,0.041,10,10.7,0.35
,14:10:39,6,3590,360.8,0.37,13.3,9,12.1,0.04,10,11.9,0.36
