Data file,,RA0.3_DISTILLEDWATER_12C_003_15MLWATER.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,14/10/2016,,,,,,,,,,
Lubricant,,Distilled Water 15ml,,,,,,,,,,
Specimens,,Al Ra0.3 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 9.3,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:04:38 on 14/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:05:34,4,-1,55.1,0.09,0.1,9,10.2,0.01,10,49.8,0.11
,14:05:35,4,-1,56.1,0.3,2.6,9,10.2,0.031,10,49.9,0.31
,14:05:36,4,-1,57.1,0.53,9.1,9,10.1,0.056,10,49.9,0.53
,14:05:37,4,-1,58.1,0.69,13.2,10,10.1,0.07,10,49.8,0.66
,14:05:38,4,-1,59.1,0.71,13.3,10,10,0.073,10,49.9,0.68
,14:05:39,4,-1,60.1,0.7,13.3,9,10,0.074,10,49.9,0.67
,14:05:40,4,-1,61.1,0.69,13.3,9,9.9,0.073,10,49.9,0.66
,14:05:41,4,-1,62.1,0.67,13.3,9,9.9,0.073,10,49.9,0.64
,14:05:42,4,-1,63.1,0.65,13.3,9,10,0.071,10,49.9,0.63
,14:05:43,4,-1,64.1,0.64,13.3,9,10.1,0.067,10,49.9,0.61
,14:05:44,4,-1,65.1,0.63,13.3,10,10.1,0.064,10,49.9,0.6
,14:05:45,4,-1,66.1,0.61,13.3,10,10.1,0.061,10,49.8,0.59
,14:05:46,4,-1,67.1,0.59,13.3,10,10.2,0.061,10,49.9,0.57
,14:05:47,4,-1,68.1,0.57,13.3,9,10.4,0.062,10,49.9,0.55
,14:05:48,4,-1,69.1,0.56,13.3,9,10.4,0.06,10,49.9,0.53
,14:05:49,4,-1,70.1,0.55,13.3,9,10.5,0.059,10,49.8,0.53
,14:05:50,4,-1,71.1,0.55,13.3,9,10.6,0.059,10,49.9,0.52
,14:05:51,4,-1,72.1,0.55,13.3,9,10.6,0.059,10,49.9,0.53
