Data file,,ZYTEL_ISO10_-8C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Zytel on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:52:50 on 01/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:53:39,4,3600,49.1,0.03,0,7,-8.4,0.004,10,0.2,0.03
,14:53:40,4,3600,50.1,0.29,0.6,7,-8.4,0.042,10,0.2,0.3
,14:53:41,4,3600,51.1,0.62,5.3,7,-8.4,0.089,10,0.3,0.61
,14:53:42,4,3600,52.1,0.93,11.2,7,-8.4,0.134,10,0.2,0.89
,14:53:43,4,3600,53.1,0.97,13.3,7,-8.4,0.14,10,0.2,0.9
,14:53:44,4,3600,54.1,0.93,13.3,7,-8.4,0.134,10,0.3,0.87
,14:53:45,4,3600,55.1,0.9,13.3,7,-8.4,0.13,10,0.3,0.84
,14:53:46,4,3600,56.1,0.89,13.3,7,-8.4,0.128,10,0.3,0.83
,14:53:47,4,3600,57.1,0.89,13.3,7,-8.4,0.128,10,0.3,0.83
,14:53:48,4,3600,58.1,0.89,13.3,7,-8.4,0.124,10,0.3,0.83
,14:53:49,4,3600,59.1,0.89,13.3,7,-8.4,0.12,10,0.3,0.83
,14:53:50,4,3600,60.1,0.88,13.3,7,-8.4,0.123,10,0.3,0.83
,14:53:51,4,3600,61.1,0.88,13.3,7,-8.4,0.127,10,0.3,0.82
,14:53:52,4,3600,62.1,0.87,13.3,7,-8.4,0.131,10,0.3,0.82
,14:53:53,4,3600,63.1,0.87,13.3,7,-8.4,0.131,10,0.3,0.82
,14:53:54,4,3600,64.1,0.87,13.3,7,-8.4,0.131,10,0.3,0.82
,14:53:55,4,3600,65.1,0.87,13.3,6,-8.4,0.136,10,0.3,0.82
,14:54:00,4,3600,66.1,0.89,13.3,7,-8.5,0.129,10,0.3,0.84
,14:54:02,4,3600,67.1,0.88,13.3,7,-8.5,0.132,10,0.3,0.82
,14:54:03,4,3600,68.1,0.88,13.3,7,-8.5,0.131,10,0.2,0.82
,14:54:04,4,3600,69.1,0.88,13.3,7,-8.4,0.132,10,0.3,0.82
,14:54:05,4,3600,70.1,0.88,13.3,7,-8.4,0.128,10,0.3,0.83
,14:54:06,4,3600,71.1,0.89,13.3,7,-8.4,0.128,10,0.3,0.84
,14:54:07,4,3600,72.1,0.89,13.3,7,-8.4,0.124,10,0.3,0.84
