Data file,,NYLATRON_DRY_T21_N2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Nylatron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 10:03:56 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,nylatron_dry_t21_n2-h001.tsv,,,,,,,,,,
,10:04:49,4,5,52.5,0.03,0,7,20,0.003,10,49.6,0.03
,10:04:50,4,5,53.5,0.42,0.8,7,20,0.059,10,49.8,0.47
,10:04:51,4,5,54.5,1.13,6.4,7,20,0.163,10,49.9,1.16
,10:04:52,4,5,55.5,1.88,11.9,7,20,0.261,10,50,1.87
,10:04:53,4,5,56.5,2.24,13.3,7,20,0.311,10,50,2.17
,10:04:54,5,3590,57.5,2.28,13.3,7,20,0.317,10,50,2.2
,10:04:55,5,3590,58.5,2.27,13.3,7,20,0.305,10,50,2.18
,10:04:56,5,3590,59.5,2.25,13.3,7,20,0.303,10,49.9,2.17
,10:04:57,5,3590,60.5,2.24,13.3,8,20,0.292,10,50,2.17
,10:04:58,5,3590,61.5,2.23,13.3,7,20,0.3,10,50,2.15
,10:04:59,5,3590,62.5,2.2,13.3,7,21,0.296,10,49.9,2.12
,10:05:00,5,3590,63.5,2.17,13.3,7,21,0.302,10,49.9,2.09
,10:05:01,5,3590,64.5,2.14,13.3,7,21,0.309,10,50,2.06
,10:05:02,5,3590,65.5,2.12,13.3,7,21,0.295,10,50,2.04
,10:05:03,5,3590,66.5,2.11,13.3,7,20,0.294,10,50,2.04
,10:05:04,5,3590,67.5,2.11,13.3,7,20,0.305,10,50,2.04
,10:05:05,5,3590,68.5,2.11,13.3,7,20,0.294,10,50,2.04
,10:05:06,5,3590,69.5,2.11,13.3,7,20,0.294,10,50,2.04
,10:05:07,5,3590,70.5,2.11,13.3,7,20,0.294,10,50,2.04
,10:05:08,5,3590,71.5,2.1,13.3,7,20,0.304,10,50,2.03
,10:05:09,5,3590,72.5,2.1,13.3,7,20,0.293,10,49.9,2.03
,10:05:10,5,3590,73.5,2.1,13.3,7,20,0.292,10,50,2.03
,10:05:11,5,3590,74.5,2.1,13.3,7,20,0.293,10,50,2.03
,10:05:12,5,3590,75.5,2.1,13.3,7,20,0.292,10,50,2.03
,10:05:13,5,3590,76.5,2.1,13.3,7,20,0.303,10,50,2.02
,10:05:14,5,3590,77.5,2.09,13.3,7,20,0.282,10,50,2.02
,10:05:15,5,3590,78.5,2.09,13.3,7,20,0.291,10,50,2.02
,10:05:16,5,3590,79.5,2.09,13.3,7,20,0.291,10,50,2.02
,10:05:17,5,3590,80.5,2.09,13.3,7,20,0.302,10,50,2.02
,10:05:18,5,3590,81.5,2.08,13.3,7,20,0.29,10,49.9,2.01
,10:05:19,5,3590,82.5,2.08,13.3,7,20,0.289,10,49.9,2
,10:05:20,5,3590,83.5,2.07,13.3,7,20,0.288,10,50,2
,10:05:21,5,3590,84.5,2.07,13.3,7,20,0.299,10,50,2
,10:05:22,5,3590,85.5,2.07,13.3,7,20,0.299,10,50,2
,10:05:23,5,3590,86.5,2.07,13.3,7,20,0.289,10,50,2
,10:05:24,5,3590,87.5,2.08,13.3,8,20,0.27,10,50,2.01
,10:05:25,5,3590,88.5,2.08,13.3,8,20,0.27,10,50,2
,10:05:26,5,3590,89.5,2.07,13.3,7,20,0.288,10,50,1.99
,10:05:27,5,3590,90.5,2.05,13.3,7,20,0.296,10,50,1.98
,10:05:28,5,3590,91.5,2.05,13.3,7,20,0.285,10,49.9,1.97
,10:05:29,5,3590,92.5,2.05,13.3,7,20,0.296,10,49.9,1.98
,10:05:30,5,3590,93.5,2.06,13.3,7,20,0.309,10,50,1.99
,10:05:31,5,3590,94.5,2.06,13.3,7,20,0.298,10,50,1.99
,10:05:32,5,3590,95.5,2.07,13.3,7,20,0.299,10,50,2
,10:05:33,5,3590,96.5,2.07,13.3,7,20,0.299,10,50,2
,10:05:34,5,3590,97.5,2.08,13.3,7,20,0.3,10,49.9,2.01
,10:05:35,5,3590,98.5,2.08,13.3,7,20,0.3,10,50,2.01
,10:05:36,5,3590,99.5,2.08,13.3,7,20,0.29,10,50,2.01
,10:05:37,5,3590,100.5,2.08,13.3,7,20,0.28,10,50,2.01
,10:05:38,5,3590,101.5,2.08,13.3,7,20,0.28,10,49.9,2.01
,10:05:39,5,3590,102.5,2.08,13.3,7,20,0.28,10,50,2.01
,10:05:40,5,3590,103.5,2.08,13.3,7,20,0.28,10,50,2.01
,10:05:41,5,3590,104.5,2.07,13.3,7,20,0.278,10,50,2
,10:05:42,5,3590,105.5,2.05,13.3,7,20,0.296,10,49.9,1.98
,10:05:43,5,3590,106.5,2.04,13.3,7,20,0.306,10,50,1.97
,10:05:44,5,3590,107.5,2.05,13.3,7,20,0.296,10,50,1.98
,10:05:45,5,3590,108.5,2.07,13.3,7,21,0.299,10,49.9,2
,10:05:46,5,3590,109.5,2.08,13.3,7,21,0.3,10,49.9,2
,10:05:47,5,3590,110.5,2.08,13.3,7,20,0.3,10,50,2
,10:05:48,5,3590,111.5,2.08,13.3,7,20,0.311,10,50,2.01
,10:05:49,5,3590,112.5,2.1,13.3,7,20,0.303,10,50,2.02
,10:05:50,5,3590,113.5,2.11,13.3,7,20,0.283,10,50,2.03
,10:05:51,5,3590,114.5,2.1,13.3,7,20,0.283,10,50,2.03
,10:05:52,5,3590,115.5,2.08,13.3,7,20,0.28,10,49.9,2.01
,10:05:53,5,3590,116.5,2.08,13.3,7,20,0.289,10,49.9,2
,10:05:54,5,3590,117.5,2.08,13.3,7,20,0.29,10,50,2.01
,10:05:55,5,3590,118.5,2.08,13.3,7,20,0.289,10,49.9,2
,10:05:56,5,3590,119.5,2.08,13.3,7,20,0.29,10,49.9,2
,10:05:57,5,3590,120.5,2.07,13.3,7,20,0.289,10,49.9,2
,10:05:58,5,3590,121.5,2.08,13.3,7,20,0.289,10,50,2.01
,10:05:59,5,3590,122.5,2.08,13.3,7,20,0.29,10,50,2.01
,10:06:00,5,3590,123.5,2.08,13.3,7,20,0.3,10,50,2.01
,10:06:01,5,3590,124.5,2.08,13.3,7,20,0.289,10,50,2
,10:06:02,5,3590,125.5,2.08,13.3,7,20,0.289,10,50,2
,10:06:03,5,3590,126.5,2.07,13.3,7,20,0.289,10,50,2
,10:06:04,5,3590,127.5,2.06,13.3,7,20,0.298,10,50,1.99
,10:06:05,5,3590,128.5,2.06,13.3,7,21,0.298,10,49.9,1.99
,10:06:06,5,3590,129.5,2.07,13.3,7,20,0.299,10,50,2
,10:06:07,5,3590,130.5,2.09,13.3,7,20,0.302,10,49.9,2.02
,10:06:08,5,3590,131.5,2.1,13.3,7,20,0.303,10,50,2.03
,10:06:09,5,3590,132.5,2.1,13.3,7,20,0.303,10,50,2.03
,10:06:10,5,3590,133.5,2.09,13.3,7,20,0.282,10,50,2.02
,10:06:11,5,3590,134.5,2.09,13.3,7,20,0.281,10,49.9,2.02
,10:06:12,5,3590,135.5,2.09,13.3,7,20,0.282,10,49.9,2.02
,10:06:13,5,3590,136.5,2.1,13.3,7,20,0.303,10,50,2.03
,10:06:14,5,3590,137.5,2.09,13.3,7,20,0.302,10,49.9,2.02
,10:06:15,5,3590,138.5,2.09,13.3,7,20,0.302,10,49.9,2.02
,10:06:16,5,3590,139.5,2.09,13.3,7,20,0.313,10,49.9,2.02
,10:06:17,5,3590,140.5,2.09,13.3,7,20,0.314,10,50,2.02
,10:06:18,5,3590,141.5,2.11,13.3,7,20,0.284,10,50,2.04
,10:06:19,5,3590,142.5,2.12,13.3,8,20,0.276,10,50,2.05
,10:06:20,5,3590,143.5,2.12,13.3,7,20,0.285,10,50,2.04
,10:06:21,5,3590,144.5,2.1,13.3,7,20,0.304,10,50,2.03
,10:06:22,5,3590,145.5,2.1,13.3,7,20,0.303,10,49.9,2.02
,10:06:23,5,3590,146.5,2.1,13.3,7,20,0.303,10,49.9,2.03
,10:06:24,5,3590,147.5,2.1,13.3,7,20,0.303,10,50,2.03
,10:06:25,5,3590,148.5,2.1,13.3,7,20,0.314,10,50,2.02
,10:06:26,5,3590,149.5,2.1,13.3,7,20,0.303,10,50,2.03
,10:06:27,5,3590,150.5,2.11,13.3,7,20,0.293,10,50,2.03
,10:06:28,5,3590,151.5,2.11,13.3,8,20,0.274,10,50,2.04
,10:06:29,5,3590,152.5,2.11,13.3,7,20,0.283,10,50,2.03
,10:06:30,5,3590,153.5,2.11,13.3,7,20,0.293,10,49.9,2.03
,10:06:31,5,3590,154.5,2.11,13.3,7,20,0.316,10,49.9,2.04
,10:06:32,5,3590,155.5,2.11,13.3,7,20,0.305,10,49.9,2.04
,10:06:33,5,3590,156.5,2.11,13.3,7,20,0.305,10,49.9,2.04
,10:06:34,5,3590,157.5,2.12,13.3,7,20,0.306,10,49.9,2.04
,10:06:35,5,3590,158.5,2.12,13.3,7,20,0.295,10,49.9,2.04
,10:06:36,5,3590,159.5,2.11,13.3,7,20,0.284,10,50,2.04
,10:06:37,5,3590,160.5,2.11,13.3,7,20,0.284,10,49.9,2.04
,10:06:38,5,3590,161.5,2.1,13.3,7,20,0.293,10,50,2.03
,10:06:39,5,3590,162.5,2.09,13.3,7,20,0.302,10,49.9,2.02
,10:06:40,5,3590,163.5,2.08,13.3,6,20,0.325,10,50,2.01
,10:06:41,5,3590,164.5,2.09,13.3,7,21,0.313,10,50,2.02
,10:06:42,5,3590,165.5,2.11,13.3,7,21,0.305,10,50,2.04
,10:06:43,5,3590,166.5,2.13,13.3,7,20,0.307,10,50,2.05
,10:06:44,5,3590,167.5,2.13,13.3,7,20,0.308,10,50,2.05
,10:06:45,5,3590,168.5,2.12,13.3,7,20,0.295,10,50,2.04
,10:06:46,5,3590,169.5,2.11,13.3,7,20,0.294,10,50,2.04
,10:06:47,5,3590,170.5,2.11,13.3,7,20,0.305,10,49.9,2.04
,10:06:48,5,3590,171.5,2.12,13.3,7,20,0.318,10,49.9,2.04
,10:06:49,5,3590,172.5,2.13,13.3,7,21,0.308,10,49.9,2.06
,10:06:50,5,3590,173.5,2.15,13.3,7,20,0.31,10,49.9,2.08
,10:06:51,5,3590,174.5,2.16,13.3,7,20,0.311,10,49.9,2.08
,10:06:52,5,3590,175.5,2.15,13.3,7,20,0.3,10,49.9,2.08
,10:06:53,5,3590,176.5,2.14,13.3,7,20,0.287,10,49.9,2.06
,10:06:54,5,3590,177.5,2.12,13.3,7,20,0.286,10,49.9,2.05
,10:06:55,5,3590,178.5,2.12,13.3,7,20,0.296,10,50,2.05
,10:06:56,5,3590,179.5,2.13,13.3,7,20,0.307,10,50,2.05
,10:06:57,5,3590,180.5,2.14,13.3,7,20,0.309,10,49.9,2.06
,10:06:58,5,3590,181.5,2.14,13.3,7,20,0.298,10,49.9,2.07
,10:06:59,5,3590,182.5,2.14,13.3,7,20,0.299,10,49.9,2.07
,10:07:00,5,3590,183.5,2.15,13.3,7,20,0.299,10,50,2.07
,10:07:01,5,3590,184.5,2.15,13.3,7,20,0.299,10,50,2.07
,10:07:02,5,3590,185.5,2.15,13.3,8,20,0.28,10,50,2.08
,10:07:03,5,3590,186.5,2.15,13.3,8,20,0.279,10,49.9,2.07
,10:07:04,5,3590,187.5,2.14,13.3,7,20,0.288,10,50,2.06
,10:07:05,5,3590,188.5,2.13,13.3,7,20,0.307,10,49.9,2.05
,10:07:06,5,3590,189.5,2.12,13.3,7,21,0.319,10,49.9,2.05
,10:07:07,5,3590,190.5,2.13,13.3,7,21,0.319,10,49.9,2.05
,10:07:08,5,3590,191.5,2.15,13.3,7,20,0.31,10,49.9,2.07
,10:07:09,5,3590,192.5,2.16,13.3,7,20,0.312,10,49.9,2.08
,10:07:10,5,3590,193.5,2.16,13.3,7,20,0.301,10,49.9,2.08
,10:07:11,5,3590,194.5,2.15,13.3,7,20,0.31,10,49.9,2.07
,10:07:12,5,3590,195.5,2.14,13.3,7,20,0.299,10,49.9,2.07
,10:07:13,5,3590,196.5,2.15,13.3,7,20,0.289,10,49.9,2.08
,10:07:14,5,3590,197.5,2.15,13.3,7,20,0.29,10,50,2.08
,10:07:15,5,3590,198.5,2.16,13.3,7,20,0.29,10,50,2.08
,10:07:16,5,3590,199.5,2.14,13.3,7,20,0.31,10,50,2.07
,10:07:17,5,3590,200.5,2.14,13.3,7,20,0.322,10,49.9,2.07
,10:07:18,5,3590,201.5,2.14,13.3,7,20,0.321,10,50,2.07
,10:07:19,5,3590,202.5,2.15,13.3,7,20,0.311,10,50,2.08
,10:07:20,5,3590,203.5,2.16,13.3,7,20,0.312,10,50,2.09
,10:07:21,5,3590,204.5,2.17,13.3,7,20,0.302,10,50,2.1
,10:07:22,5,3590,205.5,2.17,13.3,7,20,0.303,10,49.9,2.1
,10:07:23,5,3590,206.5,2.17,13.3,7,20,0.292,10,49.9,2.1
,10:07:24,5,3590,207.5,2.17,13.3,8,20,0.282,10,49.9,2.1
,10:07:25,5,3590,208.5,2.17,13.3,7,20,0.292,10,49.9,2.09
,10:07:26,5,3590,209.5,2.16,13.3,7,20,0.301,10,49.9,2.08
,10:07:27,5,3590,210.5,2.15,13.3,7,20,0.322,10,49.9,2.07
,10:07:28,5,3590,211.5,2.15,13.3,7,20,0.323,10,49.9,2.08
,10:07:29,5,3590,212.5,2.17,13.3,7,21,0.313,10,49.9,2.1
,10:07:30,5,3590,213.5,2.19,13.3,7,20,0.304,10,49.9,2.11
,10:07:31,5,3590,214.5,2.18,13.3,7,20,0.294,10,50,2.11
,10:07:32,5,3590,215.5,2.18,13.3,7,21,0.293,10,49.9,2.1
,10:07:33,5,3590,216.5,2.17,13.3,7,21,0.303,10,50,2.1
,10:07:34,5,3590,217.5,2.16,13.3,7,20,0.313,10,49.9,2.09
,10:07:35,5,3590,218.5,2.15,13.3,7,20,0.311,10,50,2.08
,10:07:36,5,3590,219.5,2.15,13.3,7,20,0.322,10,49.9,2.07
,10:07:37,5,3590,220.5,2.16,13.3,7,20,0.312,10,50,2.09
,10:07:38,5,3590,221.5,2.17,13.3,7,20,0.302,10,50,2.09
,10:07:39,5,3590,222.5,2.17,13.3,7,20,0.302,10,49.9,2.09
,10:07:40,5,3590,223.5,2.17,13.3,7,20,0.302,10,49.9,2.09
,10:07:41,5,3590,224.5,2.17,13.3,7,20,0.314,10,49.9,2.1
,10:07:42,5,3590,225.5,2.18,13.3,7,21,0.315,10,49.9,2.11
,10:07:43,5,3590,226.5,2.18,13.3,7,20,0.315,10,49.9,2.11
,10:07:44,5,3590,227.5,2.18,13.3,7,21,0.314,10,49.9,2.1
,10:07:45,5,3590,228.5,2.17,13.3,7,20,0.313,10,49.9,2.09
,10:07:46,5,3590,229.5,2.17,13.3,7,20,0.302,10,49.9,2.09
,10:07:47,5,3590,230.5,2.17,13.3,7,20,0.292,10,49.9,2.1
,10:07:48,5,3590,231.5,2.17,13.3,7,20,0.292,10,49.9,2.1
,10:07:49,5,3590,232.5,2.17,13.3,7,21,0.313,10,49.9,2.09
,10:07:50,5,3590,233.5,2.17,13.3,7,21,0.325,10,49.9,2.09
,10:07:51,5,3590,234.5,2.18,13.3,7,20,0.314,10,49.9,2.1
,10:07:52,5,3590,235.5,2.19,13.3,7,21,0.317,10,49.9,2.12
,10:07:53,5,3590,236.5,2.2,13.3,7,21,0.306,10,49.9,2.12
,10:07:54,5,3590,237.5,2.19,13.3,7,20,0.305,10,50,2.11
,10:07:55,5,3590,238.5,2.18,13.3,7,20,0.293,10,49.9,2.1
,10:07:56,5,3590,239.5,2.18,13.3,7,20,0.303,10,50,2.1
,10:07:57,5,3590,240.5,2.18,13.3,7,21,0.315,10,49.9,2.1
,10:07:58,5,3590,241.5,2.18,13.3,7,21,0.326,10,49.9,2.1
,10:07:59,5,3590,242.5,2.18,13.3,7,21,0.314,10,49.9,2.1
,10:08:00,5,3590,243.5,2.17,13.3,7,21,0.303,10,49.9,2.1
,10:08:01,5,3590,244.5,2.18,13.3,7,21,0.293,10,49.9,2.1
,10:08:02,5,3590,245.5,2.18,13.3,8,20,0.283,10,49.9,2.1
,10:08:03,5,3590,246.5,2.18,13.3,7,20,0.293,10,49.9,2.1
,10:08:04,5,3590,247.5,2.17,13.3,7,21,0.303,10,49.9,2.1
,10:08:05,5,3590,248.5,2.17,13.3,7,21,0.313,10,49.9,2.09
,10:08:06,5,3590,249.5,2.16,13.3,7,21,0.312,10,49.9,2.09
,10:08:07,5,3590,250.5,2.16,13.3,7,21,0.312,10,49.9,2.09
,10:08:08,5,3590,251.5,2.17,13.3,7,21,0.314,10,50,2.1
,10:08:09,5,3590,252.5,2.17,13.3,7,21,0.314,10,49.9,2.1
,10:08:10,5,3590,253.5,2.18,13.3,7,21,0.303,10,49.9,2.1
,10:08:11,5,3590,254.5,2.18,13.3,7,20,0.293,10,49.9,2.1
,10:08:12,5,3590,255.5,2.17,13.3,7,21,0.292,10,50,2.1
,10:08:13,5,3590,256.5,2.16,13.3,7,21,0.301,10,50,2.09
,10:08:14,5,3590,257.5,2.15,13.3,7,21,0.323,10,49.9,2.08
,10:08:15,5,3590,258.5,2.16,13.3,7,21,0.312,10,49.9,2.09
,10:08:16,5,3590,259.5,2.17,13.3,7,21,0.314,10,49.9,2.1
,10:08:17,5,3590,260.5,2.18,13.3,7,21,0.315,10,49.9,2.11
,10:08:18,5,3590,261.5,2.18,13.3,7,21,0.303,10,49.9,2.1
,10:08:19,5,3590,262.5,2.17,13.3,7,20,0.314,10,49.9,2.1
,10:08:20,5,3590,263.5,2.18,13.3,7,20,0.293,10,50,2.1
,10:08:21,5,3590,264.5,2.18,13.3,7,20,0.293,10,49.9,2.11
,10:08:22,5,3590,265.5,2.18,13.3,7,20,0.303,10,49.9,2.1
,10:08:23,5,3590,266.5,2.17,13.3,7,21,0.325,10,49.9,2.09
,10:08:24,5,3590,267.5,2.17,13.3,7,21,0.325,10,49.9,2.09
,10:08:25,5,3590,268.5,2.18,13.3,7,21,0.314,10,49.9,2.1
,10:08:26,5,3590,269.5,2.19,13.3,7,21,0.316,10,50,2.11
,10:08:27,5,3590,270.5,2.19,13.3,7,21,0.317,10,49.9,2.12
,10:08:28,5,3590,271.5,2.2,13.3,7,20,0.329,10,50,2.12
,10:08:29,5,3590,272.5,2.21,13.3,7,20,0.319,10,49.9,2.14
,10:08:30,5,3590,273.5,2.23,13.3,7,20,0.31,10,49.9,2.15
,10:08:31,5,3590,274.5,2.23,13.3,7,20,0.3,10,50,2.15
,10:08:32,5,3590,275.5,2.22,13.3,7,20,0.298,10,49.9,2.14
,10:08:33,5,3590,276.5,2.2,13.3,7,21,0.307,10,49.9,2.13
,10:08:34,5,3590,277.5,2.2,13.3,7,21,0.307,10,49.9,2.13
,10:08:35,5,3590,278.5,2.21,13.3,7,21,0.319,10,49.9,2.14
,10:08:36,5,3590,279.5,2.22,13.3,7,21,0.32,10,49.9,2.14
,10:08:37,5,3590,280.5,2.22,13.3,7,21,0.32,10,49.9,2.14
,10:08:38,5,3590,281.5,2.21,13.3,7,21,0.319,10,49.9,2.13
,10:08:39,5,3590,282.5,2.21,13.3,7,21,0.307,10,49.9,2.13
,10:08:40,5,3590,283.5,2.21,13.3,7,21,0.297,10,49.9,2.13
,10:08:41,5,3590,284.5,2.22,13.3,7,21,0.309,10,50,2.14
,10:08:42,5,3590,285.5,2.22,13.3,7,21,0.333,10,49.9,2.14
,10:08:43,5,3590,286.5,2.23,13.3,7,21,0.322,10,49.9,2.15
,10:08:44,5,3590,287.5,2.23,13.3,7,21,0.311,10,49.9,2.16
,10:08:45,5,3590,288.5,2.23,13.3,7,21,0.311,10,49.9,2.15
,10:08:46,5,3590,289.5,2.22,13.3,7,21,0.309,10,49.9,2.14
,10:08:47,5,3590,290.5,2.21,13.3,7,21,0.307,10,49.9,2.13
,10:08:48,5,3590,291.5,2.21,13.3,7,21,0.308,10,50,2.13
,10:08:49,5,3590,292.5,2.21,13.3,7,21,0.298,10,49.9,2.14
,10:08:50,5,3590,293.5,2.22,13.3,8,21,0.288,10,49.9,2.14
,10:08:51,5,3590,294.5,2.21,13.3,7,21,0.297,10,49.9,2.13
,10:08:52,5,3590,295.5,2.2,13.3,7,21,0.306,10,50,2.12
,10:08:53,5,3590,296.5,2.19,13.3,7,21,0.316,10,49.9,2.11
,10:08:54,5,3590,297.5,2.19,13.3,7,21,0.316,10,49.9,2.11
,10:08:55,5,3590,298.5,2.2,13.3,7,21,0.318,10,49.9,2.13
,10:08:56,5,3590,299.5,2.21,13.3,7,21,0.319,10,49.9,2.13
,10:08:57,5,3590,300.5,2.21,13.3,7,21,0.32,10,49.9,2.14
,10:08:58,5,3590,301.5,2.22,13.3,7,21,0.309,10,49.9,2.14
,10:08:59,5,3590,302.5,2.22,13.3,7,21,0.321,10,49.9,2.14
,10:09:00,5,3590,303.5,2.22,13.3,7,21,0.32,10,49.9,2.14
,10:09:01,5,3590,304.5,2.22,13.3,7,21,0.332,10,49.9,2.14
,10:09:02,5,3590,305.5,2.22,13.3,7,21,0.321,10,49.9,2.14
,10:09:03,5,3590,306.5,2.23,13.3,7,21,0.322,10,49.9,2.15
,10:09:04,5,3590,307.5,2.23,13.3,7,21,0.31,10,49.9,2.15
,10:09:05,5,3590,308.5,2.23,13.3,7,21,0.322,10,49.9,2.15
,10:09:06,5,3590,309.5,2.22,13.3,7,21,0.321,10,49.9,2.15
,10:09:07,5,3590,310.5,2.23,13.3,7,21,0.323,10,49.9,2.16
,10:09:08,5,3590,311.5,2.24,13.3,7,20,0.312,10,49.9,2.16
,10:09:09,5,3590,312.5,2.24,13.3,7,20,0.312,10,49.9,2.17
,10:09:10,5,3590,313.5,2.25,13.3,7,20,0.313,10,49.9,2.17
,10:09:11,5,3590,314.5,2.25,13.3,7,20,0.313,10,49.9,2.17
,10:09:12,5,3590,315.5,2.25,13.3,7,21,0.325,10,49.9,2.17
,10:09:13,5,3590,316.5,2.25,13.3,7,21,0.302,10,49.9,2.17
,10:09:14,5,3590,317.5,2.25,13.3,8,21,0.292,10,49.9,2.17
,10:09:15,5,3590,318.5,2.24,13.3,8,21,0.292,10,49.9,2.17
,10:09:16,5,3590,319.5,2.24,13.3,8,21,0.291,10,49.9,2.16
,10:09:17,5,3590,320.5,2.23,13.3,8,21,0.29,10,49.9,2.15
,10:09:18,5,3590,321.5,2.21,13.3,8,21,0.287,10,49.9,2.13
,10:09:19,5,3590,322.5,2.2,13.3,7,20,0.306,10,49.9,2.12
,10:09:20,5,3590,323.5,2.18,13.3,7,21,0.315,10,49.9,2.11
,10:09:21,5,3590,324.5,2.18,13.3,7,21,0.327,10,50,2.11
,10:09:22,5,3590,325.5,2.2,13.3,7,21,0.329,10,49.9,2.12
,10:09:23,5,3590,326.5,2.21,13.3,7,21,0.332,10,49.9,2.14
,10:09:24,5,3590,327.5,2.23,13.3,7,21,0.335,10,49.9,2.15
,10:09:25,5,3590,328.5,2.24,13.3,7,21,0.323,10,49.9,2.16
,10:09:26,5,3590,329.5,2.24,13.3,7,21,0.312,10,49.9,2.16
,10:09:27,5,3590,330.5,2.24,13.3,7,21,0.324,10,49.9,2.16
,10:09:28,5,3590,331.5,2.25,13.3,7,21,0.337,10,49.9,2.17
,10:09:29,5,3590,332.5,2.26,13.3,7,20,0.326,10,49.9,2.18
,10:09:30,5,3590,333.5,2.27,13.3,7,20,0.34,10,50,2.19
,10:09:31,5,3590,334.5,2.27,13.3,7,20,0.328,10,49.9,2.19
,10:09:32,5,3590,335.5,2.26,13.3,7,20,0.327,10,49.9,2.18
,10:09:33,5,3590,336.5,2.26,13.3,7,20,0.326,10,49.9,2.18
,10:09:34,5,3590,337.5,2.25,13.3,7,20,0.303,10,49.9,2.18
,10:09:35,5,3590,338.5,2.26,13.3,8,20,0.293,10,49.9,2.18
,10:09:36,5,3590,339.5,2.25,13.3,7,20,0.314,10,49.9,2.17
,10:09:37,5,3590,340.5,2.25,13.3,7,21,0.337,10,49.9,2.17
,10:09:38,5,3590,341.5,2.26,13.3,7,21,0.338,10,49.9,2.18
,10:09:39,5,3590,342.5,2.27,13.3,7,21,0.328,10,49.9,2.19
,10:09:40,5,3590,343.5,2.28,13.3,7,21,0.329,10,49.9,2.19
,10:09:41,5,3590,344.5,2.27,13.3,7,21,0.316,10,49.9,2.19
,10:09:42,5,3590,345.5,2.26,13.3,7,21,0.303,10,49.9,2.18
,10:09:43,5,3590,346.5,2.25,13.3,7,21,0.314,10,49.9,2.17
,10:09:44,5,3590,347.5,2.25,13.3,7,21,0.326,10,49.9,2.18
,10:09:45,5,3590,348.5,2.25,13.3,7,20,0.313,10,49.9,2.17
,10:09:46,5,3590,349.5,2.25,13.3,7,20,0.313,10,49.9,2.17
,10:09:47,5,3590,350.5,2.24,13.3,7,21,0.302,10,50,2.17
,10:09:48,5,3590,351.5,2.24,13.3,7,21,0.302,10,49.9,2.17
,10:09:49,5,3590,352.5,2.25,13.3,7,21,0.313,10,50,2.17
,10:09:50,5,3590,353.5,2.24,13.3,7,21,0.323,10,50,2.16
,10:09:51,5,3590,354.5,2.23,13.3,7,21,0.335,10,49.9,2.16
,10:09:52,5,3590,355.5,2.23,13.3,7,21,0.335,10,49.9,2.16
,10:09:53,5,3590,356.5,2.25,13.3,7,21,0.338,10,49.9,2.18
,10:09:54,5,3590,357.5,2.28,13.3,7,21,0.317,10,49.9,2.2
,10:09:55,5,3590,358.5,2.28,13.3,7,20,0.306,10,49.9,2.2
,10:09:56,5,3590,359.5,2.27,13.3,7,21,0.316,10,49.9,2.19
,10:09:57,5,3590,360.5,2.26,13.3,7,21,0.315,10,49.9,2.18
,10:09:58,5,3590,361.5,2.26,13.3,7,20,0.304,10,49.9,2.18
,10:09:59,5,3590,362.5,2.27,13.3,7,21,0.305,10,49.9,2.19
,10:10:00,5,3590,363.5,2.26,13.3,7,21,0.315,10,49.9,2.18
,10:10:01,5,3590,364.5,2.25,13.3,7,21,0.324,10,49.9,2.17
,10:10:02,5,3590,365.5,2.24,13.3,7,21,0.335,10,50,2.16
,10:10:03,5,3590,366.5,2.24,13.3,7,21,0.323,10,49.9,2.16
,10:10:04,5,3590,367.5,2.25,13.3,7,21,0.326,10,49.9,2.18
,10:10:05,5,3590,368.5,2.27,13.3,7,21,0.341,10,49.9,2.19
,10:10:06,5,3590,369.5,2.29,13.3,7,20,0.331,10,49.9,2.21
,10:10:07,5,3590,370.5,2.3,13.3,7,20,0.332,10,49.9,2.22
,10:10:08,5,3590,371.5,2.3,13.3,7,20,0.332,10,49.9,2.22
,10:10:09,5,3590,372.5,2.29,13.3,7,20,0.331,10,49.9,2.21
,10:10:10,5,3590,373.5,2.29,13.3,7,21,0.33,10,49.9,2.21
,10:10:11,5,3590,374.5,2.28,13.3,7,21,0.318,10,49.9,2.2
,10:10:12,5,3590,375.5,2.28,13.3,7,21,0.318,10,50,2.2
,10:10:13,5,3590,376.5,2.28,13.3,7,21,0.307,10,49.9,2.2
,10:10:14,5,3590,377.5,2.28,13.3,7,21,0.307,10,49.9,2.2
,10:10:15,5,3590,378.5,2.28,13.3,7,21,0.318,10,49.9,2.2
,10:10:16,5,3590,379.5,2.28,13.3,7,21,0.307,10,49.9,2.2
