s,,DELRIN_DRY_T12_PO5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:55:56 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_dry_t12_po5-h001.tsv,,,,,,,,,,
,15:58:04,5,3590,127.6,2.44,13.3,7,22,0.352,10,49.9,2.35
,15:58:05,5,3590,128.6,2.43,13.3,7,22,0.351,10,49.8,2.34
,15:58:06,5,3590,129.6,2.42,13.3,7,22,0.349,10,49.9,2.33
,15:58:07,5,3590,130.6,2.41,13.3,7,22,0.348,10,49.8,2.33
,15:58:08,5,3590,131.6,2.4,13.3,7,22,0.347,10,49.8,2.32
,15:58:09,5,3590,132.6,2.41,13.3,7,22,0.348,10,49.8,2.32
,15:58:10,5,3590,133.6,2.42,13.3,7,22,0.349,10,49.8,2.34
,15:58:11,5,3590,134.6,2.44,13.3,7,22,0.34,10,49.8,2.36
,15:58:12,5,3590,135.6,2.44,13.3,7,22,0.34,10,49.8,2.36
,15:58:13,5,3590,136.6,2.43,13.3,7,22,0.338,10,49.8,2.34
,15:58:14,5,3590,137.6,2.41,13.3,7,22,0.349,10,49.8,2.33
,15:58:15,5,3590,138.6,2.42,13.3,7,22,0.35,10,49.8,2.34
,15:58:16,5,3590,139.6,2.44,13.3,7,22,0.339,10,49.8,2.35
,15:58:17,5,3590,140.6,2.44,13.3,7,22,0.34,10,49.8,2.36
,15:58:18,5,3590,141.6,2.43,13.3,7,22,0.339,10,49.9,2.34
,15:58:19,5,3590,142.6,2.42,13.3,7,22,0.349,10,49.9,2.33
,15:58:20,5,3590,143.6,2.41,13.3,7,22,0.348,10,49.8,2.33
,15:58:21,5,3590,144.6,2.41,13.3,7,22,0.349,10,49.8,2.33
,15:58:22,5,3590,145.6,2.42,13.3,7,22,0.349,10,49.8,2.33
,15:58:23,5,3590,146.6,2.42,13.3,7,22,0.338,10,49.8,2.34
,15:58:24,5,3590,147.6,2.42,13.3,7,22,0.337,10,49.8,2.34
,15:58:25,5,3590,148.6,2.41,13.3,7,22,0.348,10,49.8,2.32
,15:58:26,5,3590,149.6,2.4,13.3,7,22,0.347,10,49.8,2.32
,15:58:27,5,3590,150.6,2.41,13.3,7,22,0.348,10,49.8,2.33
,15:58:28,5,3590,151.6,2.43,13.3,7,22,0.339,10,49.8,2.35
,15:58:29,5,3590,152.6,2.43,13.3,7,22,0.339,10,49.8,2.35
,15:58:30,5,3590,153.6,2.42,13.3,7,22,0.337,10,49.8,2.33
,15:58:31,5,3590,154.6,2.4,13.3,7,22,0.334,10,49.8,2.31
,15:58:32,5,3590,155.6,2.39,13.3,7,22,0.332,10,49.8,2.3
,15:58:33,5,3590,156.6,2.39,13.3,7,22,0.346,10,49.8,2.31
,15:58:34,5,3590,157.6,2.41,13.3,7,22,0.348,10,49.8,2.33
,15:58:35,5,3590,158.6,2.42,13.3,7,23,0.35,10,49.9,2.34
,15:58:36,5,3590,159.6,2.43,13.3,7,23,0.339,10,49.9,2.35
,15:58:37,5,3590,160.6,2.43,13.3,7,23,0.339,10,49.9,2.35
,15:58:38,5,3590,161.6,2.44,13.3,7,22,0.339,10,49.9,2.35
,15:58:39,5,3590,162.6,2.44,13.3,7,22,0.328,10,49.8,2.35
,15:58:40,5,3590,163.6,2.43,13.3,7,22,0.327,10,49.8,2.35
,15:58:41,5,3590,164.6,2.41,13.3,7,22,0.325,10,49.9,2.33
,15:58:42,5,3590,165.6,2.39,13.3,7,22,0.322,10,49.8,2.31
,15:58:43,5,3590,166.6,2.38,13.3,7,22,0.321,10,49.8,2.3
,15:58:44,5,3590,167.6,2.39,13.3,7,22,0.332,10,49.8,2.3
,15:58:45,5,3590,168.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:58:46,5,3590,169.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:58:47,5,3590,170.6,2.39,13.3,7,22,0.345,10,49.9,2.31
,15:58:48,5,3590,171.6,2.39,13.3,7,22,0.345,10,49.9,2.3
,15:58:49,5,3590,172.6,2.38,13.3,7,22,0.344,10,49.8,2.3
,15:58:50,5,3590,173.6,2.38,13.3,7,22,0.343,10,49.8,2.29
,15:58:51,5,3590,174.6,2.37,13.3,7,22,0.343,10,49.8,2.29
,15:58:52,5,3590,175.6,2.38,13.3,7,22,0.344,10,49.9,2.3
,15:58:53,5,3590,176.6,2.38,13.3,7,22,0.344,10,49.9,2.3
,15:58:54,5,3590,177.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:58:55,5,3590,178.6,2.4,13.3,7,22,0.322,10,49.9,2.31
,15:58:56,5,3590,179.6,2.4,13.3,7,22,0.323,10,49.9,2.32
,15:58:57,5,3590,180.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:58:58,5,3590,181.6,2.39,13.3,7,22,0.322,10,49.9,2.31
,15:58:59,5,3590,182.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:59:00,5,3590,183.6,2.39,13.3,7,22,0.345,10,49.9,2.31
,15:59:01,5,3590,184.6,2.39,13.3,7,22,0.359,10,49.9,2.31
,15:59:02,5,3590,185.6,2.39,13.3,7,22,0.346,10,49.9,2.31
,15:59:03,5,3590,186.6,2.39,13.3,7,22,0.333,10,49.9,2.31
,15:59:04,5,3590,187.6,2.39,13.3,7,22,0.322,10,49.9,2.31
,15:59:05,5,3590,188.6,2.4,13.3,7,22,0.334,10,49.9,2.31
,15:59:06,5,3590,189.6,2.4,13.3,7,22,0.334,10,49.9,2.32
,15:59:07,5,3590,190.6,2.4,13.3,7,22,0.347,10,49.9,2.32
,15:59:08,5,3590,191.6,2.4,13.3,7,22,0.346,10,49.8,2.32
,15:59:09,5,3590,192.6,2.4,13.3,7,22,0.347,10,49.9,2.32
,15:59:10,5,3590,193.6,2.4,13.3,7,22,0.346,10,49.9,2.31
,15:59:11,5,3590,194.6,2.4,13.3,7,22,0.346,10,49.9,2.32
,15:59:12,5,3590,195.6,2.4,13.3,7,22,0.335,10,49.9,2.32
,15:59:13,5,3590,196.6,2.41,13.3,7,22,0.336,10,49.9,2.33
,15:59:14,5,3590,197.6,2.41,13.3,7,22,0.325,10,49.9,2.33
,15:59:15,5,3590,198.6,2.41,13.3,7,22,0.325,10,49.9,2.33
,15:59:16,5,3590,199.6,2.41,13.3,7,22,0.336,10,49.9,2.33
,15:59:17,5,3590,200.6,2.41,13.3,7,22,0.336,10,49.9,2.33
,15:59:18,5,3590,201.6,2.41,13.3,7,22,0.348,10,49.9,2.32
,15:59:19,5,3590,202.6,2.4,13.3,7,22,0.347,10,49.9,2.32
,15:59:20,5,3590,203.6,2.4,13.3,7,22,0.334,10,49.9,2.32
,15:59:21,5,3590,204.6,2.4,13.3,7,22,0.334,10,49.9,2.31
,15:59:22,5,3590,205.6,2.4,13.3,7,22,0.334,10,49.9,2.32
,15:59:23,5,3590,206.6,2.4,13.3,7,22,0.346,10,49.9,2.32
,15:59:24,5,3590,207.6,2.4,13.3,7,22,0.347,10,49.9,2.32
,15:59:25,5,3590,208.6,2.4,13.3,7,22,0.334,10,49.9,2.32
,15:59:26,5,3590,209.6,2.4,13.3,7,22,0.323,10,49.9,2.32
,15:59:27,5,3590,210.6,2.4,13.3,7,22,0.322,10,49.9,2.31
,15:59:28,5,3590,211.6,2.39,13.3,7,22,0.321,10,49.9,2.3
,15:59:29,5,3590,212.6,2.38,13.3,7,22,0.32,10,49.9,2.29
,15:59:30,5,3590,213.6,2.36,13.3,7,22,0.329,10,49.8,2.27
,15:59:31,5,3590,214.6,2.35,13.3,7,22,0.34,10,49.9,2.27
,15:59:32,5,3590,215.6,2.36,13.3,7,22,0.353,10,49.9,2.28
,15:59:33,5,3590,216.6,2.37,13.3,7,22,0.356,10,49.9,2.29
,15:59:34,5,3590,217.6,2.4,13.3,7,22,0.346,10,49.9,2.32
,15:59:35,5,3590,218.6,2.42,13.3,7,22,0.349,10,49.9,2.33
,15:59:36,5,3590,219.6,2.43,13.3,7,22,0.351,10,49.9,2.35
,15:59:37,5,3590,220.6,2.44,13.3,7,22,0.352,10,49.8,2.35
,15:59:38,5,3590,221.6,2.44,13.3,7,22,0.339,10,49.8,2.35
,15:59:39,5,3590,222.6,2.44,13.3,7,22,0.34,10,49.8,2.35
,15:59:40,5,3590,223.6,2.44,13.3,7,22,0.34,10,49.9,2.36
,15:59:41,5,3590,224.6,2.46,13.3,7,22,0.355,10,49.9,2.37
,15:59:42,5,3590,225.6,2.46,13.3,7,22,0.355,10,49.9,2.38
,15:59:43,5,3590,226.6,2.46,13.3,7,22,0.355,10,49.9,2.37
,15:59:44,5,3590,227.6,2.45,13.3,7,22,0.33,10,49.9,2.37
,15:59:45,5,3590,228.6,2.45,13.3,8,22,0.319,10,49.9,2.37
,15:59:46,5,3590,229.6,2.46,13.3,7,22,0.33,10,49.9,2.37
,15:59:47,5,3590,230.6,2.45,13.3,7,22,0.341,10,49.9,2.36
,15:59:48,5,3590,231.6,2.43,13.3,7,22,0.339,10,49.9,2.35
,15:59:49,5,3590,232.6,2.42,13.3,7,22,0.35,10,49.9,2.34
,15:59:50,5,3590,233.6,2.43,13.3,7,22,0.351,10,49.9,2.34
,15:59:51,5,3590,234.6,2.44,13.3,7,22,0.366,10,49.9,2.36
,15:59:52,5,3590,235.6,2.46,13.3,7,22,0.355,10,49.9,2.37
,15:59:53,5,3590,236.6,2.47,13.3,7,22,0.356,10,49.9,2.38
,15:59:54,5,3590,237.6,2.47,13.3,7,22,0.344,10,49.9,2.38
,15:59:55,5,3590,238.6,2.46,13.3,7,22,0.331,10,49.9,2.38
,15:59:56,5,3590,239.6,2.45,13.3,7,22,0.341,10,49.9,2.36
,15:59:57,5,3590,240.6,2.44,13.3,7,22,0.353,10,49.9,2.36
,15:59:58,5,3590,241.6,2.44,13.3,7,22,0.353,10,49.9,2.35
,15:59:59,5,3590,242.6,2.44,13.3,7,22,0.352,10,49.9,2.35
,16:00:00,5,3590,243.6,2.44,13.3,7,22,0.353,10,49.9,2.36
,16:00:01,5,3590,244.6,2.45,13.3,7,22,0.354,10,49.9,2.36
,16:00:02,5,3590,245.6,2.45,13.3,7,23,0.341,10,49.9,2.37
,16:00:03,5,3590,246.6,2.45,13.3,7,23,0.329,10,49.9,2.36
,16:00:04,5,3590,247.6,2.44,13.3,7,23,0.329,10,49.9,2.36
,16:00:05,5,3590,248.6,2.44,13.3,7,22,0.34,10,49.9,2.36
,16:00:06,5,3590,249.6,2.44,13.3,7,22,0.366,10,49.9,2.36
,16:00:07,5,3590,250.6,2.45,13.3,7,22,0.353,10,49.9,2.36
,16:00:08,5,3590,251.6,2.45,13.3,7,22,0.354,10,49.9,2.37
,16:00:09,5,3590,252.6,2.45,13.3,7,22,0.342,10,49.9,2.37
,16:00:10,5,3590,253.6,2.45,13.3,7,22,0.33,10,49.9,2.37
,16:00:11,5,3590,254.6,2.45,13.3,7,22,0.33,10,49.9,2.37
,16:00:12,5,3590,255.6,2.46,13.3,7,22,0.355,10,49.9,2.37
,16:00:13,5,3590,256.6,2.45,13.3,7,22,0.354,10,49.9,2.37
,16:00:14,5,3590,257.6,2.45,13.3,7,22,0.353,10,49.8,2.36
,16:00:15,5,3590,258.6,2.44,13.3,7,23,0.352,10,49.9,2.35
,16:00:16,5,3590,259.6,2.44,13.3,7,23,0.34,10,49.9,2.35
,16:00:17,5,3590,260.6,2.44,13.3,7,23,0.328,10,49.9,2.36
,16:00:18,5,3590,261.6,2.44,13.3,7,23,0.34,10,49.9,2.36
,16:00:19,5,3590,262.6,2.44,13.3,7,22,0.34,10,49.9,2.36
,16:00:20,5,3590,263.6,2.44,13.3,7,22,0.352,10,49.9,2.35
,16:00:21,5,3590,264.6,2.44,13.3,7,22,0.352,10,49.9,2.35
,16:00:22,5,3590,265.6,2.43,13.3,7,22,0.352,10,49.9,2.35
,16:00:23,5,3590,266.6,2.43,13.3,7,22,0.339,10,49.9,2.34
,16:00:24,5,3590,267.6,2.43,13.3,7,22,0.338,10,49.9,2.34
,16:00:25,5,3590,268.6,2.43,13.3,7,22,0.327,10,49.9,2.35
,16:00:26,5,3590,269.6,2.44,13.3,7,22,0.339,10,49.9,2.35
,16:00:27,5,3590,270.6,2.44,13.3,7,22,0.339,10,49.9,2.35
,16:00:28,5,3590,271.6,2.43,13.3,7,22,0.351,10,49.8,2.34
,16:00:29,5,3590,272.6,2.43,13.3,7,22,0.351,10,49.9,2.34
,16:00:30,5,3590,273.6,2.43,13.3,7,22,0.351,10,49.9,2.34
,16:00:31,5,3590,274.6,2.44,13.3,7,22,0.339,10,49.9,2.35
,16:00:32,5,3590,275.6,2.44,13.3,7,22,0.34,10,49.9,2.36
,16:00:33,5,3590,276.6,2.44,13.3,7,22,0.34,10,49.9,2.36
,16:00:34,5,3590,277.6,2.44,13.3,7,23,0.353,10,49.9,2.36
,16:00:35,5,3590,278.6,2.44,13.3,7,22,0.353,10,49.9,2.36
,16:00:36,5,3590,279.6,2.44,13.3,7,22,0.353,10,49.9,2.36
,16:00:37,5,3590,280.6,2.45,13.3,7,23,0.341,10,49.8,2.37
,16:00:38,5,3590,281.6,2.46,13.3,7,22,0.342,10,49.9,2.37
,16:00:39,5,3590,282.6,2.46,13.3,7,22,0.342,10,49.8,2.37
,16:00:40,5,3590,283.6,2.46,13.3,7,22,0.355,10,49.8,2.37
,16:00:41,5,3590,284.6,2.46,13.3,7,22,0.342,10,49.8,2.37
,16:00:42,5,3590,285.6,2.46,13.3,7,22,0.33,10,49.8,2.37
,16:00:43,5,3590,286.6,2.46,13.3,7,22,0.342,10,49.8,2.37
,16:00:44,5,3590,287.6,2.45,13.3,7,22,0.354,10,49.8,2.36
,16:00:45,5,3590,288.6,2.45,13.3,7,22,0.368,10,49.8,2.37
,16:00:46,5,3590,289.6,2.46,13.3,7,22,0.355,10,49.8,2.37
,16:00:47,5,3590,290.6,2.47,13.3,7,22,0.344,10,49.9,2.39
,16:00:48,5,3590,291.6,2.47,13.3,7,22,0.345,10,49.8,2.39
,16:00:49,5,3590,292.6,2.47,13.3,7,22,0.357,10,49.8,2.39
,16:00:50,5,3590,293.6,2.47,13.3,7,22,0.344,10,49.8,2.38
,16:00:51,5,3590,294.6,2.46,13.3,7,22,0.343,10,49.9,2.38
