s,,DELRIN_DRY_T12_PO5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:55:56 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_dry_t12_po5-h001.tsv,,,,,,,,,,
,16:10:23,5,3590,866.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:10:24,5,3590,867.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:10:25,5,3590,868.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:10:26,5,3590,869.6,2.64,13.3,7,23,0.368,10,49.9,2.54
,16:10:27,5,3590,870.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:10:28,5,3590,871.6,2.61,13.3,7,23,0.364,10,49.9,2.52
,16:10:29,5,3590,872.6,2.62,13.3,7,23,0.364,10,49.9,2.53
,16:10:30,5,3590,873.6,2.62,13.3,7,23,0.364,10,49.9,2.53
,16:10:31,5,3590,874.6,2.61,13.3,7,23,0.377,10,49.8,2.52
,16:10:32,5,3590,875.6,2.6,13.3,7,23,0.376,10,49.9,2.51
,16:10:33,5,3590,876.6,2.6,13.3,7,23,0.363,10,49.9,2.51
,16:10:34,5,3590,877.6,2.61,13.3,7,23,0.363,10,49.9,2.52
,16:10:35,5,3590,878.6,2.62,13.3,7,23,0.378,10,49.9,2.53
,16:10:36,5,3590,879.6,2.62,13.3,7,23,0.378,10,49.9,2.53
,16:10:37,5,3590,880.6,2.63,13.3,7,23,0.379,10,49.9,2.53
,16:10:38,5,3590,881.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:10:39,5,3590,882.6,2.65,13.3,7,23,0.369,10,49.8,2.55
,16:10:40,5,3590,883.6,2.64,13.3,7,23,0.381,10,49.9,2.54
,16:10:41,5,3590,884.6,2.62,13.3,7,23,0.379,10,49.8,2.53
,16:10:42,5,3590,885.6,2.63,13.3,7,23,0.379,10,49.9,2.54
,16:10:43,5,3590,886.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:10:44,5,3590,887.6,2.65,13.3,7,23,0.37,10,49.9,2.56
,16:10:45,5,3590,888.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:10:46,5,3590,889.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:10:47,5,3590,890.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:10:48,5,3590,891.6,2.63,13.3,7,23,0.367,10,49.9,2.54
,16:10:49,5,3590,892.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:10:50,5,3590,893.6,2.64,13.3,7,23,0.367,10,49.9,2.54
,16:10:51,5,3590,894.6,2.63,13.3,7,23,0.366,10,49.9,2.54
,16:10:52,5,3590,895.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:10:53,5,3590,896.6,2.61,13.3,7,23,0.376,10,49.9,2.51
,16:10:54,5,3590,897.6,2.6,13.3,7,23,0.363,10,49.9,2.51
,16:10:55,5,3590,898.6,2.6,13.3,7,23,0.35,10,49.9,2.51
,16:10:56,5,3590,899.6,2.61,13.3,7,23,0.364,10,49.9,2.52
,16:10:57,5,3590,900.6,2.61,13.3,7,23,0.363,10,49.9,2.51
,16:10:58,5,3590,901.6,2.61,13.3,7,23,0.363,10,49.9,2.52
,16:10:59,5,3590,902.6,2.61,13.3,7,23,0.363,10,49.9,2.52
,16:11:00,5,3590,903.6,2.61,13.3,7,23,0.378,10,49.9,2.53
,16:11:01,5,3590,904.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:11:02,5,3590,905.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:03,5,3590,906.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:04,5,3590,907.6,2.65,13.3,7,23,0.382,10,49.8,2.55
,16:11:05,5,3590,908.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:06,5,3590,909.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:07,5,3590,910.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:08,5,3590,911.6,2.63,13.3,7,23,0.38,10,49.9,2.53
,16:11:09,5,3590,912.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:11:10,5,3590,913.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:11:11,5,3590,914.6,2.65,13.3,7,23,0.369,10,49.9,2.55
,16:11:12,5,3590,915.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:13,5,3590,916.6,2.65,13.3,7,23,0.369,10,49.9,2.55
,16:11:14,5,3590,917.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:15,5,3590,918.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:16,5,3590,919.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:17,5,3590,920.6,2.65,13.3,7,23,0.382,10,49.9,2.55
,16:11:18,5,3590,921.6,2.64,13.3,7,23,0.397,10,49.9,2.55
,16:11:19,5,3590,922.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:11:20,5,3590,923.6,2.66,13.3,7,23,0.37,10,49.9,2.57
,16:11:21,5,3590,924.6,2.67,13.3,7,23,0.371,10,49.8,2.57
,16:11:22,5,3590,925.6,2.66,13.3,7,23,0.37,10,49.8,2.56
,16:11:23,5,3590,926.6,2.65,13.3,7,23,0.369,10,49.8,2.55
,16:11:24,5,3590,927.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:11:25,5,3590,928.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:26,5,3590,929.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:11:27,5,3590,930.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:11:28,5,3590,931.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:11:29,5,3590,932.6,2.64,13.3,7,23,0.381,10,49.9,2.55
,16:11:30,5,3590,933.6,2.65,13.3,7,23,0.382,10,49.9,2.56
,16:11:31,5,3590,934.6,2.66,13.3,7,23,0.37,10,49.9,2.57
,16:11:32,5,3590,935.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:11:33,5,3590,936.6,2.65,13.3,7,23,0.37,10,49.8,2.56
,16:11:34,5,3590,937.6,2.65,13.3,7,23,0.382,10,49.9,2.55
,16:11:35,5,3590,938.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:11:36,5,3590,939.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:11:37,5,3590,940.6,2.65,13.3,7,23,0.369,10,49.9,2.55
,16:11:38,5,3590,941.6,2.63,13.3,7,23,0.38,10,49.9,2.53
,16:11:39,5,3590,942.6,2.62,13.3,7,23,0.378,10,49.9,2.53
,16:11:40,5,3590,943.6,2.64,13.3,7,23,0.367,10,49.9,2.54
,16:11:41,5,3590,944.6,2.65,13.3,7,23,0.357,10,49.9,2.56
,16:11:42,5,3590,945.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:11:43,5,3590,946.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:11:44,5,3590,947.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:11:45,5,3590,948.6,2.65,13.3,7,23,0.382,10,49.9,2.55
,16:11:46,5,3590,949.6,2.65,13.3,7,23,0.357,10,49.9,2.56
,16:11:47,5,3590,950.6,2.65,13.3,7,23,0.356,10,49.9,2.55
,16:11:48,5,3590,951.6,2.63,13.3,7,23,0.367,10,49.9,2.54
,16:11:49,5,3590,952.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:11:50,5,3590,953.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:11:51,5,3590,954.6,2.66,13.3,7,23,0.384,10,49.9,2.57
,16:11:52,5,3590,955.6,2.68,13.3,7,23,0.374,10,49.9,2.59
,16:11:53,5,3590,956.6,2.69,13.3,7,23,0.361,10,49.9,2.59
,16:11:54,5,3590,957.6,2.68,13.3,7,23,0.373,10,49.9,2.58
,16:11:55,5,3590,958.6,2.66,13.3,7,23,0.384,10,49.9,2.57
,16:11:56,5,3590,959.6,2.64,13.3,7,23,0.397,10,49.9,2.55
,16:11:57,5,3590,960.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:11:58,5,3590,961.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:11:59,5,3590,962.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:12:00,5,3590,963.6,2.63,13.3,7,23,0.367,10,49.9,2.54
,16:12:01,5,3590,964.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:12:02,5,3590,965.6,2.61,13.3,7,23,0.377,10,49.9,2.52
,16:12:03,5,3590,966.6,2.62,13.3,7,23,0.378,10,49.9,2.53
,16:12:04,5,3590,967.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:12:05,5,3590,968.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:12:06,5,3590,969.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:12:07,5,3590,970.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:12:08,5,3590,971.6,2.64,13.3,7,23,0.355,10,49.9,2.54
,16:12:09,5,3590,972.6,2.63,13.3,7,23,0.353,10,49.9,2.53
,16:12:10,5,3590,973.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:12:11,5,3590,974.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:12:12,5,3590,975.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:12:13,5,3590,976.6,2.64,13.3,7,23,0.381,10,49.9,2.55
,16:12:14,5,3590,977.6,2.65,13.3,7,23,0.382,10,49.9,2.55
,16:12:15,5,3590,978.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:12:16,5,3590,979.6,2.64,13.3,7,23,0.356,10,49.9,2.55
,16:12:17,5,3590,980.6,2.63,13.3,7,23,0.354,10,49.9,2.54
,16:12:18,5,3590,981.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:12:19,5,3590,982.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:12:20,5,3590,983.6,2.63,13.3,7,23,0.394,10,49.9,2.53
,16:12:21,5,3590,984.6,2.63,13.3,7,23,0.38,10,49.8,2.54
,16:12:22,5,3590,985.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:12:23,5,3590,986.6,2.64,13.3,7,23,0.381,10,49.9,2.55
,16:12:24,5,3590,987.6,2.64,13.3,7,23,0.367,10,49.9,2.54
,16:12:25,5,3590,988.6,2.63,13.3,7,23,0.353,10,49.9,2.53
,16:12:26,5,3590,989.6,2.61,13.3,7,23,0.378,10,49.9,2.52
,16:12:27,5,3590,990.6,2.61,13.3,7,23,0.378,10,49.9,2.52
,16:12:28,5,3590,991.6,2.63,13.3,7,23,0.38,10,49.9,2.54
,16:12:29,5,3590,992.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:12:30,5,3590,993.6,2.65,13.3,7,23,0.369,10,49.8,2.56
,16:12:31,5,3590,994.6,2.64,13.3,7,23,0.382,10,49.8,2.55
,16:12:32,5,3590,995.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:12:33,5,3590,996.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:12:34,5,3590,997.6,2.67,13.3,7,23,0.371,10,49.9,2.58
,16:12:35,5,3590,998.6,2.67,13.3,8,23,0.348,10,49.8,2.58
,16:12:36,5,3590,999.6,2.67,13.3,7,23,0.359,10,49.8,2.58
,16:12:37,5,3590,1000.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:12:38,5,3590,1001.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:12:39,5,3590,1002.6,2.65,13.3,7,23,0.382,10,49.9,2.55
,16:12:40,5,3590,1003.6,2.64,13.3,7,23,0.382,10,49.8,2.55
,16:12:41,5,3590,1004.6,2.64,13.3,7,23,0.381,10,49.8,2.55
,16:12:42,5,3590,1005.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:12:43,5,3590,1006.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:12:44,5,3590,1007.6,2.64,13.3,7,23,0.397,10,49.9,2.55
,16:12:45,5,3590,1008.6,2.64,13.3,7,23,0.397,10,49.8,2.55
,16:12:46,5,3590,1009.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:12:47,5,3590,1010.6,2.66,13.3,7,23,0.384,10,49.9,2.56
,16:12:48,5,3590,1011.6,2.66,13.3,7,23,0.384,10,49.9,2.56
,16:12:49,5,3590,1012.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:12:50,5,3590,1013.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:12:51,5,3590,1014.6,2.66,13.3,7,23,0.357,10,49.8,2.56
,16:12:52,5,3590,1015.6,2.65,13.3,7,23,0.357,10,49.9,2.56
,16:12:53,5,3590,1016.6,2.64,13.3,7,23,0.355,10,49.9,2.54
,16:12:54,5,3590,1017.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:12:55,5,3590,1018.6,2.61,13.3,7,23,0.363,10,49.9,2.52
,16:12:56,5,3590,1019.6,2.61,13.3,7,23,0.364,10,49.9,2.52
,16:12:57,5,3590,1020.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:12:58,5,3590,1021.6,2.63,13.3,7,23,0.395,10,49.9,2.54
,16:12:59,5,3590,1022.6,2.65,13.3,7,23,0.397,10,49.9,2.56
,16:13:00,5,3590,1023.6,2.66,13.3,7,23,0.384,10,49.9,2.57
,16:13:01,5,3590,1024.6,2.67,13.3,7,23,0.372,10,49.9,2.58
,16:13:02,5,3590,1025.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:13:03,5,3590,1026.6,2.65,13.3,7,23,0.383,10,49.9,2.55
,16:13:04,5,3590,1027.6,2.64,13.3,7,23,0.382,10,49.9,2.55
,16:13:05,5,3590,1028.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:13:06,5,3590,1029.6,2.67,13.3,7,23,0.385,10,49.9,2.57
,16:13:07,5,3590,1030.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:13:08,5,3590,1031.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:13:09,5,3590,1032.6,2.67,13.3,7,23,0.385,10,49.9,2.57
,16:13:10,5,3590,1033.6,2.67,13.3,7,23,0.371,10,49.9,2.57
,16:13:11,5,3590,1034.6,2.66,13.3,7,23,0.371,10,49.8,2.57
,16:13:12,5,3590,1035.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:13:13,5,3590,1036.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:13:14,5,3590,1037.6,2.65,13.3,7,23,0.37,10,49.9,2.56
,16:13:15,5,3590,1038.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:13:16,5,3590,1039.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:13:17,5,3590,1040.6,2.66,13.3,7,23,0.371,10,49.9,2.57
,16:13:18,5,3590,1041.6,2.65,13.3,7,23,0.369,10,49.9,2.56
,16:13:19,5,3590,1042.6,2.64,13.3,7,23,0.355,10,49.9,2.55
,16:13:20,5,3590,1043.6,2.64,13.3,8,23,0.343,10,49.9,2.55
,16:13:21,5,3590,1044.6,2.64,13.3,7,23,0.356,10,49.9,2.55
,16:13:22,5,3590,1045.6,2.65,13.3,7,23,0.369,10,49.8,2.56
,16:13:23,5,3590,1046.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:13:24,5,3590,1047.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:13:25,5,3590,1048.6,2.65,13.3,7,23,0.383,10,49.9,2.56
,16:13:26,5,3590,1049.6,2.66,13.3,7,23,0.384,10,49.9,2.56
,16:13:27,5,3590,1050.6,2.66,13.3,7,23,0.398,10,49.9,2.56
,16:13:28,5,3590,1051.6,2.66,13.3,7,23,0.384,10,49.9,2.57
,16:13:29,5,3590,1052.6,2.67,13.3,7,23,0.386,10,49.8,2.58
,16:13:30,5,3590,1053.6,2.68,13.3,7,23,0.373,10,49.8,2.59
,16:13:31,5,3590,1054.6,2.67,13.3,7,23,0.386,10,49.8,2.58
,16:13:32,5,3590,1055.6,2.67,13.3,7,23,0.385,10,49.8,2.58
,16:13:33,5,3590,1056.6,2.68,13.3,7,23,0.387,10,49.9,2.58
,16:13:34,5,3590,1057.6,2.7,13.3,7,23,0.376,10,49.8,2.6
,16:13:35,5,3590,1058.6,2.71,13.3,7,23,0.377,10,49.9,2.61
,16:13:36,5,3590,1059.6,2.71,13.3,7,23,0.391,10,49.8,2.61
,16:13:37,5,3590,1060.6,2.7,13.3,7,23,0.39,10,49.9,2.61
,16:13:38,5,3590,1061.6,2.7,13.3,7,23,0.376,10,49.9,2.6
,16:13:39,5,3590,1062.6,2.7,13.3,7,23,0.376,10,49.9,2.6
,16:13:40,5,3590,1063.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:13:41,5,3590,1064.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:13:42,5,3590,1065.6,2.7,13.3,7,23,0.389,10,49.9,2.6
,16:13:43,5,3590,1066.6,2.7,13.3,7,23,0.377,10,49.9,2.61
,16:13:44,5,3590,1067.6,2.71,13.3,7,23,0.391,10,49.9,2.61
,16:13:45,5,3590,1068.6,2.71,13.3,7,23,0.377,10,49.9,2.61
,16:13:46,5,3590,1069.6,2.7,13.3,7,23,0.376,10,49.9,2.61
,16:13:47,5,3590,1070.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:13:48,5,3590,1071.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:13:49,5,3590,1072.6,2.68,13.3,7,23,0.374,10,49.9,2.59
,16:13:50,5,3590,1073.6,2.68,13.3,7,23,0.373,10,49.9,2.58
,16:13:51,5,3590,1074.6,2.67,13.3,7,23,0.371,10,49.9,2.57
,16:13:52,5,3590,1075.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:13:53,5,3590,1076.6,2.65,13.3,7,23,0.369,10,49.8,2.56
,16:13:54,5,3590,1077.6,2.65,13.3,7,23,0.383,10,49.8,2.56
,16:13:55,5,3590,1078.6,2.67,13.3,7,23,0.385,10,49.9,2.58
,16:13:56,5,3590,1079.6,2.68,13.3,7,23,0.388,10,49.9,2.59
,16:13:57,5,3590,1080.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:13:58,5,3590,1081.6,2.7,13.3,7,23,0.376,10,49.9,2.6
,16:13:59,5,3590,1082.6,2.7,13.3,7,23,0.39,10,49.9,2.61
,16:14:00,5,3590,1083.6,2.71,13.3,7,23,0.377,10,49.9,2.62
,16:14:01,5,3590,1084.6,2.71,13.3,7,23,0.378,10,49.9,2.62
,16:14:02,5,3590,1085.6,2.71,13.3,7,23,0.377,10,49.9,2.61
,16:14:03,5,3590,1086.6,2.71,13.3,7,23,0.377,10,49.9,2.61
,16:14:04,5,3590,1087.6,2.71,13.3,7,23,0.377,10,49.9,2.62
,16:14:05,5,3590,1088.6,2.71,13.3,7,23,0.378,10,49.9,2.62
,16:14:06,5,3590,1089.6,2.7,13.3,7,23,0.377,10,49.9,2.61
,16:14:07,5,3590,1090.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:14:08,5,3590,1091.6,2.68,13.3,7,23,0.373,10,49.9,2.59
,16:14:09,5,3590,1092.6,2.68,13.3,7,23,0.373,10,49.9,2.58
,16:14:10,5,3590,1093.6,2.67,13.3,7,23,0.372,10,49.8,2.58
,16:14:11,5,3590,1094.6,2.66,13.3,7,23,0.358,10,49.9,2.57
,16:14:12,5,3590,1095.6,2.66,13.3,8,23,0.346,10,49.9,2.57
,16:14:13,5,3590,1096.6,2.66,13.3,8,23,0.346,10,49.9,2.57
,16:14:14,5,3590,1097.6,2.66,13.3,7,23,0.358,10,49.9,2.57
,16:14:15,5,3590,1098.6,2.66,13.3,7,23,0.37,10,49.9,2.56
,16:14:16,5,3590,1099.6,2.64,13.3,7,23,0.368,10,49.9,2.55
,16:14:17,5,3590,1100.6,2.62,13.3,7,23,0.379,10,49.9,2.53
,16:14:18,5,3590,1101.6,2.62,13.3,7,23,0.378,10,49.9,2.53
,16:14:19,5,3590,1102.6,2.62,13.3,7,23,0.365,10,49.9,2.53
,16:14:20,5,3590,1103.6,2.63,13.3,7,23,0.367,10,49.8,2.54
,16:14:21,5,3590,1104.6,2.64,13.3,7,23,0.381,10,49.9,2.54
,16:14:22,5,3590,1105.6,2.64,13.3,7,23,0.395,10,49.9,2.54
,16:14:23,5,3590,1106.6,2.65,13.3,7,23,0.397,10,49.8,2.56
,16:14:24,5,3590,1107.6,2.67,13.3,7,23,0.385,10,49.9,2.57
,16:14:25,5,3590,1108.6,2.68,13.3,7,23,0.387,10,49.9,2.58
,16:14:26,5,3590,1109.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:14:27,5,3590,1110.6,2.67,13.3,7,23,0.385,10,49.9,2.57
,16:14:28,5,3590,1111.6,2.67,13.3,7,23,0.385,10,49.9,2.58
,16:14:29,5,3590,1112.6,2.67,13.3,7,23,0.385,10,49.9,2.58
,16:14:30,5,3590,1113.6,2.67,13.3,7,23,0.386,10,49.8,2.58
,16:14:31,5,3590,1114.6,2.69,13.3,7,23,0.388,10,49.8,2.59
,16:14:32,5,3590,1115.6,2.71,13.3,7,23,0.377,10,49.8,2.61
,16:14:33,5,3590,1116.6,2.72,13.3,7,23,0.379,10,49.9,2.62
,16:14:34,5,3590,1117.6,2.71,13.3,7,23,0.378,10,49.9,2.62
,16:14:35,5,3590,1118.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:14:36,5,3590,1119.6,2.67,13.3,7,23,0.372,10,49.8,2.58
,16:14:37,5,3590,1120.6,2.67,13.3,7,23,0.359,10,49.9,2.58
,16:14:38,5,3590,1121.6,2.67,13.3,7,23,0.359,10,49.9,2.58
,16:14:39,5,3590,1122.6,2.67,13.3,7,23,0.372,10,49.8,2.58
,16:14:40,5,3590,1123.6,2.68,13.3,7,23,0.387,10,49.9,2.59
,16:14:41,5,3590,1124.6,2.68,13.3,7,23,0.387,10,49.9,2.59
,16:14:42,5,3590,1125.6,2.68,13.3,7,23,0.387,10,49.9,2.59
,16:14:43,5,3590,1126.6,2.68,13.3,7,23,0.387,10,49.9,2.58
,16:14:44,5,3590,1127.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:14:45,5,3590,1128.6,2.67,13.3,7,23,0.385,10,49.8,2.57
,16:14:46,5,3590,1129.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:14:47,5,3590,1130.6,2.69,13.3,7,23,0.389,10,49.8,2.6
,16:14:48,5,3590,1131.6,2.71,13.3,7,23,0.391,10,49.9,2.61
,16:14:49,5,3590,1132.6,2.71,13.3,7,23,0.378,10,49.9,2.62
,16:14:50,5,3590,1133.6,2.7,13.3,7,23,0.376,10,49.9,2.6
,16:14:51,5,3590,1134.6,2.69,13.3,7,23,0.388,10,49.8,2.59
,16:14:52,5,3590,1135.6,2.67,13.3,7,23,0.386,10,49.9,2.58
,16:14:53,5,3590,1136.6,2.68,13.3,7,23,0.387,10,49.9,2.59
,16:14:54,5,3590,1137.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:14:55,5,3590,1138.6,2.7,13.3,7,23,0.376,10,49.9,2.61
,16:14:56,5,3590,1139.6,2.71,13.3,7,23,0.377,10,49.9,2.61
,16:14:57,5,3590,1140.6,2.7,13.3,7,23,0.39,10,49.8,2.6
,16:14:58,5,3590,1141.6,2.69,13.3,7,23,0.388,10,49.9,2.59
,16:14:59,5,3590,1142.6,2.68,13.3,7,23,0.388,10,49.8,2.59
,16:15:00,5,3590,1143.6,2.69,13.3,7,23,0.389,10,49.9,2.6
,16:15:01,5,3590,1144.6,2.72,13.3,7,23,0.378,10,49.9,2.62
,16:15:02,5,3590,1145.6,2.74,13.3,7,23,0.381,10,49.9,2.65
,16:15:03,5,3590,1146.6,2.75,13.3,7,23,0.384,10,49.9,2.66
,16:15:04,5,3590,1147.6,2.75,13.3,7,23,0.398,10,49.9,2.66
,16:15:05,5,3590,1148.6,2.75,13.3,7,23,0.397,10,49.9,2.65
,16:15:06,5,3590,1149.6,2.74,13.3,7,23,0.395,10,49.9,2.64
,16:15:07,5,3590,1150.6,2.73,13.3,7,23,0.394,10,49.9,2.63
,16:15:08,5,3590,1151.6,2.72,13.3,7,23,0.379,10,49.9,2.63
,16:15:09,5,3590,1152.6,2.73,13.3,7,23,0.38,10,49.9,2.63
,16:15:10,5,3590,1153.6,2.72,13.3,7,23,0.379,10,49.8,2.63
,16:15:11,5,3590,1154.6,2.72,13.3,7,23,0.378,10,49.8,2.62
,16:15:12,5,3590,1155.6,2.72,13.3,7,23,0.378,10,49.9,2.62
,16:15:13,5,3590,1156.6,2.72,13.3,7,23,0.379,10,49.9,2.62
,16:15:14,5,3590,1157.6,2.72,13.3,7,23,0.379,10,49.9,2.62
,16:15:15,5,3590,1158.6,2.72,13.3,7,23,0.378,10,49.9,2.62
,16:15:16,5,3590,1159.6,2.71,13.3,7,23,0.378,10,49.9,2.61
,16:15:17,5,3590,1160.6,2.7,13.3,7,23,0.376,10,49.9,2.61
,16:15:18,5,3590,1161.6,2.69,13.3,7,23,0.375,10,49.9,2.6
,16:15:19,5,3590,1162.6,2.69,13.3,7,23,0.375,10,49.8,2.6
,16:15:20,5,3590,1163.6,2.7,13.3,7,23,0.39,10,49.9,2.6
,16:15:21,5,3590,1164.6,2.71,13.3,7,23,0.391,10,49.9,2.62
,16:15:22,5,3590,1165.6,2.71,13.3,7,23,0.378,10,49.9,2.62
,16:15:23,5,3590,1166.6,2.71,13.3,7,23,0.392,10,49.9,2.61
,16:15:24,5,3590,1167.6,2.71,13.3,7,23,0.391,10,49.9,2.61
,16:15:25,5,3590,1168.6,2.71,13.3,7,23,0.391,10,49.9,2.61
,16:15:26,5,3590,1169.6,2.71,13.3,7,23,0.391,10,49.9,2.62
,16:15:27,5,3590,1170.6,2.71,13.3,7,23,0.392,10,49.9,2.62
,16:15:28,5,3590,1171.6,2.72,13.3,7,23,0.392,10,49.8,2.62
,16:15:29,5,3590,1172.6,2.72,13.3,7,23,0.379,10,49.9,2.63
,16:15:30,5,3590,1173.6,2.73,13.3,7,23,0.367,10,49.9,2.64
,16:15:31,5,3590,1174.6,2.74,13.3,7,23,0.369,10,49.9,2.65
,16:15:32,5,3590,1175.6,2.74,13.3,7,23,0.369,10,49.9,2.65
,16:15:33,5,3590,1176.6,2.73,13.3,7,23,0.368,10,49.9,2.64
,16:15:34,5,3590,1177.6,2.72,13.3,7,23,0.379,10,49.9,2.62
,16:15:35,5,3590,1178.6,2.71,13.3,7,23,0.377,10,49.8,2.61
,16:15:36,5,3590,1179.6,2.7,13.3,7,23,0.39,10,49.9,2.61
,16:15:37,5,3590,1180.6,2.7,13.3,7,23,0.391,10,49.9,2.61
,16:15:38,5,3590,1181.6,2.71,13.3,7,23,0.392,10,49.9,2.62
,16:15:39,5,3590,1182.6,2.73,13.3,7,23,0.394,10,49.9,2.63
