Data file,,DRYSLIDE_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,17/05/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Dryslide on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 09:37:56 on 17/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:38:44,4,3600,48.1,0.03,0,7,10.6,0.004,10,50,0.03
,09:38:45,4,3600,49.1,0.2,0.5,7,10.6,0.03,10,50.1,0.22
,09:38:46,4,3600,50.1,0.53,4.7,7,10.6,0.076,10,50.1,0.54
,09:38:47,4,3600,51.1,0.89,10.9,7,10.5,0.119,10,50.1,0.88
,09:38:48,4,3600,52.1,1.08,13.3,8,10.5,0.135,10,50.1,1.04
,09:38:49,4,3600,53.1,1.11,13.3,8,10.5,0.14,10,50.1,1.06
,09:38:50,4,3600,54.1,1.11,13.3,8,10.5,0.139,10,50.1,1.06
,09:38:51,4,3600,55.1,1.09,13.3,8,10.5,0.142,10,50.1,1.04
,09:38:52,4,3600,56.1,1.08,13.3,7,10.5,0.145,10,50.1,1.03
,09:38:53,4,3600,57.1,1.07,13.3,7,10.5,0.149,10,50.1,1.02
,09:38:54,4,3600,58.1,1.06,13.3,7,10.5,0.154,10,50.1,1.02
,09:38:55,4,3600,59.1,1.06,13.3,7,10.5,0.158,10,50.1,1.01
,09:38:56,4,3600,60.1,1.05,13.3,7,10.5,0.158,10,50.1,1
,09:38:57,4,3600,61.1,1.05,13.3,7,10.5,0.158,10,50.1,1.01
,09:38:58,4,3600,62.1,1.05,13.3,7,10.5,0.158,10,50.1,1.01
,09:38:59,4,3600,63.1,1.05,13.3,7,10.5,0.158,10,50.2,1.01
,09:39:00,4,3600,64.1,1.05,13.3,7,10.5,0.152,10,50.1,1.01
,09:39:01,4,3600,65.1,1.06,13.3,7,10.5,0.153,10,50.1,1.01
,09:39:02,4,3600,66.1,1.06,13.3,7,10.5,0.153,10,50.1,1.01
,09:39:03,4,3600,67.1,1.06,13.3,7,10.5,0.159,10,50.1,1.01
,09:39:04,4,3600,68.1,1.06,13.3,7,10.5,0.159,10,50.1,1.01
,09:39:05,4,3600,69.1,1.06,13.3,7,10.5,0.16,10,50.1,1.02
,09:39:06,4,3600,70.1,1.07,13.3,7,10.5,0.154,10,50.1,1.02
,09:39:07,4,3600,71.1,1.07,13.3,7,10.5,0.154,10,50.1,1.02
,09:39:08,4,3600,72.1,1.06,13.3,7,10.5,0.154,10,50.1,1.02
