Data file,,COLISIBRO_ISO10_T7_C3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,ISO10 Lubron,,,,,,,,,,
Specimens,,Colsibro,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 10:23:30 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,colisibro_iso10_t7_c3-h001.tsv,,,,,,,,,,
,10:24:33,4,5,62.6,0.02,0,7,21,0.003,10,49.6,0.02
,10:24:34,4,5,63.6,0.35,0.4,7,21,0.05,10,49.8,0.4
,10:24:35,4,5,64.6,1.14,4.6,7,21,0.165,10,49.9,1.19
,10:24:36,4,5,65.6,2.04,10.7,7,21,0.284,10,49.9,2.06
,10:24:37,4,5,66.6,2.55,13.3,7,21,0.355,10,49.9,2.47
,10:24:38,5,3590,67.6,2.73,13.3,7,21,0.38,10,49.9,2.67
,10:24:39,5,3590,68.6,3.11,13.3,7,21,0.433,10,49.9,3.04
,10:24:40,5,3590,69.6,3.62,13.3,7,21,0.486,10,49.8,3.55
,10:24:41,5,3590,70.6,3.92,13.3,7,21,0.527,10,49.8,3.78
,10:24:42,5,3590,71.6,3.82,13.3,7,21,0.532,10,49.8,3.68
,10:24:43,5,3590,72.6,3.66,13.3,7,21,0.493,10,49.8,3.52
,10:24:44,5,3590,73.6,3.62,13.3,7,21,0.487,10,49.8,3.51
,10:24:45,5,3590,74.6,3.75,13.3,7,21,0.504,10,49.8,3.62
