Data file,,PEEK_HEF_T31_PE10.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,31/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:46:33 on 31/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t31_pe10-h001.tsv,,,,,,,,,,
,13:47:27,5,5,54.2,0.06,0,7,22,0.008,10,49.8,0.07
,13:47:28,5,5,55.2,0.63,1.4,7,22,0.09,10,49.9,0.67
,13:47:29,5,5,56.2,1.25,6.8,7,22,0.181,10,49.9,1.26
,13:47:30,5,5,57.2,1.71,12.1,7,22,0.239,10,49.9,1.68
,13:47:31,5,5,58.2,1.65,13.3,7,22,0.221,10,49.9,1.58
,13:47:32,6,10790,59.2,1.55,13.3,7,22,0.208,10,49.9,1.48
,13:47:33,6,10790,60.2,1.51,13.3,7,22,0.21,10,49.9,1.45
,13:47:34,6,10790,61.2,1.45,13.3,7,22,0.195,10,49.9,1.39
,13:47:35,6,10790,62.2,1.34,13.3,8,22,0.174,10,49.9,1.28
,13:47:36,6,10790,63.2,1.27,13.3,8,22,0.165,10,49.9,1.21
,13:47:37,6,10790,64.2,1.17,13.3,7,22,0.158,10,49.9,1.13
,13:47:38,6,10790,65.2,1.1,13.3,7,22,0.159,10,49.9,1.06
,13:47:39,6,10790,66.2,1.05,13.3,7,22,0.151,10,49.9,1.01
,13:47:40,6,10790,67.2,1.04,13.3,7,22,0.15,10,49.9,1
