Data file,,DURATRON_HEF_T33_D7.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,29/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 17:24:34 on 29/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_hef_t33_d7-h001.tsv,,,,,,,,,,
,17:25:28,4,5,54.6,0.04,0,7,21,0.005,10,49.6,0.05
,17:25:29,4,5,55.6,0.4,0.4,8,21,0.052,10,49.8,0.43
,17:25:30,4,5,56.6,0.9,6.5,8,21,0.117,10,49.9,0.92
,17:25:31,4,5,57.6,1.39,12.5,8,21,0.181,10,49.9,1.37
,17:25:32,4,5,58.6,1.51,13.3,7,22,0.202,10,49.9,1.45
,17:25:33,5,3590,59.6,1.43,13.3,7,22,0.207,10,49.9,1.37
,17:25:34,5,3590,60.6,1.35,13.3,7,22,0.194,10,49.9,1.29
,17:25:35,5,3590,61.6,1.32,13.3,7,22,0.19,10,49.8,1.27
,17:25:36,5,3590,62.6,1.32,13.3,7,22,0.184,10,49.8,1.28
,17:25:37,5,3590,63.6,1.32,13.3,7,22,0.183,10,49.8,1.27
,17:25:38,5,3590,64.6,1.23,13.3,7,22,0.172,10,49.8,1.18
,17:25:39,5,3590,65.6,1.13,13.3,7,21,0.157,10,49.8,1.08
,17:25:40,5,3590,66.6,1.07,13.3,7,21,0.149,10,49.8,1.03
