Data file,,ZYTEL_ISO10_-8C_004.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Zytel on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:07:51 on 01/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:39:20,4,3600,1884.7,0.03,0,7,-7.7,0.004,10,0,0.03
,13:39:21,4,3600,1885.7,0.24,0.5,7,-7.7,0.034,10,0,0.26
,13:39:22,4,3600,1886.7,0.57,3.9,7,-7.7,0.076,10,0,0.56
,13:39:23,4,3600,1887.7,0.88,10.9,7,-7.7,0.119,10,0,0.85
,13:39:24,4,3600,1888.7,0.96,13.3,7,-7.8,0.13,10,0,0.9
,13:39:25,4,3600,1889.7,0.93,13.3,7,-7.8,0.129,10,0,0.86
,13:39:26,4,3600,1890.7,0.88,13.3,7,-7.8,0.123,10,0.1,0.83
,13:39:27,4,3600,1891.7,0.86,13.3,7,-7.8,0.124,10,0.1,0.8
,13:39:28,4,3600,1892.7,0.84,13.3,7,-7.8,0.121,10,0.1,0.79
,13:39:29,4,3600,1893.7,0.83,13.3,7,-7.8,0.12,10,0.1,0.78
,13:39:30,4,3600,1894.7,0.83,13.3,7,-7.8,0.124,10,0.1,0.77
,13:39:31,4,3600,1895.7,0.83,13.3,7,-7.8,0.12,10,0.1,0.78
,13:39:32,4,3600,1896.7,0.83,13.3,7,-7.8,0.12,10,0.1,0.78
,13:39:33,4,3600,1897.7,0.83,13.3,7,-7.8,0.125,10,0.1,0.78
,13:39:34,4,3600,1898.7,0.83,13.3,7,-7.8,0.124,10,0.1,0.77
,13:39:35,4,3600,1899.7,0.83,13.3,7,-7.9,0.124,10,0.1,0.77
,13:39:36,4,3600,1900.7,0.83,13.3,7,-7.9,0.12,10,0.1,0.77
,13:39:37,4,3600,1901.7,0.83,13.3,7,-7.9,0.119,10,0.1,0.77
,13:39:38,4,3600,1902.7,0.82,13.3,7,-7.9,0.119,10,0.1,0.77
,13:39:39,4,3600,1903.7,0.82,13.3,7,-7.9,0.123,10,0.1,0.77
,13:39:40,4,3600,1904.7,0.82,13.3,7,-7.8,0.123,10,0.1,0.77
,13:39:41,4,3600,1905.7,0.82,13.3,7,-7.8,0.123,10,0.1,0.77
,13:39:42,4,3600,1906.7,0.83,13.3,7,-7.8,0.12,10,0.1,0.77
,13:39:43,4,3600,1907.7,0.83,13.3,7,-7.7,0.12,10,0.1,0.78
