Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:07:40,5,3590,118.2,0.76,13.3,7,21,0.102,10,49.8,0.73
,14:07:41,5,3590,119.2,0.74,13.3,7,21,0.103,10,49.8,0.72
,14:07:42,5,3590,120.2,0.74,13.3,7,21,0.103,10,49.8,0.71
,14:07:43,5,3590,121.2,0.74,13.3,7,21,0.107,10,49.8,0.72
,14:07:44,5,3590,122.2,0.74,13.3,7,21,0.107,10,49.8,0.72
,14:07:45,5,3590,123.2,0.74,13.3,7,22,0.107,10,49.8,0.71
,14:07:46,5,3590,124.2,0.73,13.3,7,22,0.11,10,49.8,0.71
,14:07:47,5,3590,125.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:07:48,5,3590,126.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:07:49,5,3590,127.2,0.73,13.3,7,22,0.102,10,49.8,0.71
,14:07:50,5,3590,128.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:07:51,5,3590,129.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:07:52,5,3590,130.2,0.72,13.3,7,22,0.104,10,49.8,0.7
,14:07:53,5,3590,131.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:07:54,5,3590,132.2,0.73,13.3,7,22,0.101,10,49.8,0.7
,14:07:55,5,3590,133.2,0.73,13.3,7,22,0.101,10,49.8,0.7
,14:07:56,5,3590,134.2,0.72,13.3,7,21,0.101,10,49.8,0.7
,14:07:57,5,3590,135.2,0.72,13.3,7,21,0.1,10,49.8,0.69
,14:07:58,5,3590,136.2,0.71,13.3,7,21,0.099,10,49.8,0.68
,14:07:59,5,3590,137.2,0.71,13.3,7,22,0.106,10,49.8,0.68
,14:08:00,5,3590,138.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:08:01,5,3590,139.2,0.71,13.3,7,22,0.103,10,49.8,0.69
,14:08:02,5,3590,140.2,0.72,13.3,7,22,0.101,10,49.8,0.7
,14:08:03,5,3590,141.2,0.73,13.3,7,22,0.101,10,49.8,0.7
,14:08:04,5,3590,142.2,0.73,13.3,7,22,0.105,10,49.8,0.7
,14:08:05,5,3590,143.2,0.72,13.3,7,22,0.104,10,49.8,0.7
,14:08:06,5,3590,144.2,0.71,13.3,7,22,0.099,10,49.8,0.69
,14:08:07,5,3590,145.2,0.71,13.3,7,22,0.099,10,49.8,0.68
,14:08:08,5,3590,146.2,0.71,13.3,7,22,0.103,10,49.8,0.69
,14:08:09,5,3590,147.2,0.72,13.3,7,22,0.103,10,49.8,0.69
,14:08:10,5,3590,148.2,0.72,13.3,7,22,0.104,10,49.8,0.69
,14:08:11,5,3590,149.2,0.72,13.3,7,22,0.104,10,49.8,0.7
,14:08:12,5,3590,150.2,0.72,13.3,7,22,0.1,10,49.8,0.69
,14:08:13,5,3590,151.2,0.72,13.3,7,22,0.1,10,49.8,0.69
,14:08:14,5,3590,152.2,0.72,13.3,7,22,0.1,10,49.8,0.69
,14:08:15,5,3590,153.2,0.71,13.3,7,22,0.099,10,49.8,0.69
,14:08:16,5,3590,154.2,0.71,13.3,7,22,0.099,10,49.8,0.68
,14:08:17,5,3590,155.2,0.7,13.3,7,22,0.102,10,49.8,0.68
,14:08:18,5,3590,156.2,0.7,13.3,7,22,0.101,10,49.8,0.68
,14:08:19,5,3590,157.2,0.7,13.3,7,22,0.101,10,49.8,0.68
,14:08:20,5,3590,158.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:08:21,5,3590,159.2,0.7,13.3,7,21,0.102,10,49.8,0.68
,14:08:22,5,3590,160.2,0.7,13.3,7,22,0.102,10,49.8,0.68
,14:08:23,5,3590,161.2,0.7,13.3,7,22,0.101,10,49.8,0.68
,14:08:24,5,3590,162.2,0.7,13.3,7,22,0.101,10,49.8,0.68
,14:08:25,5,3590,163.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:26,5,3590,164.2,0.69,13.3,7,22,0.1,10,49.8,0.67
,14:08:27,5,3590,165.2,0.69,13.3,7,22,0.096,10,49.8,0.67
,14:08:28,5,3590,166.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:29,5,3590,167.2,0.69,13.3,7,22,0.097,10,49.8,0.67
,14:08:30,5,3590,168.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:31,5,3590,169.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:32,5,3590,170.2,0.7,13.3,7,22,0.098,10,49.8,0.68
,14:08:33,5,3590,171.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:34,5,3590,172.2,0.7,13.3,7,22,0.097,10,49.8,0.67
,14:08:35,5,3590,173.2,0.69,13.3,7,22,0.092,10,49.8,0.66
,14:08:36,5,3590,174.2,0.69,13.3,7,22,0.092,10,49.8,0.66
,14:08:37,5,3590,175.2,0.68,13.3,7,22,0.095,10,49.8,0.65
