Data file,,RA0.3_PDMS_-8C_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silocone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:57:02 on 06/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:10:47,4,2700,824.8,0.02,0,9,-7.4,0.002,10,0.2,0.02
,16:10:48,4,2700,825.8,0.21,0.3,9,-7.5,0.023,10,0.2,0.23
,16:10:49,4,2700,826.8,0.57,4,9,-7.5,0.062,10,0.2,0.57
,16:10:50,4,2700,827.8,0.97,11.4,9,-7.5,0.102,10,0.2,0.95
,16:10:51,4,2700,828.8,1.19,13.3,9,-7.5,0.125,10,0.2,1.12
,16:10:52,4,2700,829.8,1.23,13.3,9,-7.5,0.129,10,0.2,1.15
,16:10:53,4,2700,830.8,1.23,13.3,9,-7.5,0.129,10,0.2,1.15
,16:10:54,4,2700,831.8,1.22,13.3,9,-7.5,0.129,10,0.2,1.14
,16:10:55,4,2700,832.8,1.22,13.3,9,-7.5,0.129,10,0.2,1.14
,16:10:56,4,2700,833.8,1.22,13.3,9,-7.5,0.132,10,0.2,1.14
,16:10:57,4,2700,834.8,1.22,13.3,9,-7.5,0.129,10,0.2,1.14
,16:10:58,4,2700,835.8,1.22,13.3,10,-7.5,0.126,10,0.2,1.15
,16:10:59,4,2700,836.8,1.23,13.3,10,-7.6,0.126,10,0.2,1.15
,16:11:00,4,2700,837.8,1.22,13.3,9,-7.6,0.129,10,0.2,1.14
,16:11:01,4,2700,838.8,1.21,13.3,9,-7.6,0.132,10,0.2,1.13
,16:11:02,4,2700,839.8,1.21,13.3,9,-7.6,0.135,10,0.2,1.13
,16:11:03,4,2700,840.8,1.21,13.3,9,-7.6,0.135,10,0.2,1.13
,16:11:04,4,2700,841.8,1.21,13.3,9,-7.6,0.135,10,0.2,1.14
,16:11:05,4,2700,842.8,1.21,13.3,9,-7.6,0.135,10,0.2,1.14
,16:11:06,4,2700,843.8,1.21,13.3,9,-7.6,0.131,10,0.2,1.13
,16:11:07,4,2700,844.8,1.21,13.3,9,-7.6,0.128,10,0.2,1.13
,16:11:08,4,2700,845.8,1.21,13.3,9,-7.6,0.128,10,0.2,1.13
,16:11:09,4,2700,846.8,1.21,13.3,9,-7.5,0.131,10,0.2,1.13
,16:11:10,4,2700,847.8,1.21,13.3,9,-7.5,0.134,10,0.2,1.13
