Data file,,RA0.3_PAO_-8C_003_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:20:59 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:58:44,4,3600,2265.1,2.14,13.3,9,-7.1,0.225,10,0.2,1.93
,16:58:45,4,3600,2266.1,2.13,13.3,9,-7.1,0.225,10,0.2,1.92
,16:58:46,4,3600,2267.1,2.13,13.3,9,-7,0.225,10,0.2,1.92
,16:58:47,4,3600,2268.1,2.13,13.3,9,-7,0.224,10,0.2,1.92
,16:58:48,4,3600,2269.1,2.13,13.3,9,-7,0.224,10,0.2,1.92
,16:58:49,4,3600,2270.1,2.12,13.3,9,-7,0.224,10,0.2,1.91
,16:58:50,4,3600,2271.1,2.11,13.3,9,-7,0.229,10,0.2,1.9
,16:58:51,4,3600,2272.1,2.1,13.3,9,-7,0.227,10,0.2,1.89
,16:58:52,4,3600,2273.1,2.1,13.3,9,-7,0.227,10,0.2,1.89
,16:58:53,4,3600,2274.1,2.1,13.3,9,-7,0.227,10,0.2,1.89
,16:58:54,4,3600,2275.1,2.1,13.3,9,-7,0.234,10,0.2,1.89
,16:58:55,4,3600,2276.1,2.1,13.3,9,-7,0.234,10,0.2,1.9
,16:58:56,4,3600,2277.1,2.1,13.3,9,-7,0.234,10,0.2,1.89
,16:58:57,4,3600,2278.1,2.1,13.3,9,-6.9,0.241,10,0.2,1.89
,16:58:58,4,3600,2279.1,2.1,13.3,9,-6.9,0.241,10,0.2,1.89
,16:58:59,4,3600,2280.1,2.1,13.3,9,-6.9,0.241,10,0.2,1.9
,16:59:00,4,3600,2281.1,2.11,13.3,9,-6.9,0.242,10,0.2,1.9
,16:59:01,4,3600,2282.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:02,4,3600,2283.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:03,4,3600,2284.1,2.1,13.3,9,-6.9,0.234,10,0.2,1.9
,16:59:04,4,3600,2285.1,2.1,13.3,9,-6.9,0.24,10,0.2,1.89
,16:59:05,4,3600,2286.1,2.09,13.3,9,-6.9,0.24,10,0.2,1.89
,16:59:06,4,3600,2287.1,2.1,13.3,9,-6.9,0.234,10,0.2,1.89
,16:59:07,4,3600,2288.1,2.1,13.3,9,-6.9,0.234,10,0.2,1.89
,16:59:08,4,3600,2289.1,2.1,13.3,9,-6.9,0.234,10,0.2,1.9
,16:59:09,4,3600,2290.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:10,4,3600,2291.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:11,4,3600,2292.1,2.11,13.3,9,-6.9,0.242,10,0.2,1.9
,16:59:12,4,3600,2293.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:13,4,3600,2294.1,2.11,13.3,9,-6.9,0.242,10,0.2,1.9
,16:59:14,4,3600,2295.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:15,4,3600,2296.1,2.11,13.3,9,-6.9,0.235,10,0.2,1.9
,16:59:16,4,3600,2297.1,2.11,13.3,9,-6.8,0.235,10,0.2,1.9
,16:59:17,4,3600,2298.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:18,4,3600,2299.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:19,4,3600,2300.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:20,4,3600,2301.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:21,4,3600,2302.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:22,4,3600,2303.1,2.1,13.3,9,-6.8,0.241,10,0.2,1.9
,16:59:23,4,3600,2304.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:24,4,3600,2305.1,2.11,13.3,9,-6.8,0.235,10,0.2,1.9
,16:59:25,4,3600,2306.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:26,4,3600,2307.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:27,4,3600,2308.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:28,4,3600,2309.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:29,4,3600,2310.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:30,4,3600,2311.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:31,4,3600,2312.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:32,4,3600,2313.1,2.11,13.3,9,-6.8,0.228,10,0.2,1.9
,16:59:33,4,3600,2314.1,2.11,13.3,9,-6.8,0.235,10,0.2,1.9
,16:59:34,4,3600,2315.1,2.11,13.3,9,-6.8,0.228,10,0.2,1.9
,16:59:35,4,3600,2316.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.9
,16:59:36,4,3600,2317.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:37,4,3600,2318.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:38,4,3600,2319.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:39,4,3600,2320.1,2.1,13.3,9,-6.8,0.234,10,0.2,1.89
,16:59:40,4,3600,2321.1,2.1,13.3,9,-6.8,0.228,10,0.2,1.9
,16:59:41,4,3600,2322.1,2.1,13.3,9,-6.8,0.228,10,0.2,1.9
,16:59:42,4,3600,2323.1,2.1,13.3,9,-6.8,0.228,10,0.2,1.9
,16:59:43,4,3600,2324.1,2.1,13.3,9,-6.8,0.221,10,0.2,1.89
,16:59:44,4,3600,2325.1,2.1,13.3,9,-6.8,0.221,10,0.2,1.89
