Data file,,DURATRON_DRY_T1_D1.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,20/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:34:24 on 20/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_dry_t1_d1-h001.tsv,,,,,,,,,,
,14:35:20,4,5,55.4,0.03,0,7,22,0.003,10,49.5,0.02
,14:35:21,4,5,56.4,0.48,0.7,7,22,0.07,10,49.7,0.56
,14:35:22,4,5,57.4,1.75,4.7,7,22,0.253,10,49.8,1.84
,14:35:23,4,5,58.4,3.34,11.2,7,22,0.465,10,49.8,3.38
,14:35:24,4,5,59.4,4.56,13.3,7,22,0.613,10,49.8,4.47
,14:35:25,5,2489,60.4,4.98,13.3,7,22,0.694,10,49.8,4.82
,14:35:26,5,2489,61.4,5.07,13.3,7,22,0.733,10,49.7,4.9
,14:35:27,5,2489,62.4,5.06,13.3,7,22,0.731,10,49.7,4.88
,14:35:28,5,2489,63.4,5.01,13.3,7,22,0.724,10,49.7,4.83
,14:35:29,5,2489,64.4,5,13.3,7,22,0.696,10,49.7,4.83
,14:35:30,5,2489,65.4,4.99,13.3,7,22,0.696,10,49.7,4.82
,14:35:31,5,2489,66.4,5.01,13.3,7,22,0.698,10,49.7,4.84
,14:35:32,5,2489,67.4,5.02,13.3,7,22,0.675,10,49.7,4.84
