Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:42:51,6,21600,13811.4,0.28,13.3,7,14.2,0.042,10,0.8,0.27
,13:42:52,6,21600,13812.4,0.27,13.3,7,14.2,0.041,10,0.8,0.27
,13:42:53,6,21600,13813.4,0.28,13.3,7,14.2,0.042,10,0.7,0.28
,13:42:54,6,21600,13814.4,0.28,13.3,7,14.2,0.041,10,0.8,0.28
,13:42:55,6,21600,13815.4,0.29,13.3,7,14.2,0.042,10,0.8,0.28
,13:42:56,6,21600,13816.4,0.28,13.3,7,14.2,0.043,10,0.8,0.28
,13:42:57,6,21600,13817.4,0.28,13.3,7,14.2,0.042,10,0.8,0.28
,13:42:58,6,21600,13818.4,0.28,13.3,7,14.2,0.042,10,0.8,0.27
,13:42:59,6,21600,13819.4,0.28,13.3,7,14.2,0.041,10,0.8,0.28
,13:43:00,6,21600,13820.4,0.28,13.3,7,14.2,0.041,10,0.8,0.28
,13:43:01,6,21600,13821.4,0.29,13.3,7,14.2,0.042,10,0.8,0.28
,13:43:02,6,21600,13822.4,0.29,13.3,7,14.1,0.043,10,0.7,0.28
,13:43:03,6,21600,13823.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:04,6,21600,13824.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:05,6,21600,13825.4,0.29,13.3,7,14.1,0.04,10,0.8,0.28
,13:43:06,6,21600,13826.4,0.29,13.3,7,14.1,0.04,10,0.8,0.28
,13:43:07,6,21600,13827.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:08,6,21600,13828.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:09,6,21600,13829.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:10,6,21600,13830.4,0.28,13.3,7,14.1,0.043,10,0.7,0.28
,13:43:11,6,21600,13831.4,0.29,13.3,7,14.1,0.042,10,0.7,0.28
,13:43:12,6,21600,13832.4,0.29,13.3,7,14.1,0.042,10,0.7,0.28
,13:43:13,6,21600,13833.4,0.29,13.3,7,14.1,0.042,10,0.7,0.28
,13:43:14,6,21600,13834.4,0.28,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:15,6,21600,13835.4,0.28,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:16,6,21600,13836.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:17,6,21600,13837.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:18,6,21600,13838.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:19,6,21600,13839.4,0.29,13.3,7,14.1,0.043,10,0.8,0.28
,13:43:20,6,21600,13840.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:21,6,21600,13841.4,0.29,13.3,7,14.1,0.042,10,0.7,0.28
,13:43:22,6,21600,13842.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:23,6,21600,13843.4,0.28,13.3,7,14.1,0.04,10,0.7,0.28
,13:43:24,6,21600,13844.4,0.29,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:25,6,21600,13845.4,0.28,13.3,7,14.1,0.041,10,0.8,0.28
,13:43:26,6,21600,13846.4,0.28,13.3,7,14.1,0.041,10,0.8,0.28
,13:43:27,6,21600,13847.4,0.28,13.3,7,14.1,0.041,10,0.8,0.28
,13:43:28,6,21600,13848.4,0.28,13.3,7,14.1,0.042,10,0.8,0.28
,13:43:29,6,21600,13849.4,0.28,13.3,6,14,0.044,10,0.8,0.28
,13:43:30,6,21600,13850.4,0.29,13.3,7,14,0.043,10,0.7,0.28
,13:43:31,6,21600,13851.4,0.29,13.3,7,14,0.043,10,0.7,0.28
,13:43:32,6,21600,13852.4,0.29,13.3,7,14,0.043,10,0.7,0.28
,13:43:33,6,21600,13853.4,0.29,13.3,7,14,0.044,10,0.7,0.29
,13:43:34,6,21600,13854.4,0.3,13.3,7,14,0.043,10,0.7,0.29
,13:43:35,6,21600,13855.4,0.3,13.3,7,14,0.045,10,0.7,0.29
,13:43:36,6,21600,13856.4,0.29,13.3,7,14,0.043,10,0.7,0.29
,13:43:37,6,21600,13857.4,0.29,13.3,7,14,0.042,10,0.7,0.28
,13:43:38,6,21600,13858.4,0.29,13.3,7,14,0.042,10,0.7,0.28
,13:43:39,6,21600,13859.4,0.29,13.3,7,14,0.043,10,0.8,0.28
,13:43:40,6,21600,13860.4,0.29,13.3,7,14,0.044,10,0.7,0.28
,13:43:41,6,21600,13861.4,0.3,13.3,7,14,0.045,10,0.8,0.29
,13:43:42,6,21600,13862.4,0.3,13.3,7,14,0.045,10,0.8,0.29
,13:43:43,6,21600,13863.4,0.3,13.3,7,14,0.043,10,0.8,0.29
,13:43:44,6,21600,13864.4,0.29,13.3,7,14,0.043,10,0.8,0.28
,13:43:45,6,21600,13865.4,0.29,13.3,7,14,0.042,10,0.7,0.28
,13:43:46,6,21600,13866.4,0.29,13.3,7,13.9,0.042,10,0.8,0.28
,13:43:47,6,21600,13867.4,0.29,13.3,7,13.9,0.04,10,0.8,0.28
,13:43:48,6,21600,13868.4,0.29,13.3,7,13.9,0.04,10,0.8,0.28
,13:43:49,6,21600,13869.4,0.29,13.3,7,13.9,0.04,10,0.7,0.28
,13:43:50,6,21600,13870.4,0.29,13.3,7,13.9,0.042,10,0.8,0.28
,13:43:51,6,21600,13871.4,0.29,13.3,7,13.9,0.042,10,0.7,0.28
,13:43:52,6,21600,13872.4,0.29,13.3,7,13.9,0.042,10,0.7,0.28
,13:43:53,6,21600,13873.4,0.29,13.3,7,13.9,0.043,10,0.7,0.28
,13:43:54,6,21600,13874.4,0.29,13.3,7,13.9,0.043,10,0.7,0.28
,13:43:55,6,21600,13875.4,0.28,13.3,7,13.9,0.043,10,0.7,0.28
,13:43:56,6,21600,13876.4,0.28,13.3,7,13.9,0.043,10,0.7,0.28
,13:43:57,6,21600,13877.4,0.28,13.3,7,13.9,0.043,10,0.8,0.28
,13:43:58,6,21600,13878.4,0.28,13.3,7,13.9,0.043,10,0.8,0.28
,13:43:59,6,21600,13879.4,0.29,13.3,7,13.9,0.042,10,0.8,0.28
,13:44:00,6,21600,13880.4,0.29,13.3,7,13.8,0.042,10,0.8,0.28
,13:44:01,6,21600,13881.4,0.29,13.3,7,13.8,0.042,10,0.7,0.28
,13:44:02,6,21600,13882.4,0.29,13.3,7,13.8,0.042,10,0.8,0.28
,13:44:03,6,21600,13883.4,0.29,13.3,7,13.8,0.042,10,0.7,0.28
,13:44:04,6,21600,13884.4,0.28,13.3,7,13.8,0.041,10,0.8,0.28
,13:44:05,6,21600,13885.4,0.28,13.3,7,13.8,0.042,10,0.8,0.28
,13:44:06,6,21600,13886.4,0.28,13.3,7,13.8,0.042,10,0.7,0.27
,13:44:07,6,21600,13887.4,0.28,13.3,7,13.8,0.041,10,0.7,0.28
,13:44:08,6,21600,13888.4,0.29,13.3,7,13.8,0.043,10,0.7,0.28
,13:44:09,6,21600,13889.4,0.29,13.3,7,13.8,0.043,10,0.8,0.28
,13:44:10,6,21600,13890.4,0.28,13.3,7,13.8,0.043,10,0.7,0.28
,13:44:11,6,21600,13891.4,0.28,13.3,7,13.7,0.041,10,0.7,0.28
,13:44:12,6,21600,13892.4,0.28,13.3,7,13.7,0.04,10,0.8,0.27
,13:44:13,6,21600,13893.4,0.28,13.3,7,13.7,0.041,10,0.7,0.27
,13:44:14,6,21600,13894.4,0.28,13.3,7,13.7,0.04,10,0.7,0.27
,13:44:15,6,21600,13895.4,0.28,13.3,7,13.7,0.04,10,0.7,0.27
,13:44:16,6,21600,13896.4,0.28,13.3,7,13.7,0.042,10,0.8,0.28
,13:44:17,6,21600,13897.4,0.29,13.3,7,13.7,0.043,10,0.7,0.28
,13:44:18,6,21600,13898.4,0.29,13.3,7,13.7,0.044,10,0.8,0.29
,13:44:19,6,21600,13899.4,0.29,13.3,7,13.7,0.043,10,0.7,0.29
,13:44:20,6,21600,13900.4,0.29,13.3,7,13.7,0.042,10,0.8,0.28
,13:44:21,6,21600,13901.4,0.29,13.3,7,13.7,0.044,10,0.8,0.29
,13:44:22,6,21600,13902.4,0.29,13.3,7,13.7,0.044,10,0.8,0.28
,13:44:23,6,21600,13903.4,0.29,13.3,7,13.6,0.044,10,0.8,0.28
,13:44:24,6,21600,13904.4,0.29,13.3,7,13.6,0.04,10,0.8,0.28
,13:44:25,6,21600,13905.4,0.29,13.3,7,13.6,0.04,10,0.8,0.28
,13:44:26,6,21600,13906.4,0.29,13.3,7,13.6,0.042,10,0.8,0.28
,13:44:27,6,21600,13907.4,0.29,13.3,7,13.6,0.044,10,0.8,0.28
,13:44:28,6,21600,13908.4,0.3,13.3,7,13.6,0.045,10,0.7,0.29
,13:44:29,6,21600,13909.4,0.29,13.3,7,13.6,0.043,10,0.8,0.29
,13:44:30,6,21600,13910.4,0.29,13.3,7,13.6,0.044,10,0.8,0.28
,13:44:31,6,21600,13911.4,0.29,13.3,7,13.6,0.043,10,0.8,0.28
,13:44:32,6,21600,13912.4,0.29,13.3,7,13.5,0.042,10,0.8,0.28
,13:44:33,6,21600,13913.4,0.29,13.3,7,13.5,0.041,10,0.7,0.29
,13:44:34,6,21600,13914.4,0.3,13.3,7,13.5,0.043,10,0.8,0.29
,13:44:35,6,21600,13915.4,0.3,13.3,7,13.5,0.044,10,0.8,0.29
,13:44:36,6,21600,13916.4,0.3,13.3,7,13.5,0.045,10,0.8,0.29
,13:44:37,6,21600,13917.4,0.29,13.3,7,13.5,0.044,10,0.8,0.29
,13:44:38,6,21600,13918.4,0.29,13.3,7,13.5,0.043,10,0.8,0.28
,13:44:39,6,21600,13919.4,0.29,13.3,7,13.5,0.043,10,0.8,0.29
,13:44:40,6,21600,13920.4,0.3,13.3,7,13.5,0.044,10,0.8,0.29
,13:44:41,6,21600,13921.4,0.3,13.3,7,13.5,0.044,10,0.8,0.3
,13:44:42,6,21600,13922.4,0.3,13.3,7,13.5,0.044,10,0.7,0.29
,13:44:43,6,21600,13923.4,0.3,13.3,7,13.4,0.043,10,0.8,0.29
,13:44:44,6,21600,13924.4,0.29,13.3,7,13.4,0.044,10,0.8,0.28
,13:44:45,6,21600,13925.4,0.29,13.3,7,13.4,0.043,10,0.7,0.28
,13:44:46,6,21600,13926.4,0.28,13.3,7,13.4,0.043,10,0.7,0.28
,13:44:47,6,21600,13927.4,0.29,13.3,7,13.4,0.042,10,0.8,0.28
,13:44:48,6,21600,13928.4,0.29,13.3,7,13.4,0.043,10,0.8,0.29
,13:44:49,6,21600,13929.4,0.3,13.3,7,13.4,0.043,10,0.8,0.29
,13:44:50,6,21600,13930.4,0.29,13.3,7,13.4,0.044,10,0.7,0.28
,13:44:51,6,21600,13931.4,0.29,13.3,7,13.4,0.043,10,0.8,0.29
,13:44:52,6,21600,13932.4,0.29,13.3,7,13.3,0.041,10,0.8,0.29
,13:44:53,6,21600,13933.4,0.29,13.3,7,13.3,0.041,10,0.8,0.29
,13:44:54,6,21600,13934.4,0.29,13.3,7,13.3,0.042,10,0.8,0.28
,13:44:55,6,21600,13935.4,0.29,13.3,7,13.3,0.043,10,0.8,0.28
,13:44:56,6,21600,13936.4,0.29,13.3,7,13.3,0.044,10,0.7,0.28
,13:44:57,6,21600,13937.4,0.29,13.3,7,13.3,0.042,10,0.8,0.29
,13:44:58,6,21600,13938.4,0.29,13.3,7,13.3,0.042,10,0.8,0.29
,13:44:59,6,21600,13939.4,0.29,13.3,7,13.3,0.044,10,0.8,0.28
,13:45:00,6,21600,13940.4,0.29,13.3,7,13.3,0.044,10,0.8,0.28
,13:45:01,6,21600,13941.4,0.29,13.3,7,13.2,0.042,10,0.8,0.28
,13:45:02,6,21600,13942.4,0.29,13.3,7,13.2,0.041,10,0.8,0.28
,13:45:03,6,21600,13943.4,0.29,13.3,7,13.2,0.043,10,0.8,0.29
,13:45:04,6,21600,13944.4,0.29,13.3,7,13.2,0.042,10,0.7,0.28
,13:45:05,6,21600,13945.4,0.29,13.3,7,13.2,0.043,10,0.7,0.28
,13:45:06,6,21600,13946.4,0.29,13.3,7,13.2,0.043,10,0.8,0.28
,13:45:07,6,21600,13947.4,0.29,13.3,7,13.2,0.043,10,0.8,0.28
,13:45:08,6,21600,13948.4,0.29,13.3,7,13.1,0.043,10,0.8,0.28
,13:45:09,6,21600,13949.4,0.28,13.3,7,13.1,0.041,10,0.8,0.28
,13:45:10,6,21600,13950.4,0.28,13.3,7,13.1,0.041,10,0.8,0.27
,13:45:11,6,21600,13951.4,0.28,13.3,7,13.1,0.04,10,0.8,0.27
,13:45:12,6,21600,13952.4,0.28,13.3,7,13.1,0.04,10,0.8,0.27
,13:45:13,6,21600,13953.4,0.28,13.3,7,13.1,0.042,10,0.8,0.27
,13:45:14,6,21600,13954.4,0.28,13.3,7,13.1,0.042,10,0.7,0.27
,13:45:15,6,21600,13955.4,0.28,13.3,7,13.1,0.041,10,0.8,0.28
,13:45:16,6,21600,13956.4,0.28,13.3,7,13.1,0.041,10,0.8,0.28
,13:45:17,6,21600,13957.4,0.29,13.3,7,13.1,0.043,10,0.8,0.28
,13:45:18,6,21600,13958.4,0.29,13.3,7,13,0.043,10,0.8,0.28
,13:45:19,6,21600,13959.4,0.29,13.3,7,13,0.044,10,0.8,0.28
,13:45:20,6,21600,13960.4,0.29,13.3,7,13,0.042,10,0.8,0.28
,13:45:21,6,21600,13961.4,0.29,13.3,7,13,0.041,10,0.8,0.28
,13:45:22,6,21600,13962.4,0.29,13.3,7,13,0.042,10,0.8,0.28
,13:45:23,6,21600,13963.4,0.29,13.3,7,13,0.042,10,0.8,0.28
,13:45:24,6,21600,13964.4,0.29,13.3,7,13,0.043,10,0.8,0.28
,13:45:25,6,21600,13965.4,0.29,13.3,7,12.9,0.043,10,0.8,0.28
,13:45:26,6,21600,13966.4,0.29,13.3,7,12.9,0.043,10,0.8,0.28
,13:45:27,6,21600,13967.4,0.29,13.3,7,12.9,0.042,10,0.8,0.28
,13:45:28,6,21600,13968.4,0.29,13.3,7,12.9,0.043,10,0.8,0.28
,13:45:29,6,21600,13969.4,0.29,13.3,7,12.9,0.042,10,0.7,0.28
,13:45:30,6,21600,13970.4,0.29,13.3,7,12.9,0.042,10,0.8,0.28
,13:45:31,6,21600,13971.4,0.29,13.3,7,12.9,0.041,10,0.8,0.28
,13:45:32,6,21600,13972.4,0.29,13.3,7,12.8,0.044,10,0.8,0.29
,13:45:33,6,21600,13973.4,0.29,13.3,7,12.8,0.044,10,0.8,0.28
,13:45:34,6,21600,13974.4,0.29,13.3,7,12.8,0.043,10,0.8,0.28
,13:45:35,6,21600,13975.4,0.29,13.3,7,12.8,0.042,10,0.8,0.28
,13:45:36,6,21600,13976.4,0.28,13.3,7,12.8,0.041,10,0.8,0.28
,13:45:37,6,21600,13977.4,0.29,13.3,7,12.8,0.042,10,0.8,0.28
,13:45:38,6,21600,13978.4,0.29,13.3,7,12.8,0.044,10,0.7,0.29
,13:45:39,6,21600,13979.4,0.3,13.3,7,12.8,0.043,10,0.7,0.29
,13:45:40,6,21600,13980.4,0.3,13.3,7,12.8,0.041,10,0.7,0.29
,13:45:41,6,21600,13981.4,0.29,13.3,7,12.7,0.041,10,0.7,0.29
,13:45:42,6,21600,13982.4,0.29,13.3,7,12.7,0.042,10,0.8,0.28
,13:45:43,6,21600,13983.4,0.29,13.3,7,12.7,0.043,10,0.8,0.28
,13:45:44,6,21600,13984.4,0.29,13.3,7,12.7,0.043,10,0.8,0.28
,13:45:45,6,21600,13985.4,0.29,13.3,7,12.7,0.044,10,0.7,0.29
,13:45:46,6,21600,13986.4,0.29,13.3,7,12.7,0.043,10,0.8,0.29
,13:45:47,6,21600,13987.4,0.3,13.3,7,12.6,0.045,10,0.8,0.29
,13:45:48,6,21600,13988.4,0.3,13.3,7,12.6,0.043,10,0.8,0.29
,13:45:49,6,21600,13989.4,0.3,13.3,7,12.6,0.045,10,0.8,0.29
,13:45:50,6,21600,13990.4,0.3,13.3,7,12.6,0.045,10,0.7,0.29
,13:45:51,6,21600,13991.4,0.3,13.3,7,12.6,0.043,10,0.7,0.29
,13:45:52,6,21600,13992.4,0.29,13.3,7,12.6,0.041,10,0.8,0.28
,13:45:53,6,21600,13993.4,0.29,13.3,7,12.6,0.042,10,0.8,0.28
,13:45:54,6,21600,13994.4,0.29,13.3,7,12.6,0.042,10,0.8,0.28
,13:45:55,6,21600,13995.4,0.29,13.3,7,12.6,0.043,10,0.7,0.28
,13:45:56,6,21600,13996.4,0.29,13.3,6,12.5,0.046,10,0.8,0.28
,13:45:57,6,21600,13997.4,0.29,13.3,6,12.5,0.046,10,0.8,0.29
,13:45:58,6,21600,13998.4,0.29,13.3,7,12.5,0.044,10,0.8,0.29
,13:45:59,6,21600,13999.4,0.3,13.3,7,12.5,0.043,10,0.8,0.29
,13:46:00,6,21600,14000.4,0.3,13.3,7,12.5,0.043,10,0.8,0.29
,13:46:01,6,21600,14001.4,0.3,13.3,7,12.5,0.042,10,0.8,0.29
,13:46:02,6,21600,14002.4,0.3,13.3,7,12.4,0.043,10,0.8,0.29
,13:46:03,6,21600,14003.4,0.29,13.3,7,12.4,0.042,10,0.8,0.28
,13:46:04,6,21600,14004.4,0.29,13.3,7,12.4,0.042,10,0.8,0.28
,13:46:05,6,21600,14005.4,0.28,13.3,7,12.4,0.043,10,0.7,0.28
,13:46:06,6,21600,14006.4,0.28,13.3,7,12.4,0.042,10,0.8,0.28
,13:46:07,6,21600,14007.4,0.29,13.3,7,12.4,0.042,10,0.8,0.28
,13:46:08,6,21600,14008.4,0.29,13.3,7,12.3,0.042,10,0.8,0.28
,13:46:09,6,21600,14009.4,0.3,13.3,7,12.3,0.043,10,0.8,0.29
,13:46:10,6,21600,14010.4,0.3,13.3,7,12.3,0.043,10,0.8,0.29
,13:46:11,6,21600,14011.4,0.3,13.3,7,12.3,0.043,10,0.8,0.29
,13:46:12,6,21600,14012.4,0.29,13.3,7,12.3,0.043,10,0.8,0.28
,13:46:13,6,21600,14013.4,0.29,13.3,7,12.3,0.043,10,0.7,0.28
,13:46:14,6,21600,14014.4,0.29,13.3,7,12.3,0.042,10,0.7,0.28
,13:46:15,6,21600,14015.4,0.29,13.3,7,12.3,0.043,10,0.7,0.28
,13:46:16,6,21600,14016.4,0.29,13.3,7,12.3,0.043,10,0.7,0.28
,13:46:17,6,21600,14017.4,0.28,13.3,7,12.2,0.043,10,0.8,0.28
,13:46:18,6,21600,14018.4,0.28,13.3,7,12.2,0.041,10,0.8,0.28
,13:46:19,6,21600,14019.4,0.29,13.3,7,12.2,0.042,10,0.8,0.28
,13:46:20,6,21600,14020.4,0.29,13.3,7,12.2,0.042,10,0.8,0.28
,13:46:21,6,21600,14021.4,0.29,13.3,7,12.2,0.041,10,0.8,0.28
,13:46:22,6,21600,14022.4,0.29,13.3,7,12.2,0.041,10,0.8,0.29
,13:46:23,6,21600,14023.4,0.29,13.3,7,12.1,0.042,10,0.8,0.28
,13:46:24,6,21600,14024.4,0.29,13.3,7,12.1,0.043,10,0.8,0.28
,13:46:25,6,21600,14025.4,0.28,13.3,7,12.1,0.042,10,0.8,0.28
,13:46:26,6,21600,14026.4,0.28,13.3,7,12.1,0.043,10,0.8,0.28
,13:46:27,6,21600,14027.4,0.28,13.3,7,12.1,0.043,10,0.8,0.28
,13:46:28,6,21600,14028.4,0.29,13.3,7,12.1,0.042,10,0.8,0.28
,13:46:29,6,21600,14029.4,0.29,13.3,7,12,0.042,10,0.8,0.28
,13:46:30,6,21600,14030.4,0.29,13.3,7,12,0.042,10,0.8,0.28
,13:46:31,6,21600,14031.4,0.29,13.3,7,12,0.043,10,0.8,0.28
,13:46:32,6,21600,14032.4,0.28,13.3,7,12,0.043,10,0.7,0.28
,13:46:33,6,21600,14033.4,0.29,13.3,7,12,0.043,10,0.8,0.28
,13:46:34,6,21600,14034.4,0.29,13.3,7,12,0.043,10,0.8,0.28
,13:46:35,6,21600,14035.4,0.29,13.3,7,12,0.042,10,0.8,0.28
,13:46:36,6,21600,14036.4,0.29,13.3,7,11.9,0.042,10,0.8,0.28
,13:46:37,6,21600,14037.4,0.29,13.3,7,11.9,0.041,10,0.8,0.28
,13:46:38,6,21600,14038.4,0.29,13.3,7,11.9,0.042,10,0.7,0.28
,13:46:39,6,21600,14039.4,0.29,13.3,7,11.9,0.043,10,0.7,0.28
,13:46:40,6,21600,14040.4,0.29,13.3,7,11.9,0.044,10,0.8,0.28
,13:46:41,6,21600,14041.4,0.3,13.3,7,11.9,0.045,10,0.8,0.29
,13:46:42,6,21600,14042.4,0.3,13.3,7,11.8,0.044,10,0.8,0.3
,13:46:43,6,21600,14043.4,0.31,13.3,7,11.8,0.044,10,0.8,0.3
,13:46:44,6,21600,14044.4,0.3,13.3,7,11.8,0.042,10,0.8,0.29
,13:46:45,6,21600,14045.4,0.29,13.3,7,11.8,0.042,10,0.8,0.28
,13:46:46,6,21600,14046.4,0.28,13.3,7,11.8,0.042,10,0.8,0.28
,13:46:47,6,21600,14047.4,0.28,13.3,7,11.8,0.042,10,0.7,0.28
,13:46:48,6,21600,14048.4,0.28,13.3,7,11.7,0.041,10,0.8,0.28
,13:46:49,6,21600,14049.4,0.29,13.3,7,11.7,0.042,10,0.8,0.28
,13:46:50,6,21600,14050.4,0.29,13.3,7,11.7,0.042,10,0.8,0.28
,13:46:51,6,21600,14051.4,0.29,13.3,7,11.7,0.043,10,0.8,0.28
,13:46:52,6,21600,14052.4,0.29,13.3,7,11.7,0.043,10,0.8,0.28
,13:46:53,6,21600,14053.4,0.29,13.3,7,11.7,0.042,10,0.8,0.28
,13:46:54,6,21600,14054.4,0.29,13.3,7,11.7,0.041,10,0.8,0.28
,13:46:55,6,21600,14055.4,0.29,13.3,7,11.7,0.041,10,0.8,0.28
,13:46:56,6,21600,14056.4,0.29,13.3,7,11.6,0.043,10,0.8,0.29
,13:46:57,6,21600,14057.4,0.29,13.3,7,11.6,0.044,10,0.8,0.29
,13:46:58,6,21600,14058.4,0.29,13.3,7,11.6,0.044,10,0.8,0.28
,13:46:59,6,21600,14059.4,0.29,13.3,7,11.6,0.043,10,0.7,0.28
,13:47:00,6,21600,14060.4,0.29,13.3,7,11.6,0.043,10,0.7,0.28
,13:47:01,6,21600,14061.4,0.29,13.3,7,11.6,0.043,10,0.8,0.29
,13:47:02,6,21600,14062.4,0.29,13.3,7,11.5,0.042,10,0.8,0.28
,13:47:03,6,21600,14063.4,0.29,13.3,7,11.5,0.043,10,0.8,0.28
,13:47:04,6,21600,14064.4,0.29,13.3,7,11.5,0.042,10,0.8,0.28
,13:47:05,6,21600,14065.4,0.29,13.3,7,11.5,0.042,10,0.7,0.28
,13:47:06,6,21600,14066.4,0.29,13.3,7,11.5,0.043,10,0.8,0.29
,13:47:07,6,21600,14067.4,0.29,13.3,7,11.4,0.043,10,0.7,0.28
,13:47:08,6,21600,14068.4,0.29,13.3,7,11.4,0.043,10,0.7,0.28
,13:47:09,6,21600,14069.4,0.28,13.3,7,11.4,0.042,10,0.8,0.28
,13:47:10,6,21600,14070.4,0.28,13.3,7,11.4,0.043,10,0.8,0.28
,13:47:11,6,21600,14071.4,0.29,13.3,7,11.4,0.042,10,0.8,0.28
,13:47:12,6,21600,14072.4,0.29,13.3,7,11.4,0.042,10,0.8,0.29
,13:47:13,6,21600,14073.4,0.3,13.3,7,11.4,0.041,10,0.8,0.29
,13:47:14,6,21600,14074.4,0.3,13.3,7,11.4,0.041,10,0.7,0.29
,13:47:15,6,21600,14075.4,0.3,13.3,7,11.4,0.043,10,0.8,0.29
,13:47:16,6,21600,14076.4,0.29,13.3,7,11.3,0.044,10,0.8,0.29
,13:47:17,6,21600,14077.4,0.29,13.3,7,11.3,0.043,10,0.8,0.28
,13:47:18,6,21600,14078.4,0.29,13.3,7,11.3,0.043,10,0.7,0.28
,13:47:19,6,21600,14079.4,0.28,13.3,7,11.3,0.043,10,0.8,0.28
,13:47:20,6,21600,14080.4,0.28,13.3,7,11.2,0.043,10,0.8,0.28
,13:47:21,6,21600,14081.4,0.28,13.3,7,11.2,0.043,10,0.8,0.28
,13:47:22,6,21600,14082.4,0.29,13.3,7,11.2,0.044,10,0.8,0.28
,13:47:23,6,21600,14083.4,0.3,13.3,7,11.2,0.045,10,0.8,0.29
,13:47:24,6,21600,14084.4,0.3,13.3,7,11.2,0.043,10,0.8,0.29
,13:47:25,6,21600,14085.4,0.3,13.3,7,11.2,0.042,10,0.8,0.29
,13:47:26,6,21600,14086.4,0.3,13.3,7,11.1,0.041,10,0.8,0.29
,13:47:27,6,21600,14087.4,0.29,13.3,7,11.1,0.042,10,0.8,0.28
,13:47:28,6,21600,14088.4,0.29,13.3,7,11.1,0.044,10,0.8,0.28
,13:47:29,6,21600,14089.4,0.3,13.3,7,11.1,0.045,10,0.7,0.29
,13:47:30,6,21600,14090.4,0.3,13.3,7,11.1,0.045,10,0.7,0.29
,13:47:31,6,21600,14091.4,0.3,13.3,7,11.1,0.045,10,0.8,0.29
,13:47:32,6,21600,14092.4,0.3,13.3,7,11.1,0.045,10,0.8,0.29
,13:47:33,6,21600,14093.4,0.29,13.3,7,11.1,0.044,10,0.8,0.29
,13:47:34,6,21600,14094.4,0.29,13.3,7,11,0.043,10,0.8,0.28
,13:47:35,6,21600,14095.4,0.29,13.3,7,11,0.042,10,0.8,0.28
,13:47:36,6,21600,14096.4,0.28,13.3,7,11,0.041,10,0.8,0.28
,13:47:37,6,21600,14097.4,0.29,13.3,7,11,0.04,10,0.8,0.28
,13:47:38,6,21600,14098.4,0.29,13.3,7,11,0.041,10,0.8,0.29
,13:47:39,6,21600,14099.4,0.3,13.3,7,11,0.043,10,0.8,0.29
,13:47:40,6,21600,14100.4,0.29,13.3,7,10.9,0.044,10,0.8,0.28
,13:47:41,6,21600,14101.4,0.29,13.3,7,10.9,0.043,10,0.8,0.28
,13:47:42,6,21600,14102.4,0.29,13.3,7,10.9,0.043,10,0.7,0.28
,13:47:43,6,21600,14103.4,0.28,13.3,7,10.9,0.041,10,0.8,0.28
,13:47:44,6,21600,14104.4,0.28,13.3,7,10.9,0.042,10,0.7,0.28
,13:47:45,6,21600,14105.4,0.28,13.3,7,10.9,0.042,10,0.8,0.27
,13:47:46,6,21600,14106.4,0.28,13.3,7,10.8,0.042,10,0.8,0.28
,13:47:47,6,21600,14107.4,0.29,13.3,7,10.8,0.042,10,0.8,0.28
,13:47:48,6,21600,14108.4,0.29,13.3,7,10.8,0.04,10,0.8,0.28
,13:47:49,6,21600,14109.4,0.29,13.3,7,10.8,0.04,10,0.8,0.28
,13:47:50,6,21600,14110.4,0.29,13.3,7,10.8,0.04,10,0.8,0.28
