Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:54:27,6,21600,107.4,0.28,13.3,7,9.5,0.041,10,0.7,0.28
,09:54:28,6,21600,108.4,0.28,13.3,7,9.5,0.042,10,0.7,0.27
,09:54:29,6,21600,109.4,0.28,13.3,7,9.5,0.04,10,0.7,0.27
,09:54:30,6,21600,110.4,0.28,13.3,7,9.5,0.042,10,0.7,0.27
,09:54:31,6,21600,111.4,0.28,13.3,7,9.6,0.04,10,0.7,0.27
,09:54:32,6,21600,112.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:33,6,21600,113.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:34,6,21600,114.4,0.28,13.3,7,9.6,0.04,10,0.7,0.28
,09:54:35,6,21600,115.4,0.28,13.3,7,9.6,0.04,10,0.7,0.27
,09:54:36,6,21600,116.4,0.28,13.3,7,9.6,0.04,10,0.7,0.27
,09:54:37,6,21600,117.4,0.28,13.3,7,9.6,0.042,10,0.7,0.28
,09:54:38,6,21600,118.4,0.28,13.3,6,9.6,0.044,10,0.7,0.28
,09:54:39,6,21600,119.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:40,6,21600,120.4,0.28,13.3,7,9.6,0.039,10,0.7,0.28
,09:54:41,6,21600,121.4,0.28,13.3,7,9.6,0.04,10,0.7,0.28
,09:54:42,6,21600,122.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:43,6,21600,123.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:44,6,21600,124.4,0.28,13.3,7,9.6,0.041,10,0.7,0.28
,09:54:45,6,21600,125.4,0.28,13.3,7,9.7,0.041,10,0.7,0.28
,09:54:46,6,21600,126.4,0.28,13.3,7,9.7,0.041,10,0.7,0.28
,09:54:47,6,21600,127.4,0.28,13.3,7,9.7,0.041,10,0.7,0.27
,09:54:48,6,21600,128.4,0.28,13.3,7,9.7,0.039,10,0.7,0.27
,09:54:49,6,21600,129.4,0.28,13.3,7,9.7,0.039,10,0.7,0.27
,09:54:50,6,21600,130.4,0.28,13.3,7,9.7,0.039,10,0.7,0.27
,09:54:51,6,21600,131.4,0.28,13.3,7,9.7,0.04,10,0.7,0.27
,09:54:52,6,21600,132.4,0.28,13.3,7,9.7,0.04,10,0.7,0.27
,09:54:53,6,21600,133.4,0.28,13.3,7,9.7,0.04,10,0.7,0.27
,09:54:54,6,21600,134.4,0.28,13.3,7,9.7,0.043,10,0.7,0.28
,09:54:55,6,21600,135.4,0.29,13.3,7,9.8,0.043,10,0.7,0.28
,09:54:56,6,21600,136.4,0.29,13.3,7,9.8,0.043,10,0.7,0.28
,09:54:57,6,21600,137.4,0.28,13.3,7,9.8,0.043,10,0.7,0.28
,09:54:58,6,21600,138.4,0.28,13.3,7,9.8,0.042,10,0.7,0.28
,09:54:59,6,21600,139.4,0.28,13.3,7,9.8,0.042,10,0.7,0.27
,09:55:00,6,21600,140.4,0.27,13.3,7,9.8,0.041,10,0.7,0.27
,09:55:01,6,21600,141.4,0.27,13.3,7,9.8,0.041,10,0.7,0.27
,09:55:02,6,21600,142.4,0.28,13.3,7,9.8,0.042,10,0.7,0.27
,09:55:03,6,21600,143.4,0.28,13.3,7,9.8,0.042,10,0.7,0.27
,09:55:04,6,21600,144.4,0.28,13.3,7,9.8,0.04,10,0.7,0.27
,09:55:05,6,21600,145.4,0.28,13.3,7,9.8,0.04,10,0.7,0.27
,09:55:06,6,21600,146.4,0.28,13.3,7,9.9,0.04,10,0.7,0.27
,09:55:07,6,21600,147.4,0.28,13.3,7,9.9,0.042,10,0.7,0.27
,09:55:08,6,21600,148.4,0.28,13.3,7,9.9,0.042,10,0.7,0.28
,09:55:09,6,21600,149.4,0.28,13.3,7,9.9,0.041,10,0.7,0.28
,09:55:10,6,21600,150.4,0.28,13.3,7,9.9,0.04,10,0.7,0.27
,09:55:11,6,21600,151.4,0.28,13.3,7,9.9,0.041,10,0.7,0.28
,09:55:12,6,21600,152.4,0.29,13.3,7,9.9,0.043,10,0.7,0.28
,09:55:13,6,21600,153.4,0.29,13.3,7,9.9,0.042,10,0.7,0.28
,09:55:14,6,21600,154.4,0.29,13.3,7,9.9,0.042,10,0.7,0.28
,09:55:15,6,21600,155.4,0.28,13.3,7,10,0.04,10,0.7,0.28
,09:55:16,6,21600,156.4,0.28,13.3,7,10,0.039,10,0.7,0.28
,09:55:17,6,21600,157.4,0.28,13.3,7,10,0.04,10,0.7,0.28
,09:55:18,6,21600,158.4,0.29,13.3,7,10,0.042,10,0.7,0.28
,09:55:19,6,21600,159.4,0.29,13.3,7,10,0.043,10,0.7,0.28
,09:55:20,6,21600,160.4,0.28,13.3,7,10,0.042,10,0.7,0.28
,09:55:21,6,21600,161.4,0.28,13.3,7,10,0.042,10,0.7,0.27
,09:55:22,6,21600,162.4,0.27,13.3,7,10,0.041,10,0.6,0.27
,09:55:23,6,21600,163.4,0.28,13.3,7,10,0.042,10,0.7,0.27
,09:55:24,6,21600,164.4,0.28,13.3,7,10,0.042,10,0.7,0.28
,09:55:25,6,21600,165.4,0.28,13.3,7,10.1,0.042,10,0.7,0.28
,09:55:26,6,21600,166.4,0.28,13.3,7,10.1,0.041,10,0.7,0.28
,09:55:27,6,21600,167.4,0.28,13.3,7,10.1,0.041,10,0.7,0.28
,09:55:28,6,21600,168.4,0.28,13.3,7,10.1,0.041,10,0.7,0.28
,09:55:29,6,21600,169.4,0.28,13.3,7,10.1,0.041,10,0.7,0.28
,09:55:30,6,21600,170.4,0.28,13.3,7,10.1,0.041,10,0.7,0.28
,09:55:31,6,21600,171.4,0.28,13.3,7,10.1,0.04,10,0.7,0.27
,09:55:32,6,21600,172.4,0.28,13.3,7,10.1,0.042,10,0.7,0.27
,09:55:33,6,21600,173.4,0.27,13.3,7,10.2,0.041,10,0.7,0.27
,09:55:34,6,21600,174.4,0.28,13.3,7,10.2,0.042,10,0.7,0.27
,09:55:35,6,21600,175.4,0.28,13.3,7,10.2,0.041,10,0.7,0.28
