Data file,,PTT_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PTT on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 12:46:50 on 05/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:00:51,4,-1,840.1,0.03,0,7,11,0.004,10,49.9,0.04
,13:00:52,4,-1,841.1,0.23,0.4,7,11,0.035,10,50,0.26
,13:00:53,4,-1,842.1,0.62,6.8,7,11,0.092,10,50,0.63
,13:00:54,4,-1,843.1,1.03,13,7,10.9,0.149,10,50,1.02
,13:00:55,4,-1,844.1,1.25,13.3,7,10.9,0.18,10,50,1.21
,13:00:56,4,-1,845.1,1.29,13.3,7,10.9,0.187,10,50,1.25
,13:00:57,4,-1,846.1,1.3,13.3,7,10.9,0.181,10,50,1.25
,13:00:58,4,-1,847.1,1.3,13.3,7,10.9,0.175,10,50,1.25
,13:00:59,4,-1,848.1,1.29,13.3,7,10.9,0.179,10,50,1.24
,13:01:00,4,-1,849.1,1.27,13.3,7,10.9,0.184,10,50,1.22
,13:01:01,4,-1,850.1,1.25,13.3,7,10.8,0.188,10,50,1.2
,13:01:02,4,-1,851.1,1.26,13.3,7,10.8,0.189,10,50,1.21
,13:01:03,4,-1,852.1,1.28,13.3,7,10.8,0.184,10,50,1.23
,13:01:04,4,-1,853.1,1.28,13.3,7,10.8,0.179,10,50,1.23
,13:01:05,4,-1,854.1,1.28,13.3,7,10.8,0.178,10,50,1.22
,13:01:06,4,-1,855.1,1.26,13.3,7,10.7,0.176,10,50,1.21
,13:01:07,4,-1,856.1,1.26,13.3,7,10.7,0.181,10,50,1.21
,13:01:08,4,-1,857.1,1.25,13.3,7,10.7,0.188,10,50,1.2
,13:01:09,4,-1,858.1,1.25,13.3,7,10.7,0.187,10,50,1.2
,13:01:10,4,-1,859.1,1.25,13.3,7,10.7,0.187,10,50,1.2
,13:01:11,4,-1,860.1,1.24,13.3,7,10.7,0.186,10,50,1.2
,13:01:12,4,-1,861.1,1.24,13.3,7,10.6,0.172,10,50,1.19
,13:01:13,4,-1,862.1,1.23,13.3,7,10.6,0.172,10,50,1.19
,13:01:14,4,-1,863.1,1.23,13.3,7,10.6,0.177,10,50,1.18
,13:01:15,4,-1,864.1,1.23,13.3,7,10.6,0.177,10,50,1.18
,13:01:16,4,-1,865.1,1.22,13.3,7,10.6,0.183,10,50,1.17
,13:01:17,4,-1,866.1,1.22,13.3,7,10.6,0.183,10,50,1.17
,13:01:18,4,-1,867.1,1.22,13.3,7,10.6,0.183,10,50,1.17
,13:01:19,4,-1,868.1,1.22,13.3,7,10.5,0.176,10,50,1.17
,13:01:20,4,-1,869.1,1.22,13.3,7,10.5,0.176,10,50,1.17
,13:01:21,4,-1,870.1,1.21,13.3,7,10.5,0.169,10,50,1.16
,13:01:22,4,-1,871.1,1.21,13.3,7,10.5,0.168,10,50,1.16
,13:01:23,4,-1,872.1,1.21,13.3,7,10.5,0.174,10,50,1.16
,13:01:24,4,-1,873.1,1.21,13.3,7,10.5,0.174,10,50,1.16
,13:01:25,4,-1,874.1,1.2,13.3,7,10.5,0.174,10,50,1.16
,13:01:26,4,-1,875.1,1.2,13.3,7,10.5,0.18,10,50,1.15
,13:01:27,4,-1,876.1,1.2,13.3,7,10.4,0.173,10,50,1.15
,13:01:28,4,-1,877.1,1.2,13.3,7,10.4,0.173,10,50,1.15
,13:01:29,4,-1,878.1,1.2,13.3,7,10.4,0.173,10,50,1.15
,13:01:30,4,-1,879.1,1.2,13.3,7,10.4,0.173,10,50,1.15
,13:01:31,4,-1,880.1,1.19,13.3,7,10.4,0.179,10,50,1.14
,13:01:32,4,-1,881.1,1.19,13.3,7,10.4,0.178,10,50,1.14
,13:01:33,4,-1,882.1,1.18,13.3,7,10.4,0.177,10,50,1.13
,13:01:34,4,-1,883.1,1.18,13.3,7,10.4,0.17,10,50,1.13
,13:01:35,4,-1,884.1,1.18,13.3,7,10.4,0.164,10,50,1.13
,13:01:36,4,-1,885.1,1.18,13.3,7,10.4,0.164,10,50,1.13
,13:01:37,4,-1,886.1,1.17,13.3,7,10.4,0.169,10,50,1.13
,13:01:38,4,-1,887.1,1.15,13.3,7,10.4,0.173,10,50,1.11
,13:01:39,4,-1,888.1,1.15,13.3,7,10.3,0.172,10,50,1.1
,13:01:40,4,-1,889.1,1.15,13.3,7,10.3,0.172,10,50,1.11
,13:01:41,4,-1,890.1,1.16,13.3,7,10.3,0.174,10,50,1.12
,13:01:42,4,-1,891.1,1.16,13.3,7,10.3,0.174,10,50,1.12
,13:01:43,4,-1,892.1,1.17,13.3,7,10.3,0.175,10,50,1.12
,13:01:44,4,-1,893.1,1.17,13.3,7,10.3,0.175,10,50,1.12
,13:01:45,4,-1,894.1,1.17,13.3,7,10.3,0.169,10,50,1.12
,13:01:46,4,-1,895.1,1.17,13.3,7,10.3,0.168,10,50,1.12
,13:01:47,4,-1,896.1,1.16,13.3,7,10.3,0.168,10,50,1.12
,13:01:48,4,-1,897.1,1.16,13.3,7,10.2,0.162,10,50,1.12
,13:01:49,4,-1,898.1,1.16,13.3,7,10.2,0.156,10,50,1.12
,13:01:50,4,-1,899.1,1.16,13.3,7,10.2,0.161,10,50,1.11
,13:01:51,4,-1,900.1,1.15,13.3,7,10.2,0.172,10,50,1.1
,13:01:52,4,-1,901.1,1.14,13.3,7,10.2,0.171,10,50,1.09
,13:01:53,4,-1,902.1,1.14,13.3,7,10.2,0.171,10,50,1.1
,13:01:54,4,-1,903.1,1.15,13.3,7,10.2,0.173,10,50,1.11
,13:01:55,4,-1,904.1,1.16,13.3,7,10.2,0.168,10,50,1.12
,13:01:56,4,-1,905.1,1.16,13.3,7,10.2,0.174,10,50,1.12
,13:01:57,4,-1,906.1,1.16,13.3,7,10.2,0.174,10,50,1.12
,13:01:58,4,-1,907.1,1.16,13.3,7,10.2,0.168,10,50,1.12
,13:01:59,4,-1,908.1,1.15,13.3,7,10.2,0.173,10,50,1.11
,13:02:00,4,-1,909.1,1.16,13.3,7,10.1,0.174,10,50,1.11
,13:02:01,4,-1,910.1,1.15,13.3,7,10.1,0.167,10,50,1.11
,13:02:02,4,-1,911.1,1.16,13.3,7,10.1,0.162,10,50,1.12
,13:02:03,4,-1,912.1,1.16,13.3,7,10.1,0.162,10,50,1.12
,13:02:04,4,-1,913.1,1.16,13.3,7,10.1,0.161,10,50,1.11
,13:02:05,4,-1,914.1,1.14,13.3,7,10.1,0.165,10,50,1.1
,13:02:06,4,-1,915.1,1.13,13.3,7,10.1,0.169,10,50,1.09
,13:02:07,4,-1,916.1,1.13,13.3,6,10.1,0.176,10,50,1.09
,13:02:08,4,-1,917.1,1.14,13.3,6,10.1,0.178,10,50,1.1
,13:02:09,4,-1,918.1,1.15,13.3,7,10.1,0.173,10,50,1.11
,13:02:10,4,-1,919.1,1.15,13.3,7,10.1,0.173,10,50,1.11
,13:02:11,4,-1,920.1,1.15,13.3,7,10.1,0.172,10,50,1.11
,13:02:12,4,-1,921.1,1.14,13.3,7,10,0.171,10,50,1.1
,13:02:13,4,-1,922.1,1.14,13.3,7,10,0.171,10,50,1.1
,13:02:14,4,-1,923.1,1.14,13.3,7,10,0.171,10,50,1.1
,13:02:15,4,-1,924.1,1.14,13.3,7,10,0.171,10,50,1.1
,13:02:16,4,-1,925.1,1.14,13.3,7,10,0.172,10,50,1.1
,13:02:17,4,-1,926.1,1.16,13.3,7,10,0.168,10,50,1.12
,13:02:18,4,-1,927.1,1.17,13.3,7,10,0.169,10,50,1.13
,13:02:19,4,-1,928.1,1.17,13.3,7,10,0.169,10,50,1.12
,13:02:20,4,-1,929.1,1.16,13.3,7,10,0.168,10,50,1.11
,13:02:21,4,-1,930.1,1.15,13.3,7,10,0.167,10,50,1.11
,13:02:22,4,-1,931.1,1.15,13.3,7,10,0.166,10,50,1.11
,13:02:23,4,-1,932.1,1.15,13.3,7,10,0.166,10,50,1.11
,13:02:24,4,-1,933.1,1.14,13.3,7,10,0.165,10,50,1.1
,13:02:25,4,-1,934.1,1.14,13.3,7,10,0.159,10,50,1.1
,13:02:26,4,-1,935.1,1.14,13.3,7,10,0.153,10,50,1.09
,13:02:27,4,-1,936.1,1.13,13.3,7,10,0.153,10,50,1.09
,13:02:28,4,-1,937.1,1.12,13.3,7,9.9,0.151,10,50,1.08
,13:02:29,4,-1,938.1,1.11,13.3,7,9.9,0.155,10,50,1.07
,13:02:30,4,-1,939.1,1.1,13.3,7,9.9,0.154,10,50,1.06
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,ptt_12deg_001-h001.tsv,,,,,,,,,,
,13:02:31,5,5,940.1,1.1,13.3,7,9.9,0.158,10,50,1.06
,13:02:32,5,5,941.1,1.1,13.3,7,9.9,0.159,10,50,1.06
,13:02:33,5,5,942.1,1.1,13.3,7,9.9,0.158,10,50,1.05
,13:02:34,5,5,943.1,1.09,13.3,7,9.9,0.158,10,50,1.05
,13:02:35,5,5,944.1,1.09,13.3,7,9.9,0.157,10,50,1.05
,13:02:36,6,3590,945.1,1.09,13.3,7,9.9,0.157,10,50,1.05
,13:02:37,6,3590,946.1,1.09,13.3,7,9.9,0.157,10,50,1.05
,13:02:38,6,3590,947.1,1.08,13.3,7,9.9,0.156,10,50,1.04
,13:02:39,6,3590,948.1,1.07,13.3,7,9.9,0.155,10,50,1.03
,13:02:40,6,3590,949.1,1.06,13.3,7,9.9,0.153,10,50,1.02
,13:02:41,6,3590,950.1,1.05,13.3,7,9.9,0.157,10,50,1.01
,13:02:42,6,3590,951.1,1.05,13.3,7,9.9,0.157,10,50,1.01
,13:02:43,6,3590,952.1,1.06,13.3,7,9.9,0.153,10,50,1.02
,13:02:44,6,3590,953.1,1.07,13.3,7,9.9,0.155,10,50,1.03
,13:02:45,6,3590,954.1,1.07,13.3,7,9.9,0.15,10,50,1.03
,13:02:46,6,3590,955.1,1.07,13.3,7,9.9,0.154,10,50,1.02
,13:02:47,6,3590,956.1,1.05,13.3,7,9.9,0.152,10,50,1.01
,13:02:48,6,3590,957.1,1.03,13.3,7,9.9,0.149,10,50,0.99
,13:02:49,6,3590,958.1,1.03,13.3,7,9.9,0.149,10,50,0.99
,13:02:50,6,3590,959.1,1.03,13.3,7,9.9,0.155,10,50,0.99
,13:02:51,6,3590,960.1,1.05,13.3,7,9.9,0.157,10,50,1.01
,13:02:52,6,3590,961.1,1.06,13.3,7,9.9,0.159,10,50,1.02
,13:02:53,6,3590,962.1,1.07,13.3,7,9.9,0.161,10,50,1.03
,13:02:54,6,3590,963.1,1.08,13.3,7,9.9,0.156,10,50,1.04
,13:02:55,6,3590,964.1,1.08,13.3,7,9.9,0.162,10,50,1.04
,13:02:56,6,3590,965.1,1.08,13.3,7,9.8,0.163,10,50,1.04
,13:02:57,6,3590,966.1,1.08,13.3,7,9.8,0.163,10,50,1.04
,13:02:58,6,3590,967.1,1.09,13.3,7,9.8,0.163,10,50,1.05
,13:02:59,6,3590,968.1,1.09,13.3,7,9.8,0.163,10,50,1.05
,13:03:00,6,3590,969.1,1.09,13.3,7,9.8,0.157,10,50,1.05
,13:03:01,6,3590,970.1,1.08,13.3,7,9.8,0.156,10,50,1.04
,13:03:02,6,3590,971.1,1.07,13.3,7,9.8,0.161,10,50,1.03
,13:03:03,6,3590,972.1,1.07,13.3,7,9.8,0.16,10,50,1.03
,13:03:04,6,3590,973.1,1.07,13.3,7,9.8,0.154,10,50,1.03
,13:03:05,6,3590,974.1,1.07,13.3,7,9.8,0.155,10,50,1.03
,13:03:06,6,3590,975.1,1.08,13.3,7,9.8,0.156,10,50,1.04
,13:03:07,6,3590,976.1,1.08,13.3,7,9.8,0.157,10,50,1.05
,13:03:08,6,3590,977.1,1.09,13.3,7,9.8,0.157,10,50,1.05
,13:03:09,6,3590,978.1,1.09,13.3,7,9.8,0.164,10,50,1.05
,13:03:10,6,3590,979.1,1.09,13.3,7,9.8,0.163,10,50,1.05
,13:03:11,6,3590,980.1,1.09,13.3,6,9.8,0.17,10,50,1.05
,13:03:12,6,3590,981.1,1.1,13.3,7,9.8,0.165,10,50,1.06
,13:03:13,6,3590,982.1,1.11,13.3,7,9.8,0.166,10,50,1.06
,13:03:14,6,3590,983.1,1.11,13.3,7,9.8,0.166,10,50,1.07
,13:03:15,6,3590,984.1,1.11,13.3,7,9.8,0.166,10,50,1.07
,13:03:16,6,3590,985.1,1.11,13.3,7,9.8,0.167,10,50,1.07
,13:03:17,6,3590,986.1,1.12,13.3,7,9.8,0.168,10,50,1.07
,13:03:18,6,3590,987.1,1.12,13.3,7,9.8,0.168,10,50,1.08
,13:03:19,6,3590,988.1,1.12,13.3,7,9.8,0.168,10,50,1.08
,13:03:20,6,3590,989.1,1.11,13.3,7,9.8,0.167,10,50,1.07
,13:03:21,6,3590,990.1,1.11,13.3,7,9.9,0.16,10,50,1.06
,13:03:22,6,3590,991.1,1.11,13.3,7,9.9,0.16,10,50,1.06
,13:03:23,6,3590,992.1,1.11,13.3,7,9.9,0.16,10,50,1.06
,13:03:24,6,3590,993.1,1.1,13.3,7,9.9,0.166,10,50,1.06
,13:03:25,6,3590,994.1,1.1,13.3,7,9.9,0.166,10,50,1.06
,13:03:26,6,3590,995.1,1.1,13.3,7,9.9,0.166,10,50,1.06
,13:03:27,6,3590,996.1,1.11,13.3,7,9.9,0.166,10,50,1.06
,13:03:28,6,3590,997.1,1.1,13.3,7,9.9,0.166,10,50,1.06
,13:03:29,6,3590,998.1,1.1,13.3,7,9.9,0.165,10,50,1.06
,13:03:30,6,3590,999.1,1.1,13.3,7,9.9,0.165,10,50,1.06
,13:03:31,6,3590,1000.1,1.1,13.3,7,9.9,0.165,10,50,1.06
,13:03:32,6,3590,1001.1,1.1,13.3,7,9.9,0.165,10,50,1.06
,13:03:33,6,3590,1002.1,1.11,13.3,7,9.9,0.166,10,50,1.06
,13:03:34,6,3590,1003.1,1.11,13.3,7,9.9,0.16,10,50,1.07
,13:03:35,6,3590,1004.1,1.11,13.3,7,9.9,0.166,10,50,1.07
,13:03:36,6,3590,1005.1,1.11,13.3,7,9.9,0.161,10,50,1.07
,13:03:37,6,3590,1006.1,1.11,13.3,7,9.9,0.161,10,50,1.07
,13:03:38,6,3590,1007.1,1.11,13.3,7,9.9,0.161,10,50,1.07
,13:03:39,6,3590,1008.1,1.11,13.3,7,9.9,0.161,10,50,1.07
,13:03:40,6,3590,1009.1,1.11,13.3,7,9.9,0.161,10,50,1.07
,13:03:41,6,3590,1010.1,1.12,13.3,7,9.9,0.156,10,50,1.07
,13:03:42,6,3590,1011.1,1.12,13.3,7,9.9,0.151,10,50,1.08
,13:03:43,6,3590,1012.1,1.12,13.3,7,9.9,0.151,10,50,1.08
,13:03:44,6,3590,1013.1,1.12,13.3,7,9.9,0.156,10,50,1.07
,13:03:45,6,3590,1014.1,1.11,13.3,7,9.9,0.16,10,50.1,1.06
,13:03:46,6,3590,1015.1,1.1,13.3,7,10,0.165,10,50,1.06
,13:03:47,6,3590,1016.1,1.09,13.3,7,10,0.163,10,50,1.05
,13:03:48,6,3590,1017.1,1.09,13.3,7,10,0.163,10,50,1.05
,13:03:49,6,3590,1018.1,1.09,13.3,7,10,0.164,10,50,1.05
,13:03:50,6,3590,1019.1,1.09,13.3,7,10,0.164,10,50,1.05
,13:03:51,6,3590,1020.1,1.09,13.3,7,10,0.164,10,50,1.05
,13:03:52,6,3590,1021.1,1.09,13.3,7,10,0.164,10,50,1.05
,13:03:53,6,3590,1022.1,1.09,13.3,7,10,0.164,10,50,1.05
,13:03:54,6,3590,1023.1,1.09,13.3,7,10,0.158,10,50,1.05
,13:03:55,6,3590,1024.1,1.09,13.3,7,10,0.158,10,50,1.05
,13:03:56,6,3590,1025.1,1.09,13.3,7,10,0.158,10,50,1.05
,13:03:57,6,3590,1026.1,1.09,13.3,7,10,0.152,10,50,1.05
,13:03:58,6,3590,1027.1,1.09,13.3,7,10,0.152,10,50,1.05
,13:03:59,6,3590,1028.1,1.09,13.3,7,10,0.152,10,50,1.05
,13:04:00,6,3590,1029.1,1.09,13.3,7,10,0.157,10,50,1.05
,13:04:01,6,3590,1030.1,1.07,13.3,7,10.1,0.161,10,50,1.03
,13:04:02,6,3590,1031.1,1.06,13.3,6,10.1,0.166,10,50,1.02
,13:04:03,6,3590,1032.1,1.07,13.3,6,10.1,0.167,10,50,1.03
,13:04:04,6,3590,1033.1,1.09,13.3,7,10.1,0.163,10,50,1.05
,13:04:05,6,3590,1034.1,1.1,13.3,7,10.1,0.158,10,50,1.06
,13:04:06,6,3590,1035.1,1.1,13.3,7,10.1,0.158,10,50,1.06
,13:04:07,6,3590,1036.1,1.09,13.3,7,10.1,0.157,10,50,1.05
,13:04:08,6,3590,1037.1,1.08,13.3,7,10.1,0.156,10,50,1.04
,13:04:09,6,3590,1038.1,1.08,13.3,7,10.1,0.156,10,50,1.04
,13:04:10,6,3590,1039.1,1.08,13.3,7,10.1,0.156,10,50,1.04
,13:04:11,6,3590,1040.1,1.08,13.3,7,10.1,0.162,10,50,1.04
,13:04:12,6,3590,1041.1,1.08,13.3,7,10.1,0.163,10,50,1.05
,13:04:13,6,3590,1042.1,1.09,13.3,7,10.2,0.158,10,50,1.05
,13:04:14,6,3590,1043.1,1.1,13.3,7,10.2,0.159,10,50,1.06
,13:04:15,6,3590,1044.1,1.1,13.3,7,10.2,0.16,10,50,1.06
,13:04:16,6,3590,1045.1,1.1,13.3,7,10.2,0.154,10,50,1.06
,13:04:17,6,3590,1046.1,1.1,13.3,7,10.2,0.154,10,50,1.06
,13:04:18,6,3590,1047.1,1.09,13.3,7,10.2,0.158,10,50,1.05
,13:04:19,6,3590,1048.1,1.07,13.3,7,10.2,0.161,10,50,1.03
,13:04:20,6,3590,1049.1,1.06,13.3,7,10.2,0.159,10,50,1.02
,13:04:21,6,3590,1050.1,1.06,13.3,7,10.3,0.159,10,50,1.02
,13:04:22,6,3590,1051.1,1.07,13.3,7,10.3,0.161,10,50,1.03
,13:04:23,6,3590,1052.1,1.08,13.3,7,10.3,0.156,10,50,1.04
,13:04:24,6,3590,1053.1,1.08,13.3,7,10.3,0.156,10,50,1.04
,13:04:25,6,3590,1054.1,1.08,13.3,7,10.3,0.151,10,50,1.04
,13:04:26,6,3590,1055.1,1.08,13.3,7,10.3,0.15,10,50,1.03
,13:04:27,6,3590,1056.1,1.06,13.3,7,10.3,0.159,10,50,1.02
,13:04:28,6,3590,1057.1,1.05,13.3,7,10.3,0.158,10,50,1.01
,13:04:29,6,3590,1058.1,1.05,13.3,6,10.3,0.164,10,50,1.01
,13:04:30,6,3590,1059.1,1.06,13.3,7,10.3,0.159,10,50,1.02
,13:04:31,6,3590,1060.1,1.06,13.3,7,10.4,0.16,10,50,1.02
,13:04:32,6,3590,1061.1,1.07,13.3,7,10.4,0.154,10,50,1.03
,13:04:33,6,3590,1062.1,1.07,13.3,7,10.4,0.155,10,50,1.03
,13:04:34,6,3590,1063.1,1.08,13.3,7,10.4,0.156,10,50,1.04
,13:04:35,6,3590,1064.1,1.08,13.3,7,10.4,0.162,10,50,1.04
,13:04:36,6,3590,1065.1,1.08,13.3,7,10.4,0.162,10,50,1.04
,13:04:37,6,3590,1066.1,1.08,13.3,7,10.4,0.162,10,50,1.04
,13:04:38,6,3590,1067.1,1.08,13.3,7,10.4,0.156,10,50,1.04
,13:04:39,6,3590,1068.1,1.07,13.3,7,10.5,0.155,10,50,1.03
,13:04:40,6,3590,1069.1,1.07,13.3,7,10.5,0.149,10,50,1.03
,13:04:41,6,3590,1070.1,1.07,13.3,7,10.5,0.154,10,50,1.03
,13:04:42,6,3590,1071.1,1.07,13.3,7,10.5,0.154,10,50,1.03
,13:04:43,6,3590,1072.1,1.07,13.3,7,10.5,0.154,10,50,1.03
,13:04:44,6,3590,1073.1,1.06,13.3,7,10.5,0.154,10,50,1.02
,13:04:45,6,3590,1074.1,1.06,13.3,7,10.6,0.16,10,50,1.02
,13:04:46,6,3590,1075.1,1.06,13.3,7,10.6,0.16,10,50,1.02
,13:04:47,6,3590,1076.1,1.06,13.3,7,10.6,0.154,10,50,1.02
,13:04:48,6,3590,1077.1,1.06,13.3,7,10.6,0.154,10,50,1.02
,13:04:49,6,3590,1078.1,1.07,13.3,7,10.6,0.154,10,50,1.03
,13:04:50,6,3590,1079.1,1.08,13.3,7,10.6,0.15,10,50,1.04
,13:04:51,6,3590,1080.1,1.08,13.3,7,10.6,0.151,10,50,1.04
,13:04:52,6,3590,1081.1,1.07,13.3,7,10.6,0.155,10,50,1.03
,13:04:53,6,3590,1082.1,1.06,13.3,7,10.6,0.159,10,50,1.02
,13:04:54,6,3590,1083.1,1.05,13.3,6,10.7,0.165,10,50,1.01
,13:04:55,6,3590,1084.1,1.06,13.3,7,10.7,0.159,10,50,1.02
,13:04:56,6,3590,1085.1,1.07,13.3,7,10.7,0.161,10,50,1.03
,13:04:57,6,3590,1086.1,1.08,13.3,7,10.7,0.156,10,50,1.03
,13:04:58,6,3590,1087.1,1.07,13.3,7,10.7,0.155,10,50,1.03
,13:04:59,6,3590,1088.1,1.07,13.3,7,10.7,0.155,10,50,1.03
,13:05:00,6,3590,1089.1,1.07,13.3,7,10.8,0.149,10,50,1.03
,13:05:01,6,3590,1090.1,1.07,13.3,7,10.8,0.149,10,50,1.03
,13:05:02,6,3590,1091.1,1.06,13.3,7,10.8,0.153,10,50,1.02
,13:05:03,6,3590,1092.1,1.05,13.3,7,10.8,0.158,10,50,1.01
,13:05:04,6,3590,1093.1,1.05,13.3,6,10.8,0.165,10,50,1.01
,13:05:05,6,3590,1094.1,1.06,13.3,7,10.8,0.16,10,50,1.02
,13:05:06,6,3590,1095.1,1.07,13.3,7,10.9,0.161,10,50,1.03
,13:05:07,6,3590,1096.1,1.07,13.3,7,10.9,0.155,10,50,1.03
,13:05:08,6,3590,1097.1,1.07,13.3,7,10.9,0.155,10,50,1.03
,13:05:09,6,3590,1098.1,1.07,13.3,7,10.9,0.149,10,50,1.03
,13:05:10,6,3590,1099.1,1.07,13.3,7,10.9,0.149,10,50,1.03
,13:05:11,6,3590,1100.1,1.06,13.3,7,10.9,0.159,10,50,1.02
,13:05:12,6,3590,1101.1,1.05,13.3,7,10.9,0.152,10,50,1.01
,13:05:13,6,3590,1102.1,1.04,13.3,7,10.9,0.156,10,50,1
,13:05:14,6,3590,1103.1,1.05,13.3,7,11,0.157,10,50,1.01
,13:05:15,6,3590,1104.1,1.06,13.3,7,11,0.159,10,50,1.02
,13:05:16,6,3590,1105.1,1.06,13.3,7,11,0.154,10,50,1.03
,13:05:17,6,3590,1106.1,1.07,13.3,7,11,0.149,10,50,1.03
,13:05:18,6,3590,1107.1,1.07,13.3,7,11,0.149,10,50,1.03
,13:05:19,6,3590,1108.1,1.06,13.3,7,11,0.153,10,50,1.02
,13:05:20,6,3590,1109.1,1.05,13.3,6,11.1,0.165,10,50,1.01
,13:05:21,6,3590,1110.1,1.05,13.3,6,11.1,0.165,10,50,1.01
,13:05:22,6,3590,1111.1,1.06,13.3,7,11.1,0.159,10,50,1.02
,13:05:23,6,3590,1112.1,1.06,13.3,7,11.1,0.16,10,50,1.02
,13:05:24,6,3590,1113.1,1.06,13.3,7,11.1,0.16,10,50,1.02
,13:05:25,6,3590,1114.1,1.06,13.3,7,11.2,0.154,10,50,1.02
,13:05:26,6,3590,1115.1,1.07,13.3,7,11.2,0.149,10,50,1.03
,13:05:27,6,3590,1116.1,1.07,13.3,7,11.2,0.144,10,50,1.03
,13:05:28,6,3590,1117.1,1.06,13.3,7,11.2,0.148,10,50,1.02
,13:05:29,6,3590,1118.1,1.05,13.3,7,11.2,0.158,10,50,1.01
,13:05:30,6,3590,1119.1,1.04,13.3,6,11.2,0.162,10,50,1
,13:05:31,6,3590,1120.1,1.04,13.3,6,11.2,0.163,10,50,1
,13:05:32,6,3590,1121.1,1.05,13.3,6,11.3,0.163,10,50,1.01
,13:05:33,6,3590,1122.1,1.05,13.3,6,11.3,0.164,10,50,1.01
,13:05:34,6,3590,1123.1,1.05,13.3,7,11.3,0.158,10,50,1.01
,13:05:35,6,3590,1124.1,1.06,13.3,7,11.3,0.159,10,50,1.02
,13:05:36,6,3590,1125.1,1.05,13.3,7,11.3,0.152,10,50,1.01
,13:05:37,6,3590,1126.1,1.05,13.3,7,11.4,0.157,10,50,1.01
,13:05:38,6,3590,1127.1,1.05,13.3,7,11.4,0.157,10,50,1.01
,13:05:39,6,3590,1128.1,1.05,13.3,7,11.4,0.152,10,50,1.01
,13:05:40,6,3590,1129.1,1.06,13.3,7,11.4,0.153,10,50,1.02
,13:05:41,6,3590,1130.1,1.06,13.3,7,11.4,0.153,10,50,1.02
,13:05:42,6,3590,1131.1,1.06,13.3,7,11.5,0.154,10,50,1.02
,13:05:43,6,3590,1132.1,1.07,13.3,7,11.5,0.154,10,50,1.03
,13:05:44,6,3590,1133.1,1.06,13.3,7,11.5,0.153,10,50,1.02
,13:05:45,6,3590,1134.1,1.06,13.3,7,11.5,0.153,10,50,1.02
,13:05:46,6,3590,1135.1,1.05,13.3,7,11.5,0.147,10,50,1.01
,13:05:47,6,3590,1136.1,1.04,13.3,7,11.5,0.14,10,50,1
,13:05:48,6,3590,1137.1,1.03,13.3,7,11.5,0.144,10,50,0.99
,13:05:49,6,3590,1138.1,1.03,13.3,7,11.6,0.148,10,50,0.99
,13:05:50,6,3590,1139.1,1.03,13.3,6,11.6,0.16,10,50,0.99
,13:05:51,6,3590,1140.1,1.03,13.3,6,11.6,0.161,10,50,0.99
,13:05:52,6,3590,1141.1,1.05,13.3,7,11.7,0.157,10,50,1.01
,13:05:53,6,3590,1142.1,1.06,13.3,7,11.7,0.16,10,50,1.03
,13:05:54,6,3590,1143.1,1.08,13.3,7,11.7,0.162,10,50,1.04
,13:05:55,6,3590,1144.1,1.08,13.3,7,11.7,0.162,10,50,1.04
,13:05:56,6,3590,1145.1,1.08,13.3,7,11.7,0.162,10,50,1.04
,13:05:57,6,3590,1146.1,1.07,13.3,7,11.8,0.155,10,50,1.03
,13:05:58,6,3590,1147.1,1.07,13.3,7,11.8,0.16,10,50,1.03
,13:05:59,6,3590,1148.1,1.07,13.3,7,11.8,0.16,10,50,1.03
,13:06:00,6,3590,1149.1,1.07,13.3,7,11.8,0.161,10,50,1.03
,13:06:01,6,3590,1150.1,1.07,13.3,7,11.8,0.16,10,50,1.03
,13:06:02,6,3590,1151.1,1.07,13.3,7,11.9,0.16,10,50,1.03
,13:06:03,6,3590,1152.1,1.06,13.3,7,11.9,0.154,10,50,1.02
,13:06:04,6,3590,1153.1,1.07,13.3,7,11.9,0.154,10,50,1.03
,13:06:05,6,3590,1154.1,1.07,13.3,7,11.9,0.154,10,50,1.03
,13:06:06,6,3590,1155.1,1.07,13.3,7,11.9,0.16,10,50,1.03
,13:06:07,6,3590,1156.1,1.07,13.3,7,11.9,0.154,10,50,1.03
,13:06:08,6,3590,1157.1,1.07,13.3,7,12,0.154,10,50,1.03
