Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:38:41,4,3600,282.5,0.49,13.3,7,10.8,0.071,10,0.1,0.46
,11:38:42,4,3600,283.5,0.5,13.3,7,10.8,0.074,10,0.1,0.46
,11:38:43,4,3600,284.5,0.5,13.3,7,10.8,0.075,10,0.1,0.47
,11:38:45,4,3600,285.5,0.5,13.3,7,10.8,0.072,10,0.1,0.47
,11:38:46,4,3600,286.5,0.5,13.3,7,10.8,0.069,10,0.2,0.47
,11:38:47,4,3600,287.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:49,4,3600,288.5,0.5,13.3,7,10.8,0.073,10,0.2,0.47
,11:38:50,4,3600,289.5,0.5,13.3,7,10.8,0.073,10,0.2,0.47
,11:38:51,4,3600,290.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:53,4,3600,291.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:54,4,3600,292.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:55,4,3600,293.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:56,4,3600,294.5,0.5,13.3,7,10.8,0.072,10,0.2,0.47
,11:38:58,4,3600,295.5,0.5,13.3,7,10.8,0.075,10,0.2,0.47
,11:38:59,4,3600,296.5,0.49,13.3,7,10.8,0.074,10,0.2,0.46
,11:39:00,4,3600,297.5,0.49,13.3,7,10.8,0.073,10,0.2,0.46
,11:39:02,4,3600,298.5,0.49,13.3,7,10.8,0.074,10,0.2,0.46
