Data file,,RA0.3_OILHEF10_12C_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/05/2016,,,,,,,,,,
Lubricant,,10% HEF-contaminated ISO10,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:21:07 on 13/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:21:59,4,2700,51.7,0.03,0,9,12.6,0.003,10,50,0.04
,13:22:00,4,2700,52.7,0.33,0.9,9,12.6,0.035,10,50,0.35
,13:22:01,4,2700,53.7,0.84,6.2,9,12.6,0.094,10,50.1,0.86
,13:22:02,4,2700,54.7,1.47,12.4,9,12.7,0.164,10,50.1,1.46
,13:22:03,4,2700,55.7,1.86,13.3,9,12.7,0.207,10,50.1,1.8
,13:22:04,4,2700,56.7,2.04,13.3,9,12.7,0.227,10,50,1.96
,13:22:05,4,2700,57.7,2.1,13.3,9,12.7,0.228,10,50.1,2.01
,13:22:06,4,2700,58.7,2.13,13.3,9,12.7,0.231,10,50.1,2.04
,13:22:07,4,2700,59.7,2.14,13.3,9,12.7,0.232,10,50.1,2.04
,13:22:08,4,2700,60.7,2.13,13.3,9,12.7,0.231,10,50.1,2.04
,13:22:09,4,2700,61.7,2.1,13.3,9,12.7,0.227,10,50.1,2
,13:22:10,4,2700,62.7,2.06,13.3,9,12.7,0.217,10,50.1,1.96
,13:22:11,4,2700,63.7,2.01,13.3,9,12.7,0.212,10,50.1,1.92
,13:22:12,4,2700,64.7,1.99,13.3,9,12.7,0.216,10,50.1,1.9
,13:22:13,4,2700,65.7,1.98,13.3,9,12.8,0.227,10,50.1,1.89
,13:22:14,4,2700,66.7,1.98,13.3,9,12.9,0.227,10,50.1,1.89
,13:22:15,4,2700,67.7,2,13.3,9,12.9,0.229,10,50.1,1.91
,13:22:16,4,2700,68.7,2.01,13.3,9,13,0.218,10,50.1,1.93
,13:22:17,4,2700,69.7,2.01,13.3,9,13,0.218,10,50.1,1.92
,13:22:18,4,2700,70.7,1.97,13.3,9,13.1,0.208,10,50.1,1.88
,13:22:19,4,2700,71.7,1.93,13.3,9,13.2,0.204,10,50.1,1.84
,13:22:20,4,2700,72.7,1.92,13.3,9,13.3,0.214,10,50.1,1.83
,13:22:21,4,2700,73.7,1.93,13.3,9,13.4,0.215,10,50.1,1.84
,13:22:22,4,2700,74.7,1.93,13.3,9,13.5,0.215,10,50.1,1.84
,13:22:23,4,2700,75.7,1.9,13.3,9,13.5,0.212,10,50.1,1.82
