Data file,,RA0.3_HEF65_12C_001_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:19:08 on 06/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:31:00,4,2700,711.5,0.02,0,9,12.1,0.002,10,36.5,0.02
,10:31:01,4,2700,712.5,0.25,0.3,9,12.1,0.027,10,22.8,0.27
,10:31:02,4,2700,713.5,0.78,4.3,9,12,0.082,10,16.9,0.79
,10:31:03,4,2700,714.5,1.46,11.6,10,12,0.15,10,14.9,1.43
,10:31:04,4,2700,715.5,1.96,13.3,10,12,0.201,10,14.4,1.87
,10:31:05,4,2700,716.5,2.18,13.3,10,12,0.224,10,14.2,2.05
,10:31:06,4,2700,717.5,2.26,13.3,9,12,0.238,10,14.2,2.12
,10:31:07,4,2700,718.5,2.3,13.3,9,11.9,0.242,10,14.1,2.15
,10:31:08,4,2700,719.5,2.32,13.3,9,11.9,0.251,10,14.1,2.17
,10:31:09,4,2700,720.5,2.32,13.3,9,11.9,0.251,10,14.1,2.17
,10:31:10,4,2700,721.5,2.3,13.3,9,11.8,0.256,10,14.1,2.15
,10:31:11,4,2700,722.5,2.28,13.3,9,11.8,0.261,10,14,2.13
,10:31:12,4,2700,723.5,2.27,13.3,9,11.8,0.26,10,14.1,2.12
,10:31:13,4,2700,724.5,2.26,13.3,9,11.8,0.252,10,14.1,2.12
,10:31:14,4,2700,725.5,2.26,13.3,9,11.8,0.245,10,14.1,2.11
,10:31:15,4,2700,726.5,2.25,13.3,9,11.8,0.244,10,13.4,2.11
,10:31:16,4,2700,727.5,2.24,13.3,9,11.8,0.249,10,13,2.09
,10:31:17,4,2700,728.5,2.21,13.3,9,11.8,0.247,10,12.8,2.07
,10:31:18,4,2700,729.5,2.2,13.3,9,11.8,0.253,10,12.8,2.06
,10:31:19,4,2700,730.5,2.2,13.3,9,11.9,0.252,10,26.6,2.06
,10:31:20,4,2700,731.5,2.2,13.3,9,11.9,0.245,10,45.9,2.06
,10:31:21,4,2700,732.5,2.2,13.3,9,11.9,0.245,10,49,2.05
,10:31:22,4,2700,733.5,2.19,13.3,9,11.9,0.237,10,49.6,2.05
,10:31:23,4,2700,734.5,2.18,13.3,9,11.9,0.23,10,49.7,2.04
,10:31:24,4,2700,735.5,2.18,13.3,9,11.9,0.229,10,49.7,2.04
