Data file,,DELRIN_HEF_T38_PO4.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,31/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 17:22:43 on 31/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t38_po4-h001.tsv,,,,,,,,,,
,17:23:37,5,5,53.5,0.07,0,7,22,0.01,10,49.8,0.1
,17:23:38,5,5,54.5,0.45,1.7,7,22,0.062,10,49.9,0.47
,17:23:39,5,5,55.5,0.78,8.6,7,22,0.108,10,49.9,0.78
,17:23:40,5,5,56.5,1.02,12.7,7,22,0.141,10,49.9,0.98
,17:23:41,5,5,57.5,0.93,13.3,7,22,0.125,10,49.9,0.89
,17:23:42,6,10790,58.5,0.88,13.3,7,22,0.119,10,49.9,0.85
,17:23:43,6,10790,59.5,0.87,13.3,7,23,0.117,10,49.9,0.84
,17:23:44,6,10790,60.5,0.87,13.3,8,22,0.113,10,49.9,0.84
,17:23:45,6,10790,61.5,0.88,13.3,8,22,0.114,10,49.9,0.85
,17:23:46,6,10790,62.5,0.89,13.3,8,22,0.116,10,49.9,0.86
,17:23:47,6,10790,63.5,0.89,13.3,7,23,0.12,10,49.9,0.86
,17:23:48,6,10790,64.5,0.89,13.3,7,23,0.123,10,49.9,0.85
,17:23:49,6,10790,65.5,0.88,13.3,7,23,0.123,10,49.9,0.85
