Data file,,PPS_ISO10_30DEG_001.TSV,,,,,,,,,,
,14:55:51,4,-1,81.2,0.79,13.3,7,29.6,0.114,10,50,0.76
,14:55:52,4,-1,82.2,0.79,13.3,7,29.6,0.118,10,50,0.76
,14:55:53,4,-1,83.2,0.79,13.3,7,29.6,0.114,10,50,0.76
,14:55:54,4,-1,84.2,0.79,13.3,7,29.6,0.114,10,50,0.76
,14:55:55,4,-1,85.2,0.79,13.3,7,29.5,0.114,10,50,0.75
,14:55:56,4,-1,86.2,0.78,13.3,7,29.5,0.112,10,50,0.75
,14:55:57,4,-1,87.2,0.77,13.3,7,29.5,0.116,10,50,0.74
,14:55:58,4,-1,88.2,0.77,13.3,7,29.5,0.111,10,50,0.74
,14:55:59,4,-1,89.2,0.77,13.3,7,29.5,0.111,10,50,0.74
,14:56:00,4,-1,90.2,0.77,13.3,7,29.4,0.111,10,50,0.74
,14:56:01,4,-1,91.2,0.77,13.3,7,29.4,0.111,10,50,0.74
,14:56:02,4,-1,92.2,0.77,13.3,7,29.4,0.116,10,50,0.74
,14:56:03,4,-1,93.2,0.77,13.3,7,29.4,0.112,10,50,0.74
,14:56:04,4,-1,94.2,0.78,13.3,7,29.4,0.112,10,50,0.75
,14:56:05,4,-1,95.2,0.77,13.3,7,29.4,0.111,10,50,0.74
,14:56:06,4,-1,96.2,0.77,13.3,7,29.3,0.115,10,50,0.73
,14:56:07,4,-1,97.2,0.76,13.3,7,29.3,0.11,10,50,0.73
,14:56:08,4,-1,98.2,0.75,13.3,7,29.3,0.105,10,50,0.72
,14:56:09,4,-1,99.2,0.75,13.3,7,29.3,0.104,10,50,0.71
,14:56:10,4,-1,100.2,0.74,13.3,7,29.3,0.107,10,50,0.71
,14:56:11,4,-1,101.2,0.73,13.3,7,29.3,0.11,10,50,0.7
,14:56:12,4,-1,102.2,0.73,13.3,7,29.3,0.11,10,50,0.7
,14:56:13,4,-1,103.2,0.73,13.3,7,29.2,0.106,10,50,0.7
,14:56:14,4,-1,104.2,0.73,13.3,7,29.2,0.106,10,50,0.71
,14:56:15,4,-1,105.2,0.74,13.3,7,29.2,0.11,10,49.9,0.71
,14:56:16,4,-1,106.2,0.74,13.3,7,29.2,0.111,10,50,0.71
,14:56:17,4,-1,107.2,0.74,13.3,7,29.2,0.111,10,50,0.71
,14:56:18,4,-1,108.2,0.74,13.3,7,29.1,0.107,10,50,0.71
,14:56:19,4,-1,109.2,0.74,13.3,7,29.1,0.106,10,50,0.71
,14:56:20,4,-1,110.2,0.73,13.3,7,29.1,0.106,10,50,0.7
,14:56:21,4,-1,111.2,0.73,13.3,7,29.1,0.105,10,49.9,0.7
,14:56:22,4,-1,112.2,0.73,13.3,7,29,0.109,10,50,0.7
,14:56:23,4,-1,113.2,0.73,13.3,7,29,0.109,10,50,0.7
,14:56:24,4,-1,114.2,0.73,13.3,7,29,0.105,10,50,0.7
,14:56:25,4,-1,115.2,0.73,13.3,7,29,0.105,10,50,0.7
,14:56:26,4,-1,116.2,0.72,13.3,7,29,0.108,10,50,0.7
,14:56:27,4,-1,117.2,0.72,13.3,7,29,0.108,10,50,0.7
,14:56:28,4,-1,118.2,0.72,13.3,7,28.9,0.108,10,50,0.69
,14:56:29,4,-1,119.2,0.72,13.3,7,28.9,0.103,10,50,0.69
,14:56:30,4,-1,120.2,0.71,13.3,7,28.9,0.099,10,50,0.68
,14:56:31,4,-1,121.2,0.71,13.3,7,28.9,0.102,10,50,0.68
,14:56:32,4,-1,122.2,0.71,13.3,7,28.9,0.102,10,50,0.68
,14:56:33,4,-1,123.2,0.71,13.3,7,28.9,0.106,10,50,0.68
,14:56:34,4,-1,124.2,0.7,13.3,7,28.9,0.105,10,50,0.68
,14:56:35,4,-1,125.2,0.7,13.3,7,28.9,0.102,10,50,0.68
,14:56:36,4,-1,126.2,0.71,13.3,7,28.8,0.098,10,50,0.68
,14:56:37,4,-1,127.2,0.7,13.3,7,28.8,0.098,10,50,0.68
,14:56:38,4,-1,128.2,0.7,13.3,7,28.8,0.105,10,50,0.67
,14:56:39,4,-1,129.2,0.69,13.3,7,28.8,0.104,10,50,0.66
,14:56:40,4,-1,130.2,0.68,13.3,7,28.7,0.102,10,50,0.66
,14:56:41,4,-1,131.2,0.68,13.3,7,28.7,0.102,10,50,0.66
,14:56:42,4,-1,132.2,0.69,13.3,7,28.7,0.103,10,50,0.66
,14:56:43,4,-1,133.2,0.68,13.3,7,28.7,0.102,10,50,0.66
,14:56:44,4,-1,134.2,0.69,13.3,7,28.7,0.103,10,50,0.66
,14:56:45,4,-1,135.2,0.69,13.3,7,28.7,0.103,10,50,0.66
,14:56:46,4,-1,136.2,0.69,13.3,7,28.6,0.1,10,50,0.66
,14:56:47,4,-1,137.2,0.69,13.3,7,28.6,0.097,10,50,0.67
,14:56:48,4,-1,138.2,0.7,13.3,7,28.6,0.097,10,50,0.67
,14:56:49,4,-1,139.2,0.69,13.3,7,28.6,0.097,10,50,0.67
,14:56:50,4,-1,140.2,0.69,13.3,7,28.6,0.099,10,50,0.66
,14:56:51,4,-1,141.2,0.68,13.3,7,28.6,0.102,10,50,0.65
,14:56:52,4,-1,142.2,0.68,13.3,6,28.6,0.105,10,50,0.65
,14:56:53,4,-1,143.2,0.68,13.3,6,28.6,0.106,10,50,0.65
,14:56:54,4,-1,144.2,0.68,13.3,7,28.5,0.102,10,50,0.65
,14:56:55,4,-1,145.2,0.68,13.3,7,28.5,0.102,10,50,0.65
,14:56:56,4,-1,146.2,0.68,13.3,7,28.5,0.102,10,50,0.65
,14:56:57,4,-1,147.2,0.68,13.3,7,28.5,0.098,10,50,0.65
,14:56:58,4,-1,148.2,0.67,13.3,7,28.5,0.101,10,50,0.65
,14:56:59,4,-1,149.2,0.68,13.3,7,28.5,0.098,10,50,0.65
,14:57:00,4,-1,150.2,0.68,13.3,7,28.4,0.101,10,50,0.65
,14:57:01,4,-1,151.2,0.68,13.3,7,28.4,0.102,10,50,0.66
,14:57:02,4,-1,152.2,0.69,13.3,7,28.4,0.104,10,50,0.66
,14:57:03,4,-1,153.2,0.69,13.3,7,28.4,0.104,10,50,0.67
,14:57:04,4,-1,154.2,0.69,13.3,7,28.4,0.1,10,49.9,0.66
,14:57:05,4,-1,155.2,0.69,13.3,7,28.4,0.099,10,49.9,0.66
,14:57:06,4,-1,156.2,0.68,13.3,7,28.3,0.101,10,50,0.65
,14:57:07,4,-1,157.2,0.67,13.3,7,28.3,0.097,10,50,0.65
,14:57:08,4,-1,158.2,0.68,13.3,7,28.3,0.098,10,50,0.65
,14:57:09,4,-1,159.2,0.68,13.3,7,28.3,0.098,10,50,0.65
,14:57:10,4,-1,160.2,0.68,13.3,7,28.3,0.098,10,50,0.65
,14:57:11,4,-1,161.2,0.68,13.3,7,28.3,0.101,10,50,0.65
,14:57:12,4,-1,162.2,0.68,13.3,7,28.3,0.102,10,50,0.65
,14:57:13,4,-1,163.2,0.68,13.3,7,28.3,0.098,10,50,0.66
,14:57:14,4,-1,164.2,0.68,13.3,7,28.3,0.099,10,50,0.66
,14:57:15,4,-1,165.2,0.68,13.3,7,28.2,0.098,10,50,0.65
,14:57:16,4,-1,166.2,0.68,13.3,7,28.2,0.094,10,50,0.65
,14:57:17,4,-1,167.2,0.67,13.3,7,28.2,0.09,10,50,0.65
,14:57:18,4,-1,168.2,0.68,13.3,7,28.2,0.094,10,50,0.65
,14:57:19,4,-1,169.2,0.67,13.3,7,28.2,0.094,10,50,0.65
,14:57:20,4,-1,170.2,0.67,13.3,7,28.2,0.1,10,50,0.64
,14:57:21,4,-1,171.2,0.66,13.3,7,28.2,0.099,10,50,0.64
,14:57:22,4,-1,172.2,0.66,13.3,7,28.1,0.099,10,50,0.64
,14:57:23,6,3590,173.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:57:24,6,3590,174.6,0.67,13.3,7,28.1,0.101,10,50,0.64
,14:57:25,6,3590,175.6,0.67,13.3,7,28.1,0.101,10,50,0.64
,14:57:26,6,3590,176.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:57:27,6,3590,177.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:57:28,6,3590,178.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:57:29,6,3590,179.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:57:30,6,3590,180.6,0.67,13.3,7,28.1,0.101,10,50,0.65
,14:57:31,6,3590,181.6,0.68,13.3,7,28.1,0.101,10,50,0.65
,14:57:32,6,3590,182.6,0.68,13.3,7,28.1,0.098,10,50,0.65
,14:57:33,6,3590,183.6,0.68,13.3,7,28.1,0.098,10,50,0.65
,14:57:34,6,3590,184.6,0.68,13.3,7,28,0.094,10,50,0.65
,14:57:35,6,3590,185.6,0.68,13.3,7,28,0.094,10,50,0.65
,14:57:36,6,3590,186.6,0.67,13.3,7,28,0.096,10,50,0.64
,14:57:37,6,3590,187.6,0.67,13.3,7,28,0.101,10,50,0.64
,14:57:38,6,3590,188.6,0.68,13.3,7,28,0.101,10,50,0.65
,14:57:39,6,3590,189.6,0.68,13.3,7,28,0.101,10,50,0.65
,14:57:40,6,3590,190.6,0.68,13.3,7,28,0.101,10,50,0.65
,14:57:41,6,3590,191.6,0.68,13.3,7,28,0.098,10,50,0.65
,14:57:42,6,3590,192.6,0.68,13.3,7,28,0.102,10,50,0.65
,14:57:43,6,3590,193.6,0.68,13.3,7,28,0.102,10,50,0.65
,14:57:44,6,3590,194.6,0.68,13.3,7,28,0.098,10,50,0.65
,14:57:45,6,3590,195.6,0.68,13.3,7,28,0.094,10,50,0.65
,14:57:46,6,3590,196.6,0.68,13.3,7,28,0.094,10,50,0.65
,14:57:47,6,3590,197.6,0.68,13.3,7,28,0.098,10,50,0.65
,14:57:48,6,3590,198.6,0.68,13.3,7,28,0.102,10,50,0.65
,14:57:49,6,3590,199.6,0.68,13.3,7,28,0.102,10,50,0.65
,14:57:50,6,3590,200.6,0.68,13.3,7,28,0.102,10,50,0.66
,14:57:51,6,3590,201.6,0.68,13.3,7,28,0.099,10,50,0.65
,14:57:52,6,3590,202.6,0.68,13.3,7,28,0.102,10,50,0.65
,14:57:53,6,3590,203.6,0.67,13.3,7,27.9,0.097,10,50,0.65
,14:57:54,6,3590,204.6,0.67,13.3,7,27.9,0.097,10,50,0.65
,14:57:55,6,3590,205.6,0.67,13.3,7,27.9,0.093,10,50,0.64
,14:57:56,6,3590,206.6,0.67,13.3,7,27.9,0.097,10,50,0.65
,14:57:57,6,3590,207.6,0.67,13.3,7,27.9,0.101,10,50,0.65
,14:57:58,6,3590,208.6,0.67,13.3,7,27.9,0.101,10,50,0.65
,14:57:59,6,3590,209.6,0.67,13.3,7,27.9,0.1,10,50,0.64
,14:58:00,6,3590,210.6,0.67,13.3,7,27.9,0.101,10,50,0.64
,14:58:01,6,3590,211.6,0.67,13.3,7,27.9,0.097,10,50,0.65
,14:58:02,6,3590,212.6,0.68,13.3,7,27.9,0.098,10,50,0.65
,14:58:03,6,3590,213.6,0.68,13.3,7,27.9,0.094,10,50,0.65
,14:58:04,6,3590,214.6,0.67,13.3,7,27.9,0.097,10,50,0.65
,14:58:05,6,3590,215.6,0.67,13.3,7,27.9,0.096,10,50,0.64
,14:58:06,6,3590,216.6,0.66,13.3,7,27.9,0.099,10,50,0.64
,14:58:07,6,3590,217.6,0.66,13.3,7,27.9,0.099,10,50,0.63
,14:58:08,6,3590,218.6,0.66,13.3,7,27.9,0.095,10,50,0.63
,14:58:09,6,3590,219.6,0.67,13.3,7,27.9,0.093,10,50,0.64
,14:58:10,6,3590,220.6,0.67,13.3,7,27.9,0.093,10,50,0.65
,14:58:11,6,3590,221.6,0.67,13.3,7,27.9,0.093,10,50,0.64
,14:58:12,6,3590,222.6,0.67,13.3,7,27.9,0.097,10,50,0.64
,14:58:13,6,3590,223.6,0.67,13.3,7,27.9,0.097,10,50,0.64
,14:58:14,6,3590,224.6,0.67,13.3,7,27.9,0.101,10,50,0.65
,14:58:15,6,3590,225.6,0.67,13.3,7,27.9,0.101,10,50,0.64
,14:58:16,6,3590,226.6,0.67,13.3,7,27.9,0.097,10,50,0.64
,14:58:17,6,3590,227.6,0.67,13.3,7,27.9,0.093,10,50,0.64
,14:58:18,6,3590,228.6,0.67,13.3,7,27.9,0.093,10,50,0.64
,14:58:19,6,3590,229.6,0.66,13.3,7,27.9,0.096,10,50,0.63
,14:58:20,6,3590,230.6,0.66,13.3,7,27.9,0.098,10,50,0.63
,14:58:21,6,3590,231.6,0.66,13.3,7,28,0.098,10,50,0.63
,14:58:22,6,3590,232.6,0.66,13.3,7,28,0.099,10,50,0.63
,14:58:23,6,3590,233.6,0.66,13.3,7,28,0.099,10,50,0.64
,14:58:24,6,3590,234.6,0.66,13.3,7,28,0.099,10,50,0.64
,14:58:25,6,3590,235.6,0.67,13.3,7,28,0.1,10,50,0.64
,14:58:26,6,3590,236.6,0.66,13.3,7,28,0.099,10,50,0.64
,14:58:27,6,3590,237.6,0.66,13.3,7,28,0.099,10,50,0.64
,14:58:28,6,3590,238.6,0.67,13.3,7,28,0.096,10,50,0.64
,14:58:29,6,3590,239.6,0.67,13.3,7,28,0.094,10,50,0.65
,14:58:30,6,3590,240.6,0.68,13.3,7,28,0.094,10,50,0.65
,14:58:31,6,3590,241.6,0.67,13.3,7,28,0.097,10,50,0.65
,14:58:32,6,3590,242.6,0.67,13.3,7,28,0.096,10,50,0.64
,14:58:33,6,3590,243.6,0.67,13.3,7,28,0.1,10,50,0.64
,14:58:34,6,3590,244.6,0.67,13.3,7,28,0.1,10,50,0.64
,14:58:35,6,3590,245.6,0.67,13.3,7,28,0.101,10,50,0.64
,14:58:36,6,3590,246.6,0.67,13.3,7,28,0.097,10,50,0.64
,14:58:37,6,3590,247.6,0.67,13.3,7,28,0.096,10,50,0.64
,14:58:38,6,3590,248.6,0.67,13.3,7,28,0.096,10,50,0.64
,14:58:39,6,3590,249.6,0.67,13.3,7,28,0.1,10,50,0.64
,14:58:40,6,3590,250.6,0.67,13.3,7,28,0.1,10,50,0.64
,14:58:41,6,3590,251.6,0.66,13.3,7,28.1,0.099,10,50,0.64
,14:58:42,6,3590,252.6,0.67,13.3,7,28.1,0.1,10,50,0.64
,14:58:43,6,3590,253.6,0.67,13.3,7,28.1,0.096,10,50,0.64
,14:58:44,6,3590,254.6,0.66,13.3,7,28.1,0.096,10,50,0.64
,14:58:45,6,3590,255.6,0.66,13.3,7,28.1,0.095,10,50,0.63
,14:58:46,6,3590,256.6,0.66,13.3,7,28.1,0.095,10,50,0.63
,14:58:47,6,3590,257.6,0.66,13.3,7,28.1,0.099,10,50,0.63
,14:58:48,6,3590,258.6,0.66,13.3,7,28.1,0.095,10,50,0.63
,14:58:49,6,3590,259.6,0.66,13.3,7,28.1,0.096,10,50,0.64
,14:58:50,6,3590,260.6,0.67,13.3,7,28.1,0.096,10,50,0.64
,14:58:51,6,3590,261.6,0.67,13.3,7,28.1,0.093,10,50,0.64
,14:58:52,6,3590,262.6,0.67,13.3,7,28.1,0.093,10,50,0.64
,14:58:53,6,3590,263.6,0.66,13.3,7,28.1,0.096,10,50,0.64
,14:58:54,6,3590,264.6,0.65,13.3,7,28.2,0.098,10,50,0.63
,14:58:55,6,3590,265.6,0.65,13.3,6,28.2,0.101,10,50,0.62
,14:58:56,6,3590,266.6,0.65,13.3,7,28.2,0.097,10,50,0.62
,14:58:57,6,3590,267.6,0.66,13.3,7,28.2,0.098,10,50,0.63
,14:58:58,6,3590,268.6,0.66,13.3,7,28.2,0.099,10,50,0.63
,14:58:59,6,3590,269.6,0.66,13.3,7,28.2,0.098,10,50,0.63
,14:59:00,6,3590,270.6,0.66,13.3,7,28.2,0.098,10,50,0.63
,14:59:01,6,3590,271.6,0.66,13.3,7,28.2,0.095,10,50,0.63
,14:59:02,6,3590,272.6,0.66,13.3,7,28.2,0.092,10,50,0.64
,14:59:03,6,3590,273.6,0.67,13.3,7,28.2,0.093,10,50,0.64
,14:59:04,6,3590,274.6,0.67,13.3,7,28.2,0.096,10,50,0.64
,14:59:05,6,3590,275.6,0.66,13.3,7,28.2,0.099,10,50,0.63
,14:59:06,6,3590,276.6,0.66,13.3,7,28.3,0.098,10,50,0.63
,14:59:07,6,3590,277.6,0.65,13.3,7,28.3,0.098,10,50,0.63
,14:59:08,6,3590,278.6,0.65,13.3,7,28.3,0.098,10,50,0.63
,14:59:09,6,3590,279.6,0.65,13.3,7,28.3,0.094,10,50,0.63
,14:59:10,6,3590,280.6,0.65,13.3,7,28.3,0.091,10,50,0.63
,14:59:11,6,3590,281.6,0.65,13.3,7,28.3,0.094,10,50,0.63
,14:59:12,6,3590,282.6,0.66,13.3,7,28.3,0.095,10,50,0.63
,14:59:13,6,3590,283.6,0.66,13.3,7,28.3,0.098,10,50,0.63
,14:59:14,6,3590,284.6,0.65,13.3,7,28.4,0.098,10,50,0.63
,14:59:15,6,3590,285.6,0.65,13.3,7,28.4,0.094,10,50,0.63
,14:59:16,6,3590,286.6,0.65,13.3,7,28.4,0.09,10,50,0.62
,14:59:17,6,3590,287.6,0.65,13.3,7,28.4,0.091,10,50,0.63
,14:59:18,6,3590,288.6,0.65,13.3,7,28.4,0.094,10,50,0.62
,14:59:19,6,3590,289.6,0.65,13.3,7,28.4,0.093,10,50,0.62
,14:59:20,6,3590,290.6,0.65,13.3,7,28.4,0.097,10,50,0.62
,14:59:21,6,3590,291.6,0.65,13.3,7,28.5,0.094,10,50,0.63
,14:59:22,6,3590,292.6,0.66,13.3,7,28.4,0.095,10,50,0.63
,14:59:23,6,3590,293.6,0.66,13.3,7,28.5,0.095,10,50,0.63
,14:59:24,6,3590,294.6,0.66,13.3,7,28.5,0.092,10,50,0.63
,14:59:25,6,3590,295.6,0.65,13.3,7,28.5,0.094,10,50,0.62
,14:59:26,6,3590,296.6,0.64,13.3,7,28.5,0.096,10,50,0.61
,14:59:27,6,3590,297.6,0.63,13.3,6,28.5,0.098,10,50,0.6
,14:59:28,6,3590,298.6,0.63,13.3,7,28.5,0.095,10,50,0.61
,14:59:29,6,3590,299.6,0.64,13.3,7,28.5,0.096,10,50,0.62
,14:59:30,6,3590,300.6,0.65,13.3,7,28.6,0.097,10,50,0.62
,14:59:31,6,3590,301.6,0.65,13.3,7,28.6,0.098,10,50,0.63
,14:59:32,6,3590,302.6,0.66,13.3,7,28.6,0.091,10,50,0.63
,14:59:33,6,3590,303.6,0.65,13.3,7,28.6,0.091,10,50,0.63
,14:59:34,6,3590,304.6,0.65,13.3,7,28.6,0.094,10,50,0.63
,14:59:35,6,3590,305.6,0.65,13.3,7,28.6,0.093,10,50,0.62
,14:59:36,6,3590,306.6,0.64,13.3,7,28.7,0.093,10,50,0.62
,14:59:37,6,3590,307.6,0.64,13.3,7,28.7,0.096,10,50,0.62
,14:59:38,6,3590,308.6,0.64,13.3,7,28.7,0.096,10,50,0.62
,14:59:39,6,3590,309.6,0.64,13.3,7,28.7,0.096,10,50,0.62
,14:59:40,6,3590,310.6,0.65,13.3,7,28.7,0.093,10,50,0.62
,14:59:41,6,3590,311.6,0.65,13.3,7,28.7,0.09,10,50,0.63
,14:59:42,6,3590,312.6,0.66,13.3,7,28.7,0.095,10,50,0.63
,14:59:43,6,3590,313.6,0.66,13.3,7,28.7,0.095,10,50,0.63
,14:59:44,6,3590,314.6,0.65,13.3,7,28.7,0.094,10,50,0.63
,14:59:45,6,3590,315.6,0.65,13.3,7,28.8,0.097,10,50,0.62
,14:59:46,6,3590,316.6,0.64,13.3,7,28.8,0.092,10,50,0.61
,14:59:47,6,3590,317.6,0.64,13.3,7,28.8,0.092,10,50,0.61
,14:59:48,6,3590,318.6,0.64,13.3,7,28.8,0.092,10,50,0.61
,14:59:49,6,3590,319.6,0.64,13.3,7,28.8,0.095,10,50,0.61
,14:59:50,6,3590,320.6,0.64,13.3,7,28.8,0.096,10,50,0.61
,14:59:51,6,3590,321.6,0.64,13.3,7,28.9,0.092,10,50,0.62
,14:59:52,6,3590,322.6,0.64,13.3,7,28.9,0.09,10,50,0.62
,14:59:53,6,3590,323.6,0.64,13.3,7,28.9,0.093,10,50,0.62
,14:59:54,6,3590,324.6,0.65,13.3,7,28.9,0.097,10,50,0.62
,14:59:55,6,3590,325.6,0.65,13.3,7,28.9,0.097,10,50,0.62
,14:59:56,6,3590,326.6,0.65,13.3,7,29,0.097,10,50,0.62
,14:59:57,6,3590,327.6,0.65,13.3,7,29,0.094,10,50,0.62
,14:59:58,6,3590,328.6,0.65,13.3,7,29,0.093,10,50,0.62
,14:59:59,6,3590,329.6,0.65,13.3,7,29,0.093,10,50,0.62
,15:00:00,6,3590,330.6,0.65,13.3,7,29,0.097,10,50,0.62
,15:00:01,6,3590,331.6,0.65,13.3,7,29,0.097,10,50,0.62
,15:00:02,6,3590,332.6,0.65,13.3,7,29,0.098,10,50,0.62
,15:00:03,6,3590,333.6,0.65,13.3,7,29.1,0.093,10,50,0.62
,15:00:04,6,3590,334.6,0.65,13.3,7,29.1,0.094,10,50,0.62
,15:00:05,6,3590,335.6,0.65,13.3,7,29.1,0.097,10,50,0.62
,15:00:06,6,3590,336.6,0.65,13.3,7,29.1,0.098,10,50,0.63
,15:00:07,6,3590,337.6,0.65,13.3,7,29.1,0.098,10,50,0.63
,15:00:08,6,3590,338.6,0.65,13.3,7,29.2,0.098,10,50,0.63
,15:00:09,6,3590,339.6,0.65,13.3,7,29.2,0.097,10,50,0.62
,15:00:10,6,3590,340.6,0.64,13.3,7,29.2,0.096,10,50,0.62
,15:00:11,6,3590,341.6,0.64,13.3,7,29.2,0.096,10,50,0.62
,15:00:12,6,3590,342.6,0.65,13.3,7,29.3,0.093,10,50,0.62
,15:00:13,6,3590,343.6,0.65,13.3,7,29.3,0.094,10,50,0.62
,15:00:14,6,3590,344.6,0.65,13.3,7,29.3,0.094,10,50,0.62
,15:00:15,6,3590,345.6,0.64,13.3,7,29.3,0.096,10,50,0.62
,15:00:16,6,3590,346.6,0.64,13.3,7,29.3,0.096,10,50,0.62
,15:00:17,6,3590,347.6,0.64,13.3,7,29.4,0.093,10,50,0.62
,15:00:18,6,3590,348.6,0.64,13.3,7,29.4,0.093,10,50,0.62
,15:00:19,6,3590,349.6,0.64,13.3,7,29.4,0.092,10,50,0.61
,15:00:20,6,3590,350.6,0.63,13.3,7,29.4,0.095,10,50,0.61
,15:00:21,6,3590,351.6,0.64,13.3,7,29.4,0.095,10,50,0.61
,15:00:22,6,3590,352.6,0.64,13.3,7,29.4,0.092,10,50,0.62
,15:00:23,6,3590,353.6,0.64,13.3,7,29.4,0.092,10,50,0.61
,15:00:24,6,3590,354.6,0.63,13.3,7,29.5,0.088,10,50,0.61
,15:00:25,6,3590,355.6,0.63,13.3,7,29.5,0.088,10,50,0.61
,15:00:26,6,3590,356.6,0.64,13.3,7,29.5,0.092,10,50,0.61
,15:00:27,6,3590,357.6,0.64,13.3,7,29.5,0.096,10,50,0.62
,15:00:28,6,3590,358.6,0.64,13.3,7,29.5,0.096,10,50,0.61
,15:00:29,6,3590,359.6,0.63,13.3,7,29.6,0.095,10,50,0.61
,15:00:30,6,3590,360.6,0.63,13.3,7,29.6,0.094,10,50,0.6
,15:00:31,6,3590,361.6,0.63,13.3,7,29.6,0.09,10,50,0.6
,15:00:32,6,3590,362.6,0.63,13.3,7,29.6,0.091,10,50,0.6
,15:00:33,6,3590,363.6,0.63,13.3,7,29.6,0.091,10,50,0.6
,15:00:34,6,3590,364.6,0.63,13.3,7,29.7,0.091,10,50,0.61
,15:00:35,6,3590,365.6,0.63,13.3,7,29.7,0.095,10,50,0.61
,15:00:36,6,3590,366.6,0.63,13.3,7,29.7,0.095,10,50,0.61
,15:00:37,6,3590,367.6,0.63,13.3,7,29.7,0.095,10,50,0.61
,15:00:38,6,3590,368.6,0.63,13.3,7,29.8,0.091,10,50,0.61
,15:00:39,6,3590,369.6,0.63,13.3,7,29.7,0.091,10,50,0.61
,15:00:40,6,3590,370.6,0.63,13.3,7,29.8,0.091,10,50,0.61
,15:00:41,6,3590,371.6,0.63,13.3,7,29.8,0.095,10,50,0.61
,15:00:42,6,3590,372.6,0.63,13.3,7,29.8,0.094,10,50,0.6
,15:00:43,6,3590,373.6,0.63,13.3,7,29.8,0.091,10,50,0.61
,15:00:44,6,3590,374.6,0.63,13.3,7,29.8,0.091,10,50,0.61
,15:00:45,6,3590,375.6,0.64,13.3,7,29.9,0.092,10,50,0.61
,15:00:46,6,3590,376.6,0.63,13.3,7,29.9,0.088,10,50,0.61
,15:00:47,6,3590,377.6,0.63,13.3,7,29.9,0.09,10,50,0.6
,15:00:48,6,3590,378.6,0.63,13.3,7,30,0.094,10,50,0.6
,15:00:49,6,3590,379.6,0.63,13.3,7,30,0.094,10,50,0.6
,15:00:50,6,3590,380.6,0.63,13.3,7,30,0.094,10,50,0.6
,15:00:51,6,3590,381.6,0.62,13.3,7,30,0.093,10,50,0.6
,15:00:52,6,3590,382.6,0.62,13.3,7,30,0.093,10,50,0.6
,15:00:53,6,3590,383.6,0.62,13.3,7,30.1,0.093,10,50,0.6
