Data file,,RA0.3_HEF_12C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:44:02 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:03:29,4,2700,1166.1,1.92,13.3,9,11.2,0.213,10,0.2,1.79
,14:03:30,4,2700,1167.1,1.92,13.3,9,11.2,0.213,10,0.2,1.79
,14:03:31,4,2700,1168.1,1.92,13.3,9,11.2,0.214,10,0.2,1.8
,14:03:32,4,2700,1169.1,1.93,13.3,9,11.2,0.215,10,0.2,1.8
,14:03:33,4,2700,1170.1,1.93,13.3,9,11.2,0.215,10,0.1,1.81
,14:03:34,4,2700,1171.1,1.93,13.3,9,11.3,0.215,10,0.3,1.8
,14:03:35,4,2700,1172.1,1.92,13.3,9,11.3,0.213,10,0.4,1.79
,14:03:36,4,2700,1173.1,1.91,13.3,9,11.3,0.212,10,0.5,1.78
,14:03:37,4,2700,1174.1,1.9,13.3,9,11.3,0.211,10,0.4,1.77
,14:03:38,4,2700,1175.1,1.89,13.3,9,11.3,0.204,10,0.3,1.77
,14:03:39,4,2700,1176.1,1.88,13.3,9,11.3,0.204,10,0.3,1.76
,14:03:40,4,2700,1177.1,1.88,13.3,9,11.3,0.21,10,0.3,1.76
,14:03:41,4,2700,1178.1,1.89,13.3,9,11.3,0.21,10,0.2,1.77
,14:03:42,4,2700,1179.1,1.89,13.3,9,11.3,0.211,10,0.2,1.77
,14:03:43,4,2700,1180.1,1.9,13.3,9,11.4,0.211,10,0.2,1.78
,14:03:44,4,2700,1181.1,1.9,13.3,9,11.4,0.211,10,0.2,1.77
,14:03:45,4,2700,1182.1,1.89,13.3,9,11.4,0.211,10,0.2,1.77
,14:03:46,4,2700,1183.1,1.88,13.3,9,11.4,0.21,10,0.2,1.76
,14:03:47,4,2700,1184.1,1.88,13.3,9,11.4,0.204,10,0.2,1.76
,14:03:48,4,2700,1185.1,1.88,13.3,9,11.5,0.203,10,0.1,1.76
,14:03:49,4,2700,1186.1,1.87,13.3,9,11.5,0.209,10,0.2,1.76
,14:03:50,4,2700,1187.1,1.87,13.3,9,11.5,0.209,10,0.3,1.76
,14:03:51,4,2700,1188.1,1.87,13.3,9,11.5,0.209,10,0.5,1.76
,14:03:52,4,2700,1189.1,1.88,13.3,9,11.5,0.209,10,2.4,1.76
,14:03:53,4,2700,1190.1,1.89,13.3,9,11.5,0.211,10,2.4,1.77
,14:03:54,4,2700,1191.1,1.9,13.3,9,11.6,0.211,10,1.6,1.78
,14:03:55,4,2700,1192.1,1.91,13.3,9,11.6,0.212,10,1,1.79
,14:03:56,4,2700,1193.1,1.91,13.3,9,11.6,0.207,10,1.3,1.79
,14:03:57,4,2700,1194.1,1.91,13.3,9,11.6,0.201,10,2.7,1.79
,14:03:58,4,2700,1195.1,1.9,13.3,9,11.6,0.206,10,3.8,1.78
,14:03:59,4,2700,1196.1,1.89,13.3,9,11.6,0.211,10,5.1,1.77
,14:04:00,4,2700,1197.1,1.88,13.3,9,11.6,0.21,10,5.5,1.76
,14:04:01,4,2700,1198.1,1.88,13.3,9,11.7,0.209,10,3.8,1.76
,14:04:02,4,2700,1199.1,1.87,13.3,9,11.7,0.209,10,3.4,1.76
,14:04:03,4,2700,1200.1,1.87,13.3,9,11.7,0.209,10,4.4,1.76
,14:04:04,4,2700,1201.1,1.87,13.3,9,11.7,0.209,10,5.9,1.75
,14:04:05,4,2700,1202.1,1.87,13.3,9,11.7,0.203,10,5.9,1.76
,14:04:06,4,2700,1203.1,1.88,13.3,9,11.7,0.203,10,4.5,1.76
,14:04:07,4,2700,1204.1,1.88,13.3,9,11.8,0.21,10,3.9,1.76
,14:04:08,4,2700,1205.1,1.88,13.3,9,11.8,0.21,10,3.7,1.76
,14:04:09,4,2700,1206.1,1.88,13.3,9,11.8,0.209,10,2.5,1.76
,14:04:10,4,2700,1207.1,1.87,13.3,9,11.8,0.209,10,2.4,1.76
,14:04:11,4,2700,1208.1,1.87,13.3,9,11.8,0.209,10,2.3,1.76
,14:04:12,4,2700,1209.1,1.88,13.3,9,11.9,0.209,10,2.9,1.76
,14:04:13,4,2700,1210.1,1.88,13.3,9,11.9,0.21,10,3.3,1.76
,14:04:14,4,2700,1211.1,1.89,13.3,9,11.9,0.21,10,2.6,1.77
,14:04:15,4,2700,1212.1,1.88,13.3,9,11.9,0.21,10,1.6,1.76
,14:04:16,4,2700,1213.1,1.88,13.3,9,11.9,0.21,10,1,1.76
,14:04:17,4,2700,1214.1,1.89,13.3,9,11.9,0.21,10,0.7,1.77
,14:04:18,4,2700,1215.1,1.89,13.3,9,11.9,0.211,10,0.5,1.77
,14:04:19,4,2700,1216.1,1.89,13.3,9,12,0.204,10,0.5,1.77
,14:04:20,4,2700,1217.1,1.87,13.3,9,12,0.203,10,0.5,1.76
,14:04:21,4,2700,1218.1,1.86,13.3,9,12,0.196,10,0.5,1.74
,14:04:22,4,2700,1219.1,1.86,13.3,9,12,0.201,10,0.7,1.74
,14:04:23,4,2700,1220.1,1.86,13.3,9,12,0.207,10,0.6,1.74
,14:04:24,4,2700,1221.1,1.86,13.3,9,12.1,0.207,10,0.7,1.74
,14:04:25,4,2700,1222.1,1.86,13.3,9,12.1,0.207,10,0.6,1.74
,14:04:26,4,2700,1223.1,1.85,13.3,9,12.1,0.207,10,0.5,1.74
,14:04:27,4,2700,1224.1,1.86,13.3,9,12.1,0.213,10,0.5,1.74
,14:04:28,4,2700,1225.1,1.87,13.3,9,12.1,0.214,10,0.8,1.75
,14:04:29,4,2700,1226.1,1.89,13.3,9,12.1,0.21,10,0.8,1.77
,14:04:30,4,2700,1227.1,1.9,13.3,9,12.2,0.212,10,1.1,1.78
,14:04:31,4,2700,1228.1,1.9,13.3,9,12.2,0.211,10,1.4,1.77
,14:04:32,4,2700,1229.1,1.88,13.3,9,12.2,0.21,10,1.4,1.76
,14:04:33,4,2700,1230.1,1.87,13.3,9,12.2,0.208,10,1.4,1.75
,14:04:34,4,2700,1231.1,1.86,13.3,9,12.3,0.208,10,1,1.75
,14:04:35,4,2700,1232.1,1.86,13.3,9,12.3,0.207,10,1.6,1.74
,14:04:36,4,2700,1233.1,1.86,13.3,9,12.2,0.207,10,2,1.74
,14:04:37,4,2700,1234.1,1.86,13.3,9,12.3,0.207,10,1.5,1.74
,14:04:38,4,2700,1235.1,1.86,13.3,9,12.3,0.207,10,1,1.74
,14:04:39,4,2700,1236.1,1.86,13.3,9,12.3,0.207,10,0.8,1.74
,14:04:40,4,2700,1237.1,1.87,13.3,9,12.3,0.208,10,0.7,1.75
,14:04:41,4,2700,1238.1,1.88,13.3,9,12.3,0.209,10,0.5,1.76
,14:04:42,4,2700,1239.1,1.9,13.3,9,12.3,0.211,10,0.5,1.78
,14:04:43,4,2700,1240.1,1.91,13.3,9,12.4,0.207,10,0.8,1.79
,14:04:44,4,2700,1241.1,1.91,13.3,9,12.4,0.207,10,1,1.79
,14:04:45,4,2700,1242.1,1.91,13.3,9,12.4,0.206,10,1.3,1.78
,14:04:46,4,2700,1243.1,1.89,13.3,9,12.4,0.205,10,1.4,1.77
,14:04:47,4,2700,1244.1,1.87,13.3,9,12.4,0.203,10,1,1.76
,14:04:48,4,2700,1245.1,1.87,13.3,9,12.5,0.203,10,0.8,1.75
,14:04:49,4,2700,1246.1,1.87,13.3,9,12.5,0.203,10,0.7,1.76
,14:04:50,4,2700,1247.1,1.89,13.3,9,12.5,0.204,10,0.5,1.77
,14:04:51,4,2700,1248.1,1.9,13.3,9,12.5,0.206,10,0.4,1.78
,14:04:52,4,2700,1249.1,1.91,13.3,9,12.6,0.207,10,0.4,1.79
,14:04:53,4,2700,1250.1,1.91,13.3,9,12.6,0.207,10,0.5,1.79
,14:04:54,4,2700,1251.1,1.9,13.3,9,12.6,0.206,10,0.5,1.78
,14:04:55,4,2700,1252.1,1.89,13.3,9,12.6,0.205,10,0.6,1.77
,14:04:56,4,2700,1253.1,1.88,13.3,9,12.6,0.209,10,0.6,1.76
,14:04:57,4,2700,1254.1,1.87,13.3,9,12.6,0.203,10,0.8,1.75
,14:04:58,4,2700,1255.1,1.86,13.3,9,12.6,0.202,10,1.1,1.74
,14:04:59,4,2700,1256.1,1.85,13.3,9,12.6,0.2,10,1.1,1.73
,14:05:00,4,2700,1257.1,1.83,13.3,9,12.6,0.204,10,1,1.71
,14:05:01,4,2700,1258.1,1.82,13.3,9,12.7,0.203,10,1.9,1.7
,14:05:02,4,2700,1259.1,1.82,13.3,9,12.7,0.202,10,1.6,1.7
,14:05:03,4,2700,1260.1,1.82,13.3,9,12.7,0.203,10,1,1.7
,14:05:04,4,2700,1261.1,1.82,13.3,9,12.7,0.203,10,0.8,1.71
,14:05:05,4,2700,1262.1,1.83,13.3,9,12.7,0.204,10,1.1,1.71
,14:05:06,4,2700,1263.1,1.84,13.3,9,12.7,0.205,10,0.8,1.72
,14:05:07,4,2700,1264.1,1.85,13.3,9,12.8,0.2,10,1.3,1.73
,14:05:08,4,2700,1265.1,1.85,13.3,9,12.8,0.201,10,1.9,1.74
,14:05:09,4,2700,1266.1,1.85,13.3,9,12.8,0.201,10,1.3,1.73
,14:05:10,4,2700,1267.1,1.85,13.3,9,12.8,0.195,10,0.9,1.73
,14:05:11,4,2700,1268.1,1.85,13.3,9,12.8,0.195,10,1.3,1.73
,14:05:12,4,2700,1269.1,1.85,13.3,9,12.8,0.195,10,1.6,1.73
,14:05:13,4,2700,1270.1,1.84,13.3,9,12.9,0.199,10,1.6,1.72
,14:05:14,4,2700,1271.1,1.83,13.3,9,12.8,0.199,10,1.3,1.72
,14:05:15,4,2700,1272.1,1.82,13.3,9,12.9,0.197,10,1,1.71
,14:05:16,4,2700,1273.1,1.82,13.3,9,12.9,0.202,10,0.7,1.7
,14:05:17,4,2700,1274.1,1.81,13.3,9,12.9,0.202,10,0.5,1.69
,14:05:18,4,2700,1275.1,1.82,13.3,9,12.9,0.202,10,0.4,1.7
,14:05:19,4,2700,1276.1,1.82,13.3,9,12.9,0.203,10,0.3,1.71
,14:05:20,4,2700,1277.1,1.83,13.3,9,12.9,0.204,10,0.3,1.71
,14:05:21,4,2700,1278.1,1.83,13.3,9,12.9,0.204,10,0.3,1.71
,14:05:22,4,2700,1279.1,1.82,13.3,9,13,0.203,10,0.3,1.71
,14:05:23,4,2700,1280.1,1.83,13.3,9,13,0.203,10,0.2,1.71
,14:05:24,4,2700,1281.1,1.83,13.3,9,13,0.204,10,0.2,1.71
,14:05:25,4,2700,1282.1,1.84,13.3,9,13,0.205,10,0.2,1.72
,14:05:26,4,2700,1283.1,1.85,13.3,9,13,0.2,10,0.2,1.73
,14:05:27,4,2700,1284.1,1.85,13.3,9,13,0.2,10,0.2,1.73
,14:05:28,4,2700,1285.1,1.85,13.3,9,13,0.201,10,0.2,1.74
,14:05:29,4,2700,1286.1,1.85,13.3,9,13,0.2,10,0.2,1.73
,14:05:30,4,2700,1287.1,1.84,13.3,9,13.1,0.199,10,0.2,1.72
,14:05:31,4,2700,1288.1,1.83,13.3,9,13.1,0.193,10,0.2,1.71
,14:05:32,4,2700,1289.1,1.81,13.3,9,13.1,0.196,10,0.2,1.69
,14:05:33,4,2700,1290.1,1.79,13.3,9,13.1,0.2,10,0.2,1.68
,14:05:34,4,2700,1291.1,1.77,13.3,9,13.1,0.197,10,0.2,1.65
,14:05:35,4,2700,1292.1,1.75,13.3,9,13.1,0.195,10,0.2,1.64
,14:05:36,4,2700,1293.1,1.75,13.3,9,13.1,0.195,10,0.2,1.63
,14:05:37,4,2700,1294.1,1.75,13.3,9,13.1,0.2,10,0.2,1.63
,14:05:38,4,2700,1295.1,1.75,13.3,8,13.1,0.207,10,0.2,1.64
,14:05:39,4,2700,1296.1,1.76,13.3,8,13.1,0.208,10,0.2,1.65
,14:05:40,4,2700,1297.1,1.78,13.3,9,13.1,0.204,10,0.2,1.67
,14:05:41,4,2700,1298.1,1.8,13.3,9,13.1,0.206,10,0.3,1.69
,14:05:42,4,2700,1299.1,1.82,13.3,9,13.2,0.209,10,0.3,1.7
,14:05:43,4,2700,1300.1,1.83,13.3,9,13.2,0.21,10,0.3,1.72
,14:05:44,4,2700,1301.1,1.84,13.3,9,13.2,0.211,10,0.3,1.72
,14:05:45,4,2700,1302.1,1.84,13.3,9,13.2,0.205,10,0.3,1.72
,14:05:46,4,2700,1303.1,1.84,13.3,9,13.2,0.211,10,0.2,1.73
,14:05:47,4,2700,1304.1,1.85,13.3,9,13.2,0.212,10,0.3,1.73
,14:05:48,4,2700,1305.1,1.85,13.3,9,13.2,0.206,10,0.3,1.73
,14:05:49,4,2700,1306.1,1.85,13.3,9,13.2,0.207,10,0.3,1.74
,14:05:50,4,2700,1307.1,1.86,13.3,9,13.2,0.207,10,0.3,1.74
,14:05:51,4,2700,1308.1,1.86,13.3,9,13.2,0.214,10,0.3,1.75
,14:05:52,4,2700,1309.1,1.87,13.3,9,13.2,0.208,10,0.3,1.75
,14:05:53,4,2700,1310.1,1.88,13.3,9,13.2,0.209,10,0.3,1.76
,14:05:54,4,2700,1311.1,1.9,13.3,9,13.2,0.205,10,0.3,1.77
,14:05:55,4,2700,1312.1,1.91,13.3,9,13.2,0.212,10,0.3,1.78
,14:05:56,4,2700,1313.1,1.91,13.3,9,13.2,0.213,10,0.3,1.79
,14:05:57,4,2700,1314.1,1.91,13.3,9,13.2,0.213,10,0.3,1.79
,14:05:58,4,2700,1315.1,1.91,13.3,9,13.2,0.213,10,0.2,1.79
,14:05:59,4,2700,1316.1,1.91,13.3,9,13.2,0.213,10,0.3,1.79
,14:06:00,4,2700,1317.1,1.9,13.3,9,13.2,0.212,10,0.3,1.78
,14:06:01,4,2700,1318.1,1.9,13.3,9,13.3,0.217,10,0.3,1.77
,14:06:02,4,2700,1319.1,1.89,13.3,9,13.3,0.217,10,0.3,1.77
,14:06:03,4,2700,1320.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:04,4,2700,1321.1,1.91,13.3,9,13.3,0.213,10,0.3,1.79
,14:06:05,4,2700,1322.1,1.92,13.3,9,13.3,0.214,10,0.3,1.8
,14:06:06,4,2700,1323.1,1.93,13.3,9,13.3,0.215,10,0.3,1.8
,14:06:07,4,2700,1324.1,1.93,13.3,9,13.3,0.215,10,0.3,1.8
,14:06:08,4,2700,1325.1,1.93,13.3,9,13.3,0.215,10,0.3,1.8
,14:06:09,4,2700,1326.1,1.93,13.3,9,13.3,0.215,10,0.3,1.8
,14:06:10,4,2700,1327.1,1.92,13.3,9,13.3,0.208,10,0.3,1.8
,14:06:11,4,2700,1328.1,1.92,13.3,9,13.3,0.208,10,0.3,1.8
,14:06:12,4,2700,1329.1,1.92,13.3,9,13.3,0.208,10,0.3,1.8
,14:06:13,4,2700,1330.1,1.91,13.3,9,13.3,0.207,10,0.3,1.79
,14:06:14,4,2700,1331.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:15,4,2700,1332.1,1.89,13.3,9,13.3,0.211,10,0.3,1.77
,14:06:16,4,2700,1333.1,1.88,13.3,9,13.3,0.21,10,0.3,1.76
,14:06:17,4,2700,1334.1,1.88,13.3,9,13.3,0.209,10,0.3,1.76
,14:06:18,4,2700,1335.1,1.88,13.3,9,13.3,0.209,10,0.3,1.76
,14:06:19,4,2700,1336.1,1.88,13.3,9,13.3,0.21,10,0.3,1.76
,14:06:20,4,2700,1337.1,1.9,13.3,9,13.3,0.211,10,0.3,1.78
,14:06:21,4,2700,1338.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:22,4,2700,1339.1,1.91,13.3,9,13.3,0.213,10,0.3,1.79
,14:06:23,4,2700,1340.1,1.91,13.3,9,13.3,0.207,10,0.3,1.79
,14:06:24,4,2700,1341.1,1.91,13.3,9,13.3,0.207,10,0.3,1.79
,14:06:25,4,2700,1342.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:26,4,2700,1343.1,1.9,13.3,9,13.3,0.211,10,0.3,1.77
,14:06:27,4,2700,1344.1,1.9,13.3,9,13.3,0.205,10,0.3,1.77
,14:06:28,4,2700,1345.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:29,4,2700,1346.1,1.9,13.3,9,13.3,0.206,10,0.3,1.78
,14:06:30,4,2700,1347.1,1.9,13.3,9,13.3,0.206,10,0.3,1.78
,14:06:31,4,2700,1348.1,1.9,13.3,9,13.3,0.206,10,0.3,1.78
,14:06:32,4,2700,1349.1,1.9,13.3,9,13.3,0.211,10,0.3,1.78
,14:06:33,4,2700,1350.1,1.89,13.3,9,13.3,0.21,10,0.3,1.77
,14:06:34,4,2700,1351.1,1.88,13.3,9,13.3,0.216,10,0.3,1.76
,14:06:35,4,2700,1352.1,1.88,13.3,9,13.3,0.209,10,0.3,1.76
,14:06:36,4,2700,1353.1,1.87,13.3,9,13.3,0.209,10,0.3,1.75
,14:06:37,4,2700,1354.1,1.87,13.3,9,13.3,0.208,10,0.3,1.75
,14:06:38,4,2700,1355.1,1.87,13.3,9,13.3,0.208,10,0.3,1.75
,14:06:39,4,2700,1356.1,1.88,13.3,9,13.3,0.21,10,0.3,1.76
,14:06:40,4,2700,1357.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:41,4,2700,1358.1,1.92,13.3,9,13.3,0.208,10,0.3,1.8
,14:06:42,4,2700,1359.1,1.92,13.3,9,13.3,0.214,10,0.3,1.8
,14:06:43,4,2700,1360.1,1.91,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:44,4,2700,1361.1,1.9,13.3,9,13.3,0.211,10,0.2,1.77
,14:06:45,4,2700,1362.1,1.89,13.3,9,13.3,0.211,10,0.3,1.77
,14:06:46,4,2700,1363.1,1.9,13.3,9,13.3,0.206,10,0.2,1.78
,14:06:47,4,2700,1364.1,1.91,13.3,9,13.3,0.213,10,0.2,1.79
,14:06:48,4,2700,1365.1,1.91,13.3,9,13.3,0.213,10,0.2,1.79
,14:06:49,4,2700,1366.1,1.91,13.3,9,13.3,0.213,10,0.2,1.79
,14:06:50,4,2700,1367.1,1.91,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:51,4,2700,1368.1,1.9,13.3,9,13.3,0.212,10,0.3,1.78
,14:06:52,4,2700,1369.1,1.9,13.3,9,13.3,0.206,10,0.3,1.78
,14:06:53,4,2700,1370.1,1.91,13.3,9,13.3,0.207,10,0.3,1.79
,14:06:54,4,2700,1371.1,1.91,13.3,9,13.3,0.207,10,0.3,1.78
,14:06:55,4,2700,1372.1,1.9,13.3,9,13.2,0.2,10,0.2,1.78
,14:06:56,4,2700,1373.1,1.89,13.3,9,13.2,0.199,10,0.2,1.76
,14:06:57,4,2700,1374.1,1.88,13.3,10,13.2,0.193,10,0.3,1.76
,14:06:58,4,2700,1375.1,1.88,13.3,9,13.2,0.198,10,0.3,1.76
,14:06:59,4,2700,1376.1,1.87,13.3,9,13.2,0.203,10,0.3,1.76
,14:07:00,4,2700,1377.1,1.86,13.3,9,13.2,0.207,10,0.2,1.74
,14:07:01,4,2700,1378.1,1.84,13.3,9,13.2,0.205,10,0.2,1.72
,14:07:02,4,2700,1379.1,1.83,13.3,9,13.2,0.203,10,0.3,1.71
,14:07:03,4,2700,1380.1,1.83,13.3,9,13.2,0.204,10,0.2,1.71
,14:07:04,4,2700,1381.1,1.83,13.3,9,13.2,0.21,10,0.3,1.71
,14:07:05,4,2700,1382.1,1.83,13.3,9,13.2,0.21,10,0.2,1.72
,14:07:06,4,2700,1383.1,1.84,13.3,9,13.2,0.211,10,0.3,1.72
,14:07:07,4,2700,1384.1,1.84,13.3,9,13.2,0.211,10,0.3,1.72
,14:07:08,4,2700,1385.1,1.84,13.3,9,13.2,0.205,10,0.3,1.73
,14:07:09,4,2700,1386.1,1.85,13.3,9,13.2,0.206,10,0.2,1.73
,14:07:10,4,2700,1387.1,1.86,13.3,9,13.2,0.207,10,0.3,1.74
,14:07:11,4,2700,1388.1,1.85,13.3,9,13.2,0.207,10,0.3,1.74
,14:07:12,4,2700,1389.1,1.85,13.3,9,13.2,0.212,10,0.2,1.73
,14:07:13,4,2700,1390.1,1.85,13.3,9,13.2,0.206,10,0.2,1.73
,14:07:14,4,2700,1391.1,1.84,13.3,9,13.1,0.205,10,0.3,1.72
,14:07:15,4,2700,1392.1,1.83,13.3,9,13.1,0.204,10,0.2,1.71
,14:07:16,4,2700,1393.1,1.82,13.3,9,13.1,0.203,10,0.2,1.71
,14:07:17,4,2700,1394.1,1.82,13.3,9,13.1,0.203,10,0.3,1.7
,14:07:18,4,2700,1395.1,1.81,13.3,9,13.1,0.202,10,0.3,1.7
,14:07:19,4,2700,1396.1,1.81,13.3,9,13.1,0.201,10,0.3,1.69
,14:07:20,4,2700,1397.1,1.8,13.3,9,13.1,0.201,10,0.3,1.69
,14:07:21,4,2700,1398.1,1.81,13.3,9,13.1,0.201,10,0.3,1.69
,14:07:22,4,2700,1399.1,1.82,13.3,9,13.1,0.203,10,0.3,1.71
,14:07:23,4,2700,1400.1,1.84,13.3,9,13.1,0.205,10,0.3,1.73
,14:07:24,4,2700,1401.1,1.86,13.3,9,13.1,0.207,10,0.3,1.75
,14:07:25,4,2700,1402.1,1.87,13.3,9,13.1,0.203,10,0.2,1.75
,14:07:26,4,2700,1403.1,1.87,13.3,9,13,0.203,10,0.3,1.76
,14:07:27,4,2700,1404.1,1.87,13.3,9,13,0.203,10,0.6,1.75
,14:07:28,4,2700,1405.1,1.86,13.3,9,13,0.207,10,0.5,1.74
,14:07:29,4,2700,1406.1,1.85,13.3,9,13,0.207,10,0.6,1.74
,14:07:30,4,2700,1407.1,1.85,13.3,9,13,0.207,10,0.5,1.74
,14:07:31,4,2700,1408.1,1.86,13.3,9,13,0.207,10,0.4,1.74
,14:07:32,4,2700,1409.1,1.87,13.3,9,13,0.202,10,0.3,1.75
,14:07:33,4,2700,1410.1,1.87,13.3,9,13,0.203,10,0.4,1.75
,14:07:34,4,2700,1411.1,1.86,13.3,9,13,0.202,10,0.4,1.74
,14:07:35,4,2700,1412.1,1.86,13.3,9,13,0.201,10,0.4,1.74
,14:07:36,4,2700,1413.1,1.85,13.3,9,13,0.201,10,0.3,1.74
,14:07:37,4,2700,1414.1,1.85,13.3,9,13,0.195,10,0.4,1.74
,14:07:38,4,2700,1415.1,1.85,13.3,9,13,0.195,10,0.4,1.73
,14:07:39,4,2700,1416.1,1.85,13.3,9,12.9,0.201,10,0.3,1.73
,14:07:40,4,2700,1417.1,1.85,13.3,9,12.9,0.206,10,0.3,1.73
,14:07:41,4,2700,1418.1,1.84,13.3,9,12.9,0.205,10,0.3,1.73
,14:07:42,4,2700,1419.1,1.84,13.3,9,12.9,0.205,10,0.3,1.73
,14:07:43,4,2700,1420.1,1.85,13.3,9,12.9,0.206,10,0.3,1.73
,14:07:44,4,2700,1421.1,1.85,13.3,9,12.9,0.206,10,0.3,1.74
,14:07:45,4,2700,1422.1,1.86,13.3,9,12.9,0.207,10,0.3,1.74
,14:07:46,4,2700,1423.1,1.86,13.3,9,12.9,0.207,10,0.3,1.74
,14:07:47,4,2700,1424.1,1.85,13.3,9,12.9,0.206,10,0.3,1.73
,14:07:48,4,2700,1425.1,1.84,13.3,9,12.9,0.205,10,0.3,1.72
,14:07:49,4,2700,1426.1,1.83,13.3,9,12.9,0.203,10,0.3,1.71
,14:07:50,4,2700,1427.1,1.83,13.3,9,12.9,0.203,10,0.3,1.71
,14:07:51,4,2700,1428.1,1.83,13.3,9,12.9,0.203,10,0.3,1.71
,14:07:52,4,2700,1429.1,1.82,13.3,9,12.8,0.209,10,0.3,1.71
,14:07:53,4,2700,1430.1,1.83,13.3,9,12.8,0.21,10,0.3,1.71
,14:07:54,4,2700,1431.1,1.85,13.3,9,12.8,0.206,10,0.3,1.73
,14:07:55,4,2700,1432.1,1.86,13.3,9,12.8,0.207,10,0.3,1.74
,14:07:56,4,2700,1433.1,1.85,13.3,9,12.8,0.206,10,0.7,1.73
,14:07:57,4,2700,1434.1,1.84,13.3,9,12.8,0.205,10,0.6,1.72
,14:07:58,4,2700,1435.1,1.83,13.3,9,12.8,0.204,10,0.6,1.72
,14:07:59,4,2700,1436.1,1.83,13.3,9,12.8,0.204,10,0.5,1.72
,14:08:00,4,2700,1437.1,1.83,13.3,9,12.8,0.204,10,0.4,1.71
,14:08:01,4,2700,1438.1,1.82,13.3,9,12.8,0.203,10,0.3,1.7
,14:08:02,4,2700,1439.1,1.82,13.3,9,12.7,0.203,10,0.3,1.7
,14:08:03,4,2700,1440.1,1.82,13.3,9,12.7,0.197,10,0.3,1.7
,14:08:04,4,2700,1441.1,1.83,13.3,9,12.7,0.198,10,0.3,1.71
,14:08:05,4,2700,1442.1,1.84,13.3,9,12.7,0.194,10,0.3,1.72
,14:08:06,4,2700,1443.1,1.84,13.3,9,12.7,0.194,10,0.3,1.72
,14:08:07,4,2700,1444.1,1.84,13.3,9,12.7,0.194,10,0.4,1.73
,14:08:08,4,2700,1445.1,1.85,13.3,9,12.7,0.2,10,0.3,1.73
,14:08:09,4,2700,1446.1,1.85,13.3,9,12.7,0.2,10,0.3,1.73
,14:08:10,4,2700,1447.1,1.84,13.3,9,12.7,0.205,10,0.3,1.73
,14:08:11,4,2700,1448.1,1.84,13.3,9,12.7,0.205,10,0.3,1.72
,14:08:12,4,2700,1449.1,1.83,13.3,9,12.6,0.21,10,0.3,1.72
,14:08:13,4,2700,1450.1,1.83,13.3,9,12.6,0.21,10,0.3,1.71
,14:08:14,4,2700,1451.1,1.83,13.3,9,12.6,0.204,10,0.3,1.71
,14:08:15,4,2700,1452.1,1.82,13.3,9,12.6,0.203,10,0.3,1.71
,14:08:16,4,2700,1453.1,1.82,13.3,9,12.6,0.203,10,0.3,1.71
,14:08:17,4,2700,1454.1,1.83,13.3,9,12.6,0.204,10,0.3,1.71
,14:08:18,4,2700,1455.1,1.84,13.3,9,12.6,0.205,10,0.3,1.73
,14:08:19,4,2700,1456.1,1.85,13.3,9,12.6,0.206,10,0.3,1.73
,14:08:20,4,2700,1457.1,1.85,13.3,9,12.5,0.206,10,0.3,1.73
,14:08:21,4,2700,1458.1,1.84,13.3,9,12.5,0.205,10,0.3,1.72
,14:08:22,4,2700,1459.1,1.84,13.3,9,12.5,0.205,10,0.3,1.72
,14:08:23,4,2700,1460.1,1.83,13.3,9,12.5,0.204,10,0.3,1.72
,14:08:24,4,2700,1461.1,1.83,13.3,9,12.5,0.204,10,0.3,1.71
,14:08:25,4,2700,1462.1,1.83,13.3,9,12.5,0.204,10,0.3,1.71
,14:08:26,4,2700,1463.1,1.83,13.3,9,12.5,0.198,10,0.3,1.71
,14:08:27,4,2700,1464.1,1.84,13.3,9,12.5,0.194,10,0.3,1.72
,14:08:28,4,2700,1465.1,1.84,13.3,9,12.5,0.194,10,0.3,1.72
,14:08:29,4,2700,1466.1,1.84,13.3,9,12.5,0.199,10,0.3,1.72
,14:08:30,4,2700,1467.1,1.84,13.3,9,12.5,0.205,10,0.3,1.72
