Data file,,RA0.3_HEF65_-8C_002_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,23/03/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:40:52 on 23/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:51:32,4,2700,639.4,0.03,0,9,-7.6,0.003,10,0.1,0.03
,14:51:33,4,2700,640.4,0.27,0.5,9,-7.6,0.029,10,0.1,0.28
,14:51:34,4,2700,641.4,0.67,6.2,9,-7.6,0.073,10,0.1,0.67
,14:51:35,4,2700,642.4,1.12,12.1,9,-7.6,0.121,10,0.1,1.08
,14:51:36,4,2700,643.4,1.35,13.3,9,-7.6,0.142,10,0.1,1.27
,14:51:37,4,2700,644.4,1.41,13.3,9,-7.6,0.153,10,0.1,1.33
,14:51:38,4,2700,645.4,1.43,13.3,9,-7.6,0.154,10,0.1,1.34
,14:51:39,4,2700,646.4,1.42,13.3,9,-7.7,0.154,10,0.1,1.33
,14:51:40,4,2700,647.4,1.42,13.3,9,-7.7,0.154,10,0.1,1.33
,14:51:41,4,2700,648.4,1.42,13.3,9,-7.7,0.158,10,0.1,1.33
,14:51:42,4,2700,649.4,1.42,13.3,9,-7.8,0.158,10,0.1,1.33
,14:51:43,4,2700,650.4,1.42,13.3,9,-7.8,0.158,10,0.1,1.33
,14:51:44,4,2700,651.4,1.42,13.3,9,-7.8,0.158,10,0.1,1.33
,14:51:45,4,2700,652.4,1.42,13.3,9,-7.8,0.159,10,0.1,1.33
,14:51:46,4,2700,653.4,1.43,13.3,9,-7.8,0.159,10,0.1,1.34
,14:51:47,4,2700,654.4,1.43,13.3,9,-7.8,0.155,10,0.1,1.34
,14:51:48,4,2700,655.4,1.43,13.3,9,-7.8,0.154,10,0.1,1.33
,14:51:49,4,2700,656.4,1.42,13.3,9,-7.8,0.153,10,0.1,1.33
,14:51:50,4,2700,657.4,1.41,13.3,9,-7.7,0.157,10,0.1,1.32
,14:51:51,4,2700,658.4,1.41,13.3,9,-7.8,0.157,10,0.1,1.32
,14:51:52,4,2700,659.4,1.41,13.3,9,-7.7,0.153,10,0.1,1.32
,14:51:53,4,2700,660.4,1.42,13.3,9,-7.7,0.154,10,0.1,1.33
,14:51:54,4,2700,661.4,1.42,13.3,9,-7.7,0.154,10,0.1,1.33
,14:51:55,4,2700,662.4,1.42,13.3,9,-7.6,0.154,10,0.1,1.33
