Data file,,COLSIBRO_HEF_T9_C2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,20/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Colsibro,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 16:11:02 on 20/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,colsibro_hef_t9_c2-h001.tsv,,,,,,,,,,
,16:11:59,4,5,56.3,0.02,0,7,22,0.002,10,49.5,0.02
,16:12:00,4,5,57.3,0.32,0.5,7,22,0.045,10,49.7,0.35
,16:12:01,4,5,58.3,0.74,4.4,7,22,0.106,10,49.7,0.75
,16:12:02,4,5,59.3,1.21,10.7,7,23,0.174,10,49.7,1.21
,16:12:03,4,5,60.3,1.39,13.3,7,23,0.194,10,49.7,1.35
,16:12:04,5,3590,61.3,1.48,13.3,7,23,0.198,10,49.7,1.43
,16:12:05,5,3590,62.3,1.52,13.3,7,23,0.205,10,49.7,1.47
,16:12:06,5,3590,63.3,1.55,13.3,7,22,0.216,10,49.7,1.5
,16:12:07,5,3590,64.3,1.57,13.3,7,22,0.212,10,49.6,1.52
,16:12:08,5,3590,65.3,1.56,13.3,7,22,0.21,10,49.7,1.51
,16:12:09,5,3590,66.3,1.56,13.3,7,22,0.21,10,49.7,1.5
,16:12:10,5,3590,67.3,1.56,13.3,7,22,0.21,10,49.7,1.51
,16:12:11,5,3590,68.3,1.58,13.3,7,23,0.212,10,49.7,1.52
