Data file,,DELRIN500AF_ISO10_12C_004.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:10:29 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:11:24,4,3600,54.7,0.02,0,7,11.3,0.002,10,0.2,0.02
,10:11:25,4,3600,55.7,0.3,0.2,7,11.3,0.046,10,0.2,0.32
,10:11:26,4,3600,56.7,0.69,5.3,7,11.4,0.104,10,0.1,0.68
,10:11:27,4,3600,57.7,1.06,11.7,7,11.4,0.153,10,0.2,1.02
,10:11:28,4,3600,58.7,1.12,13.2,7,11.4,0.157,10,0.2,1.05
,10:11:29,4,3600,59.7,1.08,13.3,7,11.4,0.156,10,0.1,1.01
,10:11:30,4,3600,60.7,1.05,13.3,7,11.4,0.147,10,0.1,0.98
,10:11:31,4,3600,61.7,1.03,13.3,7,11.4,0.144,10,0.1,0.96
,10:11:32,4,3600,62.7,1.01,13.3,7,11.4,0.141,10,0.1,0.95
,10:11:33,4,3600,63.7,1,13.3,7,11.4,0.139,10,0.1,0.93
,10:11:34,4,3600,64.7,0.98,13.3,7,11.4,0.137,10,0.1,0.92
,10:11:35,4,3600,65.7,0.97,13.3,7,11.4,0.141,10,0.1,0.91
,10:11:36,4,3600,66.7,0.97,13.3,7,11.4,0.14,10,0.1,0.91
,10:11:37,4,3600,67.7,0.97,13.3,7,11.4,0.14,10,0.1,0.91
,10:11:38,4,3600,68.7,0.97,13.3,7,11.4,0.14,10,0.1,0.91
,10:11:39,4,3600,69.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:40,4,3600,70.7,0.96,13.3,7,11.5,0.139,10,0.2,0.9
,10:11:41,4,3600,71.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:42,4,3600,72.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:43,4,3600,73.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:44,4,3600,74.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:45,4,3600,75.7,0.96,13.3,7,11.5,0.139,10,0.1,0.9
,10:11:46,4,3600,76.7,0.95,13.3,7,11.5,0.138,10,0.1,0.89
,10:11:47,4,3600,77.7,0.95,13.3,7,11.5,0.137,10,0.1,0.89
