Data file,,RA0.3_HEF_12C_002_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:01:25 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:05:25,4,2700,239.7,0.01,0,9,11.4,0.001,10,0.3,0.01
,12:05:26,4,2700,240.7,0.17,0.3,9,11.4,0.017,10,0.3,0.19
,12:05:27,4,2700,241.7,0.73,4.1,9,11.4,0.079,10,0.3,0.75
,12:05:28,4,2700,242.7,1.41,11.5,9,11.3,0.149,10,0.3,1.38
,12:05:29,4,2700,243.7,1.93,13.3,9,11.4,0.204,10,0.3,1.83
,12:05:30,4,2700,244.7,2.02,13.3,9,11.4,0.213,10,0.3,1.89
,12:05:31,4,2700,245.7,1.99,13.3,9,11.3,0.21,10,0.3,1.86
,12:05:32,4,2700,246.7,1.97,13.3,9,11.3,0.207,10,0.3,1.84
,12:05:33,4,2700,247.7,1.95,13.3,10,11.2,0.201,10,0.3,1.83
,12:05:34,4,2700,248.7,1.94,13.3,9,11.2,0.204,10,0.3,1.81
,12:05:35,4,2700,249.7,1.92,13.3,9,11.1,0.208,10,0.3,1.8
,12:05:36,4,2700,250.7,1.9,13.3,9,11.1,0.206,10,0.3,1.78
,12:05:37,4,2700,251.7,1.9,13.3,9,11.1,0.205,10,0.3,1.77
,12:05:38,4,2700,252.7,1.89,13.3,9,11.1,0.205,10,0.3,1.77
,12:05:39,4,2700,253.7,1.9,13.3,9,11.1,0.205,10,0.3,1.77
,12:05:40,4,2700,254.7,1.89,13.3,9,11.1,0.205,10,0.3,1.77
,12:05:41,4,2700,255.7,1.88,13.3,9,11.2,0.204,10,0.3,1.76
,12:05:42,4,2700,256.7,1.87,13.3,9,11.2,0.197,10,0.3,1.75
,12:05:43,4,2700,257.7,1.86,13.3,9,11.2,0.196,10,0.3,1.75
,12:05:44,4,2700,258.7,1.86,13.3,9,11.2,0.196,10,0.3,1.74
,12:05:45,4,2700,259.7,1.86,13.3,9,11.2,0.196,10,0.3,1.74
,12:05:46,4,2700,260.7,1.86,13.3,9,11.2,0.201,10,0.3,1.74
,12:05:47,4,2700,261.7,1.85,13.3,9,11.1,0.206,10,0.3,1.73
,12:05:48,4,2700,262.7,1.84,13.3,9,11.1,0.205,10,0.3,1.72
,12:05:49,4,2700,263.7,1.83,13.3,9,11.2,0.204,10,0.3,1.71
