Data file,,RA0.3_OILHEF10_12C_004.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/05/2016,,,,,,,,,,
Lubricant,,10% HEF-contaminated ISO10,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 17:28:14 on 13/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,17:31:52,4,2700,217.4,0.04,0,9,11.7,0.004,10,1.7,0.05
,17:31:53,4,2700,218.4,0.42,0.5,9,11.7,0.046,10,1.7,0.45
,17:31:54,4,2700,219.4,1.04,5.5,9,11.7,0.119,10,1.7,1.05
,17:31:55,4,2700,220.4,1.69,12.3,9,11.7,0.188,10,1.7,1.67
,17:31:56,4,2700,221.4,1.99,13.3,9,11.7,0.222,10,1.7,1.91
,17:31:57,4,2700,222.4,2.05,13.3,9,11.7,0.228,10,1.8,1.96
,17:31:58,4,2700,223.4,2.06,13.3,9,11.6,0.223,10,1.8,1.97
,17:31:59,4,2700,224.4,2.07,13.3,9,11.6,0.218,10,1.9,1.97
,17:32:00,4,2700,225.4,2.07,13.3,9,11.6,0.218,10,1.9,1.97
,17:32:01,4,2700,226.4,2.07,13.3,9,11.5,0.218,10,1.9,1.97
,17:32:02,4,2700,227.4,2.06,13.3,9,11.5,0.223,10,1.9,1.97
,17:32:03,4,2700,228.4,2.04,13.3,9,11.5,0.228,10,2,1.95
,17:32:04,4,2700,229.4,2.03,13.3,9,11.4,0.233,10,2,1.94
,17:32:05,4,2700,230.4,2.03,13.3,9,11.4,0.226,10,2,1.94
,17:32:06,4,2700,231.4,2.03,13.3,9,11.4,0.226,10,1.9,1.94
,17:32:07,4,2700,232.4,2.03,13.3,9,11.4,0.233,10,1.8,1.94
,17:32:08,4,2700,233.4,2.04,13.3,9,11.4,0.234,10,1.7,1.95
,17:32:09,4,2700,234.4,2.05,13.3,9,11.4,0.228,10,1.6,1.96
,17:32:10,4,2700,235.4,2.06,13.3,9,11.4,0.223,10,1.5,1.96
,17:32:11,4,2700,236.4,2.06,13.3,9,11.4,0.223,10,1.5,1.96
,17:32:12,4,2700,237.4,2.04,13.3,9,11.5,0.222,10,1.5,1.95
,17:32:13,4,2700,238.4,2.03,13.3,9,11.5,0.22,10,1.5,1.94
,17:32:14,4,2700,239.4,2.01,13.3,9,11.5,0.218,10,1.5,1.92
,17:32:15,4,2700,240.4,2,13.3,9,11.5,0.217,10,1.5,1.91
,17:32:16,4,2700,241.4,2,13.3,9,11.6,0.223,10,1.5,1.91
