Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 13:36:05 on 13/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:44:10,4,-1,484.3,0.06,0,7,11.1,0.009,10,49.7,0.08
,13:44:11,4,-1,485.3,0.35,2.5,7,11.1,0.047,10,49.8,0.37
,13:44:12,4,-1,486.3,0.68,9.5,8,11,0.086,10,49.8,0.69
,13:44:13,4,-1,487.3,0.95,12.9,8,11,0.119,10,49.9,0.92
,13:44:14,4,-1,488.3,0.96,13.3,8,11,0.121,10,49.9,0.92
,13:44:15,4,-1,489.3,0.93,13.3,8,11,0.117,10,49.9,0.89
,13:44:16,4,-1,490.3,0.9,13.3,8,11,0.113,10,49.9,0.86
,13:44:17,4,-1,491.3,0.88,13.3,8,11,0.114,10,49.9,0.84
,13:44:18,4,-1,492.3,0.86,13.3,7,10.9,0.116,10,49.8,0.83
,13:44:19,4,-1,493.3,0.85,13.3,7,10.9,0.119,10,49.9,0.82
,13:44:20,4,-1,494.3,0.84,13.3,7,10.9,0.126,10,49.9,0.81
,13:44:21,4,-1,495.3,0.83,13.3,7,10.9,0.125,10,49.9,0.8
,13:44:22,4,-1,496.3,0.83,13.3,7,10.9,0.124,10,49.9,0.79
,13:44:23,4,-1,497.3,0.82,13.3,7,10.9,0.124,10,49.9,0.79
,13:44:24,4,-1,498.3,0.82,13.3,6,10.9,0.128,10,49.8,0.79
,13:44:25,4,-1,499.3,0.83,13.3,7,10.8,0.124,10,49.9,0.8
,13:44:26,4,-1,500.3,0.83,13.3,7,10.8,0.12,10,49.9,0.8
,13:44:27,4,-1,501.3,0.83,13.3,7,10.8,0.12,10,49.9,0.8
,13:44:28,4,-1,502.3,0.83,13.3,7,10.8,0.125,10,49.9,0.8
